mergeCommitId,isMergeConflicting,conflictingFiles,parent1Id,parent1Files,parent2Id,parent2Files,ancestorId,numberOfConflicts
ceaf6c15daecebcb7a3c3aa487dffb15d0612d58,true,[lib/scumblr_tasks/security/github_analyzer.rb],225e64d8c3983a1509105c2396a5480a6a76ce63,[lib/scumblr_tasks/security/github_analyzer.rb],5b30fb1cb81e66b8a0c43b7611bb55b32e34eec8,[.gitignore@ .travis.yml@ Gemfile@ Gemfile.lock@ README.md@ app/assets/javascripts/application.js@ app/assets/stylesheets/application.css.scss@ app/controllers/application_controller.rb@ app/controllers/events_controller.rb@ app/controllers/results_controller.rb@ app/controllers/system_metadata_controller.rb@ app/controllers/task_types_controller.rb@ app/controllers/tasks_controller.rb@ app/helpers/application_helper.rb@ app/helpers/results_helper.rb@ app/models/ability.rb@ app/models/event.rb@ app/models/result.rb@ app/models/result_attachment.rb@ app/models/task.rb@ app/serializers/system_metadata_serializer.rb@ app/serializers/task_serializer.rb@ app/views/devise/sessions/new.html.erb@ app/views/layouts/layout.html.erb@ app/views/results/actions/_repository_data_actions.html.erb@ app/views/results/index.html.erb@ app/views/results/metadata/_scan_metadata_details.html.erb@ app/views/results/metadata/_vulnerabilities_details.html.erb@ app/views/results/metadata/_vulnerabilities_details_show.html.erb@ app/views/results/metadata/_vulnerability.html.erb@ app/views/results/show.html.erb@ app/views/results/update_metadata.js.erb@ app/views/shared/_abstract_table.html.erb@ app/views/system_metadata/index.html.erb@ app/views/task_types/_options_fields.html.erb@ app/views/task_types/_task_configuration.html.erb@ app/views/task_types/on_demand_options.js.erb@ app/views/task_types/options.js.erb@ app/views/tasks/_form.html.erb@ app/views/tasks/_statuses.html.erb@ app/views/tasks/_tasks_table.html.erb@ app/views/tasks/index.html.erb@ app/workers/screenshot_runner.rb@ app/workers/task_runner.rb@ app/workers/task_worker.rb@ config/application.rb@ config/database.yml@ config/environments/development.rb@ config/environments/production.rb@ config/environments/staging.rb@ config/environments/test.rb@ config/initializers/reload.rb@ config/initializers/scumblr.rb.sample@ config/initializers/sidekiq.rb@ config/initializers/simple_form.rb@ config/locales/simple_form.en.yml@ config/routes.rb@ config/sidekiq.yml@ db/migrate/20170517173248_update_github_search_task_options.rb@ db/migrate/20170622205314_add_frequency_to_task.rb@ db/migrate/20170705165950_add_run_type_to_task.rb@ db/migrate/20170714205623_update_vulnerability_statuses.rb@ db/structure.sql@ lib/helpers/repo_download_helper.rb@ lib/helpers/vulnerability_helpers.rb@ lib/scumblr_tasks.rb@ lib/scumblr_tasks/async.rb@ lib/scumblr_tasks/async_sidekiq.rb@ lib/scumblr_tasks/base.rb@ lib/scumblr_tasks/generic_tasks/sketchy.rb@ lib/scumblr_tasks/maintenance_tasks/event_cleaner.rb@ lib/scumblr_tasks/maintenance_tasks/move_vulnerability_task.rb@ lib/scumblr_tasks/maintenance_tasks/result_maintenance.rb@ lib/scumblr_tasks/maintenance_tasks/vulnerability_cleaner.rb@ lib/scumblr_tasks/security/curl_analyzer.rb@ lib/scumblr_tasks/security/github_analyzer.rb@ lib/scumblr_tasks/security/github_event_analyzer.rb@ lib/scumblr_tasks/security/python_analyzer.rb@ lib/scumblr_tasks/security/rails_analyzer.rb@ lib/scumblr_tasks/sync_tasks/github_sync.rb@ lib/scumblr_tasks/sync_tasks/route53_sync.rb@ lib/search_providers/provider.rb@ lib/tasks/custom_test.rake@ lib/tasks/custom_tests.rake@ lib/tasks/sync_tasks.rake@ lib/templates/erb/scaffold/_form.html.erb@ test/controllers/task_controller_test.rb@ test/data/github_event.json@ test/fixtures/events.yml@ test/fixtures/results.yml@ test/fixtures/saved_filters.yml@ test/fixtures/system_metadata.yml@ test/fixtures/tags.yml@ test/fixtures/tasks.yml@ test/models/comments_test.rb@ test/models/event_change.rb@ test/models/event_change_test.rb@ test/models/events_test.rb@ test/models/results_test.rb@ test/models/status_test.rb@ test/models/task_test.rb@ test/models/user_saved_filter.rb@ test/models/user_saved_filter_test.rb@ test/support/aws_test.rb@ test/support/sidekiq.rb@ test/tasks/github_analyzer_test.rb@ test/tasks/github_event_analyzer_test.rb@ test/tasks/vulnerability_cleaner_test.rb@ test/tasks/vulnerability_helper_test.rb@ test/test_helper.rb],d9bef826b52d4c7ffa25348e253d58078c0025ba,2
c792b68ace06c464929ff691ac5edd4190f8ba38,false,[],ab4f254c5783669191a4c79707a26d2c8994200d,[lib/scumblr_tasks/security/github_event_analyzer.rb],623b628264f389894532f084c9a50709c77066e8,[README.md@ app/assets/javascripts/application.js@ app/controllers/task_types_controller.rb@ app/models/task.rb@ app/views/results/metadata/_vulnerability.html.erb@ app/views/task_types/_options_fields.html.erb],74242da6ec3daadb55528ce812cbbf1a8729000f,0
6be95fac4acf3dd8cf7a4fbad5c6973aa4bedd59,false,[],1adb4d8afd5e377382ef40ea9d68555af35222b3,[app/views/devise/sessions/new.html.erb@ app/views/task_types/_options_fields.html.erb@ app/workers/task_runner.rb@ config/initializers/sidekiq.rb@ config/sidekiq.yml@ lib/scumblr_tasks/async_sidekiq.rb@ lib/scumblr_tasks/security/curl_analyzer.rb],6cbce7cf79846e22c309cbd6e41e69ffd52cea57,[lib/scumblr_tasks/maintenance_tasks/event_cleaner.rb],b336a23b671df03a57ebc4693405136a3be02f71,0
2c798799c7c4506086dc4825e17e756fa2392b7d,false,[],13e23a3ac753f7b329c64cc8f58ddded60f83a5c,[.travis.yml@ Gemfile@ Gemfile.lock@ app/assets/javascripts/application.js@ app/controllers/tasks_controller.rb@ app/models/task.rb@ app/views/tasks/_form.html.erb@ app/views/tasks/_tasks_table.html.erb@ app/views/tasks/index.html.erb@ app/workers/task_runner.rb@ config/initializers/sidekiq.rb@ config/routes.rb@ config/sidekiq.yml@ db/migrate/20170622205314_add_frequency_to_task.rb@ db/structure.sql@ test/controllers/task_controller_test.rb@ test/models/task_test.rb],bc827535d2c1428c68c754766ff8c24ae2723d89,[lib/scumblr_tasks/security/github_event_analyzer.rb],a1f14d242070bc45fd0cef2b3ce7c82404c530bd,0
1122b41d02ceff445b2a59db625307e9e6b8d697,false,[],a1f14d242070bc45fd0cef2b3ce7c82404c530bd,[test/fixtures/results.yml@ test/models/results_test.rb@ test/models/status_test.rb@ test/tasks/github_event_analyzer_test.rb],c5e49a74158a9baf121693be24807ea2dc49450b,[.travis.yml@ Gemfile@ Gemfile.lock@ app/assets/javascripts/application.js@ app/controllers/tasks_controller.rb@ app/models/task.rb@ app/views/tasks/_form.html.erb@ app/views/tasks/_tasks_table.html.erb@ app/views/tasks/index.html.erb@ app/workers/task_runner.rb@ config/initializers/sidekiq.rb@ config/routes.rb@ config/sidekiq.yml@ db/migrate/20170622205314_add_frequency_to_task.rb@ db/structure.sql@ test/controllers/task_controller_test.rb@ test/models/task_test.rb],6bc4276678850590519fb7a6c55e2d33786568bf,0
838493372b0734b3539c560364493905f9abcc4b,true,[app/controllers/tasks_controller.rb@ config/initializers/sidekiq.rb@ db/structure.sql],9b1ba080335acea9aa91d76af938e69bc1620771,[app/controllers/tasks_controller.rb@ app/models/task.rb@ app/views/tasks/_form.html.erb@ app/views/tasks/index.html.erb@ config/initializers/sidekiq.rb@ db/migrate/20170622205314_add_frequency_to_task.rb@ db/structure.sql],ca1ffe030f614498505683d74f5408fcd439a56f,[.travis.yml@ Gemfile@ Gemfile.lock@ app/assets/javascripts/application.js@ app/assets/stylesheets/application.css.scss@ app/controllers/application_controller.rb@ app/controllers/events_controller.rb@ app/controllers/results_controller.rb@ app/controllers/system_metadata_controller.rb@ app/controllers/task_types_controller.rb@ app/controllers/tasks_controller.rb@ app/helpers/application_helper.rb@ app/helpers/results_helper.rb@ app/models/ability.rb@ app/models/event.rb@ app/models/result.rb@ app/models/result_attachment.rb@ app/models/task.rb@ app/serializers/system_metadata_serializer.rb@ app/serializers/task_serializer.rb@ app/views/layouts/layout.html.erb@ app/views/results/actions/_repository_data_actions.html.erb@ app/views/results/index.html.erb@ app/views/results/metadata/_scan_metadata_details.html.erb@ app/views/results/metadata/_vulnerabilities_details.html.erb@ app/views/results/metadata/_vulnerabilities_details_show.html.erb@ app/views/results/metadata/_vulnerability.html.erb@ app/views/results/show.html.erb@ app/views/results/update_metadata.js.erb@ app/views/shared/_abstract_table.html.erb@ app/views/system_metadata/index.html.erb@ app/views/task_types/_options_fields.html.erb@ app/views/task_types/_task_configuration.html.erb@ app/views/task_types/on_demand_options.js.erb@ app/views/task_types/options.js.erb@ app/views/tasks/_form.html.erb@ app/views/tasks/_statuses.html.erb@ app/views/tasks/_tasks_table.html.erb@ app/views/tasks/index.html.erb@ app/workers/screenshot_runner.rb@ app/workers/task_runner.rb@ app/workers/task_worker.rb@ config/application.rb@ config/database.yml@ config/environments/development.rb@ config/environments/production.rb@ config/environments/staging.rb@ config/environments/test.rb@ config/initializers/reload.rb@ config/initializers/scumblr.rb.sample@ config/initializers/sidekiq.rb@ config/initializers/simple_form.rb@ config/locales/simple_form.en.yml@ config/routes.rb@ db/migrate/20170517173248_update_github_search_task_options.rb@ db/migrate/20170705165950_add_run_type_to_task.rb@ db/migrate/20170714205623_update_vulnerability_statuses.rb@ db/structure.sql@ lib/helpers/repo_download_helper.rb@ lib/helpers/vulnerability_helpers.rb@ lib/scumblr_tasks.rb@ lib/scumblr_tasks/async.rb@ lib/scumblr_tasks/async_sidekiq.rb@ lib/scumblr_tasks/base.rb@ lib/scumblr_tasks/generic_tasks/sketchy.rb@ lib/scumblr_tasks/maintenance_tasks/move_vulnerability_task.rb@ lib/scumblr_tasks/maintenance_tasks/result_maintenance.rb@ lib/scumblr_tasks/maintenance_tasks/vulnerability_cleaner.rb@ lib/scumblr_tasks/security/curl_analyzer.rb@ lib/scumblr_tasks/security/github_analyzer.rb@ lib/scumblr_tasks/security/github_event_analyzer.rb@ lib/scumblr_tasks/security/python_analyzer.rb@ lib/scumblr_tasks/security/rails_analyzer.rb@ lib/scumblr_tasks/sync_tasks/github_sync.rb@ lib/scumblr_tasks/sync_tasks/route53_sync.rb@ lib/search_providers/provider.rb@ lib/tasks/custom_test.rake@ lib/tasks/custom_tests.rake@ lib/tasks/sync_tasks.rake@ lib/templates/erb/scaffold/_form.html.erb@ test/controllers/task_controller_test.rb@ test/data/github_event.json@ test/fixtures/events.yml@ test/fixtures/results.yml@ test/fixtures/saved_filters.yml@ test/fixtures/system_metadata.yml@ test/fixtures/tags.yml@ test/fixtures/tasks.yml@ test/models/comments_test.rb@ test/models/event_change.rb@ test/models/event_change_test.rb@ test/models/events_test.rb@ test/models/results_test.rb@ test/models/status_test.rb@ test/models/task_test.rb@ test/models/user_saved_filter.rb@ test/models/user_saved_filter_test.rb@ test/support/aws_test.rb@ test/support/sidekiq.rb@ test/tasks/github_analyzer_test.rb@ test/tasks/github_event_analyzer_test.rb@ test/tasks/vulnerability_cleaner_test.rb@ test/test_helper.rb],42819cd0fd1f6ee4eafd2286b921aebd76923915,12
a83a3a8caca7ce923424ec0f3a86595f1ea51a4a,true,[Gemfile@ Gemfile.lock@ app/views/tasks/index.html.erb],42819cd0fd1f6ee4eafd2286b921aebd76923915,[Gemfile@ Gemfile.lock@ app/assets/javascripts/application.js@ app/controllers/tasks_controller.rb@ app/models/task.rb@ app/views/tasks/index.html.erb@ app/workers/task_runner.rb@ config/routes.rb@ config/sidekiq.yml@ db/migrate/20170622205314_add_frequency_to_task.rb@ test/controllers/task_controller_test.rb@ test/models/task_test.rb],6bc4276678850590519fb7a6c55e2d33786568bf,[.travis.yml@ Gemfile@ Gemfile.lock@ app/assets/javascripts/application.js@ app/assets/stylesheets/application.css.scss@ app/controllers/application_controller.rb@ app/controllers/events_controller.rb@ app/controllers/results_controller.rb@ app/controllers/system_metadata_controller.rb@ app/controllers/task_types_controller.rb@ app/controllers/tasks_controller.rb@ app/helpers/application_helper.rb@ app/helpers/results_helper.rb@ app/models/ability.rb@ app/models/event.rb@ app/models/result.rb@ app/models/result_attachment.rb@ app/models/task.rb@ app/serializers/system_metadata_serializer.rb@ app/serializers/task_serializer.rb@ app/views/layouts/layout.html.erb@ app/views/results/actions/_repository_data_actions.html.erb@ app/views/results/index.html.erb@ app/views/results/metadata/_scan_metadata_details.html.erb@ app/views/results/metadata/_vulnerabilities_details.html.erb@ app/views/results/metadata/_vulnerabilities_details_show.html.erb@ app/views/results/metadata/_vulnerability.html.erb@ app/views/results/show.html.erb@ app/views/results/update_metadata.js.erb@ app/views/shared/_abstract_table.html.erb@ app/views/system_metadata/index.html.erb@ app/views/task_types/_options_fields.html.erb@ app/views/task_types/_task_configuration.html.erb@ app/views/task_types/on_demand_options.js.erb@ app/views/task_types/options.js.erb@ app/views/tasks/_form.html.erb@ app/views/tasks/_statuses.html.erb@ app/views/tasks/_tasks_table.html.erb@ app/views/tasks/index.html.erb@ app/workers/screenshot_runner.rb@ app/workers/task_runner.rb@ app/workers/task_worker.rb@ config/application.rb@ config/database.yml@ config/environments/development.rb@ config/environments/production.rb@ config/environments/staging.rb@ config/environments/test.rb@ config/initializers/reload.rb@ config/initializers/scumblr.rb.sample@ config/initializers/sidekiq.rb@ config/initializers/simple_form.rb@ config/locales/simple_form.en.yml@ config/routes.rb@ db/migrate/20170517173248_update_github_search_task_options.rb@ db/migrate/20170705165950_add_run_type_to_task.rb@ db/migrate/20170714205623_update_vulnerability_statuses.rb@ db/structure.sql@ lib/helpers/repo_download_helper.rb@ lib/helpers/vulnerability_helpers.rb@ lib/scumblr_tasks.rb@ lib/scumblr_tasks/async.rb@ lib/scumblr_tasks/async_sidekiq.rb@ lib/scumblr_tasks/base.rb@ lib/scumblr_tasks/generic_tasks/sketchy.rb@ lib/scumblr_tasks/maintenance_tasks/move_vulnerability_task.rb@ lib/scumblr_tasks/maintenance_tasks/result_maintenance.rb@ lib/scumblr_tasks/maintenance_tasks/vulnerability_cleaner.rb@ lib/scumblr_tasks/security/curl_analyzer.rb@ lib/scumblr_tasks/security/github_analyzer.rb@ lib/scumblr_tasks/security/github_event_analyzer.rb@ lib/scumblr_tasks/security/python_analyzer.rb@ lib/scumblr_tasks/security/rails_analyzer.rb@ lib/scumblr_tasks/sync_tasks/github_sync.rb@ lib/scumblr_tasks/sync_tasks/route53_sync.rb@ lib/search_providers/provider.rb@ lib/tasks/custom_test.rake@ lib/tasks/custom_tests.rake@ lib/tasks/sync_tasks.rake@ lib/templates/erb/scaffold/_form.html.erb@ test/controllers/task_controller_test.rb@ test/data/github_event.json@ test/fixtures/events.yml@ test/fixtures/results.yml@ test/fixtures/saved_filters.yml@ test/fixtures/system_metadata.yml@ test/fixtures/tags.yml@ test/fixtures/tasks.yml@ test/models/comments_test.rb@ test/models/event_change.rb@ test/models/event_change_test.rb@ test/models/events_test.rb@ test/models/results_test.rb@ test/models/status_test.rb@ test/models/task_test.rb@ test/models/user_saved_filter.rb@ test/models/user_saved_filter_test.rb@ test/support/aws_test.rb@ test/support/sidekiq.rb@ test/tasks/github_analyzer_test.rb@ test/tasks/github_event_analyzer_test.rb@ test/tasks/vulnerability_cleaner_test.rb@ test/test_helper.rb],d9bef826b52d4c7ffa25348e253d58078c0025ba,10
81077a85ddf414951252076203f2a2f6206aed36,false,[],d9bef826b52d4c7ffa25348e253d58078c0025ba,[config/initializers/mtlsalbe_strategy.rb],77f880e0e2332ae4b9a2c1ab8edaa0cef25ca27a,[.travis.yml@ Gemfile@ Gemfile.lock@ app/assets/javascripts/application.js@ app/assets/stylesheets/application.css.scss@ app/controllers/application_controller.rb@ app/controllers/events_controller.rb@ app/controllers/results_controller.rb@ app/controllers/system_metadata_controller.rb@ app/controllers/task_types_controller.rb@ app/controllers/tasks_controller.rb@ app/helpers/application_helper.rb@ app/helpers/results_helper.rb@ app/models/ability.rb@ app/models/event.rb@ app/models/result.rb@ app/models/result_attachment.rb@ app/models/task.rb@ app/serializers/system_metadata_serializer.rb@ app/serializers/task_serializer.rb@ app/views/layouts/layout.html.erb@ app/views/results/actions/_repository_data_actions.html.erb@ app/views/results/index.html.erb@ app/views/results/metadata/_scan_metadata_details.html.erb@ app/views/results/metadata/_vulnerabilities_details.html.erb@ app/views/results/metadata/_vulnerabilities_details_show.html.erb@ app/views/results/metadata/_vulnerability.html.erb@ app/views/results/show.html.erb@ app/views/results/update_metadata.js.erb@ app/views/shared/_abstract_table.html.erb@ app/views/system_metadata/index.html.erb@ app/views/task_types/_options_fields.html.erb@ app/views/task_types/_task_configuration.html.erb@ app/views/task_types/on_demand_options.js.erb@ app/views/task_types/options.js.erb@ app/views/tasks/_form.html.erb@ app/views/tasks/_statuses.html.erb@ app/views/tasks/_tasks_table.html.erb@ app/views/tasks/index.html.erb@ app/workers/screenshot_runner.rb@ app/workers/task_runner.rb@ app/workers/task_worker.rb@ config/database.yml@ config/environments/development.rb@ config/environments/production.rb@ config/environments/staging.rb@ config/environments/test.rb@ config/initializers/mtlsalbe_strategy.rb@ config/initializers/reload.rb@ config/initializers/scumblr.rb.sample@ config/initializers/sidekiq.rb@ config/initializers/simple_form.rb@ config/locales/simple_form.en.yml@ config/routes.rb@ db/migrate/20170517173248_update_github_search_task_options.rb@ db/migrate/20170705165950_add_run_type_to_task.rb@ db/migrate/20170714205623_update_vulnerability_statuses.rb@ db/structure.sql@ lib/helpers/repo_download_helper.rb@ lib/helpers/vulnerability_helpers.rb@ lib/scumblr_tasks.rb@ lib/scumblr_tasks/async.rb@ lib/scumblr_tasks/async_sidekiq.rb@ lib/scumblr_tasks/base.rb@ lib/scumblr_tasks/generic_tasks/sketchy.rb@ lib/scumblr_tasks/maintenance_tasks/move_vulnerability_task.rb@ lib/scumblr_tasks/maintenance_tasks/result_maintenance.rb@ lib/scumblr_tasks/maintenance_tasks/vulnerability_cleaner.rb@ lib/scumblr_tasks/security/curl_analyzer.rb@ lib/scumblr_tasks/security/github_analyzer.rb@ lib/scumblr_tasks/security/github_event_analyzer.rb@ lib/scumblr_tasks/security/python_analyzer.rb@ lib/scumblr_tasks/security/rails_analyzer.rb@ lib/scumblr_tasks/sync_tasks/github_sync.rb@ lib/scumblr_tasks/sync_tasks/route53_sync.rb@ lib/search_providers/provider.rb@ lib/tasks/custom_test.rake@ lib/tasks/custom_tests.rake@ lib/tasks/sync_tasks.rake@ lib/templates/erb/scaffold/_form.html.erb@ test/controllers/task_controller_test.rb@ test/data/github_event.json@ test/fixtures/events.yml@ test/fixtures/results.yml@ test/fixtures/saved_filters.yml@ test/fixtures/system_metadata.yml@ test/fixtures/tags.yml@ test/fixtures/tasks.yml@ test/models/comments_test.rb@ test/models/event_change.rb@ test/models/event_change_test.rb@ test/models/events_test.rb@ test/models/results_test.rb@ test/models/status_test.rb@ test/models/task_test.rb@ test/models/user_saved_filter.rb@ test/models/user_saved_filter_test.rb@ test/support/aws_test.rb@ test/support/sidekiq.rb@ test/tasks/github_analyzer_test.rb@ test/tasks/github_event_analyzer_test.rb@ test/tasks/vulnerability_cleaner_test.rb@ test/test_helper.rb],e09fd239ffe50239088de3bfb63a5ee63cf412f5,0
9909e1b698afa1f644caceee8529ebee204c502d,false,[],cb26c317e71b555e1d6c521b59a50b2a5d17fbef,[lib/scumblr_tasks/maintenance_tasks/vulnerability_cleaner.rb@ test/fixtures/results.yml@ test/fixtures/saved_filters.yml@ test/fixtures/tasks.yml@ test/models/results_test.rb@ test/models/status_test.rb@ test/tasks/vulnerability_cleaner_test.rb],adfbe6e8faa52eb6f5cbec64543293649efef901,[Gemfile@ lib/scumblr_tasks/maintenance_tasks/vulnerability_cleaner.rb@ test/fixtures/results.yml@ test/fixtures/saved_filters.yml@ test/fixtures/tasks.yml@ test/models/results_test.rb@ test/models/status_test.rb@ test/tasks/vulnerability_cleaner_test.rb],17813a2b591716277e809325fa18f89395d384f5,0
9c0b20942f873831bdcb87716ea6eb7e6d0d8f8a,false,[],5633969e7e49ff48e626d84530575cfc8595e8f1,[lib/scumblr_tasks/security/github_event_analyzer.rb],8c8b8b993613e8c007466c8bf92564a1997db0ec,[lib/helpers/vulnerability_helpers.rb],ed11e5f361dfdc8f69d070b8e61c5aa0620606b0,0
