mergeCommitId,isMergeConflicting,conflictingFiles,parent1Id,parent1Files,parent2Id,parent2Files,ancestorId,numberOfConflicts
48a85256617ed1e1fe54b9c733d3cedc10b3b524,false,[],04e079378f5b9d4ee0a688d1f463a988ad93b8dd,[.gitignore],df00ca163966ac3eab31c7812a6d264eeeef50bc,[app/controllers/common/application/alert_messages.rb@ app/controllers/common/application/rescue_errors.rb@ app/controllers/page/shares_controller.rb@ app/helpers/common/page/creation_helper.rb@ app/helpers/common/page/post_helper.rb@ app/helpers/common/ui/avatar_helper.rb@ app/helpers/common/ui/groups_helper.rb@ app/helpers/common/ui/pagination_helper.rb@ app/helpers/group/links_helper.rb@ app/helpers/page/sidebar_helper.rb@ app/views/common/posts/_edit.html.haml@ app/views/common/session/_login_form.html.haml@ app/views/common/wikis/_edit.html.haml@ app/views/common/wikis/_locked.html.haml@ app/views/group/invites/new.html.haml@ app/views/me/settings/show.html.haml@ app/views/page/create/_new_form.html.haml@ app/views/page/shares/_share_form.html.haml@ app/views/page/trash/edit.html.haml@ app/views/person/home/_friends.html.haml@ config/en.yml@ config/locales/en/account.yml@ config/locales/en/crabgrass.yml@ config/locales/en/crud-and-forms.yml@ config/locales/en/emails.yml@ config/locales/en/exceptions.yml@ config/locales/en/gallery.yml@ config/locales/en/generic.yml@ config/locales/en/groups.yml@ config/locales/en/headings.yml@ config/locales/en/me.yml@ config/locales/en/navigation.yml@ config/locales/en/pages.yml@ config/locales/en/permissions.yml@ config/locales/en/profiles.yml@ config/locales/en/requests.yml@ config/locales/en/unsorted.yml@ config/locales/en/wiki.yml@ extensions/pages/gallery_page/app/views/gallery_image/disabled/_upload_zip.html.erb@ extensions/pages/ranked_vote_page/app/views/ranked_vote_possibles/_possible_edit.html.haml@ extensions/pages/rate_many_page/app/views/possibles/_possible_show.html.haml@ extensions/pages/survey_page/app/models/survey_question.rb@ extensions/pages/survey_page/app/views/survey_page/edit.html.erb@ extensions/pages/survey_page/app/views/survey_page/edit_save.html.haml@ extensions/pages/survey_page/app/views/survey_page_response/show.html.haml@ extensions/search_filters/associations/edited_by_me.rb@ extensions/search_filters/associations/starred_by_me.rb@ lib/tasks/i18n.rb@ test/functional/exceptions_controller_test.rb@ test/helpers/integration/account_management.rb@ test/integration/error_flow_test.rb@ test/integration/group_settings_test.rb@ vendor/crabgrass_plugins/modalbox/app/helpers/modalbox_helper.rb@ vendor/crabgrass_plugins/modalbox/config/locales/en.yml],45eacc4ba2fede7b0b6d560ce38a0defb1c57c93,0
9376afb5c2095f663b01fdbef706150af6cc8355,true,[config/en.yml@ config/locales/en/emails.yml],944c0b7e1af618ea3e877a236c0540be3abaa980,[app/controllers/common/application/alert_messages.rb@ app/controllers/common/application/rescue_errors.rb@ app/controllers/page/shares_controller.rb@ app/helpers/common/page/creation_helper.rb@ app/helpers/common/page/post_helper.rb@ app/helpers/common/ui/groups_helper.rb@ app/helpers/common/ui/pagination_helper.rb@ app/helpers/page/sidebar_helper.rb@ app/views/common/posts/_edit.html.haml@ app/views/common/session/_login_form.html.haml@ app/views/common/wikis/_edit.html.haml@ app/views/common/wikis/_locked.html.haml@ app/views/group/invites/new.html.haml@ app/views/page/create/_new_form.html.haml@ app/views/page/shares/_share_form.html.haml@ app/views/page/trash/edit.html.haml@ app/views/person/home/_friends.html.haml@ config/en.yml@ config/locales/en/account.yml@ config/locales/en/crabgrass.yml@ config/locales/en/crud-and-forms.yml@ config/locales/en/emails.yml@ config/locales/en/exceptions.yml@ config/locales/en/gallery.yml@ config/locales/en/generic.yml@ config/locales/en/groups.yml@ config/locales/en/headings.yml@ config/locales/en/me.yml@ config/locales/en/navigation.yml@ config/locales/en/pages.yml@ config/locales/en/permissions.yml@ config/locales/en/profiles.yml@ config/locales/en/requests.yml@ config/locales/en/unsorted.yml@ config/locales/en/wiki.yml@ extensions/pages/gallery_page/app/views/gallery_image/disabled/_upload_zip.html.erb@ extensions/pages/ranked_vote_page/app/views/ranked_vote_possibles/_possible_edit.html.haml@ extensions/pages/rate_many_page/app/views/possibles/_possible_show.html.haml@ extensions/pages/survey_page/app/views/survey_page/edit.html.erb@ extensions/pages/survey_page/app/views/survey_page/edit_save.html.haml@ extensions/pages/survey_page/app/views/survey_page_response/show.html.haml@ extensions/search_filters/associations/edited_by_me.rb@ extensions/search_filters/associations/starred_by_me.rb@ lib/tasks/i18n.rb@ test/helpers/integration/account_management.rb@ test/integration/error_flow_test.rb@ vendor/crabgrass_plugins/modalbox/app/helpers/modalbox_helper.rb@ vendor/crabgrass_plugins/modalbox/config/locales/en.yml],45eacc4ba2fede7b0b6d560ce38a0defb1c57c93,[app/helpers/common/ui/search_helper.rb@ app/helpers/page/share_helper.rb@ app/models/group/network.rb@ app/views/mailer/page_histories/digest.text.erb@ app/views/page/create/_body.html.erb@ app/views/page/shares/_add_recipient_widget.html.haml@ app/views/wiki/assets/_first.html.haml@ config/en.yml@ config/locales/de.yml@ config/locales/en/emails.yml@ config/locales/es.yml@ config/locales/fr.yml@ config/locales/it.yml@ config/locales/nl.yml@ config/locales/no.yml@ config/locales/pl.yml@ config/locales/pt.yml@ extensions/locales/riseup/es.yml@ lib/tasks/i18n.rb@ test/fixtures/page/terms.yml],d7e9952dc6dcc87d4c373b69a683724df9bc8845,4
4f6718c30a86a927f25baebac91d0877eefcec76,false,[],4f7eb4247d3387662df779b7674dda6f1a564db7,[app/controllers/group/directory_controller.rb@ app/models/asset/doc.rb@ app/models/asset/text.rb@ config/en.yml@ config/locales/en/groups.yml@ config/locales/en/me.yml@ config/locales/en/navigation.yml@ extensions/themes/default/navigation.rb@ test/helpers/integration/content_assertions.rb@ test/integration/visibility_test.rb@ test/unit/asset/text_test.rb],bd88071274b5b67e3299c258219ceeea6af3576a,[app/models/user/groups.rb@ app/views/layouts/global/nav/_boxes.html.haml@ app/views/layouts/global/nav/_groups_menu.html.haml@ app/views/layouts/global/nav/_people_menu.html.haml@ config/en.yml@ config/locales/en/me.yml@ config/locales/en/navigation.yml@ extensions/themes/default/navigation.rb@ test/helpers/integration/content_assertions.rb@ test/integration/group_creation_test.rb@ test/integration/page_sidebar_test.rb@ test/integration/top_navigation_test.rb@ test/integration/visibility_test.rb],6c23a2fc14483999cfa298686bf2e5c3dcd4c808,0
4eddfbde6813e8b78e7417a53b5c88aba33d2375,true,[app/views/layouts/global/nav/_groups_menu.html.haml@ app/views/layouts/global/nav/_people_menu.html.haml],213d80a93c7cc4297e08f4329de1ef40a5fe80dd,[app/controllers/cron_controller.rb@ app/models/mailer/page_histories.rb@ app/models/user/groups.rb@ app/views/layouts/global/nav/_boxes.html.haml@ app/views/layouts/global/nav/_groups_menu.html.haml@ app/views/layouts/global/nav/_people_menu.html.haml@ config/application.rb@ config/en.yml@ config/environments/development.rb@ config/locales/en/me.yml@ config/locales/en/navigation.yml@ config/misc/schedule.rb@ extensions/themes/default/navigation.rb@ test/helpers/integration/content_assertions.rb@ test/integration/page_sidebar_test.rb@ test/integration/top_navigation_test.rb@ test/integration/visibility_test.rb@ test/unit/mailer/page_histories_test.rb],d5dea0820360e335d2d8aa714e9ada0383f5d3e9,[app/views/layouts/global/nav/_boxes.html.haml@ app/views/layouts/global/nav/_groups_menu.html.haml@ app/views/layouts/global/nav/_people_menu.html.haml@ extensions/themes/default/navigation.rb@ test/integration/page_sidebar_test.rb@ test/integration/top_navigation_test.rb],73497c42999eb9cc3d40e8c6642310f61db0bddf,2
7ee3cc3f37865845470cc70d64d98e302b64bdd1,false,[],f7a08f8d517e4e5c8739b4a1340ecb772280113b,[config/en.yml@ config/locales/en/me.yml@ config/locales/en/navigation.yml@ extensions/themes/default/navigation.rb@ test/helpers/integration/content_assertions.rb@ test/integration/visibility_test.rb],2c6d4f6f89864a35505ced969246497e51dd055f,[app/controllers/group/directory_controller.rb@ config/locales/en/groups.yml@ extensions/themes/default/navigation.rb],6c23a2fc14483999cfa298686bf2e5c3dcd4c808,0
6c23a2fc14483999cfa298686bf2e5c3dcd4c808,false,[],73497c42999eb9cc3d40e8c6642310f61db0bddf,[Gemfile.lock@ app/controllers/common/page_search.rb@ app/controllers/group/groups_controller.rb@ app/controllers/page/tags_controller.rb@ app/controllers/person/base_controller.rb@ app/models/page/create.rb@ app/models/page/groups.rb@ app/models/page/tag_downcase_parser.rb@ app/models/page/tag_suggestions.rb@ app/permissions/people_permission.rb@ app/views/group/groups/_choose_parent_group.html.haml@ app/views/layouts/global/_head.html.haml@ app/views/mailer/invite_to_join_us.text.erb@ app/views/mailer/request_to_join_us.text.erb@ app/views/me/notices/index.html.haml@ app/views/page/tags/_popup.html.haml@ app/views/person/home/_sidebox.html.haml@ app/views/person/home/show.html.haml@ config/locales/en/groups.yml@ config/locales/en/me.yml@ config/routes.rb@ extensions/pages/asset_page/app/models/asset_page.rb@ extensions/search_filters/properties/tag.rb@ test/README.md@ test/fixtures/users.yml@ test/functional/person/home_controller_test.rb@ test/helpers/integration/user_records.rb@ test/integration/group_creation_test.rb@ test/integration/page_creation_test.rb@ test/integration/page_sidebar_test.rb@ test/integration/tag_suggestion_test.rb@ test/integration/visibility_test.rb@ test/unit/page/tag_suggestions_test.rb@ test/unit/tagging_test.rb@ vendor/crabgrass_plugins/crabgrass_path_finder/lib/path_finder/controller_extension.rb],fc5a3e9dfa236f8ecf033688c93745bfda6ddf99,[app/controllers/cron_controller.rb@ app/models/mailer/page_histories.rb@ config/application.rb@ config/environments/development.rb@ config/misc/schedule.rb@ test/unit/mailer/page_histories_test.rb],e89ba9e47380f2c3137ad28f52ea3b3d566ab73b,0
f871cbbdab6d1413ab881fe95040c2dbd03a041f,false,[],8d3da44d240e646663ff53c77c31acf438e40650,[Gemfile.lock@ app/views/mailer/invite_to_join_us.text.erb@ app/views/mailer/request_to_join_us.text.erb],c59dfa73fec317929b531e6a6d869ac4760bcad4,[app/controllers/page/tags_controller.rb@ app/models/page/groups.rb@ app/models/page/tag_suggestions.rb@ app/views/page/tags/_popup.html.haml@ extensions/search_filters/properties/tag.rb@ test/unit/page/tag_suggestions_test.rb],2f83dc90325751276ab052f9f0d73ff90f4b8af1,0
8d3da44d240e646663ff53c77c31acf438e40650,false,[],bc50d25e7ec20429378703ae513c055b77920a8f,[Gemfile.lock@ app/controllers/person/base_controller.rb@ app/permissions/people_permission.rb@ app/views/mailer/invite_to_join_us.text.erb@ app/views/me/notices/index.html.haml@ app/views/person/home/_sidebox.html.haml@ app/views/person/home/show.html.haml@ config/locales/en/me.yml@ test/functional/person/home_controller_test.rb@ test/helpers/integration/user_records.rb@ test/integration/visibility_test.rb],3ee6da45e11173bcdfe36d2a3c0df53275e06fba,[app/views/mailer/request_to_join_us.text.erb],d4d0bc394f03daec7a932f3355b72fa53416bc50,0
bc50d25e7ec20429378703ae513c055b77920a8f,false,[],2f83dc90325751276ab052f9f0d73ff90f4b8af1,[app/controllers/person/base_controller.rb@ app/permissions/people_permission.rb@ app/views/me/notices/index.html.haml@ app/views/person/home/_sidebox.html.haml@ app/views/person/home/show.html.haml@ config/locales/en/me.yml@ test/functional/person/home_controller_test.rb@ test/helpers/integration/user_records.rb@ test/integration/visibility_test.rb],d1cbeaac5a27b1063c7b922c0115f16da9bda032,[Gemfile.lock@ app/views/mailer/invite_to_join_us.text.erb],d4d0bc394f03daec7a932f3355b72fa53416bc50,0
d99902d982ff15b7096c2682d8c038eebb2ae568,false,[],d4d0bc394f03daec7a932f3355b72fa53416bc50,[app/controllers/group/groups_controller.rb@ app/controllers/page/tags_controller.rb@ app/models/page/create.rb@ app/models/page/tag_downcase_parser.rb@ app/models/page/tag_suggestions.rb@ app/views/group/groups/_choose_parent_group.html.haml@ config/locales/en/groups.yml@ test/README.md@ test/fixtures/users.yml@ test/integration/group_creation_test.rb@ test/integration/page_creation_test.rb@ test/integration/page_sidebar_test.rb@ test/integration/tag_suggestion_test.rb@ test/unit/page/tag_suggestions_test.rb@ test/unit/tagging_test.rb],2fb1eb0b7dc537a5d00f9203bf65feb5a664e958,[app/controllers/person/base_controller.rb@ app/permissions/people_permission.rb@ app/views/person/home/_sidebox.html.haml@ app/views/person/home/show.html.haml@ config/locales/en/me.yml@ test/functional/person/home_controller_test.rb@ test/helpers/integration/user_records.rb@ test/integration/visibility_test.rb],b91a24cdbc10de545c18ddeb450483b8c06e551f,0
