mergeCommitId,isMergeConflicting,conflictingFiles,parent1Id,parent1Files,parent2Id,parent2Files,ancestorId,numberOfConflicts
bb2683d66a8c244c8f10cef6884092b888d21eb1,true,[Gemfile.lock],dc204fe0f4550197940c6e2ff5fe1a4cbd52c606,[Gemfile@ Gemfile.lock],2349d15cbff7b2d2a19c55b8132dc6b3c6ad1446,[Gemfile@ Gemfile.lock@ config/initializers/assets.rb@ test/support/system_stub_helper.rb],8c036aaed39ad9e8839265eb9ec5502b544640ae,1
b9260e2b4efe46c34d6dc3e71848e7b64cac793c,true,[Gemfile.lock],22d3cfc9ff1ff68430b771978d98e68330c7e787,[Gemfile@ Gemfile.lock],c4aa7c2365e87f4a9394f22749e7afeb66670cf4,[.travis.yml@ ChangeLog.md@ Gemfile@ Gemfile.lock@ app/helpers/admin_controller_helper.rb@ app/models/datasets/task.rb@ app/views/admin/index.html.haml@ config/application.rb@ config/initializers/assets.rb@ config/initializers/i18n.rb@ lib/r_letters/visualization/word_cloud/canvas.rb@ spec/features/admin_spec.rb@ spec/features/user_links_libraries_spec.rb@ spec/features/user_signs_in_spec.rb@ spec/models/user_spec.rb@ spec/rails_helper.rb@ spec/support/features/dataset_helpers.rb@ vendor/locales/cldr/de-DE/plurals.rb@ vendor/locales/cldr/es-ES/plurals.rb@ vendor/locales/cldr/fr-FR/plurals.rb@ vendor/locales/cldr/ml/languages.yml@ vendor/locales/cldr/ml/plurals.rb@ vendor/locales/cldr/ml/territories.yml@ vendor/locales/cldr/sq/languages.yml@ vendor/locales/cldr/sq/plurals.rb@ vendor/locales/cldr/sq/territories.yml@ vendor/locales/cldr/sv-SE/plurals.rb],5c990f484d1ad9275400376fe86a924875e76658,2
4d30a033489e11130d5a6fd1cac353dbd39a9454,false,[],1676638b05d4ee2e4a490384e0f8d2cb2f26b323,[config/environments/production.rb],da13f27d7819530566b523a37d98ef1e2cda4a98,[lib/tasks/maintenance.rake],a06cb0c2ef0e269cfcad43967cae982cc63c2b2d,0
81ddb8b7bf954316a452a0f918d5ff1c1a066498,false,[],b859c544d785bfe6bf20e25061a8e9c0546d12ed,[Gemfile@ Gemfile.lock@ README.md@ app/models/admin/setting.rb@ config/initializers/airbrake.rb@ config/locales/en.yml@ config/locales/es.yml],766dc726031904c638480dee5ada61b02f2af442,[.travis.yml],aa3afcfe72b61482eb91c322c339517a06e86c87,0
2cc19da787d70e565bead05520bd2a23d8d38ad2,false,[],f718ac6c5f14ba647cea52c347f8a83da810365e,[ChangeLog.md@ README.md@ config/initializers/cookies_serializer.rb],9791a440b95c58c2771861c40f7648fd222245fe,[Gemfile.lock@ config/initializers/formtastic.rb@ config/initializers/pg_bug_monkey_patch.rb],cebf8924810ff88c977ae61746cdeb9fe4fcc8ec,0
16324eda829bb488c614f6cfe3ad83991c1e485c,false,[],f749928df676eaecf8a95db83b9357085da4d4b2,[Gemfile.lock@ config/initializers/formtastic.rb],cebf8924810ff88c977ae61746cdeb9fe4fcc8ec,[app/assets/javascripts/turbolinks_settings.js],fccd8174ed8d9fdcdb7d25e2d88dd0747aec38b6,0
eb210a675e5736568fbbca30bf4e925bfe5b9358,false,[],7d633cf6ee8866ea2ea44e8bf63981f8d9e54a3f,[.tx/config@ ChangeLog.md@ Gemfile@ README.md@ app/models/admin/uploaded_asset.rb@ config/locales/collocation/collocation.en.md@ config/locales/cooccurrence/cooccurrence.en.md@ config/locales/en.yml@ lib/jobs/analysis/cooccurrence.rb@ lib/jobs/analysis/views/cooccurrence/_params.html.haml@ lib/r_letters/analysis/collocation/base.rb@ lib/r_letters/analysis/cooccurrence/base.rb@ lib/r_letters/analysis/cooccurrence/mutual_information.rb@ lib/r_letters/analysis/cooccurrence/t_test.rb@ spec/lib/jobs/analysis/collocation_spec.rb@ spec/lib/jobs/analysis/cooccurrence_spec.rb@ spec/lib/r_letters/analysis/cooccurrence/mutual_information_spec.rb@ spec/lib/r_letters/analysis/cooccurrence/shared_examples.rb@ spec/lib/r_letters/analysis/cooccurrence/t_test_spec.rb],eacd73a09e6b56be7a9af8536252c62664545624,[Gemfile@ Gemfile.lock@ app/assets/javascripts/application.js@ app/assets/stylesheets/_bootstrap_settings.scss@ app/assets/stylesheets/_foundation_settings.scss@ app/assets/stylesheets/_global.scss@ app/assets/stylesheets/_icons.scss@ app/assets/stylesheets/_search.scss@ app/assets/stylesheets/_workflow.scss@ app/assets/stylesheets/application.css.scss@ app/controllers/users/libraries_controller.rb@ app/decorators/application_decorator.rb@ app/decorators/categories_decorator.rb@ app/decorators/category_decorator.rb@ app/decorators/facets_decorator.rb@ app/decorators/search_result_decorator.rb@ app/views/datasets/analysis_tasks/new.html.haml@ app/views/datasets/index.html.haml@ app/views/datasets/index_xhr.html.haml@ app/views/datasets/new.html.haml@ app/views/datasets/show.html.haml@ app/views/layouts/_flashes.html.haml@ app/views/layouts/_footer.html.haml@ app/views/layouts/_head.html.haml@ app/views/layouts/_nav.html.haml@ app/views/layouts/_sign_in.html.haml@ app/views/layouts/application.html.haml@ app/views/layouts/full_page.html.haml@ app/views/search/_add.html.haml@ app/views/search/_dropdown.html.haml@ app/views/search/advanced.html.haml@ app/views/search/index.html.haml@ app/views/users/libraries/_form.html.haml@ app/views/users/libraries/edit.html.haml@ app/views/users/libraries/index.html.haml@ app/views/users/libraries/new.html.haml@ app/views/users/libraries/query.html.haml@ app/views/users/passwords/edit.html.haml@ app/views/users/passwords/new.html.haml@ app/views/users/registrations/edit.html.haml@ app/views/users/registrations/new.html.haml@ app/views/workflow/activate.html.haml@ app/views/workflow/dashboard.html.haml@ app/views/workflow/fetch.html.haml@ app/views/workflow/index.html.haml@ app/views/workflow/info.html.haml@ app/views/workflow/start.html.haml@ config/environments/production.rb@ config/initializers/simple_form.rb@ config/initializers/simple_form_foundation.rb@ config/locales/en.yml],e1c0916f685dedb142e7881e97559e1b0aa090aa,0
bd1a63ddcd824d7afac239230dc47954e6359368,false,[],d83ab93848bc5b86d2b7ce6686484655971880e2,[config/locales/en.yml@ lib/jobs/analysis/network.rb@ lib/r_letters/analysis/network/edge.rb@ lib/r_letters/analysis/network/graph.rb@ lib/r_letters/analysis/network/node.rb],5034ebca1840c76b79d56c142d2ba194bf04af48,[README.md],6196d70d7dc5d6150c84d19d4d0c26a609bb9846,0
ee48d6918c8c8c90116ce07c406abbef14af74e4,false,[],1c579f062d9e782d61a4e4f24671d76dc3927a2e,[Gemfile@ Gemfile.lock@ lib/tasks/resque.rake],f7cf62dbe3fb485259ab73d7a90b0d1e38200f6c,[.travis.yml@ Gemfile@ Gemfile.lock@ config/bluepill.rb@ config/initializers/cocaine.rb@ config/puma.rb@ lib/core_ext/activerecord_base_logger.rb@ lib/core_ext/java_print_stream.rb@ lib/core_ext/nokogiri_xml_node_attributes.rb@ lib/serializers/rdf.rb@ spec/lib/serializers/mods_spec.rb@ spec/spec_helper.rb@ spec/support/deferred_garbage_collection.rb],d4b4164e9a4d5daf81588c1ce9630c50bc2a104f,0
5d12e186b03b66ccb81c32b6b3fc610f6558dbe5,false,[],7863654a17b040b985a55df7e2377ff7ff598701,[lib/solr/facet.rb@ spec/lib/solr/facet_spec.rb@ spec/models/document_spec.rb],80df1573835579500bb8735b40adabd76798b513,[.gitignore@ lib/jobs/analysis/base.rb@ spec/lib/jobs/analysis/base_spec.rb@ spec/lib/serializers/csl_spec.rb@ spec/spec_helper.rb@ spec/views/datasets/show_spec.rb@ spec/views/datasets/task_list_spec.rb],7f3d45d674c386fe6b8e47e7da5cf9443d28931d,0
