mergeCommitId,isMergeConflicting,conflictingFiles,parent1Id,parent1Files,parent2Id,parent2Files,ancestorId,numberOfConflicts
c076952d2dc7de4c42b70a2385d0da86b2a5fe2a,false,[],be1bb2f8210d1c9edddb66f0e0a69c4bfe0d1eab,[.travis.yml@ app/controllers/spree/admin/active_shipping_settings_controller.rb@ app/models/spree/calculator/shipping/australia_post/base.rb@ app/models/spree/calculator/shipping/australia_post/courier_post.rb@ app/models/spree/calculator/shipping/australia_post/parcel_post.rb@ app/models/spree/calculator/shipping/australia_post/priority_letters.rb@ app/views/spree/admin/active_shipping_settings/edit.html.erb@ lib/spree/active_shipping_configuration.rb],6e7977d056097ca68e3679644bf90b02d71c5aeb,[lib/spree/active_shipping/canada_post_override.rb],9586243b9b8a5950f1a365a8291611b375f3b0b9,0
b765eaec33fa19465aac22215ac57b236a7e8330,false,[],f54a9418bfbb23031745bf1436016da2a16aa9b4,[CONTRIBUTING.md@ README.md@ app/controllers/spree/admin/active_shipping_settings_controller.rb@ app/models/spree/calculator/shipping/active_shipping/base.rb@ app/models/spree/calculator/shipping/usps/base.rb@ lib/spree/active_shipping_configuration.rb@ lib/spree_active_shipping/engine.rb@ spree_active_shipping.gemspec],d6b81a61066914acd67f56fe07d2ce52a031d5a2,[app/models/spree/calculator/shipping/active_shipping/base.rb@ app/models/spree/calculator/shipping/usps/base.rb@ spec/models/active_shipping_calculator_spec.rb],cb52b70fbadf06dd01173483d314868432469a18,0
b5af3b0d5db767cae27d77c99611520126cca217,false,[],9cf7fc93215dd239885b304069b47f97f971a28b,[.gitignore@ .travis.yml@ CONTRIBUTING.md@ Gemfile@ README.md@ app/controllers/spree/admin/product_packages_controller.rb@ app/controllers/spree/admin/products_controller_decorator.rb@ app/models/spree/calculator/shipping/active_shipping/base.rb@ app/models/spree/calculator/shipping/canada_post/base.rb@ app/models/spree/calculator/shipping/fedex/base.rb@ app/models/spree/calculator/shipping/ups/base.rb@ app/models/spree/calculator/shipping/usps/base.rb@ app/models/spree/calculator/shipping/usps/express_mail.rb@ app/models/spree/calculator/shipping/usps/express_mail_international.rb@ app/models/spree/calculator/shipping/usps/first_class_mail_international.rb@ app/models/spree/calculator/shipping/usps/first_class_mail_international_large_envelope.rb@ app/models/spree/calculator/shipping/usps/first_class_mail_parcel.rb@ app/models/spree/calculator/shipping/usps/first_class_mail_parcels.rb@ app/models/spree/calculator/shipping/usps/first_class_package_international.rb@ app/models/spree/calculator/shipping/usps/global_express_guaranteed.rb@ app/models/spree/calculator/shipping/usps/media_mail.rb@ app/models/spree/calculator/shipping/usps/priority_mail.rb@ app/models/spree/calculator/shipping/usps/priority_mail_flat_rate_envelope.rb@ app/models/spree/calculator/shipping/usps/priority_mail_international.rb@ app/models/spree/calculator/shipping/usps/priority_mail_international_large_flat_rate_box.rb@ app/models/spree/calculator/shipping/usps/priority_mail_international_medium_flat_rate_box.rb@ app/models/spree/calculator/shipping/usps/priority_mail_international_small_flat_rate_box.rb@ app/models/spree/calculator/shipping/usps/priority_mail_large_flat_rate_box.rb@ app/models/spree/calculator/shipping/usps/priority_mail_medium_flat_rate_box.rb@ app/models/spree/calculator/shipping/usps/priority_mail_small_flat_rate_box.rb@ app/models/spree/calculator/shipping/usps/standard_post.rb@ app/overrides/spree/admin/shared/_configuration_menu/add_active_shipping_settings_tab.html.erb.deface@ app/overrides/spree/admin/shared/_product_tabs/add_product_packages_tab.html.erb.deface@ app/overrides/spree/admin/shared/sub_menu/_configuration/add_active_shipping_settings_tab.html.erb.deface@ app/views/spree/admin/active_shipping_settings/edit.html.erb@ app/views/spree/admin/product_packages/_form.html.erb@ app/views/spree/admin/product_packages/edit.html.erb@ app/views/spree/admin/product_packages/index.html.erb@ app/views/spree/admin/product_packages/new.html.erb@ config/locales/en.yml@ lib/spree/active_shipping/canada_post_override.rb@ lib/spree/active_shipping/ups_override.rb@ lib/spree/active_shipping_configuration.rb@ lib/spree_active_shipping/engine.rb@ spec/controllers/admin/active_shipping_settings_controller_spec.rb@ spec/controllers/admin/product_packages_controller_spec.rb@ spec/lib/spree/active_shipping/bogus_carrier.rb@ spec/models/active_shipping_calculator_spec.rb@ spec/models/weight_limits_spec.rb@ spec/spec_helper.rb@ spec/support/rspec-activemodel-mocks_patch.rb@ spree_active_shipping.gemspec],ea8fedce06b75a6432179e82d9eba5d060aabeeb,[README.md],eb199876be5b2b5e377d5c8d13e7b8dc3ca001a8,0
4af7c2bf13b4aabd5a7080b22393b22d65f37784,true,[Gemfile@ spree_active_shipping.gemspec],77a302aa0f0298338b92f7ab84acab28fb6c5b3f,[Gemfile@ README.md@ app/models/spree/calculator/shipping/active_shipping/base.rb@ app/models/spree/calculator/shipping/canada_post/base.rb@ app/models/spree/calculator/shipping/fedex/base.rb@ app/models/spree/calculator/shipping/ups/base.rb@ app/models/spree/calculator/shipping/usps/base.rb@ lib/spree/active_shipping/ups_override.rb@ lib/spree_active_shipping/engine.rb@ spec/lib/spree/active_shipping/bogus_carrier.rb@ spec/models/active_shipping_calculator_spec.rb@ spec/models/weight_limits_spec.rb@ spec/spec_helper.rb@ spec/support/rspec-activemodel-mocks_patch.rb@ spree_active_shipping.gemspec],e4df9aa28ece0f826696b0ef84ee81a011013996,[.gitignore@ Gemfile@ spec/models/weight_limits_spec.rb@ spec/spec_helper.rb@ spree_active_shipping.gemspec],bbed0237fb87210565a1e44a12c6eec49fd5d596,3
d17112c35bba79c64bed88efea9a3790f999d42c,false,[],d8e2e5628b59b0ad895518e923e7b28e83b68237,[README.md],95b7a7e4c6370c0a2b62444dd3a1a2021d626dd9,[Gemfile@ app/models/spree/calculator/shipping/active_shipping/base.rb@ app/models/spree/calculator/shipping/canada_post/base.rb@ app/models/spree/calculator/shipping/fedex/base.rb@ app/models/spree/calculator/shipping/ups/base.rb@ app/models/spree/calculator/shipping/usps/base.rb@ lib/spree/active_shipping/ups_override.rb@ lib/spree_active_shipping/engine.rb@ spec/lib/spree/active_shipping/bogus_carrier.rb@ spec/models/active_shipping_calculator_spec.rb@ spec/models/weight_limits_spec.rb@ spec/spec_helper.rb],30b9fd0f2c4165421ab3a173e9c23248e7e3fe4e,0
e4df9aa28ece0f826696b0ef84ee81a011013996,true,[Gemfile@ spec/models/weight_limits_spec.rb],921dcebf248f4312375ac765e182c78fdccfe546,[.gitignore@ Gemfile@ spec/models/weight_limits_spec.rb@ spree_active_shipping.gemspec],2788b42b9c5d2c3ffd5822c0adba692a928625a6,[Gemfile@ spec/models/weight_limits_spec.rb@ spec/spec_helper.rb@ spree_active_shipping.gemspec],bbed0237fb87210565a1e44a12c6eec49fd5d596,2
d888cc8242dcc19f61e55bc37c5555a069b59e85,false,[],273a660e74059c917906948d7974971e08e4ec91,[app/models/spree/calculator/shipping/active_shipping/base.rb],ed9319afa4d07ca0a2cd2ce5158f02fb9b0df0d3,[app/controllers/spree/admin/product_packages_controller.rb@ app/models/spree/product_package.rb@ spec/controllers/admin/active_shipping_settings_controller_spec.rb@ spec/controllers/admin/product_packages_controller_spec.rb@ spec/factories/product_package_factory.rb@ spec/spec_helper.rb],9071fc6603c1dc1022b5dc3fe6df16066e31150e,0
273a660e74059c917906948d7974971e08e4ec91,false,[],9071fc6603c1dc1022b5dc3fe6df16066e31150e,[.travis.yml@ app/controllers/spree/admin/product_packages_controller.rb@ app/models/spree/calculator/shipping/active_shipping/base.rb@ app/models/spree/calculator/shipping/ups/base.rb@ app/models/spree/calculator/shipping/usps/base.rb@ app/models/spree/calculator/shipping/usps/express_mail_international.rb@ app/models/spree/calculator/shipping/usps/priority_mail_international.rb@ app/models/spree/calculator/shipping/usps/priority_mail_international_large_flat_rate_box.rb@ app/models/spree/calculator/shipping/usps/priority_mail_international_medium_flat_rate_box.rb@ app/models/spree/calculator/shipping/usps/priority_mail_international_small_flat_rate_box.rb@ app/models/spree/product_decorator.rb@ app/models/spree/product_package.rb@ spec/models/weight_limits_spec.rb@ spree_active_shipping.gemspec],320680fcee24aa6b1f3e1793f3f6eaf87f1ee99c,[app/models/spree/calculator/shipping/active_shipping/base.rb],c1a2244a5c016a799f9b85dafc2be330596b0394,0
e0c146856c2b2967b7b1a0086052d0385ecc1b56,false,[],83b3f605d5aa86cc14d13510b148661afddda1fb,[app/models/spree/calculator/shipping/usps/first_class_mail_parcels.rb],e537fa34841b34e825fbb093297311644588b2a0,[app/models/spree/calculator/shipping/active_shipping/base.rb],acfcb5fd9ac98841fc282b5b5def0e77bfcf4a52,0
83b3f605d5aa86cc14d13510b148661afddda1fb,false,[],a1a322e5ffe1564a349fcf19b9dec76bb79236fb,[app/models/spree/calculator/shipping/usps/first_class_mail_parcels.rb],acfcb5fd9ac98841fc282b5b5def0e77bfcf4a52,[app/models/spree/calculator/shipping/active_shipping/base.rb],b8d85d0a596a50b02cb7bd489b6fe152a4f0f5f1,0
