"row","column","cor","p"
"existsCommonSlice","numberOfCommitsGeoAverage",0.31300012,0
"existsCommonSlice","numberOfAuthorsGeoAverage",0.16574918,0
"numberOfCommitsGeoAverage","numberOfAuthorsGeoAverage",0.67053592,0
"existsCommonSlice","numberOfChangedFilesGeoAverage",0.40900358,0
"numberOfCommitsGeoAverage","numberOfChangedFilesGeoAverage",0.74207924,0
"numberOfAuthorsGeoAverage","numberOfChangedFilesGeoAverage",0.47369432,0
"existsCommonSlice","numberOfChangedLinesGeoAverage",0.36602694,0
"numberOfCommitsGeoAverage","numberOfChangedLinesGeoAverage",0.69405794,0
"numberOfAuthorsGeoAverage","numberOfChangedLinesGeoAverage",0.42282995,0
"numberOfChangedFilesGeoAverage","numberOfChangedLinesGeoAverage",0.85374442,0
"existsCommonSlice","minimumLifeTimeGeoAverage",0.23004121,0
"numberOfCommitsGeoAverage","minimumLifeTimeGeoAverage",0.72412574,0
"numberOfAuthorsGeoAverage","minimumLifeTimeGeoAverage",0.54457266,0
"numberOfChangedFilesGeoAverage","minimumLifeTimeGeoAverage",0.55522790,0
"numberOfChangedLinesGeoAverage","minimumLifeTimeGeoAverage",0.52440436,0
"existsCommonSlice","contributionConclusionDelay",0.08998446,0
"numberOfCommitsGeoAverage","contributionConclusionDelay",0.30438620,0
"numberOfAuthorsGeoAverage","contributionConclusionDelay",0.29502747,0
"numberOfChangedFilesGeoAverage","contributionConclusionDelay",0.26225384,0
"numberOfChangedLinesGeoAverage","contributionConclusionDelay",0.23720338,0
"minimumLifeTimeGeoAverage","contributionConclusionDelay",0.45548111,0
