mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
9a0c97b932066161811fc5c164131b950ae46a92,0,0,0,0,0,11.0,4.58,2.5,2.0,141.5,87.12,223,86.5,13.11,5.5,4.24,107.5,65.16,223
2a235d6712aa24b28554ea395c6d7435be3a8876,0,0,0,0,0,3.5,3.16,1.5,1.41,30.5,7.75,59,4.5,4.47,2.0,1.73,8.0,6.93,60
7c6900be332f4e9e2ac66a37de5d94d7edfbd3dc,0,1,1,0,0,18.0,5.92,4.5,2.83,98.5,14.0,195,76.5,12.33,12.0,4.8,344.5,37.07,196
9f65c92e17ed9b971b38bec49bdde4b61eeb368d,0,0,0,0,0,12.0,4.8,4.0,2.65,71.0,11.87,140,67.5,11.58,9.5,4.24,298.0,48.66,141
7f14db9a92fb5471080f0dd95ca48517321e9cfd,0,1,1,0,0,9.5,4.24,4.5,2.83,56.5,14.9,109,55.0,10.44,4.5,2.83,51.0,19.8,109
ee326ecab5a244aa0fa06bffda6ab4a7ec9f23bf,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,1.0,1.0,3.0,2.83,1
e67ddf916684566726be9e1fb5f2c4b42bc30bb4,0,0,0,0,0,8.0,3.87,3.5,2.45,7.0,3.61,12,45.5,9.49,7.5,3.74,513.5,45.28,13
fb692bd34f1340868aaa9b479232318ca3d7346a,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,2.5,2.0,23.5,0.0,0
1e80ec34e7418420676fa53a96a1de7837990048,0,1,1,0,0,19.5,6.16,2.0,1.73,38.5,8.72,75,49.5,9.9,124.5,15.75,4643.0,136.26,75
7edf3ced8da60339f08768262efae0253058194b,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,3.0,2.24,44.0,23.81,0
6aca2f60c8fa9d95f0f2a9a7de74d2c0bc0a9776,0,0,0,0,0,2.0,1.73,1.0,1.0,1.0,1.0,0,1.0,1.0,102.0,14.25,22841.5,4303.15,0
1394cf24c758ce0d6773845ccccb7398a60a4d3e,0,1,1,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,9.0,4.12,1.0,1.0,2.0,2.0,0
463bc7b08c1f6af9d75d6eb8150610f45b535f7f,0,1,1,0,0,1.0,1.0,1.0,1.0,15.5,15.43,3,1.0,1.0,1.0,1.0,2.0,2.0,3
026dbc3f5d29241e62b1022e0a46a6875fc6a7e7,0,1,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,6.0,6.0,1
1cd592c3603e99373313d31583c5e0f56aac0e37,0,0,0,0,0,11.0,4.58,3.0,2.24,51.5,10.1,101,49.5,9.9,20.5,6.32,406.0,221.89,102
0c442f5837505b799a6fc9ca179537664df1af04,0,1,1,0,0,8.5,6.48,2.0,1.73,41.5,9.06,81,24.5,9.7,12.0,7.94,64.5,36.03,82
ece5fe6ff2958b8b3e1d9677a171c6248e75961f,0,1,1,0,0,5.5,5.29,1.5,1.41,7.5,3.74,13,9.0,8.06,10.0,4.36,55.5,26.98,14
cf0403910a653901ea23a17ff69d900171e39355,0,1,1,0,0,3.0,2.24,1.0,1.0,7.0,3.61,12,1.0,1.0,9.5,4.24,52.0,24.25,13
fd8198abd6b1cf36c86ad3604d2fdb18a1b3992d,0,1,1,0,0,59.5,10.86,6.0,3.32,19.0,12.85,28,62.5,11.14,54.0,10.34,4472.5,163.79,28
df70e48f51b5881141cf9e4d776dadd5d1e837d9,0,1,1,0,0,5.0,4.0,2.0,2.0,1.0,1.0,0,7.5,3.74,7.0,3.61,866.0,58.82,1
c2f0b261e993b3ab06b9ff3257734e17b44b893a,0,1,1,0,0,2.5,2.0,1.5,1.41,8.5,7.75,7,1.0,1.0,5.5,3.16,860.0,742.46,7
2d541d6a5db2cac0c459cb175b2b1a93200edcf6,0,1,1,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.5,1.41,1.0,1.0,101.0,20.0,0
b6087ff377c7680a28db7a09cf712ad5de962af2,0,1,1,0,0,1.0,1.0,1.0,1.0,1.5,1.41,1,1.0,1.0,1.5,1.41,114.0,21.26,2
8d91a25c9338107717bf517115a6dc2fc5b625cf,0,0,0,0,0,3.5,3.16,1.0,1.0,2.0,1.73,2,1.5,1.41,34.0,8.19,969.0,354.06,2
56610caa797956a4831d1ab6f222d605b3c14b01,0,0,0,0,0,2.0,1.73,1.5,1.41,2.0,2.0,0,2.0,1.73,1.5,1.41,20.0,8.72,0
07370d7ce965877a75eb9a79bc381dfac2ed8630,0,1,1,0,0,3.5,3.16,1.5,1.41,2.0,1.73,2,2.0,1.73,3.5,3.16,29.5,28.25,3
1ac86eda5cc9aed61c560955cca054ca87a318d6,0,0,0,0,0,1.0,1.0,1.0,1.0,1.5,1.41,1,1.0,1.0,1.0,1.0,12.0,4.8,2
e0567860cb84f3d6b8853e8892483543601e72c4,0,1,1,0,0,4.0,2.65,1.5,1.41,1.0,1.0,0,1.5,1.41,10.5,6.16,362.5,132.29,1
09605ed7a841e062c17c3b641fa601f79ed9756c,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,4.5,3.74,0
2ca96e614b064895f99e54aeeeff525828901819,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,5.0,4.0,0
20a7e837bc6e3a10709f8a9a95946794949ac8f7,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,4.0,2.65,334.5,51.58,0
7863504c0c54cc56359cfc0139958bd8d12b21de,0,0,0,0,0,3.0,2.83,1.0,1.0,1.0,1.0,0,1.0,1.0,106.0,14.53,4177.5,657.08,0
7541d574f609d1b82a045e97c59d86f666bb2eca,0,1,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.5,1.41,10.0,6.0,1
b016fa49d0dbce064a3f7e9c21dccd52d607a973,0,0,0,0,0,2.0,1.73,1.0,1.0,1.0,1.0,0,1.0,1.0,2.5,2.0,112.5,108.0,0
bfe6ce0f5b9ea573f943cb6955f9de639982beb4,0,1,1,0,0,1.5,1.41,1.5,1.41,3.0,2.24,4,1.0,1.0,2.5,2.45,37.5,36.93,5
bad60e485a89c0709a6a9467de8e773d51f9c4f0,0,1,1,0,0,3.5,2.45,1.0,1.0,14.0,5.2,26,15.0,5.39,7.5,7.35,195.5,195.22,27
0095d694232727af6b8bffd411319113f91647a8,0,1,1,0,0,9.5,4.24,1.0,1.0,3.0,2.83,2,2.5,2.0,6.5,3.46,299.0,34.53,2
32e244828fe082ee6819e645a4e0b67270cdfd54,0,1,1,0,0,5.5,3.16,1.5,1.41,21.5,6.48,41,13.5,5.1,5.0,3.0,125.5,22.32,42
b367573a8e27196cc77b5b970197a7a51b6c6e6c,0,1,1,0,0,4.5,2.83,1.0,1.0,13.5,5.1,25,3.5,2.45,4.5,2.83,124.5,27.17,25
5e8c158ba0b2e8581e9e2fe7333f62146ae3d7b5,0,1,1,0,0,2.0,1.73,2.0,1.73,1.0,1.0,0,1.0,1.0,2.0,2.0,60.0,23.98,1
0e7f209187c9d7740283bc2f26e679c67e4b9760,0,1,1,0,0,28.5,18.71,3.5,3.16,17.0,5.74,32,76.0,74.7,17.5,11.14,845.5,272.16,32
dddc10d623e7e4f7bb2d836d924fa918a9fa8257,0,1,1,0,0,1.5,1.41,1.5,1.41,2.5,2.0,3,1.0,1.0,2.0,1.73,22.0,6.56,4
d9829f797a4036f45c6f07c75a0a965e659fab40,1,1,1,1,1,1.5,1.41,1.5,1.41,7.5,3.74,13,1.0,1.0,1.5,1.41,3.0,2.83,14
739ef0657214fd409990659203b0b1b23f4ee527,0,1,1,0,0,2.0,1.73,1.5,1.41,1.0,1.0,0,4.0,2.65,3.5,2.45,120.0,94.47,0
d4d6acefa4727cb246c30fb03672b015a6b7262e,0,0,0,0,0,1.5,1.41,1.0,1.0,3.5,2.45,5,1.0,1.0,2.0,1.73,33.0,30.33,6
783a63c91967ca7ecd92d1c2137784a7f6226408,0,1,1,0,0,1.5,1.41,1.0,1.0,2.0,1.73,2,1.0,1.0,2.5,2.45,17.5,14.0,3
ae3d407b8ff3a314cd6dc6d9303747df746c280a,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,2.0,2.0,0
d9dd12ff5f8606c3b8e4a2e5b3329494ccdbac5c,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,3.0,2.24,52.0,33.23,0
5579bf6a151c17d78f6c8636110fb2e436c1479a,0,1,1,0,0,1.5,1.41,1.0,1.0,4.0,4.0,0,1.0,1.0,2.0,2.0,6.5,6.48,0
