mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
cd4f973103160ad785652c98b54577f921ddb574,0,0,0,0,0,5.5,3.16,1.5,1.41,2.5,2.0,3,8.0,3.87,7.5,5.1,243.0,61.84,4
bc638b7c2e32102a8da8b2505939890c84ffea5e,0,0,0,0,0,7.5,7.35,1.0,1.0,8.0,3.87,14,6.0,3.32,15.5,10.39,1340.5,286.62,15
837a2f3259c71c3bedb749beefb8756cd4955e40,0,0,0,0,0,2.5,2.0,1.0,1.0,1.0,1.0,0,1.5,1.41,26.0,7.14,613.5,49.5,1
383e8ac0c21b79458804ac245e3b01412790814b,0,1,2,0,0,2.0,1.73,1.0,1.0,1.0,1.0,0,1.0,1.0,34.5,30.3,659.5,339.34,1
3df19ba11d9a146ae7b970e72ad2a3f6a1a9461b,0,0,0,0,0,1.5,1.41,1.0,1.0,2.0,1.73,2,1.0,1.0,3.5,2.45,45.5,13.34,3
75ff7c223da5d72eb16dd71f076bbc22c2758fd0,0,1,1,0,0,3.5,2.45,1.0,1.0,1.0,1.0,0,1.0,1.0,16.5,9.49,1105.5,652.36,1
c1e231e5f48cdb1f651428e479829c51fec6e25c,0,1,1,0,0,4.0,2.65,1.0,1.0,1.0,1.0,0,1.0,1.0,17.0,8.0,91157.0,3958.74,0
65fad1b6a6f92fdfcc51f1cb0a17d54acd421cf1,0,0,0,0,0,7.5,3.74,2.0,1.73,1.0,1.0,0,39.0,8.77,44.0,9.33,690.0,37.13,0
3f520b3bf6bd2c26c61dc3c8f2ded39678c0ec21,0,1,1,0,0,5.0,4.0,2.0,2.0,1.0,1.0,0,9.0,4.12,7.0,5.74,161.5,155.25,0
70bce142122634530f0aaa071bb1ca08b59a3a98,0,0,0,0,0,2.5,2.0,1.0,1.0,1.0,1.0,0,1.0,1.0,10.0,4.36,2796.0,105.74,1
e30418faebf74cde2452c75009fa658874659c41,0,0,0,0,0,9.0,4.12,1.0,1.0,3.0,2.24,4,5.5,3.16,48.0,9.75,1762.0,740.16,5
