mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
8f9b80516bf81cb1377b4516db53d3d2cafc426c,0,0,0,0,0,16.5,5.66,2.0,1.73,10.5,4.47,19,10.5,4.47,32.5,8.0,1030.0,64.16,20
1e43708860e0364183f86a2fdc43332cd16fd970,0,0,0,0,0,2.5,2.0,1.5,1.41,6.0,3.32,10,1.0,1.0,8.0,3.87,120.0,21.82,11
4ef654ae3fbeaff20ddfcaca9a039a272a9f592a,0,1,1,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,7.5,3.74,119.0,42.9,1
93e561a89527a16e9b3860749ee815cd03e30f9f,0,1,1,0,0,41.0,25.63,1.5,1.41,1.0,1.0,0,33.5,32.86,62.0,59.62,1586.0,1405.93,1
6a27023e12fbfc0b3ff8e993db406fc447c10b62,1,1,2,1,1,8.5,7.75,1.0,1.0,1.0,1.0,0,9.5,4.24,18.5,17.94,94.5,81.1,0
00430b302ba574f803860726614a84f234d5268d,0,1,1,0,0,8.0,7.75,1.0,1.0,4.5,2.83,7,8.0,7.94,11.5,11.22,292.5,212.02,8
5c2e19c4a447446e73b3fea7f6483a7371b1b3a5,0,0,0,0,0,143.0,59.57,4.5,3.74,98.0,13.96,194,382.0,337.47,125.5,64.76,15698.0,15657.42,194
368f0e15d7eaa6c692870eca9001af99162732fb,0,1,2,0,0,4.0,3.87,1.0,1.0,3.5,2.45,5,4.0,3.46,8.0,7.94,167.5,142.21,6
0482935e48df0e63fe92220f10e8c593ce9df105,0,0,0,0,0,15.5,15.1,1.5,1.41,7.0,7.0,0,10.0,8.66,26.5,26.46,593.0,589.09,0
fa15c172fb87ebc9523c3304e33cfedb45ad4577,0,0,0,0,0,5.0,3.0,1.0,1.0,3.0,2.24,4,4.0,2.65,14.0,5.2,325.5,36.03,5
