mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
5890401f3a5388dc617a27af16a216eab7ab8c4a,0,1,1,0,0,6.5,6.32,2.0,1.73,16.0,15.97,2,15.0,10.2,7.5,5.1,106.0,102.76,2
8e5bcf0b665682f7810a78b527d90ab9c9a122ed,0,1,1,0,0,6.5,6.32,2.0,1.73,16.0,15.97,2,15.0,10.2,7.5,5.1,106.0,102.76,2
c406dc5befb5e4346e4bcb74454c53d56c893ef5,0,1,1,0,0,5.0,4.9,2.0,2.0,22.0,22.0,0,2.5,2.0,7.5,6.63,61.5,61.4,0
6a43454340d6784170f1d3377ba4d2663d75f4be,0,1,1,0,0,5.0,4.9,2.0,2.0,22.0,22.0,0,2.5,2.0,7.5,6.63,61.5,61.4,0
5f271114611794f82bedbff729c4334cd98e1e41,0,0,0,0,0,6.5,4.69,1.0,1.0,3.5,3.46,1,1.0,1.0,7.5,5.1,1002.0,172.73,1
930c3b570b3a3a51ff402f869bf2f68b81278997,0,0,0,0,0,6.5,4.69,1.0,1.0,3.5,3.46,1,1.0,1.0,7.5,5.1,1002.0,172.73,1
8d98590a267ba3865df7023da869dac6ee580dc6,0,0,0,0,0,2.5,2.0,1.0,1.0,1.0,1.0,0,4.0,2.65,2.5,2.0,38.5,37.55,0
40823aef273d45a0e4cee4e0d197b2760e012b90,0,0,0,0,0,2.5,2.0,1.0,1.0,1.0,1.0,0,4.0,2.65,2.5,2.0,38.5,37.55,0
968a73674b6a62cfccb11b43ff4a78158df35f90,0,0,0,0,0,3.5,3.16,1.5,1.41,1.0,1.0,0,4.5,4.24,6.5,6.0,88.5,53.5,0
0c6f5a4b01c8ba9625a8d192af1bea81ce620126,0,0,0,0,0,3.5,3.16,1.5,1.41,1.0,1.0,0,4.5,4.24,6.5,6.0,88.5,53.5,0
3c397978c4d8c189a4ad1047195afc36df37f947,0,0,0,0,0,1.5,1.41,1.5,1.41,2.5,2.0,3,1.0,1.0,1.5,1.41,8.0,7.75,4
a966338e1d891d0d36b019d8a0d2aa8aa1792221,0,0,0,0,0,1.5,1.41,1.5,1.41,2.5,2.0,3,1.0,1.0,1.5,1.41,8.0,7.75,4
91e04080232bacc2d0ae2f7ed8633ffd7b70dc51,0,0,0,0,0,7.5,6.0,1.5,1.41,6.0,3.32,10,5.5,3.16,22.5,11.22,173.0,122.66,10
a3d59f7168df8c69b71d6e763599edfcfaea27fa,0,0,0,0,0,7.5,6.0,1.5,1.41,6.0,3.32,10,5.5,3.16,22.5,11.22,173.0,122.66,10
0666aab20945becb1b6efcfdba4e0a2138d9081e,1,0,0,1,1,9.5,4.24,1.5,1.41,1.0,1.0,0,88.5,13.27,12.0,4.8,115.5,15.17,0
bfbedc863b6e6e08cc7948bec53fdf6a9d915739,1,0,0,1,1,9.5,4.24,1.5,1.41,1.0,1.0,0,88.5,13.27,12.0,4.8,115.5,15.17,0
2a1a938785b7eda099ca3620f113fd56554553ba,0,0,0,0,0,9.0,8.06,1.5,1.41,82.0,75.5,64,59.0,58.97,12.5,10.0,81.0,54.42,64
f266851bb6824e289b3011548ad3b04ba7f4521d,0,0,0,0,0,9.0,8.06,1.5,1.41,82.0,75.5,64,59.0,58.97,12.5,10.0,81.0,54.42,64
912716e141725bce8bd44122ccbe9ced3009c83c,0,1,1,0,0,7.5,6.0,1.0,1.0,30.5,15.1,53,2.5,2.0,11.5,7.75,80.0,51.76,53
d26aff579f3f2ee2218309817246f3ea416b8663,0,1,1,0,0,7.5,6.0,1.0,1.0,30.5,15.1,53,2.5,2.0,11.5,7.75,80.0,51.76,53
33c97d3cd872c12a1c58de2543c432b9a06a9e3c,0,0,0,0,0,3.0,2.24,1.0,1.0,15.5,5.48,29,1.0,1.0,18.0,11.31,129.5,75.1,30
9906a6e4f66e86e40c9fa1cb540d95e30c41a48d,0,0,0,0,0,2.0,1.73,1.0,1.0,3.0,2.24,4,1.0,1.0,12.0,9.75,151.5,108.73,4
c0430952b473a1d9ec807fa1dabdf46b8198c383,0,1,1,0,0,2.5,2.0,1.0,1.0,1.0,1.0,0,1.0,1.0,7.5,5.1,58.0,40.0,0
5aba55ce4678490f2831f005a5d1599d066ea8fc,1,0,0,1,1,2.0,1.73,1.0,1.0,1.0,1.0,0,1.0,1.0,9.5,7.75,59.0,39.31,0
42daa56d985c94951820256c81d17d2facd3e300,1,0,0,1,1,6.0,6.0,1.0,1.0,1.5,1.41,1,1.5,1.41,27.0,25.46,900.0,768.14,2
3421059e8370c80911fddcd48db84acea9fc1b97,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,6.5,3.46,65.0,22.45,1
0f1b5c7e421c6b6d010ad48ee000d5a5a3dbb343,1,1,1,3,3,10.5,8.25,2.0,1.73,1.0,1.0,0,1.5,1.41,17.5,15.81,599.5,586.85,0
6ae09bfb63a1015a39fca92ce919576c1a41030c,0,1,1,0,0,4.5,4.47,2.0,1.73,1.0,1.0,0,1.0,1.0,7.0,6.32,157.0,145.89,0
cde296588fca7eb2d3cf49b0a1323b1b2be95d3e,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,2.0,1.73,49.5,48.93,0
2e6bb8f19f98b6e5bf3608c46f6a897d6cfe8f36,1,1,2,1,1,4.0,2.65,2.0,1.73,1.5,1.41,1,1.0,1.0,11.0,10.82,259.5,257.58,2
75ef654110eaa284798e277f6f7c1bbf41eff593,0,0,0,0,0,2.5,2.0,1.5,1.41,1.0,1.0,0,1.0,1.0,5.5,4.24,106.0,81.31,0
459f1bbc87706341e47b7c911230c162a35d3eb9,0,0,0,0,0,3.5,2.45,1.5,1.41,1.0,1.0,0,1.0,1.0,1.0,1.0,25.0,7.0,0
