mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
a44134688f5be0a26f5e93b607f8c4e3f5b0782b,0,0,0,0,0,2.5,2.45,1.5,1.41,12.0,4.8,22,1.0,1.0,4.5,3.74,54.0,50.91,22
346d9d07b561269660fd8318a2a96dac26d7aa61,0,1,1,0,0,36.5,8.49,13.5,5.1,70.5,11.83,139,74.0,12.12,94.5,23.62,3391.5,307.84,140
7f519f8e3de34c634577eb2e8d6d8906282aa5a2,0,0,0,0,0,7.0,5.74,2.0,1.73,7.0,6.93,2,4.0,3.46,7.0,5.74,157.0,55.14,2
d88fd4a4b3b83fd4f101f88e634ef86325f8dafc,0,1,1,0,0,89.0,22.91,21.5,6.48,4.5,2.83,7,112.5,14.97,131.0,16.16,14283.5,696.67,7
38141059ff22aa4c06c2feee91d9700227b49fdb,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,2.5,2.0,450.5,272.81,0
0cf5fa0567c95cd458e49cde92a4af2381f1ae43,0,0,0,0,0,112.5,14.97,25.5,7.07,74.0,12.12,146,105.0,14.46,138.5,16.61,12431.0,1372.49,147
ba9df622c4a4bac8912f5e5a7e6781a74ca60caf,0,0,0,0,0,23.5,14.49,5.0,4.0,10.0,4.36,18,161.0,158.37,85.5,40.12,9136.5,2287.52,18
1d6610bad510cddee0e8ab8803990107d014e0df,0,1,1,0,0,47.0,9.64,12.5,4.9,28.5,7.48,55,66.0,11.45,41.0,9.0,3015.0,155.25,56
b113a923c4a6c2eba65fe02fdd920d44e8ad0b74,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,4.0,3.46,46.5,46.48,0
a4efdbb9108db82a42bed1f9723f66aebab5b5d5,0,1,1,0,0,28.5,7.48,9.0,4.12,17.5,5.83,33,65.5,11.4,27.0,7.28,609.5,77.91,34
2cb74f4c3471e3451783621d3bd54932bb06fb34,0,0,0,0,0,86.0,22.52,21.0,6.4,65.5,11.4,129,102.0,14.25,84.5,35.89,3424.5,1086.71,129
7c5e4561ea9981e45b1276525573dc44180acde9,0,1,1,0,0,3.0,2.24,2.0,1.73,8.5,4.0,15,7.5,3.74,2.0,1.73,25.0,16.25,16
f4d3a47acf3429d724197f19edecdb3c7e43563e,0,1,1,0,0,2.0,1.73,1.5,1.41,7.5,3.74,13,1.0,1.0,2.0,2.0,22.0,17.75,14
bde930bd260e98abae0cd31738bf42677c4aea6b,0,0,0,0,0,115.5,30.13,30.0,10.77,1.5,1.41,1,197.0,196.88,100.0,43.59,5209.5,1716.76,2
9f65cf7d725d2f1988fb7e22777688bedf6c4807,0,0,0,0,0,1.0,1.0,1.0,1.0,95.5,13.78,189,1.0,1.0,1.0,1.0,11.5,8.72,190
0a7704b6431247e36a44a19a07404f5569692054,0,1,1,0,0,15.5,5.48,5.5,3.16,2.5,2.0,3,13.0,5.0,12.5,4.9,227.0,36.78,4
df1a17e19565c350d69d8e30068cc6506a48911a,0,1,2,0,0,17.0,14.42,6.0,3.32,12.0,4.8,22,51.0,14.14,13.5,11.22,235.5,223.74,22
1b269e7b955aa3bd51e430dbb43125cdda7e3539,0,0,0,0,0,10.0,6.0,4.5,2.83,1.5,1.41,1,9.0,4.12,10.0,8.0,144.5,108.44,2
0c941c0bace201f8cf608854dae0ea590b482cd8,0,1,1,0,0,9.5,4.24,5.0,3.0,9.0,4.12,16,50.5,10.0,8.5,4.0,124.5,123.87,17
819df057210b5f50d15c6293b6781eadef3b9bf3,0,0,0,0,0,8.5,4.0,4.5,2.83,9.0,4.12,16,50.5,10.0,8.0,5.29,68.5,51.21,17
72600b57c7b295a8a278ee6e6fbe384328e5cb80,0,0,0,0,0,6.5,3.46,3.5,2.45,5.5,3.16,9,6.5,3.46,6.5,4.69,52.5,14.35,10
de420a646bbfe87345e59bec0fdbba4ed6ca1720,0,0,0,0,0,5.5,3.16,3.0,2.24,6.5,3.46,11,3.0,2.24,6.0,3.32,51.5,14.21,12
4dce11a6ef9aefc0edcd4f2bc45d5608cccbdfd2,0,0,0,0,0,4.5,2.83,2.5,2.0,3.0,2.24,4,1.5,1.41,5.5,3.16,50.5,14.07,5
81a5713d1e118522665b12605697636665c9927e,0,0,0,0,0,3.5,2.45,2.5,2.0,1.5,1.41,1,1.5,1.41,5.0,3.0,49.5,13.93,2
30a4e04aa2e4946d8d7e402ae6dee9a9980cee97,0,0,0,0,0,2.5,2.0,2.0,1.73,1.5,1.41,1,1.0,1.0,4.5,2.83,48.5,13.78,2
bc6e3e75990258a0b3f08ccbd020821957112015,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,4.0,2.65,47.5,16.61,1
6fdade4f65fb86f8d085c68fb3950799e7cf9e05,0,1,1,0,0,39.5,8.83,11.5,4.69,45.0,22.45,78,42.5,9.17,58.5,10.77,2523.5,212.94,78
cfa24e76c644231f0f220fb6e5320a53f16fa3cb,0,0,0,0,0,32.0,7.94,9.5,4.24,26.0,7.14,50,41.0,9.0,56.5,10.58,2498.5,99.95,51
1127dd0f003d53171ae7d6ab5d25650fd8da8720,1,1,1,1,1,37.5,14.7,10.5,4.47,1.0,1.0,0,78.5,78.46,60.5,30.07,2575.5,659.99,0
02aee15831d4340b0eb8a8b2b501f3f7260be7cd,0,0,0,0,0,5.5,5.48,2.5,2.0,8.5,4.0,15,13.5,5.1,7.0,6.71,1014.0,833.83,16
3f07f0bbf7dc8c6b0d3f3cdfba81c9a06b50e048,0,0,0,0,0,2.5,2.0,2.0,1.73,13.5,5.1,25,3.5,2.45,2.5,2.45,795.5,795.43,26
487a0b8ef3ce1124959282be85a838e9930440a3,0,0,0,0,0,1.5,1.41,1.5,1.41,3.5,2.45,5,3.5,2.45,1.5,1.41,392.5,39.57,6
65832b908ef1621216f5f4428142ebc0ed9c4aba,0,0,0,0,0,20.5,8.83,6.5,3.46,18.0,5.92,34,16.5,7.87,42.5,12.88,1255.0,223.16,35
40e410e2579c37d1676e01739ecd33855d396435,1,0,0,1,1,13.0,5.0,5.0,3.0,3.0,2.24,4,16.0,5.57,22.0,17.75,1028.0,487.61,5
6bd6139efa1cec0a83a8a21c274407581b794740,0,0,0,0,0,11.5,8.72,4.5,2.83,5.5,3.16,9,17.5,11.14,19.0,16.16,962.0,583.28,10
d4b9105d06fddfd0c53936b923306ce8e41c3e76,0,0,0,0,0,15.0,9.0,5.0,3.0,16.0,5.57,30,15.0,5.39,35.5,11.75,1080.5,997.42,31
a7b41ee15a233a2de3938909989e8147190d1d7e,1,1,1,1,1,13.0,5.0,4.5,2.83,15.0,5.39,28,12.5,4.9,35.0,11.66,748.0,195.5,29
04e141dd668d88fd38c42c4755b53948334f8e84,0,0,0,0,0,9.5,4.24,4.0,2.65,11.0,4.58,20,12.5,4.9,34.0,21.91,725.5,559.79,21
587977c2542087cfd8f8c1a815647b4bfe8cc52a,0,0,0,0,0,4.5,2.83,2.5,2.0,3.0,2.24,4,46.0,9.54,9.0,4.12,383.0,27.66,5
7752b5d2a704fd116c68b97a1c141bce5af14715,0,1,1,0,0,3.5,3.16,1.5,1.41,1.5,1.41,1,2.0,1.73,21.0,8.94,210.5,75.49,2
9d8ab54de5eaa12eff2964ff5c994ac3ffed1dcd,0,0,0,0,0,2.5,2.0,1.5,1.41,4.0,2.65,6,1.5,1.41,1.5,1.41,8.5,8.37,7
aed8ec3e85bc5d07638e46c5837c5ee0c7b7c056,0,0,0,0,0,1.5,1.41,1.5,1.41,1.5,1.41,1,1.5,1.41,1.0,1.0,5.0,4.0,2
f3818bc448e636d1837180b272ec0d84979e41a8,0,0,0,0,0,13.5,5.1,3.0,2.24,2.0,1.73,2,41.0,9.0,19.0,13.86,335.0,218.42,3
04c29a03c625f9c73608fa8ca7d0c9ffd2f4cbca,0,1,1,0,0,42.5,9.17,13.0,5.0,40.0,8.89,78,48.5,9.8,31.5,7.87,1958.5,62.58,78
cabc8eb33a11efd9a71e16d5c6e9af726b59d84f,0,1,1,0,0,20.5,6.32,6.5,3.46,16.5,5.66,31,18.5,6.0,13.5,9.59,168.0,81.33,32
b767a4c07588696827cfaaf0f04b4e991a02fca7,0,0,0,0,0,8.0,5.29,3.0,2.24,2.5,2.0,3,20.0,12.0,5.5,3.16,88.5,46.17,4
5ba3797845ba910dac8cbb49afbe9a11bc508d79,0,0,0,0,0,3.0,2.83,2.0,1.73,2.0,1.73,2,2.0,1.73,2.5,2.0,39.0,20.78,3
7682e9f05f1467f1786877987bf05a6d728a2ba6,0,1,1,0,0,8.5,4.0,3.5,2.45,4.0,3.87,2,17.0,5.74,4.5,4.24,71.0,70.94,2
a7d35ba6538ccb4bfe29994653ddb26a0994075b,0,1,1,0,0,13.5,8.49,4.5,2.83,16.5,5.66,31,16.5,5.66,8.0,3.87,68.0,33.81,32
