mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
89becb23d82f81fceb90f275a9ae944259321ee4,0,0,0,0,0,60.0,21.54,1.5,1.41,11.0,4.58,20,33.5,8.12,33.5,8.12,3307.0,512.8,21
2b6d173395b3c59d43950f8b349962eb0ffa14a0,1,1,2,3,5,45.0,18.55,1.0,1.0,2.0,1.73,2,23.5,21.02,27.5,17.15,3092.5,1138.01,3
e5ce4e41454da4a2d5d0ad5216fe4f66000a65c5,0,1,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,3.0,3.0,53.0,52.99,0
0ed69327a0e2ed75d731c9c24f7b8d333db58e02,1,1,2,1,1,6.5,4.69,1.0,1.0,1.0,1.0,0,2.5,2.45,13.5,11.22,368.5,196.88,0
759122f67ee211ec55e6a7fe0d4180ad9e54f233,0,1,1,0,0,4.0,2.65,1.0,1.0,1.0,1.0,0,1.0,1.0,6.5,6.0,64.0,63.62,1
e34b6d7eb81bf44149ad8f2527aa0537d6faf899,0,0,0,0,0,2.0,2.0,1.0,1.0,1.0,1.0,0,1.0,1.0,4.5,4.47,27.5,27.5,0
5d65c23c62f3f5e8dda05663b9ce51439f0bf0f9,0,1,1,0,0,3.0,2.83,2.0,2.0,9.0,8.77,4,1.0,1.0,2.0,2.0,9.5,9.49,4
fe0770482a7b0fa5b319faefc6d038e68801edee,0,1,1,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,1.0,1.0,4.5,4.47,0
28588a7ef66b5b5fd19c6b4e534ad0f28c78755f,0,0,0,0,0,2.0,2.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.5,1.41,14.0,14.0,0
5cfdcbe16eb7563c6c087c894c084dd1a2768016,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.5,1.41,33.0,26.98,1
8eccbe379b7e7802a294bc8df2ffb196769b39f3,1,1,1,1,1,46.5,22.85,1.5,1.41,1.5,1.41,1,39.0,24.92,76.5,27.2,5415.0,769.82,2
02d2e5a051ab4735e7614b48fc2847141b688996,0,1,1,0,0,2.5,2.0,1.0,1.0,1.0,1.0,0,1.0,1.0,2.0,1.73,15.0,10.2,0
a6765f8e389c0cd81e85247243d89035b3e2903c,1,1,1,1,1,11.0,7.55,1.0,1.0,1.0,1.0,0,25.5,7.07,22.0,11.09,2168.0,334.75,0
726fb82d3d739190eb918ab1563420c2c4a3ff82,1,1,2,6,7,55.5,34.47,3.5,2.45,24.0,6.86,46,24.0,9.59,96.5,77.5,4445.5,4405.84,47
2ad16272902c6f3beaee48f0ab0953f9c873ff39,0,0,0,0,0,2.5,2.0,1.0,1.0,5.0,3.0,8,1.0,1.0,3.0,2.24,27.5,17.15,9
5048a7837f97f451d0139f519ca9d4e51a50bc15,1,1,1,2,4,29.0,16.28,2.0,2.0,4.0,2.65,6,28.0,18.52,59.5,21.45,3204.0,580.36,7
050ec0efc4623415aae787b5233a6cd4f07ced23,1,1,3,3,6,38.0,34.47,3.0,2.24,23.0,6.71,44,15.5,10.39,41.5,38.08,2087.0,1957.02,45
3a4eb9e716b0f03e4abe5ec60d6978a52da100f8,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,4.0,3.87,32.5,31.08,0
7602eb9fc39c04a918ad6b1dffe4f3e38ce985a1,0,1,1,0,0,24.0,14.66,3.0,3.0,9.5,5.83,15,12.0,11.31,28.5,10.49,643.5,215.06,15
0d054dc0d9a9fe12257e7422356eb55a2fed1d6e,0,1,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,2.0,2.0,76.5,76.13,0
4fd028212d58213d46c81b4d22add010b655ecbf,1,1,2,3,5,11.5,4.69,1.0,1.0,8.0,3.87,14,2.5,2.0,20.0,19.36,1760.0,1410.99,15
486a3b99c001564e849bac6259a395bbec4ef1fe,0,1,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,4.0,3.87,0
e7fd2c4ac73e0eb892f67d83fa5ccc37bc7732b6,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,2.0,1.73,2.0,1.73,0
feb2062591905b4f159e03a4d2de05ef59611b87,0,1,1,0,0,5.5,4.24,2.0,1.73,7.0,3.61,12,7.0,3.61,8.5,5.48,109.5,82.06,13
856f8e577163b4fc7a8f51bdef63d164401ced98,0,0,0,0,0,3.0,2.24,2.0,1.73,4.0,2.65,6,3.0,2.24,6.5,3.46,86.5,18.49,7
763967bd792d4f41c109f522e7d1d60d14e17d2d,0,0,0,0,0,2.0,1.73,1.0,1.0,4.0,4.0,0,1.0,1.0,6.0,3.32,85.5,31.46,0
63a0e8047f33e20eab9afbe572043aa86a4a4d52,0,1,1,0,0,13.0,5.0,3.5,2.45,86.5,52.82,137,34.0,8.19,16.0,7.75,339.5,125.38,137
0a13c5f6e648faa6d0a626dbf3cac228996e2c05,0,1,1,0,0,1.5,1.41,1.5,1.41,8.0,3.87,14,1.0,1.0,2.0,1.73,91.0,32.5,15
c21d7f013fa5108ba7ecc3c7a33de0251aafc604,0,1,1,0,0,4.5,2.83,1.5,1.41,1.5,1.41,1,3.0,2.24,6.5,3.46,96.0,33.41,2
c9cc66801ec1793af66e5ae5ff50f4fc8b32ca1c,0,0,0,0,0,2.0,1.73,1.0,1.0,1.0,1.0,0,1.0,1.0,2.5,2.0,54.0,46.77,0
6e09fefaf56cdbdf447ad53b3263fd836f5780dd,0,0,0,0,0,1.5,1.41,1.5,1.41,2.0,1.73,2,1.5,1.41,1.0,1.0,17.0,8.0,3
ce0a71acf036c2b0d6934eebf60be94cd40f1eef,1,1,3,2,2,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,20.5,20.35,1726.0,1491.28,0
27d70582c2b1f31ef97224b14caf9454ec4cf741,0,0,0,0,0,3.0,2.83,1.5,1.41,1.0,1.0,0,25.0,7.0,3.0,2.24,15.5,9.17,0
b08fa39d4a45a3b9321911d88b657fa50d01d816,1,0,0,1,1,23.5,6.78,4.0,2.65,27.5,17.15,43,174.5,18.65,53.5,10.3,2629.0,72.51,43
2201f95df96dd15247d4b5dfc4fd297e1f54e0c3,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,14.5,7.35,1
ae81717f00fdc1c9d247dbcde31e6dd931ec3364,0,0,0,0,0,3.0,3.0,1.5,1.41,1.0,1.0,0,1.0,1.0,2.5,2.0,55.5,52.33,0
6fa0032a3284b577e1c26fd42ff6339bb0752ce7,0,1,1,0,0,10.0,4.36,2.5,2.0,1.5,1.41,1,164.0,18.08,4.0,3.46,78.0,66.36,2
b4edd9ab81e80a0c3b02fc86312a90203766efd1,1,0,0,1,1,86.0,28.9,11.0,4.58,154.5,17.55,307,225.5,90.6,33.5,11.4,2484.0,655.32,308
14e2c9e5c8c62b38e9e5e0e0eaa3a4eed160d160,0,0,0,0,0,4.0,2.65,2.0,1.73,1.5,1.41,1,54.5,10.39,1.5,1.41,13.0,8.31,2
