mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
29f493f7c1e0221129145f609b22d970db3e8a9a,1,0,0,2,2,7.5,5.1,4.5,2.83,1.5,1.41,1,147.0,17.12,14.5,8.83,396.5,198.04,2
bbc7db2edc6c70d62e2c795f9c454153d5efb86d,0,0,0,0,0,8.0,6.24,4.5,4.24,1.0,1.0,0,219.0,206.48,14.0,8.66,377.0,154.25,1
6015e9c3602cc3900161789da930730dac7ebf01,1,0,0,1,1,23.0,9.38,7.0,4.9,148.0,96.75,224,140.0,89.08,17.0,8.0,289.5,134.23,224
4fae43b9a1a56c67cf98eb1a550593c5226b1458,0,0,0,0,0,6.5,3.46,3.5,2.45,21.0,6.4,40,73.5,12.08,13.0,6.93,361.0,65.54,41
643e8401b68d26350e0142875a36357feeae789a,0,0,0,0,0,16.5,5.66,6.0,3.32,63.5,11.22,125,87.5,13.19,20.5,8.83,492.5,290.77,126
7da7598291f0fbc4cad877383fc1488b0d5fae04,0,0,0,0,0,9.0,5.66,3.0,2.24,73.5,12.08,145,79.0,12.53,14.0,13.08,356.0,256.37,146
03ba898db36e65dcd2057cd5be0ae1f84d03103f,0,0,0,0,0,4.0,2.65,1.5,1.41,56.0,39.19,80,7.5,3.74,3.0,2.24,45.5,13.34,80
4268ea808ab1bf435dd57d7c1fa853fbd5acceb7,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,4.5,4.24,12.0,10.91,0
6da21af5ae5f87c8236a6a20f23a0dd6fac73b12,0,0,0,0,0,4.5,2.83,2.5,2.0,8.5,4.0,15,8.0,3.87,6.5,6.0,56.5,34.81,15
0f049e4677631288ec08dce38ef7706fe475b83f,0,0,0,0,0,3.5,3.16,1.5,1.41,1.0,1.0,0,1.0,1.0,3.5,3.16,78.0,75.12,0
3ce2750534ae41d630665cc5aad1914774f2a8a3,0,0,0,0,0,7.5,3.74,5.0,3.0,1.0,1.0,0,24.0,6.86,5.0,3.0,22.5,19.9,0
a6357e4d8906bf1d4afeae6e146d0707e7895311,0,0,0,0,0,2.5,2.0,2.0,1.73,1.5,1.41,1,4.5,2.83,2.5,2.45,5.0,4.9,1
3f544ba04b96a58166cd7f79564c8d81b05a4585,0,0,0,0,0,1.5,1.41,1.0,1.0,10.0,9.54,6,2.0,1.73,1.0,1.0,3.0,2.83,6
8c9f2150a2479cdeffcb31989b84503b78e9b5ed,0,0,0,0,0,1.5,1.41,1.5,1.41,12.5,12.41,3,2.0,1.73,2.0,1.73,17.0,17.0,3
8121802f52f8e012c3543bab1b82b1e3d0209e5b,0,0,0,0,0,8.0,3.87,3.0,2.24,39.5,38.57,17,107.5,14.63,5.5,4.24,70.0,25.98,17
55d1152a71062ca4982c0ea15fda3e76baa72911,0,0,0,0,0,4.0,2.65,2.5,2.0,41.5,21.49,71,104.0,14.39,6.5,3.46,80.5,12.65,71
803cf465c7cffc1a2c36a1a89abbba14964c57f0,0,0,0,0,0,2.5,2.0,1.5,1.41,35.5,27.46,45,74.0,12.12,6.0,5.92,78.0,75.89,45
55ddbad52c8c4db3cb1a2e206394f44c53e543d8,1,0,0,1,1,14.5,7.35,3.5,2.45,97.5,80.85,109,132.0,39.34,15.0,12.0,310.0,199.83,109
e1d27a6250dc62c5bf499537ff210b29902209c7,0,0,0,0,0,7.0,5.74,3.0,2.24,57.5,10.68,113,60.5,10.95,7.5,7.07,184.0,181.2,114
19109b98bcc21b0598d7bc5833d552fba0b1866b,1,1,1,4,7,4.0,2.65,2.5,2.0,15.5,5.48,29,60.5,10.95,7.5,7.07,78.5,67.25,30
f829ae543c76f9f04a305ab4876ea5cf0f1ddf6a,1,1,1,1,2,3.0,2.24,2.0,1.73,24.5,6.93,47,60.5,10.95,3.5,3.16,19.0,17.23,48
95d751a7ce9694d02ca406bb3709c681d5c198b9,0,0,0,0,0,2.0,2.0,1.5,1.41,60.5,10.95,119,18.0,5.92,1.5,1.41,5.5,4.24,120
d547eebd16dc8f3ceb36594271268decaa879a39,0,0,0,0,0,17.5,9.8,8.0,3.87,217.0,179.46,244,249.5,249.5,10.0,4.36,172.0,26.15,244
b3f849e0fbec9a1c9e52d43cee480570f11f8fd3,0,0,0,0,0,9.0,4.12,5.0,3.0,52.5,10.2,103,43.5,9.27,6.5,3.46,105.0,20.4,103
