mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
ccc88dadddba3900b8b18ce83eb6b24e05efef96,0,0,0,0,0,3.5,2.45,1.5,1.41,1.0,1.0,0,2.5,2.0,3.0,2.24,72.5,58.0,0
a1cbefd38148302579a57869ddc3ded4923dd360,0,1,1,0,0,3.5,3.16,1.5,1.41,1.0,1.0,0,3.5,3.46,3.5,3.16,59.5,18.65,0
4b1b4b7c2a9201aad902a3acf2505d6714e62d41,0,0,0,0,0,14.0,5.2,3.5,2.45,1.0,1.0,0,11.5,4.69,16.0,5.57,257.5,39.19,1
68690ca0db8c0fb9b34a250ff591d6ada5196bf1,0,1,1,0,0,12.0,4.8,2.5,2.0,17.5,17.49,1,3.0,2.24,14.5,5.29,248.0,54.22,1
09afa29d14d9e0e3af1e074526f0c2bb9bf54eed,0,1,1,0,0,2.0,2.0,1.5,1.41,2.5,2.0,3,2.5,2.0,1.5,1.41,30.0,28.91,4
a495b0f538bbb1702fa37dfe05f1bc276d422ea0,0,1,1,0,0,2.0,2.0,1.5,1.41,1.0,1.0,0,260.5,150.68,2.0,2.0,101.5,84.98,0
7ebf51fd891be2d61a985b311f704178300ecaf1,0,1,1,0,0,16.0,5.57,3.0,2.24,26.5,15.49,43,86.5,13.11,23.0,9.38,3309.5,1007.24,43
2f71e7cc458470d627d2be3234ee5415d66af274,1,1,1,1,1,6.5,4.69,2.5,2.45,22.5,6.63,43,77.5,12.41,4.0,2.65,41.5,21.49,44
c7fc29eae8790b8ca4b078d1ec2c811e2c2ef87b,0,0,0,0,0,4.5,3.74,1.5,1.41,34.0,8.19,66,105.0,98.99,2.5,2.0,34.5,25.26,67
85e6462abbcdaf6b1cfdfa57ba796e96f8e16fbf,0,0,0,0,0,7.0,3.61,2.0,1.73,132.5,132.29,15,71.5,11.92,4.5,2.83,23.5,19.9,15
4930b31187dfdeb1d87d9bab25f273e782da5f95,1,1,1,1,1,5.5,5.29,1.5,1.41,57.5,57.5,1,77.5,42.97,4.0,4.0,25.5,22.76,1
e9fdcb00a5b8151646637e9ae5094eb743f34e05,0,0,0,0,0,20.0,8.72,4.5,3.74,31.0,7.81,60,119.5,113.13,16.0,5.57,708.0,53.18,61
8c051ca09879a2067abef549194dc85e71f810bf,0,0,0,0,0,14.0,7.21,2.5,2.0,38.0,30.25,46,56.0,10.54,9.5,5.83,83.0,30.98,46
e73fe22d941696e2b356ca11790d06a152f102eb,0,1,1,0,0,10.5,4.47,2.0,1.73,14.0,5.2,26,23.5,6.78,8.5,5.48,63.5,38.5,27
bfb900c28a8de5e787742a6f42c978988f6ccebf,0,1,2,0,0,8.5,8.49,2.5,2.0,1.0,1.0,0,35.5,8.37,12.0,11.62,664.0,298.74,0
17fa48a24fc2188f17876891f94bc65869fba4c7,0,0,0,0,0,4.0,2.65,2.5,2.0,33.0,8.06,64,43.0,9.22,8.0,3.87,633.0,179.56,65
f4b882a364b7787ec8f9135a522ed32dd833facf,0,1,1,0,0,2.0,2.0,1.5,1.41,43.0,42.71,10,24.0,6.86,6.0,3.32,504.0,94.82,10
4fc68d5994ab411c9d707bd1569cefcf7205325e,0,1,1,0,0,1.5,1.41,1.5,1.41,30.0,24.72,34,10.0,4.36,2.0,1.73,120.5,45.69,34
2dea63bcc6678108f3f3c501ba491e86857e068a,0,1,2,0,0,3.0,2.24,1.5,1.41,3.0,2.24,4,1.0,1.0,2.5,2.45,73.5,59.97,5
3976f5fab369e185617c85f1c13e696cc80043a0,0,1,2,0,0,22.0,19.6,6.0,4.47,8.0,3.87,14,141.0,43.87,10.5,10.2,320.0,317.74,15
428c7c1ad2f9c9f5689986790b5d1f66fa8d105c,0,1,1,0,0,54.5,14.63,11.5,6.48,138.0,16.58,274,138.0,16.58,38.0,12.17,3593.5,1053.84,275
449b8370cab2af99758f88ab1c35f7585d907001,0,1,1,0,0,13.0,5.0,4.0,2.65,46.0,9.54,90,44.5,9.38,5.5,3.16,98.0,19.7,91
e4a4faa12a5c89a7e6ad2f30debc61e679bee0f4,0,0,0,0,0,11.5,4.69,3.5,2.45,44.5,9.38,87,37.5,8.6,5.5,3.16,96.5,27.5,88
a6fd42ecb09d96a4569c3d8f6f74410646025002,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,37.5,8.6,1.0,1.0,7.5,3.74,0
cb1554838de4a2aa8311bf8d38f296914793a01b,0,0,0,0,0,9.5,4.24,3.5,2.45,37.5,8.6,73,37.5,8.6,5.0,3.0,94.0,49.36,74
1d2a5244b1d09bcb82f542bc63ae7a294532ff75,0,0,0,0,0,8.5,4.0,3.0,2.24,37.5,8.6,73,29.5,7.62,4.5,2.83,87.0,63.94,74
011536d0a516abd92b00e5f756abda5372c8b37d,1,1,1,1,1,3.5,3.16,1.5,1.41,1.0,1.0,0,5.5,5.48,3.0,2.83,26.5,24.74,0
b821d0c83f16ba270884766e6661a8d8f2e02e56,0,1,1,0,0,2.5,2.45,2.0,1.73,1.0,1.0,0,6.0,3.32,4.0,3.46,31.0,22.8,0
df94fce6645b4bf8d4d9b8cd414ca8226b5a4779,0,0,0,0,0,2.0,1.73,1.5,1.41,1.0,1.0,0,4.0,2.65,2.0,2.0,7.5,7.07,0
254b323c6917e5ac1adad4a861919afe5ce0ec00,0,1,1,0,0,3.0,2.83,2.0,2.0,4.0,2.65,6,5.5,5.29,5.0,4.9,33.0,26.98,7
c30294f46e800fd3a8109c553de6c4cb08f8dbf0,0,0,0,0,0,1.5,1.41,1.5,1.41,4.0,2.65,6,1.0,1.0,2.0,2.0,7.0,6.71,7
3fe41f8cee9dd8bd750caa272525cfdd5d2aebe0,0,1,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,2.0,2.0,0
13fddfa22a6d3ea02b744f4dd3de45374fff9dc1,0,0,0,0,0,8.0,3.87,2.5,2.0,8.0,3.87,14,5.5,3.16,7.0,3.61,87.0,18.55,15
83f61f8ab71c7c81e5ad8f4b6f8a76b5728b2ae8,0,1,1,0,0,6.0,4.47,2.0,2.0,1.0,1.0,0,7.0,7.0,6.0,3.32,85.0,38.07,0
fc3cc2738a0329ad521d7fb791d0a5e211b88930,0,0,0,0,0,45.0,13.27,6.5,4.69,18.5,6.0,35,187.0,19.31,43.0,9.22,3773.5,173.7,36
8236e86dbbb975f5cdb137353b39c200af9a9dc0,0,1,2,0,0,8.5,5.48,1.5,1.41,27.0,7.28,52,17.5,5.83,29.5,10.68,3123.5,539.81,53
53937129153b0ab6afc4a34d9f33f3eb9d6a4fed,0,1,1,0,0,25.5,9.9,3.5,2.45,1.0,1.0,0,165.0,87.32,20.0,8.72,571.5,458.99,0
667855e9edab74a5d7435f0e02ac4443e0285496,1,1,1,1,1,14.5,5.29,2.0,1.73,7.5,3.74,13,98.5,14.0,12.5,8.12,253.5,235.63,14
50a469271ac9c7bba6a8efa1c73ed7301935d959,1,1,1,1,1,3.0,3.0,1.0,1.0,1.0,1.0,0,1.0,1.0,5.5,4.9,39.0,28.14,1
2c8af462cfc86f7ad3d8c0700707cfae350fdefb,0,0,0,0,0,7.5,3.74,2.0,1.73,5.0,3.0,8,94.5,13.71,3.0,2.83,87.0,48.84,9
0b08f546a24eeb905cebcf6dfa63b403306ca88c,0,1,1,0,0,6.0,3.32,1.5,1.41,1.0,1.0,0,94.5,13.71,3.0,2.83,79.0,56.71,1
16d3cc84432a904b8e761e0852719f031e5508ef,1,1,1,1,1,29.5,22.14,5.0,3.0,20.5,16.97,23,222.0,211.96,42.0,17.89,1479.0,615.16,23
d113194c122b7c23bc5f57be11d855b32e9c48ee,1,0,0,1,1,47.0,9.64,7.5,3.74,144.5,16.97,287,131.0,16.16,51.5,22.14,1796.5,315.94,288
620248bafcf54774f4c0f0c62c7a04349d016399,0,1,1,0,0,30.0,10.77,5.5,3.16,48.5,9.8,95,88.5,34.5,36.5,8.49,1383.5,295.84,96
e5b6c8cb86a44f4c7cd9af9efd3901b8d217dace,0,0,0,0,0,3.0,2.83,1.5,1.41,21.0,20.98,2,4.0,2.65,3.0,2.24,10.0,6.0,2
b2beb84b9b31896cbdaf3b0f1e28830d6800f6ac,0,1,1,0,0,20.5,8.83,4.0,2.65,71.5,11.92,141,63.5,11.22,11.0,8.49,110.0,61.8,142
