mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
6fa3ecfce184ad7132a3a5da431a1d6dd53441f0,0,0,0,0,0,1.5,1.41,1.0,1.0,2.5,2.0,3,1.0,1.0,2.0,2.0,9.5,9.17,4
41520ede0789e37e31ec143925dd644840dff74d,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,3.0,2.83,1
e2029b46a03e48607b84ae0f62ecfcccc10c3aee,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,5.0,3.0,1.0,1.0,2.0,2.0,1
d24ddec33eb74e976673ed94c1edf888b794909f,0,0,0,0,0,2.5,2.0,1.5,1.41,8.0,7.94,2,11.0,4.58,3.0,2.24,23.5,9.49,2
f5af6de7f2d001d92c913503827a2e7ae3804a08,0,1,1,0,0,12.0,4.8,3.0,2.24,11.0,4.58,20,16.0,5.57,8.5,5.48,96.5,66.95,21
303b3083fc548e600a0d79150c135fe01d9bf65b,0,0,0,0,0,3.0,2.24,2.0,1.73,6.0,5.66,4,2.5,2.0,2.5,2.45,16.0,15.87,4
552666032016a2c8158e9ac9524e30a54567c4c8,0,0,0,0,0,1.5,1.41,1.5,1.41,2.0,1.73,2,1.0,1.0,1.0,1.0,2.0,2.0,3
72678c516515120e8de884291b2d7164635297d2,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,4.0,3.46,0
e951f830e178c962899256239074bc7ba8e03985,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,16.5,5.66,3.0,3.0,55.5,55.32,0
d2a82de6d866d7949eee7ae368a1fb1b237e8412,0,1,1,0,0,10.5,4.47,3.5,2.45,16.5,5.66,31,15.5,5.48,22.5,11.22,928.0,328.27,32
632a5d4883a2a2ac87bec2d3ba970c7232a6c043,0,0,0,0,0,1.5,1.41,1.5,1.41,4.5,2.83,7,2.5,2.0,1.0,1.0,10.0,6.0,8
0bbe355cfd2963424f9084a2e31b5f59ca073a8f,0,0,0,0,0,2.5,2.0,2.0,1.73,2.5,2.0,3,6.5,3.46,3.5,2.45,37.5,12.08,4
07b1454525502e4cb48bdd3e34c16ec28a95f2f5,0,0,0,0,0,1.5,1.41,1.5,1.41,2.5,2.0,3,6.0,3.32,3.0,2.24,36.5,11.92,3
01fb8526d0ec576ec288f3ecfb4a591e1737573a,0,0,0,0,0,3.5,2.45,2.5,2.0,7.5,6.63,7,5.5,3.16,19.5,13.04,873.0,344.86,7
9e86d8710656ef965c354630b97e2f1aec5cd007,0,0,0,0,0,1.0,1.0,1.0,1.0,2.0,1.73,2,1.0,1.0,1.0,1.0,2.5,2.45,3
bbb31690bd6c0ff384d52de5be673bf86e2da3a1,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,2.0,1.73,1.5,1.41,29.0,10.58,1
f82cd6b81d7e90eac19fcab2c1b797eb0e4a1c5e,0,0,0,0,0,1.0,1.0,1.0,1.0,1.5,1.41,1,1.0,1.0,2.5,2.0,66.5,16.19,1
dead3b1488b8b85315c9c5f9511061d283962c71,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,1.5,1.41,5.5,5.29,0
d68cc8b11f9a8d9dda3315707f8ae81cad10c0ed,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,13.0,5.0,61.5,15.56,1
9e3b83b3c8a5d8c2cba38c0c2a561a709bba2cbf,0,0,0,0,0,11.5,6.48,4.0,2.65,14.0,5.2,26,14.0,5.2,5.5,4.9,80.5,80.37,27
6403abb819da8d4e910385ee2a33715242834807,0,0,0,0,0,7.0,3.61,3.0,2.24,10.5,4.47,19,7.5,3.74,3.0,3.0,30.5,28.64,20
3f6318f79cb3aedffade02f5a047d80f20a810f9,0,0,0,0,0,1.5,1.41,1.5,1.41,2.5,2.0,3,2.0,1.73,1.0,1.0,2.0,2.0,3
fc448a7e8b5b87420c3a81406a41e4ce23c47505,0,0,0,0,0,2.5,2.0,1.5,1.41,1.0,1.0,0,5.0,3.0,1.0,1.0,3.0,2.83,0
4d2c7276f34105a04d7a3715b8dc96371f7998b3,0,0,0,0,0,1.5,1.41,1.5,1.41,2.0,1.73,2,5.0,3.0,1.0,1.0,2.0,2.0,3
8d57d303c60a70eb54ee90b120e75b1d177cd33f,0,0,0,0,0,1.5,1.41,1.0,1.0,6.0,5.2,6,1.0,1.0,1.5,1.41,5.0,4.0,6
