mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
6ed191a1fd3f8d283e5873f452cb2136c5afe3fd,0,0,0,0,0,8.0,8.0,2.0,2.0,1.0,1.0,0,10.0,10.0,1.5,1.41,21.0,21.0,0
ebf610fd5a26860c656705fd671d7567f4d4b420,0,0,0,0,0,4.0,2.65,1.5,1.41,1.0,1.0,0,5.0,3.0,1.0,1.0,14.0,12.12,1
fe087c5bcf85697a9858e25b7b1e47538fcc17b7,1,1,1,1,1,75.5,29.5,1.5,1.41,1.0,1.0,0,35.5,23.62,65.0,19.52,2654.0,333.21,0
3e53c47a7ce3ca7d780c68f5dbb6b52f5633b9b3,1,1,2,6,32,84.0,60.76,1.5,1.41,16.0,14.39,14,26.5,23.37,74.0,50.6,2712.0,968.95,14
73dcf63df6effd9894e6d119a3cdea94f432e7be,0,0,0,0,0,3.0,2.24,1.5,1.41,9.0,9.0,0,1.0,1.0,1.5,1.41,10.5,10.49,0
178adcc8ca2dd53499fd4817512dd392030ea218,0,1,1,0,0,13.0,6.93,1.5,1.41,1.0,1.0,0,3.5,2.45,10.5,6.16,92.5,41.83,0
57db528f9e6363d4d5438f1c6313f4c9f841b0b4,0,1,1,0,0,9.0,8.06,1.5,1.41,3.0,2.24,4,1.0,1.0,6.5,4.69,67.5,25.5,5
b1bb0b821004e7e9d2a399bb62369f38897e4143,0,1,1,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,1.0,1.0,2.5,2.0,0
66d012607dc25d3e9c6bc40daaf3b3e9a4d55830,1,1,1,1,1,75.0,37.42,1.0,1.0,1.0,1.0,0,24.0,15.87,66.5,25.3,2637.5,422.13,0
5bea7a087d0c78dd0031b2a99f38beae7a8cc5ec,0,1,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,2.0,1.73,7.0,4.9,0
3aed7e3eb6fe4db1de74833984c10a953516b038,0,0,0,0,0,1.5,1.41,1.5,1.41,1.5,1.41,1,1.0,1.0,4.0,3.87,7.5,6.63,2
44613ec958b54218e1849cfed75316566943df59,1,1,1,1,1,65.0,11.36,1.0,1.0,1.0,1.0,0,17.5,5.83,66.0,25.2,2586.0,238.27,0
6a5a4c7e0cfab33870f7ed105aa192f9ff601f23,1,1,1,3,3,66.0,39.33,1.0,1.0,1.0,1.0,0,18.0,9.95,68.0,33.81,2513.5,741.94,1
cdae85ad43cb0290c5654968795640cfb5b44924,0,0,0,0,0,5.5,4.9,1.0,1.0,1.0,1.0,0,17.5,8.12,3.5,3.46,23.0,14.32,0
c032a1f28c305ee2dad083f14297b52ef460187b,0,0,0,0,0,18.0,5.92,1.5,1.41,1.0,1.0,0,18.5,6.0,28.0,7.42,321.5,25.34,1
5a015c371a8d43d01a11338efcc743bacc3e86d3,1,1,2,1,1,77.5,60.45,1.0,1.0,1.0,1.0,0,34.0,34.0,77.0,59.4,2894.5,1637.91,0
f503748d9bffe0d510bab97704f8cfae7879e8a2,1,1,1,1,22,13.5,9.59,1.0,1.0,1.0,1.0,0,33.0,32.98,14.5,8.83,254.0,125.2,0
c8a84eede2e3d9a807e00d6b46d8db5e3ed54723,1,1,1,1,22,8.0,6.24,1.5,1.41,1.0,1.0,0,33.0,32.94,17.5,9.8,100.0,74.24,0
bbac86e3eba31537656fd5419461416be6e77f5b,0,1,1,0,0,14.0,12.12,1.5,1.41,1.0,1.0,0,17.0,5.74,15.0,10.2,247.5,97.47,0
e73237b91cd8fd52cf050ae5f97063bda618727e,0,1,2,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,4.5,4.24,33.5,32.86,0
6c8af48d61b2bbbb2365f635ba1086ffc6c3fc1c,1,1,3,1,22,64.5,38.83,1.5,1.41,1.0,1.0,0,34.5,34.5,84.0,65.97,2452.0,889.43,1
69eb0925d788ad011d0c3fb305a72abc22240944,0,1,1,0,0,5.5,5.48,1.0,1.0,1.0,1.0,0,18.0,5.92,16.0,10.58,83.5,54.22,1
138619bb1a5331cb69361b6d52baa9ea4e71efba,0,1,1,0,0,1.0,1.0,1.0,1.0,31.0,31.0,0,1.0,1.0,2.5,2.45,16.5,16.49,0
f78784955a659c307272d9c0e9ed97131beca700,1,1,2,1,1,16.5,16.43,1.5,1.41,16.5,5.66,31,61.0,11.0,27.5,27.39,314.5,281.37,32
9658654aed400f086c16d269c4eba8bcbb11eea0,0,1,1,0,0,2.5,2.45,1.5,1.41,22.0,19.6,20,3.5,3.46,14.0,5.2,74.0,29.19,20
