mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
5dd4c2c34600268eb652c36ed4fc22052e80793e,0,1,1,0,0,3.0,2.83,1.0,1.0,1.0,1.0,0,1.0,1.0,4.0,3.46,37.0,24.19,0
69942eaca1de30f22f46a1963109d173aaf81213,0,1,1,0,0,17.0,8.0,2.0,2.0,1.0,1.0,0,234.0,230.56,16.0,5.57,861.0,58.65,0
4216c4180619b4088d310c0702dcfbd737e8f797,0,1,1,0,0,14.0,5.2,5.0,3.0,116.5,86.98,155,69.5,11.75,10.5,4.47,139.0,23.49,155
9c2a243bed8c280419d91db4b48ceb417c7cedba,1,1,1,2,3,9.0,8.06,2.5,2.45,44.0,9.33,86,97.5,83.4,9.0,5.66,439.5,66.11,87
60c60b264ff2b7f7acf9acaab423bb22e8cb61fb,0,1,1,0,0,2.0,2.0,1.5,1.41,24.0,6.86,46,8.0,3.87,1.0,1.0,2.5,2.45,47
b5b416d5ac0ad78248b68f80da95879bd0e16b4c,1,1,1,9,36,36.5,21.49,7.0,3.61,77.0,39.66,132,141.0,33.35,26.5,24.33,1058.0,977.0,132
2ace4b8392cb356566d0852b12f2120d7d352719,0,1,1,0,0,5.5,4.9,2.0,1.73,15.5,9.17,25,15.5,5.48,6.5,5.48,31.0,30.59,25
5b537747ad049c28e604fae254309c10045a7e72,0,1,1,0,0,3.5,2.45,2.0,1.73,3.0,2.24,4,15.5,5.48,5.0,4.9,18.0,18.0,5
78dec157c933d4022c5f274171a0738509fcec6d,0,1,1,0,0,2.5,2.0,2.0,1.73,3.0,2.24,4,15.5,5.48,2.5,2.0,9.0,7.48,5
9db8f1b957aec35c64b76fd58321a18f0f007bb5,0,0,0,0,0,2.5,2.0,2.0,1.73,27.5,27.39,5,1.0,1.0,1.5,1.41,11.0,6.32,5
f9e52c6a7969291c87e7829cfd524976660843b0,0,0,0,0,0,3.5,3.16,2.0,1.73,13.0,5.0,24,19.5,6.16,5.5,3.16,44.5,30.4,25
c106f8385b6ae8c3bb90adfbe64ae3413ef3f694,0,0,0,0,0,2.0,1.73,1.5,1.41,19.5,6.16,37,11.0,4.58,5.0,4.0,38.5,29.7,38
abe8e3c90a24272811aac191228d96a19ca9949a,0,1,1,0,0,5.0,3.0,2.0,1.73,4.0,4.0,0,74.0,12.12,3.0,2.24,98.5,33.85,0
a20b288acb36b0a4694081dcba39ecd2bf895d1b,0,1,1,0,0,6.5,6.32,2.0,2.0,1.0,1.0,0,72.5,12.0,7.5,7.07,155.5,155.27,0
1ca4707cf3b53d1abe33ae74694ad068bfe5cda2,0,1,1,0,0,3.0,2.83,1.5,1.41,1.0,1.0,0,1.0,1.0,5.5,5.48,72.5,34.99,0
ce47378138f7d5b87481057b1e098825fd09d68e,1,1,1,2,2,27.5,10.3,6.0,4.47,1.0,1.0,0,225.0,209.91,16.5,10.77,772.5,427.39,0
b9960718d670c27f64df99597b9d74e8e251d6ba,0,0,0,0,0,2.5,2.0,2.0,1.73,2.5,2.0,3,2.5,2.0,1.5,1.41,6.5,4.69,4
295502684ef7e2ac22dc48a83d3aa4d0e113b416,0,0,0,0,0,4.0,2.65,2.0,1.73,2.5,2.0,3,20.5,6.32,6.5,3.46,123.5,22.14,4
75a7774fc6e764fba62fac3cb78f9b8f57d6f61d,0,0,0,0,0,2.0,1.73,1.5,1.41,1.0,1.0,0,6.5,3.46,2.5,2.45,8.5,8.49,0
2506c396de8c3aa66473be9720184a2ab8263e34,0,1,1,0,0,7.0,6.93,1.5,1.41,1.0,1.0,0,1.0,1.0,8.5,8.37,351.0,348.83,0
359deba116beaa9e1b3167ff5032ff681c3c2666,0,1,1,0,0,3.5,2.45,1.5,1.41,1.0,1.0,0,1.0,1.0,4.5,4.24,156.0,130.81,0
d99ad10f528a6452dc18eb3fe5a196bc6e5ef131,0,1,1,0,0,2.5,2.0,1.5,1.41,1.0,1.0,0,1.0,1.0,3.0,3.0,120.5,93.1,0
150d6d253c22c124a21bb09c1b12cf0033023ef1,0,1,1,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,1.5,1.41,98.5,43.24,0
dfd57c398305703b96691cda3408df5186b2e714,0,1,1,0,0,1.5,1.41,1.5,1.41,12.0,12.0,0,1.0,1.0,1.5,1.41,31.0,25.92,0
ee0a73201f83de5106d83d0320dc97d2fede51bd,0,1,1,0,0,39.5,8.83,5.0,3.0,71.5,23.58,135,67.5,11.58,24.0,6.86,1226.0,220.54,135
1e986eaff5ea3b7b17218cd807f83d7c01d189ff,0,1,1,0,0,5.5,3.16,2.5,2.0,4.0,2.65,6,4.0,2.65,4.0,3.46,41.0,39.76,7
