mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
33747ea5536861bf6a45fd9272f359e531fa39a2,0,1,1,0,0,1.5,1.41,1.5,1.41,4.5,4.24,3,2.0,1.73,2.5,2.45,31.0,28.14,3
89a0291e29afd0bec35c73e123e75027ee3f1e00,0,0,0,0,0,3.0,2.24,1.5,1.41,2.0,1.73,2,2.0,1.73,4.5,4.47,115.0,114.56,3
ac5f95489ad466bd92378043dffe3978bc96efc8,0,0,0,0,0,2.0,1.73,1.5,1.41,2.0,2.0,0,1.0,1.0,2.5,2.0,62.5,56.12,0
72bb1425985e747fa6768bafc42a034f1b048698,0,1,1,0,0,2.5,2.0,1.5,1.41,1.0,1.0,0,1.0,1.0,2.5,2.45,25.0,17.35,0
6bdd47a7effaa4b00b4d1756cbf70e7e15401cea,0,0,0,0,0,1.5,1.41,1.5,1.41,3.5,3.46,1,1.0,1.0,1.0,1.0,31.0,30.2,1
c938427200f9d9e9a19dedf1cd39deb93246f63a,1,1,1,1,1,7.5,6.0,1.5,1.41,1.0,1.0,0,2.0,1.73,6.5,6.0,282.0,196.77,1
3215bd0923318f5303cbe7aa8f7146c6df948024,0,1,1,0,0,11.0,4.58,3.5,2.45,28.0,7.42,54,103.5,14.35,4.5,3.74,70.5,30.63,54
9b2bf867d1e7941f602dfa473911fdc2779d117e,0,1,1,0,0,9.0,8.49,3.5,3.46,1.5,1.41,1,122.5,116.29,3.5,3.16,39.0,30.74,2
cbe1cae21d29c338908f4769a19ada06aae00af5,0,1,1,0,0,12.5,6.78,4.5,2.83,30.0,7.68,58,153.5,17.49,4.0,3.46,97.0,71.08,58
7af338f9e9589f973101665a6dba21c1cbb109c9,0,1,1,0,0,1.5,1.41,1.0,1.0,4.0,3.87,2,1.0,1.0,1.5,1.41,4.5,3.74,2
