mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
606d054226148714e41be638d182ad4ac99f68f9,0,1,1,0,0,311.0,24.92,71.5,11.92,809.5,40.22,1617,1033.5,45.45,118.5,15.36,11737.5,216.67,1618
4cf9ed3ac0401c8bb33739f9d7088e3c3b86075c,0,0,0,0,0,322.0,25.36,74.0,12.12,872.0,41.75,1742,1033.5,45.45,118.0,15.33,12009.5,789.82,1743
8456e5172b14e5aff95a16bacd0f5cb4be8b6558,0,0,0,0,0,391.0,27.95,84.5,12.96,999.0,44.69,1996,1033.5,45.45,121.5,15.56,15511.0,249.08,1997
e84bfd79bf15e764a8b4369810bb3b0564843c9c,0,1,2,0,0,394.0,28.05,84.0,12.92,1033.5,45.45,2065,1029.5,45.37,122.0,22.0,15726.0,792.87,2066
baa5d2a29f8220bc8da9d4cf115a885cd03df54b,0,0,0,0,0,2.5,2.0,1.5,1.41,10.0,4.36,18,1.0,1.0,3.5,2.45,6.0,4.47,18
c1982330155871fc399f8e1c083f87332138f4cb,0,1,1,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,3.0,2.83,5.0,4.0,0
604e4ac97046773625c99ae43dd1c1df1b4d39af,0,1,2,0,0,4.0,4.0,2.5,2.45,2.0,1.73,2,5.5,5.29,5.0,5.0,99.0,85.45,2
2995b16ef8d856828fb8a589769d068a6195af21,0,0,0,0,0,3.0,2.24,1.0,1.0,1.0,1.0,0,1.0,1.0,2.5,2.45,48.0,23.24,0
5cefb5d6756bc1f92c5fcb86df36c5148617c289,0,0,0,0,0,2.0,2.0,1.5,1.41,1.0,1.0,0,1.0,1.0,2.5,2.45,15.5,15.49,0
9b93a44f3adb4841c4e6b10bcc4d96fffa8143ac,0,1,1,0,0,3.5,2.45,2.5,2.0,646.5,35.94,1291,626.5,35.38,13.0,8.31,247.5,212.73,1291
40f68105a9db142d1dbe743718785c8245e11f15,0,1,1,0,0,3.0,2.24,2.0,1.73,15.5,5.48,29,1.5,1.41,4.5,4.47,46.0,43.82,30
64897af2df1d86442687d2b56ce7f3ece4793c1d,0,0,0,0,0,2.0,2.0,1.5,1.41,1.0,1.0,0,1.0,1.0,2.0,2.0,30.0,28.28,1
0fabc0c522a174e2627bf85d749428b2933fd287,0,1,3,0,0,12.0,6.63,5.5,4.24,2.5,2.0,3,19.5,18.71,13.0,12.37,487.5,462.7,3
913a437469507f4d74fbf1169cb99c09ec7851c2,0,1,2,0,0,2.5,2.45,1.5,1.41,290.0,24.06,578,290.0,24.06,5.5,4.9,120.0,111.64,579
f8d0de6ad9ff6a3fb584fffa41c4926a71407dcb,0,0,0,0,0,1.5,1.41,1.0,1.0,290.0,24.06,578,1.0,1.0,4.5,2.83,84.0,25.61,579
cbe08de56c599abc4eee10fa31e8d45ada4402f9,0,1,2,0,0,3.0,2.24,2.0,1.73,3.0,2.24,4,5.5,3.16,2.0,2.0,30.0,18.0,5
3efa4fa11bcbd587d629f1f7b695a9c3093652b3,0,1,1,0,0,2.0,1.73,2.0,1.73,1.0,1.0,0,5.5,3.16,1.5,1.41,27.0,26.32,0
