mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
90a486a8d83c5fa6e77aacceef53c49dc76cb0b1,0,0,0,0,0,2.5,2.0,1.5,1.41,1.0,1.0,0,1.0,1.0,4.0,4.0,30.0,20.4,0
d64e8509c5cfe1a43f9610e608a78b849083e7e8,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,2.0,1.73,26.0,10.0,0
d2092938deaee7f7e6388a09f27dd1f73039a960,0,1,1,0,0,3.5,2.45,2.0,1.73,1.0,1.0,0,3.0,2.24,5.5,5.29,135.5,134.83,0
39ccb6090351ac085fbb80329e536d4bf0257134,0,0,0,0,0,2.5,2.0,2.0,1.73,1.0,1.0,0,3.0,2.24,2.0,1.73,61.0,47.72,0
6a19421fa0513750f9f6e19634d77cdf74a0e605,0,1,1,0,0,2.5,2.0,2.0,1.73,3.0,2.24,4,1.0,1.0,3.5,2.45,36.5,22.8,5
3a7b98560eb276eed7586d02f67f606fa6128954,0,1,1,0,0,10.0,7.14,3.5,3.16,1.0,1.0,0,21.5,18.76,9.0,7.48,211.0,209.63,0
97b8fa42d77134b55598686fd286c0b1f3378162,0,1,1,0,0,12.0,6.63,3.5,2.45,11.0,4.58,20,21.0,18.47,10.5,4.47,132.5,45.34,21
1058ca927f8783e9fb0a0814bd05ec93620a5db0,0,1,1,0,0,6.5,3.46,2.5,2.0,5.5,3.16,9,6.5,3.46,6.5,5.48,113.5,41.86,10
4ae3ca4dbde294524fdcdbb72a23c74fd181349e,0,1,1,0,0,5.5,3.16,2.0,1.73,6.5,3.46,11,4.0,2.65,5.0,3.0,109.5,29.33,12
6de3e03724758cfd4c20bfe143275bf3a965e1af,0,0,0,0,0,4.5,2.83,1.5,1.41,4.0,2.65,6,2.5,2.0,4.5,2.83,107.5,47.37,7
