mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
febdd17629ed679b4c9619fc0a26bcc4943ac50c,0,0,0,0,0,143.5,16.91,7.0,3.61,22.0,6.56,42,22.0,6.56,419.0,348.24,85276.0,50135.99,43
15cc437f326dfc8d22d4b448028a69a25215d4fb,0,1,1,0,0,325.5,25.5,11.0,4.58,1.0,1.0,0,471.5,30.69,147.5,24.21,22193.0,595.84,0
c56af90675b867733d2bed7d049ae4c4ffd5d314,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,3.0,2.83,0
9f51ecbf1069659e64de18415e8bb4d8f1aee33b,0,1,1,0,0,34.0,8.19,3.5,2.45,4.0,2.65,6,4.0,2.65,30.5,7.75,1378.0,74.22,7
7a2c5bf3cb5c2095cc538fe84296fa1178ea3bb7,0,0,0,0,0,46.0,9.54,8.0,3.87,4.0,3.87,2,442.0,29.72,52.0,10.15,4937.0,99.36,2
d1a05fc5d46907bc3c3e6ef8a39976e9835fcd15,0,1,1,0,0,3.5,2.45,1.5,1.41,4.5,2.83,7,1.0,1.0,7.0,3.61,115.5,26.15,8
b5f0b2e46cd97b48613325d480032c73faa7f727,0,0,0,0,0,25.0,24.82,6.0,5.92,4.0,3.46,4,440.0,29.65,18.5,12.65,3929.0,3189.05,4
3d6b82ad07e3afdaf5fbf7cfcb40083c4f5b5384,0,0,0,0,0,6.0,3.32,1.5,1.41,1.0,1.0,0,1.0,1.0,3.5,2.45,677.5,52.02,0
0ac1190779251a39193819bad677c496036e8717,0,1,1,0,0,12.0,4.8,4.5,2.83,2.5,2.0,3,1.0,1.0,23.5,6.78,341.0,52.08,3
bb53653353a1e4343d0273e9473b03f733789ab8,0,1,1,0,0,11.0,4.58,3.0,2.24,1.0,1.0,0,1.0,1.0,23.5,15.68,632.0,111.98,1
da8f17b05c98bb2f4e737de642ca98b6a3496795,0,0,0,0,0,3.0,2.24,1.5,1.41,1.0,1.0,0,1.0,1.0,3.5,2.45,31.0,7.81,0
b5b625fb4007c187608aae956b82ee505d0be820,0,0,0,0,0,10.5,4.47,4.0,2.65,1.0,1.0,0,2.5,2.0,27.5,7.35,6058.0,155.65,1
31cf206fa862c489edd86fea91dac60f09727e77,0,1,1,0,0,13.0,5.0,3.0,2.24,2.0,1.73,2,4.0,2.65,53.0,14.42,3136.0,353.61,3
42d3f82d787fa13b26c0c326a8d525d8fc383f33,0,0,0,0,0,3.0,2.24,1.5,1.41,1.5,1.41,1,1.0,1.0,7.0,3.61,126.0,27.33,2
2f6e86d66875b201c1dd0c5ff238ef1f4fca7ef7,0,1,1,0,0,26.5,7.21,4.5,2.83,3.5,2.45,5,3.0,2.24,39.5,8.83,1504.5,122.56,5
d12c3b62d260e6b342cee74207fe23d5c760cbaa,0,1,1,0,0,23.0,14.32,5.0,3.0,1.0,1.0,0,11.5,4.69,71.5,26.27,874.5,254.99,1
