mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
a5c4e63f0bfe62121a6188c717d097dc9ae7cec0,0,0,0,0,0,1.5,1.41,1.5,1.41,3.5,2.45,5,1.0,1.0,1.0,1.0,1.5,1.41,6
6de10c75b996f835776b789f593f99239104d2b6,0,1,1,0,0,42.5,12.88,9.0,4.12,1.0,1.0,0,198.0,28.07,89.0,13.3,3458.5,895.7,0
4d00dec385e696aa35259dfa3e405e513d86b738,0,0,0,0,0,4.5,3.74,1.5,1.41,10.0,4.36,18,3.5,2.45,5.0,4.58,55.5,38.99,19
53dff60ca08903e2c314e9fcaee582f4f87b6e3e,0,0,0,0,0,2.0,1.73,1.5,1.41,1.0,1.0,0,3.5,2.45,1.5,1.41,29.0,10.58,0
a81eaadd872d4394d2ec05750c159090f68d6e7c,0,0,0,0,0,1.5,1.41,1.0,1.0,3.5,2.45,5,1.0,1.0,3.5,3.16,34.0,33.87,6
1789438ecff06fd200f704bb0fad61164f511ace,1,1,1,1,1,4.0,3.87,1.5,1.41,6.0,5.92,2,3.0,2.83,60.0,23.98,2934.5,759.54,2
322aa677876009ccb032cc29fd57cd4eaa96c574,0,0,0,0,0,1.5,1.41,1.0,1.0,5.5,3.16,9,1.0,1.0,1.0,1.0,13.5,13.04,9
920bdae9f5745ef79ff08731ad603a18ffe9edeb,0,0,0,0,0,1.0,1.0,1.0,1.0,2.5,2.0,3,1.0,1.0,1.0,1.0,10.0,10.0,3
6b718c6eadd5c6c2ef783750deed906a993ffddb,0,0,0,0,0,2.5,2.0,2.0,1.73,1.5,1.41,1,2.5,2.0,1.5,1.41,7.5,7.48,2
9cf42be3de4ee2009bf7bf8d6e384872c8009602,0,1,3,0,0,16.0,12.49,5.0,3.0,25.0,7.0,48,145.5,17.03,22.5,21.54,277.5,241.61,48
b37df0a1cfa09638f5c35ad49e928f28ae420c70,0,1,1,0,0,85.5,31.46,12.5,4.9,140.5,16.73,279,193.0,61.32,73.0,16.97,2471.0,579.86,280
76cb16ba4030f6920061599485ff0a684c6e3a9f,0,1,2,0,0,11.0,4.58,4.0,2.65,5.0,3.0,8,41.0,9.0,18.5,10.1,220.0,91.65,9
788a9d20fa79b338750090224e0359ef2c8aeb72,0,0,0,0,0,19.0,6.08,4.5,2.83,5.0,4.0,6,44.5,9.38,19.0,8.49,140.0,33.23,6
cf158bd2731c31d53abe1c4e9d99f66d3989af65,0,0,0,0,0,6.0,5.92,1.5,1.41,1.5,1.41,1,1.5,1.41,7.0,7.0,40.5,38.83,2
cb91c971221626bbc5772597b7ae4e1c3e1ae1d6,0,1,1,0,0,125.0,22.27,18.0,5.92,1.5,1.41,1,195.0,19.72,93.0,23.43,3268.0,255.46,2
c34e3ba6cb3e3c1114c8a70d00d98ccf9735c10c,0,0,0,0,0,5.0,3.0,3.0,2.24,2.5,2.0,3,9.0,4.12,4.0,3.46,35.0,33.23,4
0388f7c60ed7060f02d02fa7a3f67e1e742a4b05,0,0,0,0,0,2.0,1.73,1.0,1.0,2.0,1.73,2,1.0,1.0,1.0,1.0,7.0,5.74,2
