mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
9fe24607d14b4bf197011b3a7513e6660ada176e,0,0,0,0,0,3.5,2.45,2.0,1.73,8.0,3.87,14,8.5,4.0,3.5,2.45,51.0,14.14,15
b40d02a959538a3e0a7bb0b0f89bdc2f09d2f4d2,0,0,0,0,0,2.0,1.73,2.0,1.73,7.5,3.74,13,1.0,1.0,9.5,5.83,92.5,26.91,14
1a3eba57adc86c7fa97e2a3501101b883fe012ff,0,0,0,0,0,2.0,2.0,1.5,1.41,1.5,1.41,1,2.5,2.0,5.0,3.0,83.0,18.11,2
fb91f924bd36a4549f35c57ffc1aadb7ecfb9e63,0,0,0,0,0,10.5,4.47,1.5,1.41,1.0,1.0,0,21.5,6.48,39.0,12.33,4048.0,179.91,0
268479b84f12ad7acf93f466209296639966ac33,0,1,2,0,0,10.0,6.0,1.5,1.41,1.0,1.0,0,21.0,6.4,39.0,15.0,2152.5,442.62,1
f4aea6b6e0e52566954cd73028e4f38fe29954e6,0,1,1,0,0,9.0,5.66,1.5,1.41,7.5,3.74,13,11.0,4.58,36.5,14.49,2025.0,358.57,14
c6b4c9fdb013440eb915faf03e5f71009eccbd98,0,0,0,0,0,8.0,3.87,1.5,1.41,1.0,1.0,0,11.0,4.58,36.5,11.92,2017.5,261.35,0
978c95e4b86b034b192e91218579267e0e57dd3d,0,1,1,0,0,6.5,4.69,1.5,1.41,1.5,1.41,1,6.5,3.46,30.5,10.86,809.0,178.77,2
baf7552cc47ec7843303ce495d726efabe00495d,0,1,1,0,0,3.0,2.24,1.0,1.0,3.0,2.24,4,4.0,2.65,5.0,4.0,119.5,50.08,5
2469f68ca909b1b2726f780c0132c790f173257c,0,1,1,0,0,6.5,6.0,1.5,1.41,4.0,2.65,6,4.0,2.65,6.5,6.32,141.5,111.98,7
d86b2cea6e652143d57804ce2e5df27553074a87,0,0,0,0,0,2.5,2.45,1.5,1.41,1.5,1.41,1,2.5,2.45,1.5,1.41,22.5,9.27,2
e6ed1adba40746f9b5ac17cc2687963a993c1a8a,0,0,0,0,0,2.5,2.45,1.5,1.41,2.0,2.0,0,2.0,1.73,3.5,3.46,84.5,73.61,0
5d650f029beae0a2e39cf54749b4b2e0c7d19c60,0,0,0,0,0,3.0,2.83,1.5,1.41,4.5,2.83,7,2.0,1.73,3.0,3.0,27.0,21.75,8
28e86b85981ef556efde300484a03f9fdcffc6ab,0,0,0,0,0,1.5,1.41,1.5,1.41,1.5,1.41,1,1.5,1.41,1.0,1.0,3.0,2.83,1
ce471022a011f2d599583fd0bd4c1bfae244aa82,0,0,0,0,0,3.5,3.46,1.0,1.0,1.5,1.41,1,1.5,1.41,5.5,3.16,58.0,36.59,2
d43eec26457e90bf7254929bebed57b2e064bf6f,0,1,1,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,5.0,4.0,51.5,34.21,0
4d23ebf9de729918b63a0677c239b57f8dceab90,0,0,0,0,0,2.5,2.0,1.0,1.0,1.0,1.0,0,1.0,1.0,3.0,2.83,43.5,30.0,0
33ca298b9088aa1ffbe3a2b4c07b470fe0172162,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,2.0,2.0,37.5,36.52,0
6b576980cef0774ed330bdb9ae1e85e164e0b3e9,0,0,0,0,0,2.5,2.45,1.0,1.0,1.0,1.0,0,1.0,1.0,8.5,5.48,218.0,86.74,0
3f52585e1c30c8ff5a1edb5d65d69354966ded31,0,1,1,0,0,2.5,2.0,1.0,1.0,1.0,1.0,0,1.0,1.0,5.0,4.0,94.0,55.32,0
caedf1960d9d8f7d70fa0de789e2ff177f31e32f,1,0,0,1,1,6.0,4.47,1.5,1.41,1.0,1.0,0,3.0,2.24,13.5,13.42,300.0,275.82,0
6b5c6667319108be1f2f488c91d320d28a7b331b,0,0,0,0,0,2.5,2.0,1.5,1.41,2.0,1.73,2,1.5,1.41,2.0,2.0,6.0,5.66,3
3114ae368bd8b28a38ddf262c144d471084199c3,1,0,0,5,6,4.0,2.65,1.0,1.0,1.0,1.0,0,1.0,1.0,98.0,38.78,256.5,139.11,0
ed676850d2cf13729e197fc81d04748c2ed2c452,0,0,0,0,0,2.5,2.0,2.0,1.73,1.0,1.0,0,2.0,1.73,2.5,2.45,29.0,20.0,0
a8fe0368c7ef26ee4cdfd613945a7022a939c346,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,1.5,1.41,9.5,5.83,0
467195e922bba4749e20b2d6365a2b703b92febc,0,0,0,0,0,9.5,4.24,1.5,1.41,5.5,3.16,9,6.0,3.32,32.5,8.0,6325.5,449.62,10
f086b2de9b15fb4a55478c3596379bf9d4703bd5,0,1,1,0,0,5.5,3.16,1.0,1.0,5.5,3.16,9,5.5,3.16,6.5,3.46,136.5,111.67,10
adb26b727650727dd1d1b59b622c9daacf86dd8c,0,0,0,0,0,4.5,3.74,1.0,1.0,3.0,2.24,4,2.5,2.0,18.0,11.31,272.0,129.86,4
0fbb6aaadeb982e551c95d55ba4bdedc901bde99,0,1,1,0,0,3.5,3.46,1.0,1.0,1.0,1.0,0,1.5,1.41,11.0,10.82,166.0,143.18,1
1ce1baeda1fd47ec93df1609bca1bf6d753b648f,0,0,0,0,0,2.0,1.73,1.5,1.41,1.0,1.0,0,11.0,4.58,1.5,1.41,51.0,38.88,0
ded4b8e18cd363c915ebf51d0912daa2822a7286,0,1,1,0,0,15.5,15.49,2.0,1.73,1.0,1.0,0,22.5,22.45,33.0,22.65,1709.5,698.02,0
4ea34599b054b03eb2b15076116732f73062c4b4,1,1,1,1,1,10.0,4.36,1.5,1.41,8.5,4.0,15,16.5,5.66,83.5,18.17,3891.5,556.52,16
4ff657b389896f4cc78133589829926c567c051c,0,1,1,0,0,9.5,4.24,1.5,1.41,2.0,1.73,2,15.0,5.39,83.0,12.85,3872.5,124.44,3
b8bc119a84d9eafaab05c98ddca3e640dfe0e7f6,0,1,1,0,0,11.5,10.1,2.5,2.45,1.0,1.0,0,15.0,5.39,87.0,31.75,3911.5,787.05,0
29ac56c8f14fb1a8d43e2e56e33b76bdf8d4578b,0,0,0,0,0,1.5,1.41,1.5,1.41,1.5,1.41,1,1.0,1.0,1.5,1.41,11.5,6.48,2
233defcc39395011d896bc9b5f7a96449c86a9a1,0,1,1,0,0,3.5,2.45,1.0,1.0,4.0,2.65,6,1.5,1.41,36.5,8.49,1257.0,70.88,7
1b23b0c7e46f3aab9e47918d1b05cb80f4fb6620,1,0,0,1,6,29.5,12.96,3.5,2.45,1.5,1.41,1,26.0,25.98,66.5,58.02,6286.0,6138.0,2
945ffce662a8aa560d24dd4fb344e79432ef6b5f,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,4.5,4.47,0
acbf6500c722851721bd23ea3ceccd6730eab26a,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,1.5,1.41,2.5,2.45,1
9c5819bcab95ca141088ed7c4b0a9cc0422af61a,0,0,0,0,0,1.0,1.0,1.0,1.0,1.5,1.41,1,1.0,1.0,1.0,1.0,3.0,2.83,2
4cc344500de8dfe0957071821e317950bc312cb9,0,1,1,0,0,6.0,5.2,1.5,1.41,1.0,1.0,0,9.5,9.38,12.5,10.68,218.0,211.21,0
ae67bfc697c06324e2e5d72266de43c1a83fd602,0,1,1,0,0,3.5,3.16,1.0,1.0,10.0,10.0,0,1.0,1.0,4.0,3.46,63.0,38.33,0
ce387cc9c0e80a7111e29714de6413f3a40d0696,0,1,1,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.5,1.41,1.5,1.41,7.5,5.1,1
0d27b06d1bb7ae3d334190dcd57182c1be1b95c3,0,0,0,0,0,2.5,2.45,1.0,1.0,1.0,1.0,0,1.0,1.0,31.5,19.8,968.5,340.95,0
3abc10a040648358b06bbcce774cb64a1b1228d2,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,37.0,8.54,1.0,1.0,2.0,2.0,1
1eca778810c0a1fb052204440170a9167b23abb4,0,0,0,0,0,25.5,7.07,1.5,1.41,37.0,8.54,72,37.0,8.54,84.0,12.92,6067.0,155.77,73
04ddbf590df80b907a6db30ca4eb51efd9974b78,0,1,1,0,0,8.0,6.24,1.0,1.0,1.0,1.0,0,3.0,2.24,18.5,14.49,368.0,214.53,1
ff06900ee22d3a1bddcffed38ae353908a3a4485,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,3.0,2.83,27.0,26.7,0
1e549dc5457c61a8968dfbb1a8268ddd240ba662,0,0,0,0,0,4.5,4.24,1.0,1.0,4.5,2.83,7,1.5,1.41,9.0,8.06,190.0,143.96,8
4fcfcd4d3fc4925a8b71c4aeae098a355290885c,0,1,1,0,0,4.0,2.65,1.0,1.0,1.0,1.0,0,2.5,2.0,16.5,9.49,314.0,136.04,0
83f20ee7383e04e91d5ca37ea63a8e616b8b591b,0,1,1,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,8.5,4.0,1.0,1.0,28.0,27.11,0
33e6680e750f7de5a8e21cd946e4489ba3ebf80a,0,1,1,0,0,15.5,5.48,1.5,1.41,8.5,4.0,15,22.0,6.56,25.0,7.0,1803.0,274.38,16
d6f0f4fcda7ef6165e32826072d035cfb9a068fe,0,1,1,0,0,10.5,9.49,1.5,1.41,4.5,2.83,7,23.0,19.62,20.5,14.49,1389.5,354.57,8
7a4d479410b2e4ce40150d038bbbb8937d85cdc9,0,1,1,0,0,29.0,10.58,2.0,1.73,2.0,1.73,2,81.5,64.75,38.5,17.09,3050.0,492.34,2
56dc6f6435fef4d61009fb14a091913339f740e8,0,0,0,0,0,4.0,3.46,1.5,1.41,3.5,2.45,5,2.0,1.73,3.5,3.16,75.0,24.17,5
4f491f8c01ff4ec9a18cd8cae8770d34b391ab50,0,0,0,0,0,17.0,5.74,1.5,1.41,3.5,2.45,5,46.0,9.54,14.5,7.35,700.0,74.73,6
b7a0c0fed2900d50d86d6a457f8d51d5075aa1a6,0,1,1,0,0,10.0,6.0,1.0,1.0,2.0,1.73,2,11.5,4.69,12.0,8.94,609.5,287.37,2
183b543a0daa40e191fe2c7f321a9205da3aa088,0,1,1,0,0,15.0,7.48,1.5,1.41,1.0,1.0,0,46.0,9.54,14.0,7.21,601.5,141.99,0
1b16d4dd943b3d98fd5f6e60d5d74cc1137fb82e,0,1,2,0,0,7.5,7.07,1.0,1.0,8.5,4.0,15,14.0,11.49,11.5,9.49,475.5,168.88,16
7e715c131dd4b0b5da85f1fbb80d28d776e88469,0,1,1,0,0,8.5,4.0,1.5,1.41,1.0,1.0,0,38.0,8.66,7.5,3.74,136.0,39.95,0
89f499b164a521fc63eeaf1289ac470d30231190,0,0,0,0,0,8.5,5.48,1.5,1.41,9.5,4.24,17,31.5,18.49,9.0,7.48,145.5,81.55,18
21859b854b0905314fab86a41267b2436c39529d,0,0,0,0,0,4.5,2.83,1.5,1.41,1.0,1.0,0,25.0,7.0,2.0,2.0,9.5,7.75,1
647c7456b005b4a8d116dacb151c21c7ae15b86a,0,0,0,0,0,4.0,2.65,1.5,1.41,1.0,1.0,0,25.0,7.0,1.5,1.41,10.5,9.49,0
9e22dd984963a7fee97edfcba9cf6dfd1a020224,0,0,0,0,0,3.5,2.45,1.5,1.41,1.0,1.0,0,25.0,7.0,2.5,2.45,105.5,54.22,0
e9d83cdcb8eb5740f922389e97c26dcc4a258b7e,0,0,0,0,0,3.0,2.24,1.5,1.41,4.5,2.83,7,21.0,6.4,6.0,4.47,170.5,69.93,8
65656b15ba6fecb68ee7c5351c15093d85e86473,0,0,0,0,0,2.5,2.0,1.5,1.41,1.0,1.0,0,21.0,6.4,1.5,1.41,18.5,18.17,0
4d998dbf41a0c383756de3517d92332aeab59fbd,0,0,0,0,0,5.0,4.58,1.5,1.41,17.0,5.74,32,11.0,10.58,13.5,7.07,185.5,73.08,33
5c8282930804c335419305823425cd808df32219,0,0,0,0,0,2.5,2.45,1.0,1.0,6.0,5.66,4,2.0,1.73,3.0,2.83,18.5,18.17,4
63ba23d437702ea1effb2d852f49a89a7ac7b898,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,5.0,3.0,67.0,16.25,1
7446bdb6afc429695a2af66783040bfe1bc0165c,0,1,1,0,0,2.5,2.0,1.0,1.0,1.0,1.0,0,1.0,1.0,14.5,5.29,138.0,32.98,0
4ca9b524cdff586f1bdbbfafa0bddcaf39d392e4,0,0,0,0,0,1.5,1.41,1.5,1.41,7.5,3.74,13,15.0,5.39,2.0,2.0,36.0,27.69,14
5917369ae27f6bfc8a2383728a42704164c562ce,0,0,0,0,0,1.0,1.0,1.0,1.0,15.0,5.39,28,1.0,1.0,1.5,1.41,31.5,15.36,29
5f7667afaefdd2681ddd2293677053c141edc167,0,0,0,0,0,1.0,1.0,1.0,1.0,3.0,2.24,4,1.0,1.0,348.5,26.38,8690.0,186.43,5
9079bd6f35222686bcc6cc3a08b775e1fceeb6eb,0,0,0,0,0,3.0,3.0,2.5,2.45,1.0,1.0,0,9.5,9.38,1.0,1.0,12.5,12.25,0
6c46cc25b8eb216f27905936218d298dacf93e0e,0,1,1,0,0,2.0,2.0,2.0,2.0,1.5,1.41,1,7.0,6.93,1.5,1.41,8.5,5.48,2
1f5fe62193810cf760442d63d8a19daf5e4f4b92,0,0,0,0,0,1.5,1.41,1.0,1.0,5.0,4.9,2,2.0,1.73,2.5,2.0,16.0,7.75,2
a456ba2b15ac860990b97cd2e691d1e2c1c52f14,0,0,0,0,0,5.5,3.16,1.5,1.41,1.0,1.0,0,7.5,3.74,3.0,2.83,92.0,26.83,1
993bee4cd27d49384b14f6d815c12a6ee7b6f234,0,0,0,0,0,6.5,6.32,2.0,2.0,1.0,1.0,0,7.5,3.74,3.5,3.46,88.5,69.73,0
4d0ee14a8073c6a035e5cd8df7331cfc193b2f07,0,0,0,0,0,2.5,2.0,1.5,1.41,1.0,1.0,0,1.0,1.0,7.0,3.61,33.0,24.6,1
78164fb201b524214f02de36d0c347a9878cd0db,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,2.0,1.73,4.0,2.65,1
2f63ad1cad7d3ed18897fd83b1c343c41da3b00e,0,0,0,0,0,2.0,1.73,1.0,1.0,1.5,1.41,1,1.0,1.0,1.0,1.0,32.0,21.17,1
59a47fc690be28f6927f304d47d682e5ae230e42,0,0,0,0,0,9.5,4.24,1.5,1.41,1.0,1.0,0,2.5,2.0,7.5,3.74,218.0,36.04,1
2665f9ee526f0fe8bf6e462928502df2bbfd0e3d,0,0,0,0,0,2.0,1.73,1.5,1.41,1.0,1.0,0,1.0,1.0,1.5,1.41,39.0,31.5,0
6e884974d55ce1459db2da2f842c238d0c2b3320,1,0,0,5,5,21.0,20.12,2.5,2.0,1.0,1.0,0,46.0,42.74,154.5,49.07,31265.5,2997.29,0
1c76166f1ede73668338d7d24655b00f8b292837,0,0,0,0,0,6.5,3.46,1.5,1.41,14.0,5.2,26,7.5,3.74,7.0,3.61,73.0,41.58,27
e48fb7a168ec17d12100ba63290afd2be3b2ac7a,0,0,0,0,0,2.0,2.0,1.0,1.0,5.0,4.9,2,1.0,1.0,2.5,2.0,48.5,48.5,2
c9e60d77ef737ae8626b7b8352eea62690ecfbb8,0,1,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.5,1.41,25.5,9.9,0
8ebb5e0b8e6dac824e675a68be7d21528f17f0ae,1,1,1,15,15,22.0,21.42,1.5,1.41,1.0,1.0,0,44.5,44.43,150.0,79.82,28988.5,3768.53,0
3bf1284d3afee519d76167d9822d9416107c1536,0,1,1,0,0,35.0,8.31,1.5,1.41,1.0,1.0,0,36.0,8.43,121.5,15.56,15827.0,251.6,0
60c95fafd022c5459a06e4f4de68d85180fad1db,0,1,1,0,0,34.5,11.58,1.5,1.41,1.0,1.0,0,29.0,7.55,122.5,26.94,15819.5,470.56,1
68bcc4dfbb5b03360bef8711f2c75fc3b2c2d6ba,1,1,3,2,2,33.5,8.12,1.5,1.41,1.0,1.0,0,29.0,7.55,123.5,34.79,15846.0,1377.65,0
8ce979ac791397c34e90c239cb61a615b743c400,0,0,0,0,0,33.0,8.06,1.5,1.41,1.0,1.0,0,29.0,7.55,121.5,15.56,15817.0,251.52,0
4cbe1b70715728ddc2073cc62e1f26c4955fa731,0,1,1,0,0,30.5,7.75,1.0,1.0,1.0,1.0,0,19.0,6.08,120.5,15.49,15792.0,502.6,0
d746855f01a96e9318cc67471d02d56a9954ac9c,0,1,1,0,0,30.0,7.68,1.0,1.0,1.0,1.0,0,19.0,6.08,120.5,15.49,15792.0,502.6,0
2a8e4dc0988eeb41e15133b908844f695152e41e,1,1,1,1,1,29.5,7.62,1.0,1.0,1.0,1.0,0,18.5,6.0,120.5,15.49,15797.0,753.9,1
