mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
73b693ce4dd408e6a9f2812a8b7aaa9b9d205c7a,0,0,0,0,0,5.5,4.24,1.5,1.41,1.0,1.0,0,1.0,1.0,5.0,4.0,287.0,47.75,0
dbf6898962dda2c66a9c1d2c1724f72191c23178,0,0,0,0,0,8.5,8.37,2.0,1.73,1.0,1.0,0,9.5,8.37,14.0,11.49,304.0,196.45,0
a7f54257c1185d281b23b39841c9c774ec9cd41d,1,0,0,2,2,6.0,5.92,3.0,2.24,1.0,1.0,0,7.5,7.35,10.5,9.49,235.0,161.2,1
e90d63c1e73c577ba264676b4076b3d17dca423f,0,0,0,0,0,18.5,11.49,3.0,2.24,6.0,5.92,2,35.0,16.25,12.0,10.39,195.0,144.44,2
7cbda6a9b318dc182cd304332a3045a1c53a4aef,0,1,1,0,0,5.5,5.48,3.0,2.83,1.0,1.0,0,33.5,8.12,6.0,4.47,57.5,57.13,0
9e69d76394b605d0798d6580c8ac589165d998f2,0,0,0,0,0,66.0,16.12,7.5,3.74,4.5,2.83,7,63.5,63.26,69.5,11.75,2673.5,219.18,8
d6bc7eace6c1983bb7275b102f0ca00a48ec2487,0,0,0,0,0,3.0,2.24,2.0,1.73,2.5,2.0,3,2.5,2.0,3.0,2.24,33.0,32.45,4
f4829656896ed8d6e5663f61516d268055dafe80,0,0,0,0,0,1.5,1.41,1.5,1.41,1.5,1.41,1,1.5,1.41,1.0,1.0,2.5,2.45,2
c7d7360953f49c0d89f13474e9b0f75f5ec640eb,0,0,0,0,0,10.0,9.95,3.5,3.46,9.0,4.12,16,27.0,14.14,11.0,10.95,263.0,262.88,17
60f5d79a6d37f08fa7dd679b95d4d5ced91f480b,0,0,0,0,0,1.5,1.41,1.5,1.41,2.0,1.73,2,1.0,1.0,3.0,2.24,34.0,16.0,2
4dc24e8982d7e772001c23d345f8234eee89bf6f,0,0,0,0,0,3.0,2.24,2.0,1.73,1.0,1.0,0,8.0,3.87,3.0,2.24,34.0,27.5,1
ad298009b4528e0776b1f16545c2bee3d78e09e2,0,0,0,0,0,4.0,2.65,1.5,1.41,4.5,2.83,7,8.0,3.87,3.5,3.16,92.0,78.49,8
9ed77655516bdb742541dc3ce5bb677a00118e90,0,0,0,0,0,9.0,4.12,4.0,2.65,9.0,6.71,12,7.0,3.61,9.5,4.24,228.0,30.13,12
59229088f75203ac1a3077a7e49ae49f88b35ac0,0,1,1,0,0,13.0,8.31,4.5,2.83,4.5,4.47,1,14.0,5.2,13.0,9.38,342.0,268.37,1
2f6b36d0a5f38ea3cf5d8998520ac095798f9b1c,0,0,0,0,0,5.5,3.16,3.0,2.24,3.5,2.45,5,6.5,3.46,3.5,3.16,94.0,42.19,6
