mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
d1840cbfaaa8eb327a205cfbc5de47db02dae292,0,1,3,0,0,57.5,25.57,3.0,2.83,1.0,1.0,0,8.5,4.0,34.0,17.75,2692.5,596.91,0
a16bad945ec029b6abffe68682fcf5223fc80a86,0,1,4,0,0,55.0,14.7,2.5,2.45,1.0,1.0,0,8.5,4.0,34.5,19.44,2748.0,972.94,1
a7922c526c02088641988799f954db061663eb31,0,1,13,0,0,42.5,29.6,5.0,3.0,1.5,1.41,1,9.5,8.83,155.0,148.92,18514.0,5219.58,2
3fd14d11730aaf0b1f4a49087bacb7b90d211e3f,0,1,1,0,0,22.5,15.3,3.5,3.46,1.0,1.0,0,22.0,6.56,12.0,9.75,831.0,281.14,1
3870eac04b18b71c20b467533eae2b1e53dd8468,0,1,1,0,0,6.0,5.2,2.5,2.45,1.0,1.0,0,1.0,1.0,8.0,6.93,229.0,134.97,0
9a41f3eaf9857048119ab98eb7ca936754403be8,0,1,1,0,0,5.0,4.9,2.0,1.73,1.0,1.0,0,3.0,2.24,63.0,35.57,17073.5,3295.17,0
b8e9b25348503f83187592cd7736baf0d5777e7a,0,0,0,0,0,4.5,2.83,2.0,1.73,1.0,1.0,0,2.5,2.0,69.5,11.75,17003.0,1775.92,1
10ab8a7a6b4466abf0cab3d83fd0b3745407fa96,0,1,2,0,0,2.5,2.0,2.0,1.73,2.5,2.0,3,2.0,1.73,12.0,10.91,90.0,89.2,4
7d722194c936dbc96c1a6131c4543227ec9b1577,0,0,0,0,0,6.5,3.46,3.5,2.45,1.0,1.0,0,2.5,2.0,21.0,6.4,183.0,53.52,0
9a70463cdbfcbc7b0e81e0d143553c12ca25c69f,0,1,5,0,0,10.0,4.36,4.0,2.65,2.0,1.73,2,5.5,3.16,23.5,15.68,267.5,180.42,3
732970dff8a396eacde3a9db7e7ac515bd6639e0,0,1,2,0,0,9.0,5.66,3.5,2.45,2.5,2.0,3,5.5,3.16,20.5,8.83,232.5,98.72,4
e276b22786a39870795dd618ec715cbec27b483d,0,0,0,0,0,3.0,3.0,2.0,1.73,1.0,1.0,0,6.5,4.69,16.5,10.77,133.0,78.99,0
d0c206a94826e32557e35e6ca385f555d79ce6c1,0,0,0,0,0,4.0,2.65,1.5,1.41,1.0,1.0,0,3.5,2.45,4.0,2.65,88.5,34.5,0
750124dfd995f6c8298dc322ff4a42425cafd766,0,0,0,0,0,55.0,14.7,1.5,1.41,1.0,1.0,0,19.0,6.08,21.5,9.06,3306.5,472.95,0
35c739b5f2b9b609da8d269348eaaa50ae173dfd,0,0,0,0,0,15.5,7.62,2.5,2.0,1.0,1.0,0,3.5,2.45,16.5,5.66,1370.0,387.69,1
2db7b36d097da63804ab00b9e63b432af2a69b4a,0,1,2,0,0,36.5,33.91,5.0,4.58,1.0,1.0,0,19.0,13.86,68.5,55.24,12646.0,7673.24,1
67876e63d80cee91fc5ee853d914100cae9357b7,0,1,1,0,0,21.0,8.94,3.0,2.24,21.0,6.4,40,19.5,15.75,15.0,7.48,494.5,62.77,41
7fc30bcc86f6d7330e3822e9b57d9abd14b4b0ec,0,1,2,0,0,44.0,36.88,4.5,4.24,2.0,1.73,2,17.0,9.64,34.5,27.75,1508.5,1221.25,3
dc71196e03048eeda3eff0824e705b4208aa21c7,0,0,0,0,0,10.0,6.0,1.5,1.41,1.0,1.0,0,4.0,2.65,11.0,10.25,266.5,248.8,0
6c11988249d38c1992f208f98a6dd1ceb2d727b4,0,0,0,0,0,15.0,5.39,1.5,1.41,1.0,1.0,0,5.5,3.16,19.0,14.73,691.0,455.06,0
179955a1ff5f2a6d73c9ceea04e1672fd8ff7105,0,0,0,0,0,17.5,14.0,1.0,1.0,1.0,1.0,0,5.5,3.16,16.5,7.87,628.0,233.44,0
a1085131bfa74a5e3cb7a804b243cb2e0523f704,0,0,0,0,0,8.5,7.21,3.0,2.24,1.0,1.0,0,2.0,1.73,9.5,4.24,325.0,125.0,1
11b0d977f8bc68751ad0822041fb5fbf739be318,0,0,0,0,0,5.0,3.0,2.0,1.73,1.0,1.0,0,2.0,1.73,8.0,3.87,305.5,108.72,1
9226eb0d53841db95c695279e8fc52407fd312dc,0,0,0,0,0,5.0,4.0,2.0,2.0,1.0,1.0,0,1.5,1.41,8.5,5.48,302.5,90.96,0
86d0f840258594a7ec5dc473a04b79bd86342e96,0,1,3,0,0,72.0,16.85,5.5,4.24,3.0,2.24,4,8.5,4.0,90.5,43.24,13414.0,1729.8,5
f9c1d6900b4de16250acaee6331a78cc4dc467df,0,1,2,0,0,12.0,6.63,3.0,2.83,1.0,1.0,0,3.0,2.24,22.5,12.81,381.0,86.72,0
695d7c864763b4b39bdbcc6e05017ac0193f5ac7,0,0,0,0,0,2.0,1.73,1.5,1.41,1.0,1.0,0,1.0,1.0,2.0,1.73,26.5,14.0,0
d633225161dfddabd0d5dd292c03c82dcc649569,0,1,2,0,0,9.5,5.83,2.0,1.73,1.0,1.0,0,2.5,2.0,21.0,10.82,374.0,185.07,0
c97b249da0057b58ba7a7f5809f03d77587e7d4a,0,1,2,0,0,6.0,5.66,2.0,1.73,1.0,1.0,0,3.0,2.24,20.5,12.17,341.5,117.91,0
3319c7dcc28f43ef69340711d58e0ddf00ec75b6,0,0,0,0,0,2.5,2.0,1.5,1.41,1.0,1.0,0,2.5,2.0,3.5,3.16,16.5,16.49,0
f0b32c5c89612fca20fb33c4cd8ae13b2ae0a634,0,0,0,0,0,9.5,6.93,2.5,2.0,1.0,1.0,0,2.5,2.0,42.5,20.0,5166.0,406.27,1
a23c7cf688ccc5f314b69209bf3bf2aac73ff0d0,0,0,0,0,0,2.0,1.73,1.5,1.41,1.0,1.0,0,1.0,1.0,1.5,1.41,12.0,11.31,0
9b70aa1b8aa46c72c8dedeab559e86ec26f699e0,0,1,1,0,0,5.0,3.0,2.5,2.0,1.0,1.0,0,1.0,1.0,39.0,8.77,5146.0,143.46,0
d2c040f5c8c9f99663c51da06780747b609472ef,0,0,0,0,0,7.0,4.9,2.0,2.0,1.0,1.0,0,1.0,1.0,6.0,5.92,285.0,131.21,0
b2eac3ab20b9d7b672a6f43f99ed321e59888557,0,1,2,0,0,24.0,20.17,3.0,2.24,1.0,1.0,0,2.0,1.73,16.5,13.49,626.5,620.22,0
373a6cd8229372f10c98dba362caef6d637e1ef2,0,1,2,0,0,20.5,19.44,4.0,2.65,1.0,1.0,0,2.0,2.0,14.5,11.75,385.5,352.3,0
676d589b8df8fa142c4a931870b64d95b6bb1753,0,1,1,0,0,13.0,12.65,4.0,3.46,1.0,1.0,0,1.5,1.41,11.5,11.4,271.0,222.3,0
03f1fcc290a95a96e06bd7881ae1161d3829f083,0,0,0,0,0,3.5,2.45,2.0,1.73,1.0,1.0,0,1.0,1.0,4.5,3.74,27.0,14.14,0
7e7f2124724e9b2591c8de36caf59536db735c30,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,2.0,1.73,5.0,3.0,0
b9f5d29dd35c801750d3d8be8f9ecc95e692808a,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,3.0,3.0,24.5,18.97,0
358e546a6b58faf7880cf54f2bb8c32116e1d7c9,0,0,0,0,0,3.5,2.45,2.5,2.0,1.0,1.0,0,1.0,1.0,3.0,3.0,31.0,19.62,1
16506eb41f9c628ef40c78db4c314bb9f7e48d82,0,0,0,0,0,2.5,2.45,2.0,2.0,1.0,1.0,0,1.0,1.0,1.5,1.41,3.5,3.46,0
fb915b8f3f5f165c1f4672a10a5dff94b5707024,0,0,0,0,0,20.0,6.24,3.5,2.45,1.0,1.0,0,4.0,2.65,47.5,9.7,7145.5,239.06,0
b9bc87b35f256c4c674c7838c60b18b8956e9e20,0,1,1,0,0,17.5,5.83,3.5,2.45,1.0,1.0,0,4.0,2.65,46.0,42.33,7128.5,3392.47,0
