mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
0bcf6a110ded5610e07ba5b3c5125c85bd26f437,1,1,1,12,24,32.0,30.98,3.5,2.45,3.0,2.24,4,3.5,2.45,1961.0,265.09,206085.5,25438.12,4
edca70960176aad5970e504003f43992b4109572,0,0,0,0,0,2.5,2.0,1.0,1.0,1.0,1.0,0,1.0,1.0,59.5,10.86,354.5,74.89,0
41ed24d2946f024e3d32a6702a34ee8448c7f54c,0,0,0,0,0,4.0,3.87,1.0,1.0,1.0,1.0,0,120.0,86.67,2.0,1.73,39.5,17.32,0
f944d78adeb285ac2ded3f01bfe7601167ccca3f,0,1,1,0,0,75.5,12.25,10.0,4.36,20.0,10.54,34,19.0,6.08,709.0,37.64,8905.5,188.73,34
c04024580a54cc169471ce74f32e6a5fe2448d14,1,1,1,1,2,275.5,40.55,37.0,8.54,2.0,1.73,2,200.0,199.98,894.5,42.28,83551.0,3467.88,3
d7180bec1a3bbf0a3173faa36fd45fd4e1268591,0,1,1,0,0,40.5,8.94,6.5,3.46,5.5,3.16,9,11.0,4.58,113.0,15.0,4764.0,97.61,10
b350672585f6bdcff073efa25850a9c4eb53495d,0,1,5,0,0,7.0,6.71,3.5,3.16,3.5,2.45,5,10.5,10.39,33.5,32.65,1958.5,685.81,5
bd38525e5b9db7238b6ff8f1601fe94ff0882290,1,1,11,2,2,33.5,15.87,5.0,3.0,12.5,12.49,1,1.0,1.0,616.5,177.15,4925.0,1098.19,1
4e6f5cd87842cffa26c08c2e92ff9ee7ee3b3d9a,0,1,1,0,0,10.5,4.47,1.0,1.0,1.0,1.0,0,7.5,3.74,8.5,4.0,1992.5,199.37,1
3b267069570dbac583e1837d4bece5dbb7c00a9e,0,1,2,0,0,20.0,17.86,4.0,2.65,1.0,1.0,0,10.5,10.2,606.0,138.33,4425.0,4330.42,0
6514650aa456dfe19c0df0669d3d31284408d550,0,0,0,0,0,7.5,5.1,1.5,1.41,1.0,1.0,0,1.0,1.0,36.0,21.33,303.0,301.41,0
282f84c511b8411374c8abef488541dbbfd1820b,0,0,0,0,0,2.0,1.73,1.5,1.41,1.0,1.0,0,1.0,1.0,566.0,33.63,1049.5,91.54,0
ec0e9ee5f101f3ca1a0ba449908b2a0941e7367d,0,0,0,0,0,2.5,2.0,1.5,1.41,1.0,1.0,0,3.5,2.45,2.0,2.0,13.5,10.49,1
d1b2d0eb914fae190e30555445a70ba824055219,0,0,0,0,0,21.0,10.82,6.0,3.32,4.0,3.46,4,14.5,5.29,18.0,8.25,376.5,126.81,4
c707f6c0b74a5e92b0f29faaa56adaec858bc7aa,0,1,1,0,0,44.0,9.33,16.5,5.66,13.5,5.1,25,12.0,4.8,60.5,10.95,2891.0,186.16,25
8cf37bc8778fd7eb98eba7f4cf029e9b699ec386,0,0,0,0,0,42.5,9.17,16.0,5.57,11.0,4.58,20,28.5,7.48,59.5,10.86,2886.0,107.42,21
