mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
9c8dc7a89ab7c8627b8592facf211ebf1844ea16,0,0,0,0,0,4.0,2.65,2.5,2.0,9.5,4.24,17,7.0,3.61,2.0,1.73,18.5,8.37,17
1f0d4e3309ecd1b10de767e7e83868ef89b13cc0,0,0,0,0,0,3.5,3.16,3.0,2.83,1.0,1.0,0,11.5,10.1,3.0,2.83,40.0,38.46,0
b01aa77bfd0c6d84ba2393797241e01e3f297bc7,0,0,0,0,0,1.5,1.41,1.5,1.41,8.0,3.87,14,1.0,1.0,1.5,1.41,13.5,7.07,15
d76c0d7f841c9ef34f69b3e46af6fbe4fd842fd9,0,0,0,0,0,329.0,25.63,65.5,11.4,491.5,31.34,981,507.0,31.83,59.5,10.86,4771.5,138.14,981
3d9fbb71b3fc87212978a8981fe2999396bf30d4,0,0,0,0,0,1.5,1.41,1.5,1.41,1.5,1.41,1,8.0,3.87,2.0,1.73,38.0,12.17,2
89338f726fd35522bcb0bdd8ccc23808bd7c9b4b,1,0,0,2,3,25.0,11.87,5.5,3.16,1.0,1.0,0,291.5,24.12,15.0,7.48,629.5,100.04,0
2f5268966428fcfdc76d2311864a7c43cf826c93,1,0,0,1,3,24.0,9.59,6.0,4.47,6.0,3.32,10,306.0,153.01,16.0,10.58,645.5,223.7,11
f6564aadd664dbbd4dd902ff59b2532ea92270ae,0,0,0,0,0,195.0,43.87,43.0,9.22,276.5,23.49,551,305.0,34.87,46.0,13.42,2358.5,448.31,551
9c1ef73eb82f37a3b8e6b1f9f62685faae18b2f8,0,0,0,0,0,84.0,12.92,21.0,6.4,123.0,15.65,244,181.0,19.0,36.0,11.83,1430.5,219.88,244
cecde11191a77202e6f8147df9a3d23226124370,0,0,0,0,0,9.0,6.71,2.5,2.0,1.5,1.41,1,128.0,63.74,11.5,6.48,455.0,136.63,2
c8894077429cdb58f3adcd8672b9ece6d694f564,0,0,0,0,0,79.0,12.53,19.5,6.16,119.0,15.39,236,177.0,18.79,35.0,8.31,1354.5,147.0,236
5791ced985343f45e527054e473c38cf631a1fd4,0,0,0,0,0,3.5,2.45,1.0,1.0,4.0,2.65,6,3.0,2.24,1.5,1.41,4.5,3.74,7
7c2fbd08796b17eb5f360ebbcf333fbdf117e75d,1,0,0,1,1,4.5,4.47,1.0,1.0,2.0,1.73,2,1.5,1.41,2.5,2.45,9.0,8.77,3
f8fedab6d96665fd58ffb1682b86859b47fca64c,0,0,0,0,0,3.0,2.83,1.5,1.41,1.0,1.0,0,1.5,1.41,2.5,2.45,16.0,13.23,0
1b4a6d17db8c2f8194ac63e4a1d388bed2266c28,1,0,0,1,2,2.0,1.73,1.0,1.0,1.0,1.0,0,1.5,1.41,1.5,1.41,6.0,5.92,0
2db1f38ef9edb52cc7eaf14dc230b229b8ab00c3,0,0,0,0,0,1.0,1.0,1.0,1.0,1.5,1.41,1,1.0,1.0,1.0,1.0,2.5,2.45,2
55f50a861c6e8891c7e2d94c73ca667181bcaf2f,0,0,0,0,0,103.0,14.32,32.0,7.94,7.0,3.61,12,271.0,23.26,35.0,8.31,1243.5,99.66,13
fd8f9075b02fd926f00faab540a70ef97ecaa3ea,0,0,0,0,0,102.0,14.25,31.5,7.87,1.0,1.0,0,264.0,22.96,35.5,11.75,1241.0,86.24,1
a939fb83ed286332ba6cfa467c23a94e898d6580,0,0,0,0,0,23.5,11.49,6.0,3.32,1.0,1.0,0,40.0,8.89,15.5,10.39,342.0,245.6,0
1098cbdb8efe6661ac12f61f71cf1b4c20b18e56,0,0,0,0,0,21.5,13.78,6.5,4.69,1.0,1.0,0,39.5,8.83,13.5,5.1,290.0,272.21,1
cbd8536b78b187766c67d21db3b81d284563a794,1,0,0,1,2,93.5,13.64,30.5,7.75,5.5,3.16,9,251.0,22.38,34.0,13.96,1021.5,293.26,10
f0f7ec8c9552198125a6d10263ea9a8d2a001774,1,0,0,2,3,94.0,27.13,30.0,7.68,1.0,1.0,0,250.5,22.36,34.0,13.96,1015.0,248.94,0
4113c41b1ae21534ee70acfffb061ae6eb928b8c,1,0,0,1,1,92.0,19.08,30.0,7.68,1.0,1.0,0,250.5,22.36,33.5,11.4,979.5,108.25,0
020d72d12cc9268f15809faf9dc69cfaa29c648a,1,0,0,2,2,90.5,13.42,30.0,7.68,1.0,1.0,0,250.5,22.36,33.5,11.4,977.5,88.34,0
57b5bf54659ed985af8541e38dd82a359cbc9f42,1,0,0,1,2,91.0,23.17,30.5,10.86,1.0,1.0,0,311.5,248.75,33.5,11.4,990.5,241.93,1
368ccb07d097660156eb19a0ec2042bc53e68238,1,0,0,2,3,89.0,18.76,29.0,7.55,1.0,1.0,0,248.5,22.27,32.5,13.64,969.5,214.38,0
2a4b9f4fa80d44f53444e1f8aba551ca301a0704,1,0,0,1,1,88.0,13.23,29.0,7.55,1.0,1.0,0,248.5,22.27,32.0,11.14,959.5,87.52,0
1e82081635431f487219f556b78a723d662afaa9,0,0,0,0,0,88.5,22.85,29.0,7.55,21.0,6.4,40,235.5,85.32,32.0,11.14,966.0,180.43,41
8b39548881a03ecd6d87c7298aee841c5388aa4c,0,0,0,0,0,86.5,13.11,28.5,7.48,2.5,2.0,3,226.0,21.24,31.5,7.87,956.0,61.81,4
709182a5b395581878000ef1a6f3f5aa07d2dbb2,1,0,0,1,2,3.5,2.45,1.0,1.0,1.0,1.0,0,1.5,1.41,3.0,3.0,69.5,49.78,0
896baa1cf58391840ce1ffba755cf7ffa76242f0,1,0,0,1,2,79.5,24.9,25.5,12.0,1.0,1.0,0,208.0,77.56,30.0,14.97,849.5,263.81,1
d5396ed18fb2e57a9ea52752a7a6e535446c5dc9,1,0,0,1,1,75.0,21.0,22.0,6.56,1.0,1.0,0,190.0,19.47,28.0,10.39,586.0,83.64,0
d12f34dce97aa639f09597f6cb18f78772148199,0,0,0,0,0,73.5,12.08,22.0,6.56,1.5,1.41,1,189.0,19.42,28.0,10.39,584.5,59.14,2
8a2f3a8fb8365121d7069b2edb0f83ae852b1c93,1,0,0,1,2,43.0,15.78,15.0,7.48,1.0,1.0,0,133.0,132.98,22.0,11.09,425.0,212.61,0
