"mergeID","isConflicting","existsCommonSlices","totalCommonSlices"
"5890401f3a5388dc617a27af16a216eab7ab8c4a","0","1","1"
"8e5bcf0b665682f7810a78b527d90ab9c9a122ed","0","1","1"
"c406dc5befb5e4346e4bcb74454c53d56c893ef5","0","1","1"
"6a43454340d6784170f1d3377ba4d2663d75f4be","0","1","1"
"5f271114611794f82bedbff729c4334cd98e1e41","0","0","0"
"930c3b570b3a3a51ff402f869bf2f68b81278997","0","0","0"
"8d98590a267ba3865df7023da869dac6ee580dc6","0","0","0"
"40823aef273d45a0e4cee4e0d197b2760e012b90","0","0","0"
"968a73674b6a62cfccb11b43ff4a78158df35f90","0","0","0"
"0c6f5a4b01c8ba9625a8d192af1bea81ce620126","0","0","0"
"3c397978c4d8c189a4ad1047195afc36df37f947","0","0","0"
"a966338e1d891d0d36b019d8a0d2aa8aa1792221","0","0","0"
"91e04080232bacc2d0ae2f7ed8633ffd7b70dc51","0","0","0"
"a3d59f7168df8c69b71d6e763599edfcfaea27fa","0","0","0"
"0666aab20945becb1b6efcfdba4e0a2138d9081e","1","0","0"
"bfbedc863b6e6e08cc7948bec53fdf6a9d915739","1","0","0"
"2a1a938785b7eda099ca3620f113fd56554553ba","0","0","0"
"f266851bb6824e289b3011548ad3b04ba7f4521d","0","0","0"
"912716e141725bce8bd44122ccbe9ced3009c83c","0","1","1"
"d26aff579f3f2ee2218309817246f3ea416b8663","0","1","1"
"33c97d3cd872c12a1c58de2543c432b9a06a9e3c","0","0","0"
"9906a6e4f66e86e40c9fa1cb540d95e30c41a48d","0","0","0"
"c0430952b473a1d9ec807fa1dabdf46b8198c383","0","1","1"
"5aba55ce4678490f2831f005a5d1599d066ea8fc","1","0","0"
"42daa56d985c94951820256c81d17d2facd3e300","1","0","0"
"3421059e8370c80911fddcd48db84acea9fc1b97","0","0","0"
"0f1b5c7e421c6b6d010ad48ee000d5a5a3dbb343","1","1","1"
"6ae09bfb63a1015a39fca92ce919576c1a41030c","0","1","1"
"cde296588fca7eb2d3cf49b0a1323b1b2be95d3e","0","0","0"
"2e6bb8f19f98b6e5bf3608c46f6a897d6cfe8f36","1","1","2"
"75ef654110eaa284798e277f6f7c1bbf41eff593","0","0","0"
"459f1bbc87706341e47b7c911230c162a35d3eb9","0","0","0"
