"mergeID","isConflicting","existsCommonSlices","totalCommonSlices"
"89becb23d82f81fceb90f275a9ae944259321ee4","0","0","0"
"2b6d173395b3c59d43950f8b349962eb0ffa14a0","1","1","2"
"e5ce4e41454da4a2d5d0ad5216fe4f66000a65c5","0","1","1"
"0ed69327a0e2ed75d731c9c24f7b8d333db58e02","1","1","2"
"759122f67ee211ec55e6a7fe0d4180ad9e54f233","0","1","1"
"e34b6d7eb81bf44149ad8f2527aa0537d6faf899","0","0","0"
"5d65c23c62f3f5e8dda05663b9ce51439f0bf0f9","0","1","1"
"fe0770482a7b0fa5b319faefc6d038e68801edee","0","1","1"
"28588a7ef66b5b5fd19c6b4e534ad0f28c78755f","0","0","0"
"5cfdcbe16eb7563c6c087c894c084dd1a2768016","0","0","0"
"8eccbe379b7e7802a294bc8df2ffb196769b39f3","1","1","1"
"02d2e5a051ab4735e7614b48fc2847141b688996","0","1","1"
"a6765f8e389c0cd81e85247243d89035b3e2903c","1","1","1"
"726fb82d3d739190eb918ab1563420c2c4a3ff82","1","1","2"
"2ad16272902c6f3beaee48f0ab0953f9c873ff39","0","0","0"
"5048a7837f97f451d0139f519ca9d4e51a50bc15","1","1","1"
"050ec0efc4623415aae787b5233a6cd4f07ced23","1","1","3"
"3a4eb9e716b0f03e4abe5ec60d6978a52da100f8","1","1","1"
"7602eb9fc39c04a918ad6b1dffe4f3e38ce985a1","0","1","1"
"0d054dc0d9a9fe12257e7422356eb55a2fed1d6e","0","1","1"
"4fd028212d58213d46c81b4d22add010b655ecbf","1","1","2"
"486a3b99c001564e849bac6259a395bbec4ef1fe","0","1","1"
"e7fd2c4ac73e0eb892f67d83fa5ccc37bc7732b6","0","0","0"
"feb2062591905b4f159e03a4d2de05ef59611b87","0","1","1"
"856f8e577163b4fc7a8f51bdef63d164401ced98","0","0","0"
"763967bd792d4f41c109f522e7d1d60d14e17d2d","0","0","0"
"63a0e8047f33e20eab9afbe572043aa86a4a4d52","0","1","1"
"0a13c5f6e648faa6d0a626dbf3cac228996e2c05","0","1","1"
"c21d7f013fa5108ba7ecc3c7a33de0251aafc604","0","1","1"
"c9cc66801ec1793af66e5ae5ff50f4fc8b32ca1c","0","0","0"
"6e09fefaf56cdbdf447ad53b3263fd836f5780dd","0","0","0"
"ce0a71acf036c2b0d6934eebf60be94cd40f1eef","1","1","3"
"27d70582c2b1f31ef97224b14caf9454ec4cf741","0","0","0"
"b08fa39d4a45a3b9321911d88b657fa50d01d816","1","0","0"
"2201f95df96dd15247d4b5dfc4fd297e1f54e0c3","0","0","0"
"ae81717f00fdc1c9d247dbcde31e6dd931ec3364","0","0","0"
"6fa0032a3284b577e1c26fd42ff6339bb0752ce7","0","1","1"
"b4edd9ab81e80a0c3b02fc86312a90203766efd1","1","0","0"
"14e2c9e5c8c62b38e9e5e0e0eaa3a4eed160d160","0","0","0"
"e9af1cf1d53355eab6ae969b52cf10856d9ba3e3","0","0","0"
"aa324e04cdec93ad90668986b36fb087b4fabe61","0","1","1"
"034341f05dd9a8437c102eecb9afed8084072f97","0","1","1"
"3ebbc4a727a10ec7c805deea375ffa8c7eb88f48","1","1","1"
"380bd7581350a873c7ebf2d94d87fc1c438080ab","1","1","1"
"e13a05f57a7c7785058eb7bcda5bb4c241c10319","0","1","1"
"afee37ec96e49ee33b00d8c27598e20538f8cc29","1","1","3"
"9b90f287ff7b047e633ffb4f77604339a586215d","0","1","2"
"e3effddd88ed33580ea8507abab3b1d98326a89d","0","0","0"
"7a871dcbb377f1e1b502f4bfa0446de6e0a9d75d","0","0","0"
"df4686ff02c68422e93cf87d64f476b250842545","0","1","1"
"23d358767575153ddd9b104b4f8774eb546de888","0","1","1"
"877aac05eac2d15e4b204a6a4560ccd2b0e2a8c5","1","1","1"
"70132e2be65f68e53e76e3a17bcfb016f6f33fd1","0","0","0"
"9c4d1228405aca07c404e9965f7b5baa11a11b50","0","0","0"
"3fddacf5509abbafc235ec249cd661955daf3c40","0","0","0"
"b5df2a8036404ef4d69e4d5cc57fac1763f27310","0","0","0"
