"mergeID","isConflicting","existsCommonSlices","totalCommonSlices"
"33747ea5536861bf6a45fd9272f359e531fa39a2","0","1","1"
"89a0291e29afd0bec35c73e123e75027ee3f1e00","0","0","0"
"ac5f95489ad466bd92378043dffe3978bc96efc8","0","0","0"
"72bb1425985e747fa6768bafc42a034f1b048698","0","1","1"
"6bdd47a7effaa4b00b4d1756cbf70e7e15401cea","0","0","0"
"c938427200f9d9e9a19dedf1cd39deb93246f63a","1","1","1"
"3215bd0923318f5303cbe7aa8f7146c6df948024","0","1","1"
"9b2bf867d1e7941f602dfa473911fdc2779d117e","0","1","1"
"cbe1cae21d29c338908f4769a19ada06aae00af5","0","1","1"
"7af338f9e9589f973101665a6dba21c1cbb109c9","0","1","1"
"c9966b817c8cada8cf0d53d7dbd34c3c235f708e","1","1","1"
"645ac415e64abe87f639fc2f3e3f7506ab0665dd","0","1","1"
"06c670bf0143fe0269ec724e3d7a1f6a6fce92e9","0","0","0"
"e62fbc8f2a02d5f2a1435e851fdb0710d033b870","0","1","1"
"bae6a3224dc3633fef1c6383f1216574754e472a","0","1","2"
"51d7117ac97b9340417616da7d61f33c730656d9","0","0","0"
"bb883e097596786cd83eed9689e46b1c156dfe24","0","1","1"
"ed8af524482cc56f4a5034ec7f43d2566266028f","1","1","2"
"b953b74d053cb0fff4ff555e6e42b3810fdae30d","0","0","0"
"9b85eab6cddb05a7750132fb06aa7ef5f2e08851","0","0","0"
"aa06730d7cbc4232fa4b1e31a6301f61ccbe8ebd","1","1","2"
"a38ee9d8913e05b1993f90c358be5f5397f529eb","0","1","1"
"1682de061f4e6bae3ae81f9902d6eec9c1f8011d","0","0","0"
"0cc67dc3155be1d50b617de8f19e1897ad346894","1","1","1"
"92d4cbe154a25b61eabc5123c1816775376b971e","0","1","1"
"0e9f1172a6580d907de4a8fca8525b535c25f82a","0","1","1"
"7b7b7cee6e6c4cd327ddab0a903f2772e11349d6","0","0","0"
"8ef997973bc135dcc76bd7c862b77281014fc3d4","0","0","0"
"d29a2dfba7a632bbd9dd0f0269e2b2537adeda17","0","0","0"
"e8642cbcd86b3ba2a19be803cd0ae09c9814337a","0","0","0"
"599f3df18105cab1e716b0ccfcb1d570320a7f8b","0","1","1"
"1f0533fd62ccda1374af694f18ad14f10413a13e","0","1","2"
"08579a125414fc5e5a7193a87009493b4cefe806","1","1","2"
"ce666a0db8946e4f07f9dfc3020120c9ee04b61d","0","0","0"
"b6f863102ed0383e9c9d9dd6233cf5cf3ebcb6f1","0","1","1"
"e1eb887adf6ab93ac47a6aa618da26eb60f8d877","0","1","1"
"6c6936eff36c143ed9eb9e584ddb4717ae0ab712","0","1","1"
"543471cd17a110aab60def2de566a7b1c414de72","0","1","1"
"d04ba396b7e2eafda060807bc267c24bf0edcf3c","0","0","0"
"98db5fab16d79444d81aae34abb52fadc04443b5","0","1","2"
"57fca9ab473dafc5a4b68bdb23c5b409aea2a3ad","0","1","2"
"3c27a56b5957438e145ff56b20c8624bc8db5ab6","1","1","2"
"3b9cffb0a36ade5d90d22104eb1e8a6339f2fa71","0","1","1"
"e07091a4bbdc3d7be2c64f2e87a3d6bd6902f55c","0","0","0"
"903093c5df128ee19a144b9b86f79de67a565336","1","1","2"
"3a141f990820a2374fcaca6194bb51cfd96ea6d3","0","1","1"
"a478bd46ef907aac505becf36510d82864c9415c","0","1","1"
"bfeafd170fd09afc875256f3ab2458d731c44c4a","0","0","0"
"aef86c2b008a364886511a7eb7235063e415d9b1","0","1","1"
"993f97178b01d357c30156f9595f782f12847ae6","0","1","1"
"16506d45b5d5ddf97b181ed52b0c0991f2d8732c","0","0","0"
"56e1227f6329acc4d85c84cad16f7a6fbb2b6e6f","0","1","2"
"73f45810bd512bf54f07e7c3e87a17f54cbf0f38","0","0","0"
