"mergeID","isConflicting","existsCommonSlices","totalCommonSlices"
"90a486a8d83c5fa6e77aacceef53c49dc76cb0b1","0","0","0"
"d64e8509c5cfe1a43f9610e608a78b849083e7e8","0","0","0"
"d2092938deaee7f7e6388a09f27dd1f73039a960","0","1","1"
"39ccb6090351ac085fbb80329e536d4bf0257134","0","0","0"
"6a19421fa0513750f9f6e19634d77cdf74a0e605","0","1","1"
"3a7b98560eb276eed7586d02f67f606fa6128954","0","1","1"
"97b8fa42d77134b55598686fd286c0b1f3378162","0","1","1"
"1058ca927f8783e9fb0a0814bd05ec93620a5db0","0","1","1"
"4ae3ca4dbde294524fdcdbb72a23c74fd181349e","0","1","1"
"6de3e03724758cfd4c20bfe143275bf3a965e1af","0","0","0"
"56cc25071fb6e230cfcfc13011208ea49e366de8","0","1","1"
"e82e59632d46ea84386287aeb6458420864bfe9e","0","0","0"
"e30f7ac3c8186a703f9f206e53cabd2e96082963","0","0","0"
"46dbdf0d3a650b19cb3ceaa43522b06a7d6ad41f","0","0","0"
"ab42d4524f6dacbf589133cf12cad0757181ad25","0","0","0"
"88765dd66b83f00ec5380fc7dbbb5087056bf1e3","0","1","2"
"d3beb7ba731e18a8fe0f22f0653ba72132ab820d","0","0","0"
"6cfb87d2c41a2c362ff081dd425ddeb67fa5b81a","0","1","1"
"2d651dbebf1e90bfbeb79d57dba8d690ad107d01","0","0","0"
"550add9f9421040d01ebb48df09c17d0c7627ea7","0","0","0"
"9559791f727fda51be53c01e77025298fbd6e8fd","0","0","0"
"9b2f9189d2faa5b2376f934003deff788af2b566","1","1","1"
"6608b9dd44610b2d606f7a8da3206e5142b87240","0","0","0"
"a235fb212a0a72cfff51fd4a81b16353d132e6f1","0","1","1"
"3d2f79b2e13ec04818dfdb2d986d562c4b78cb5e","0","0","0"
"f2e02f2631dd38642a6f1b46e822c6c2d25745b3","0","1","1"
"999187916c7322e227fd156eae460fa776693e4f","0","0","0"
"736278932754bf1af0627abbfb9b3a61cfc0aaa3","0","1","1"
"1081eb6aa124d9c284896db107ba8d9cc50e4d1b","1","0","0"
"a35072b3984c96b6b2bb51d5fdb502763419d8e0","0","0","0"
"a68a98399f91ee692f77be9ab18ce094915d34e2","0","1","1"
"39ccb95b1c53293a3a097adb11ac6667cf07d485","0","1","1"
"20587b0fa93220fc4d11682aeb7c01b938ba2e27","0","1","1"
"86592afbbf795d22e3b9a859fec8f4cb2280bb08","0","1","1"
"1421181e1a74b085206505307c34424f2615effb","0","1","1"
"942161c75fdc999426c3e5889965dfb3820fefc0","0","1","1"
"96cbc237a8cdd5ec53a91e012e9c58e10af2b22b","0","0","0"
"122c75ea849f707c6d9de0b407ad1aacff89d082","0","0","0"
"1877b7be5645311c484a67866012a06d9aa8d864","0","0","0"
"56abf53689bb4c2209a9ea5ebb124bbe250ebb9c","0","0","0"
"4eb42b3ec317dddebe2424f0c6e174b5f45ca767","0","0","0"
"c60cd8164d573cc1e7073c99c77cdd38aa98c9f6","0","1","1"
"bd67819624a1167ac185678ba035c71b8ea92913","0","0","0"
"2e81af7854dcea83a9210345a95cadf2ec2824e9","0","0","0"
"18d92f09f71b7e3939a00b8202ca2a750ccf5440","0","1","1"
"050e34ebdc1dc22efa8605d7fa1454e626a1b720","0","1","1"
"08d0af47ed577c62bb2ef7c55e00d7b46dfb3417","0","1","1"
"6339a6448ed8b4ed14ad90325db606aa9ca703a8","0","1","1"
"a1dff7d53e1fcca90bafa0e3c5e22683dd31143e","0","1","1"
"db3b1fe72b335247a4a5790799632a94847df378","0","0","0"
"525cf620200b92ba63df5639b5279a2ec8375c20","0","0","0"
"aa52d19e278601ecc64419a73b46934699e1080d","0","0","0"
"93d7cb12cdb6cae3ae088564b7cd9f7cf5b79831","0","1","1"
"012d7e589648a37aaada65806d56e54aa422fc95","0","1","1"
"3d2ad059afe3baea84ac9b199128b898b347764c","0","1","1"
"fdd05971b97ef5b155788a40619eb9b89a81cc38","0","0","0"
"a545bb106b01d74365f231cf6fbb9fe9534532dd","0","0","0"
"dd13cb48473d856ce791723164c2546b241e6f82","0","0","0"
"ecc70ff1fb1f30556d6364e13664ad028ce81ab9","0","0","0"
"655c1c393341ac6e961c4a5e9f75f9e60ff39c26","0","0","0"
"23705786796424a3b36be77c1e78d7316f89bb00","0","0","0"
"628c23ac043012160341632b6e15298289151d77","0","1","1"
"bdb738c7bd56261a4bd0b2bf14491107ed1a7896","0","1","1"
"881c55e14112400cd89b8f0fb1d9c4c73eb59263","1","1","3"
"b6c022fe8b363b6b1bdcdd21af8fcd1dcb6282d8","0","1","1"
"2b44024f1d9c8767baeda27c72964f351af93551","1","0","0"
"670a2f56bc4de6cdde3101919ebd1c2d9fcf948b","0","1","1"
"9b8be37152bb09011922a13f7c7e143cfbf6d177","0","1","1"
"56b055ae61c211aa441c79884986dda125471335","1","1","4"
"b860286a816573db5dfdaffd0c20cb441950be2b","1","0","0"
"78ec5b1e9f0c9d3f04fd0ef550a37434ea487ca2","1","1","3"
"ffe4b81ccfb40670a3f8e5e6eda61cec14c365c0","0","1","2"
"3561b2a9bbaa5e04197a18326d54f7f474fa48aa","0","1","1"
"fa01cfb28f53cbc83b7d3107cb64889912213d9e","0","1","1"
"0d10395fe9be2d107096d3f2efacb049aa9a2b49","0","0","0"
"7bb4334f2254155f1e6c1033a7a4438a3c836680","1","1","2"
"93049a373791388d914b95b094fdefc12d8a859a","0","0","0"
"60bf09e652c10a57c5d6cd65a3a7fbc65623bdf1","0","1","1"
"99c8d6b8d3ecfc76aaaeee29af49f9bbb8c04b24","0","0","0"
"7087775f024007f0fdec9be57eecbc3e1c210bad","0","0","0"
"35c749694641e6bd2fcf6d9073e8b8b17078513f","0","0","0"
"d88db48e7f152f0c0f23f46cdd4ac4567973b9e7","0","0","0"
"5c7f7a77fb50a6a49f64e995486720687eac3224","1","1","4"
"25f2cd5de798388533422333b7642bb4e2428a49","0","0","0"
"bacba8d735f010f977e0e497c905c9376fa44de6","0","1","1"
"8a7f288edeede5b55783815889dc819bf7beab11","0","0","0"
"9100c424450b747e0ae03c3684671376b36d59b0","0","1","2"
"daf13cfead5efdf92c4c67559f7cc4efbb6c1f02","0","1","1"
"c971cb48f7704c39589ec39fffd093794ff4e118","1","1","1"
"9e518c24b40e2e1da6dfc85c53ea39092a517db5","0","0","0"
"b032b613934d2df95c6dd12810bd5dc065f0d481","0","1","1"
"efae942cc3613364e960fcc8da8b48454434ad1e","1","1","6"
"0eec72b22e471b06cd00d754e297594ad3100683","1","1","1"
"76306f158b7bcfc2fcc2f99b066b25285b3b1825","0","0","0"
"df22c9fadf6f95d99931da4c4e4546fac94992b0","0","0","0"
"fc91851b85f18ff3fe156d475718958c5a040313","0","1","1"
"7b191544456947e52e4516f39a81f34088b98110","0","1","1"
"4fc7f57a671f923ba1babb3e6324693be1b63c2f","0","1","1"
