"mergeID","isConflicting","existsCommonSlices","totalCommonSlices"
"064237d7020136a67fb4ffbe93af1b84f1038e16","0","1","1"
"d4694fb34944581459fc504c5aaf7f96e56b9535","0","1","1"
"7f4cb59b5caeaac73cd9d1ed66d42cf64da89cc8","0","1","1"
"f1781bb6eb86b0be3bc86432db9c60e07d20cca4","0","0","0"
"1f9c4a118e9f7593acc9eba9d4b6522fcd7f08dd","0","0","0"
"5497d1f520750e99afb318fcb874f93b8a9e8cfb","0","1","1"
"17431b9dd58c66b88cbae8dfbfb1cc272c179a0c","0","1","1"
"942cc393adef9885908425167c290019d084f49c","0","1","1"
"0d7ff43c58fc1a45be8cb2fa63cd0cf023b79c5c","0","0","0"
"882390bea5f7038e415195d3936742e15057798d","0","0","0"
"1ba75bddd773790ad16e4a956b601e3295cb0a6a","0","1","1"
"b2f071a806af70e4f1678b702f4d6b08e45617a7","0","0","0"
"9159518a424cb1d3ddb0e083e6c0c5bc5cd6cbcf","0","0","0"
"8f41629afbd1e0bd7146ba2164529d65e7cdda26","0","0","0"
"08d1035ba30eec1d5314cca141048fb476073e07","0","1","1"
"f663a8c75f924722e3129655d07abe67a1b0e58d","0","0","0"
"1007b99f327a7fef0026c797308de6fa4ce57d14","0","0","0"
"13164b54d965756bb0d97bb9be0a2280ad586a0f","0","0","0"
"5bbf91c2b38722c534e0aafbad0232c9898bd17d","0","1","1"
"6746367dc92711c9d05282dde80dd3a32bc32dd9","0","0","0"
"f9e9654ec2a43ea5c572db4e94364a768bb0eb36","0","0","0"
"9d102e004e2fd9694704d9a08f145b3282a90ba9","0","0","0"
"26903c51f604bac41b938f7f651b681c2a20947a","0","1","1"
"65acda0410af22c1a5b232b9432d07f7557d3875","0","1","1"
"d1ced8004c070d1591a782a58c040b1ce4f7c23c","0","0","0"
"bd6ad77911677e9c1ef84597423006104135fae1","0","0","0"
"21a0da1e56fdac23e6857aa2b94a0a2ac46e4587","0","0","0"
"252e70ac35dd23d981727b1a936cd5dfff78aa25","0","0","0"
"2920c906ced322dd7391a208f6301aef997b4fba","0","0","0"
"959d233302f7ea438510f2d9e6f6875934649bae","0","1","1"
"7421d4b64c65c3d04fc5f808315ed0fbb5621834","0","0","0"
"f1deb5d41ec192d748261cce2f8152737dbf5c7b","0","1","1"
"371efb592b88dcaa46a16458119717ad00f6c0f1","0","1","1"
"f0ae239bb72216b01bf112e2f647606c80f3d15d","0","1","1"
"760d3fe2ce20f1e5d5c07baa3827809e80968795","0","1","1"
"2798109be25ef83c70a47402e65e504282ddee58","0","1","1"
"457b87fc433bce4620a43cbef961274b1d65a02b","0","0","0"
"b1efd3ea5457f58e7db6c2b2d4524414576e9559","0","0","0"
"ff0a202277fad2aa3caf717d3bcbf65cab74d958","0","0","0"
"ed5c121327c793cd744327369ba0e1b15637702f","0","0","0"
"5d826647738545a86e59509089fa6871966c378f","0","0","0"
"9ed9488bb8312e990726d19d7043be899dd34b3a","0","1","1"
"734c453e692369ba97d6fd5ecaa5aaec60d507fd","0","1","1"
"4edd712f2f6d69ddd41a6c91d72a80dc5f1c2d2c","0","0","0"
"eacc028e00eafcbebbd1ad465c7baf45a2257d9d","0","0","0"
"b326c3790956ee70e4bd33f464709042dd7b970f","0","1","1"
"023dec3870cd586d05e4b1d830730251ea202bd6","0","0","0"
"f34f7da2f5b4bb1e811499b8c0d40960898e8ec3","0","1","1"
"409bf5b6ab5f80e5efad5b75ead8690977c689ef","0","1","1"
"d55ae0152b2b47455593c0d3bc60dd5eab212560","0","0","0"
"783f1949749a7ca13035c31ac8e634461a4a8f4d","0","0","0"
"87984cd46625405f5518c2e491caeff998e56f5f","0","0","0"
"777b114847d320fe13bf6d40f344524133c605d3","0","0","0"
"6a5aae18572113eea76b0f6e05f40f4e842b0c64","0","0","0"
"a8163d297eea4272235068d54b358158badcccc1","0","0","0"
"c7b8ea91fe09d93df4fcd8ad6192496c4b412839","0","0","0"
"ad799cb8972c6b3857dc907cede8eddfbb0d5e86","0","0","0"
"35ca42671c84c6727314ff0acc0c22938b863283","0","1","1"
"101b10d48db9dae5d6e8e5d99c976f061cf2e1e4","0","0","0"
"f6664cc58154b082e6657c980eabb60f027de44c","0","0","0"
"ffc761b01851553a44d5b2131adcae78e09db2a9","0","0","0"
"dcce68f35428b428537b79a96e35e378efd72197","0","0","0"
"a38b9b82a5889f613108928be54e62450630d1ea","0","0","0"
"7359ae715e2102c96a31a6bc4a970a11fc289932","0","0","0"
"7b715125f583f494b5dfe2ccff154bfe3392500b","0","0","0"
"dac9363c4b55eed208b9229fc649b597a390f176","0","1","1"
"5226e4b30dd23a671ef9b850369a5d81f377501c","0","1","1"
"068486f7522f818f963d772e23293f0542163cc9","0","0","0"
"366d61373622722a178ebc1d1601b39c3f7b900b","0","1","1"
"a2a141b69a84a4a4eb8e11507bdb5e4b2b8d0c6e","0","0","0"
"60a356c222dce44a6db7814cf0c7344abafaee37","0","0","0"
"72dba4511a55212f551849cad48da41744c57a2e","0","1","1"
"6bc8bb1c993e5ed6dd4001f4437818438a37c1f8","0","0","0"
"b115f4bbb5d26140f8cef86e8e7125d397984352","0","0","0"
"8ab13041c631bb899fb48804429744bd6861b798","0","0","0"
"c35e5b5b453adb87091294f896a596b2b53df363","0","0","0"
"4911dad19f87a7270dad78267ace09a21ea6a23c","0","0","0"
"8999c59b16c3a65b8e8fab24fb5af60be9111c20","0","0","0"
"286948a9ba70454914eacf983015197500c05419","0","1","1"
"8a481ce7d085c359a80093cf9f067f312a4f95b2","0","0","0"
"c6c6bb0ae8493d71fb77dd1d1948f2c051394720","0","0","0"
"f1ec2d7523ad4545beaa984e32443d4e2dc9de72","0","1","2"
