mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
259dae626e5f70c5b219c18a043868d934e67436,0,0,0,0,0,2.0,1.73,1.5,1.41,12.0,4.8,22,1.0,1.0,2.0,1.73,9.0,8.77,23
efeb98bb2dd9f328401145d3801da15d6293b8e3,0,0,0,0,0,5.0,3.0,1.0,1.0,1.5,1.41,1,3.0,2.24,6.5,4.69,47.0,21.1,2
475e5ea4c902a05d0ba09b47e9832d1e34e04f5b,0,0,0,0,0,4.5,4.24,1.5,1.41,1.0,1.0,0,3.0,3.0,8.5,8.49,55.5,54.68,0
6db6e9b433c2500ffda93ec0a0b50f4d9487c94a,1,0,0,1,1,3.5,2.45,1.5,1.41,1.0,1.0,0,1.0,1.0,11.0,11.0,694.5,284.62,1
411007a8994ee7a9b960a3927a0e70cbd2352317,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,3.0,2.24,19.0,16.73,1
392e98534553f2e17e08d5e3d7cb63707131d3e3,0,0,0,0,0,2.5,2.0,1.5,1.41,1.0,1.0,0,1.5,1.41,1.5,1.41,3.5,3.16,0
c318d2a489ba93a66e541ddfc4207875bfc0237e,0,0,0,0,0,2.0,2.0,1.0,1.0,1.0,1.0,0,1.5,1.41,1.5,1.41,6.5,6.32,0
c493c3348e57f2e2be6a7aab25fcd3eb1040a175,0,0,0,0,0,18.0,5.92,2.0,1.73,1.5,1.41,1,7.0,3.61,9.0,5.66,938.0,96.72,2
a127af40e9cc97a354126486194200ba4e71ff0e,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,5.0,4.0,0
1764cee4de663e27c83d5cdcd489219f692bbd49,1,0,0,1,4,17.5,12.25,1.5,1.41,1.5,1.41,1,10.0,9.8,10.0,8.66,980.5,636.88,1
4ddc030d339ad49d136c26772848494d2b59c51a,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.5,1.41,16.0,14.83,0
b0b4e26cede5d4b7802e31176575fbe7dd6f25e8,0,0,0,0,0,1.0,1.0,1.0,1.0,3.0,2.24,4,1.0,1.0,1.0,1.0,46.5,32.25,4
cf6248a454449b2ab402d3b3799021a2ff20e516,0,0,0,0,0,6.5,3.46,1.5,1.41,3.0,2.24,4,3.5,2.45,5.5,3.16,152.0,24.58,5
0ae8a2e77a195584535d9a5fd0b7ce9fbb01a1f3,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,2.5,2.45,36.5,18.44,0
09bedbbc6c5667dd45d29e12cbba65517735af48,1,1,1,2,7,6.0,5.92,3.0,2.83,6.5,5.48,7,35.0,33.23,5.5,5.48,114.0,113.26,7
89ab466de21ab3f36b858cb0c382120e0f6eed8f,0,0,0,0,0,2.5,2.0,2.0,1.73,4.0,2.65,6,1.0,1.0,3.0,2.24,62.5,15.68,7
6e4b7669bfcf5f5e13ba2348cf0ff09f120c4087,0,0,0,0,0,2.0,2.0,1.5,1.41,4.5,2.83,7,4.5,2.83,1.0,1.0,16.0,15.87,8
415fe579beb1155d5afce4264da832d699a1c4a0,0,0,0,0,0,3.5,3.16,1.0,1.0,1.0,1.0,0,1.0,1.0,5.0,4.9,41.0,37.31,1
cf99f37427d2ca666279e0f3b3a15d52fbefdb3e,0,0,0,0,0,3.0,2.24,1.5,1.41,1.0,1.0,0,1.0,1.0,5.5,4.24,20.0,8.72,0
1b0f8f1c26bb3c704eca39866a9b1f8e69d043dc,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.5,1.41,16.0,12.49,0
0082f2e74ff1b95f0b20088f08ed3c8cc0ba74fd,0,0,0,0,0,3.5,2.45,1.0,1.0,1.5,1.41,1,1.0,1.0,8.0,5.29,148.0,48.0,2
507bc5316d212b2f9d9b9b382608269a8947ecfd,0,0,0,0,0,2.0,1.73,1.5,1.41,1.5,1.41,1,1.0,1.0,5.5,5.29,34.0,11.49,2
