mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
690e6cf7197dd9aa772e7269ca6687ddf9447cb6,0,0,0,0,0,2.5,2.0,1.0,1.0,17.5,5.83,33,139.0,16.64,4.5,2.83,32.0,11.14,34
3477979cb73dc4a8cad07e43041f66c117a5e8f5,0,0,0,0,0,1.5,1.41,1.0,1.0,123.0,15.65,244,139.0,16.64,4.0,3.87,31.0,30.2,245
4dcce2ed7d7023098babb94d882a2d90763f8f93,0,0,0,0,0,3.5,3.46,1.0,1.0,6.0,3.32,10,5.0,3.0,19.0,12.85,74.5,74.22,11
32c074a08c0651b3fb4379ade9b002454711a272,0,0,0,0,0,1.5,1.41,1.0,1.0,4.0,2.65,6,5.0,3.0,16.5,7.87,34.0,32.17,7
a52cf277b270cdc524e9517cc149a835a16f8b19,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,6.5,4.69,37.5,24.37,0
86c61fc49b781c0a06653a150c348edbca76fa72,0,0,0,0,0,2.5,2.45,1.0,1.0,9.5,7.75,11,3.5,2.45,22.0,15.1,284.5,212.2,11
a3505a9fad0a21ab54c333942aa39de5cf3a47e2,0,0,0,0,0,36.0,11.83,4.0,2.65,79.5,12.57,157,80.0,12.61,31.5,11.05,691.5,90.9,158
cb4b7987ec8f6bea5c0eea0d4849480c18eb319a,0,1,1,0,0,31.0,10.95,4.0,2.65,71.5,20.49,137,63.0,11.18,28.0,24.8,643.5,537.71,137
dd424eb12ab651562a968e1bcf5fad48890de880,0,0,0,0,0,5.0,4.9,1.5,1.41,1.0,1.0,0,1.0,1.0,5.0,4.58,159.0,128.97,0
c0fe7f5823f43ffcdaa9dd9856cb91b2c99f6566,0,0,0,0,0,54.5,14.63,4.5,2.83,15.5,5.48,29,123.0,15.65,35.5,11.75,6999.5,718.74,30
0b0fc2e6f0247e4b26b1aa8c8d1e8d9818021b31,0,0,0,0,0,3.0,2.83,1.0,1.0,1.0,1.0,0,1.5,1.41,3.5,3.16,45.0,22.45,1
f7a8ceabbbee42f8d6a5230505d4401d2b314636,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,1.5,1.41,3.0,2.83,0
ac273f1eb707637facd52398310556afef4d7e77,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,1.0,1.0,2.0,2.0,0
32481949985130144e28df06265dac60c42001c5,0,0,0,0,0,3.0,2.83,1.5,1.41,1.0,1.0,0,1.0,1.0,11.0,6.32,855.5,761.18,0
a9fdfc0cbc26d6ab412ec947a09b3455ed9217f1,0,0,0,0,0,3.0,2.83,1.5,1.41,1.0,1.0,0,55.5,10.49,4.0,4.0,57.5,51.03,0
4da5cf3a9faebce65ba16c20c66fabf4347b6d40,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,2.0,1.73,4.0,4.0,31.5,31.3,1
16025038c0316ed0ab9b7ebbe53a783ce3d8e7b8,0,0,0,0,0,3.0,2.83,1.5,1.41,1.0,1.0,0,1.0,1.0,4.5,4.47,106.5,87.65,1
6d89524420c845ebbe87c7b3af0990713febd29f,0,0,0,0,0,3.5,3.16,1.5,1.41,9.5,8.83,7,10.5,4.47,8.0,7.94,186.5,151.69,7
be4b8450e5a88de2f1f8eae9cb353f67b54da10f,0,0,0,0,0,2.5,2.45,1.5,1.41,1.0,1.0,0,2.5,2.0,2.0,2.0,31.5,29.33,0
e364e264ec4b54e8761e08bfa8d0211256497e2c,0,0,0,0,0,2.5,2.0,2.0,1.73,1.0,1.0,0,37.5,8.6,2.5,2.45,43.5,43.5,0
f6f668d5f2b4950c479e50f47ef0e959cb7c2174,0,0,0,0,0,2.5,2.0,1.5,1.41,37.5,8.6,73,1.0,1.0,2.5,2.0,25.5,19.44,73
134c8f1fa3c89e4cdfabba3013380a5b68ec256a,0,0,0,0,0,3.5,2.45,2.5,2.0,1.0,1.0,0,1.0,1.0,8.0,3.87,261.0,50.84,0
4991b55d4db30b70504f9b725f3c8952c0462774,0,0,0,0,0,4.0,3.87,2.5,2.0,1.0,1.0,0,1.0,1.0,10.0,8.66,266.0,88.06,0
