mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
0e6cb68a2572d24fe094e8b9af7068b6ab407390,0,0,0,0,0,2.0,2.0,1.5,1.41,7.5,3.74,13,8.5,8.12,17.0,5.74,388.0,39.34,14
bc913e077c2a9657c0fe526c7413bbf9ea0de3e6,0,0,0,0,0,5.0,3.0,3.5,2.45,19.0,6.08,36,5.0,3.0,6.5,4.69,113.5,25.92,37
a4bbe398d37a2b12303e43251d7ddde539bf48ea,0,0,0,0,0,4.0,3.46,3.0,2.24,3.0,2.24,4,5.5,5.29,5.5,4.9,112.0,87.43,4
8e229be8e6f67047286401e9e14da59cfe612fd3,0,0,0,0,0,1.5,1.41,1.5,1.41,1.5,1.41,1,1.0,1.0,1.0,1.0,2.0,2.0,2
64d5ba0977df4d8a31475fe12f62176c183f8266,0,0,0,0,0,25.0,11.87,1.5,1.41,39.5,8.83,77,131.0,16.16,73.0,12.04,3808.5,823.06,78
2e9e74e54064caecd88ec0eaf3d2c924dbd70610,1,0,0,1,1,27.0,22.45,2.5,2.0,1.0,1.0,0,154.0,153.61,76.5,39.52,3894.0,1432.34,0
9cc662ef7468044940c878439684a9c7adccbdc4,0,0,0,0,0,3.5,3.46,1.5,1.41,1.5,1.41,1,14.0,5.2,4.0,3.87,118.0,72.63,2
e49bb4d78ba86c1a713ae2bff550ae0e65ed91d5,0,0,0,0,0,1.5,1.41,1.5,1.41,7.0,3.61,12,14.0,5.2,2.5,2.45,12.5,9.17,13
f8a34ea7fa66adc27a08ebec55b553a14b0edaa7,0,0,0,0,0,6.5,3.46,1.5,1.41,8.5,5.48,13,33.0,8.06,6.0,3.32,36.0,11.83,13
e24c5f8d561c30f572763dae993ae2ae1b5eb9f6,0,1,1,0,0,12.0,8.94,3.5,3.16,56.5,54.61,29,50.5,49.94,13.5,8.49,464.0,74.38,29
318aaf1f46e957b2feac3342898504433c461f67,0,0,0,0,0,4.0,3.46,2.0,1.73,1.5,1.41,1,10.0,4.36,3.5,3.16,438.5,169.3,1
44b7a5e82fc88b85e65d64898ce67ae83a34f217,0,1,1,0,0,5.5,5.29,1.5,1.41,29.5,29.46,3,7.5,7.07,10.5,8.94,47.5,46.09,3
2f5ffa83396cc50cf9f4e7094e941ffd77bcd989,0,0,0,0,0,7.0,3.61,1.5,1.41,56.0,10.54,110,3.5,2.45,11.5,11.22,272.5,166.78,110
7c7783b226592953e317f0155455d1c4278810c2,0,0,0,0,0,1.5,1.41,1.5,1.41,1.5,1.41,1,2.0,1.73,1.0,1.0,1.0,1.0,2
a25fa5721aeb8733df1938b176c64612e428373d,0,0,0,0,0,4.0,2.65,1.5,1.41,53.5,10.3,105,1.5,1.41,6.0,5.2,243.0,109.36,106
0498157ff45955365197cf1541778b04e82eed7d,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,2.0,2.0,0
686ac0dc96131a2de05536ab922ea6a3875b12d4,0,0,0,0,0,5.0,3.0,1.5,1.41,1.0,1.0,0,1.0,1.0,4.0,2.65,76.0,17.32,0
922c9a5ebff5c31ca754d46f0bada1291cf8911a,0,0,0,0,0,7.0,3.61,1.5,1.41,1.0,1.0,0,1.0,1.0,6.0,4.47,146.0,112.55,1
f2045d781e813476f1cc48554eaa31e578182421,0,0,0,0,0,4.5,2.83,1.5,1.41,1.0,1.0,0,1.0,1.0,4.0,2.65,113.0,48.63,1
13f5c2f98fbc7b2e9c9a99ecdbebf6d70088a6f2,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,1.5,1.41,22.5,15.3,0
1502c1148d243e958e5f4c59733c5401f52e225c,0,0,0,0,0,4.0,3.46,1.0,1.0,2.5,2.45,1,1.0,1.0,5.0,3.0,88.0,18.65,1
9b665bc8c30a71aea78d48673b58fd633285750b,1,0,0,2,2,2.0,1.73,1.0,1.0,1.0,1.0,0,1.0,1.0,3.5,3.46,16.5,16.49,0
766e0c714943d87710f002e497520ad6e5b31f47,0,1,1,0,0,3.0,2.83,1.0,1.0,1.0,1.0,0,1.0,1.0,5.0,4.9,69.0,40.31,1
cce3f14b23e14dcd06007578d3abac9f67577c51,0,0,0,0,0,7.0,3.61,1.5,1.41,1.0,1.0,0,1.0,1.0,7.0,3.61,519.0,55.72,0
acadfbc2705d1883fd8a298900c74e8ef59239c6,0,0,0,0,0,11.5,4.69,1.0,1.0,1.0,1.0,0,6.5,3.46,4.5,2.83,515.5,64.09,1
d5d27bd22177f8cf2c9d6e1d7d5d837dd3900780,0,0,0,0,0,3.0,2.24,1.0,1.0,1.0,1.0,0,1.0,1.0,9.0,4.12,94.5,13.71,0
81ed60e0f0e4b4dd525d8701545c80440f132689,0,0,0,0,0,7.0,3.61,1.0,1.0,1.0,1.0,0,1.0,1.0,10.5,4.47,496.5,44.52,0
eac98234f402fdf80dcf9085ef9588c2d7a7957f,0,0,0,0,0,6.0,3.32,1.0,1.0,2.5,2.0,3,2.5,2.0,8.0,3.87,155.0,17.58,4
5f51607306a0014f021ecce670cf9134ebcca924,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.5,1.41,6.5,4.69,1
8e0a4505c5b799abe9319ac373b3e890ed4c46ce,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,4.5,4.24,34.0,25.92,0
2930b771491f02e69dbb8a30405d647c3e464c08,0,0,0,0,0,2.5,2.0,1.0,1.0,1.0,1.0,0,1.0,1.0,6.5,6.0,72.5,59.45,0
cf4440ce34b83ae1803b53abb0603cb11b6e84e9,1,0,0,1,1,5.5,3.16,1.0,1.0,1.5,1.41,1,1.0,1.0,9.5,9.17,97.0,96.12,2
