mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
9ae1c2b3b7f507fd3bbe22ffb5d84fc246726767,0,0,0,0,0,3.5,2.45,1.5,1.41,1.0,1.0,0,1.0,1.0,3.5,3.16,31.5,15.36,0
66f8d29a44f3021043b9573235d3e3164b33328e,0,0,0,0,0,4.0,4.0,1.5,1.41,1.0,1.0,0,1.0,1.0,9.5,8.37,59.0,59.0,0
15a783a89c31091128c5ca4ef93158490323326f,0,0,0,0,0,2.5,2.45,1.5,1.41,1.0,1.0,0,1.0,1.0,3.5,3.16,49.0,47.97,0
711b5593092f4ca7e576770c0db1843e6ca72375,0,0,0,0,0,4.5,3.74,1.0,1.0,1.0,1.0,0,1.5,1.41,12.0,8.94,259.5,106.81,1
e9248108c04652cb5f388b7ce9dc40a90a081e7f,0,0,0,0,0,4.5,2.83,1.5,1.41,1.0,1.0,0,1.0,1.0,13.5,9.59,120.0,70.65,0
f5aa2b3a6a8081693a2fb99494147e309145d30c,0,0,0,0,0,5.5,3.16,2.0,1.73,1.0,1.0,0,1.0,1.0,14.0,9.8,129.0,73.52,0
87dac1830c3b5080799c945f185fcd4a4a2c569c,0,0,0,0,0,8.5,4.0,2.0,1.73,1.0,1.0,0,1.0,1.0,17.0,5.74,189.5,80.61,1
f52706131349f3e0f60acb0eaddcc70f9d48dbe0,1,0,0,1,1,7.0,6.71,1.5,1.41,1.0,1.0,0,1.0,1.0,17.0,15.91,180.5,176.77,0
849e2294021528ac59a8e33cc3b20fdab4e4005e,0,0,0,0,0,4.5,4.24,2.0,1.73,1.0,1.0,0,2.5,2.0,3.0,2.24,33.0,30.74,0
c4e3f75a9d6da329a97d6e3b00d49c7b9eac30f2,0,0,0,0,0,13.0,10.25,2.0,1.73,1.5,1.41,1,1.5,1.41,17.0,9.64,402.0,128.23,2
ad86e86c3b403cb43554cd9ca473076fdbc0b2a8,0,0,0,0,0,44.0,23.81,1.5,1.41,1.0,1.0,0,8.0,3.87,62.5,57.5,997.0,661.43,1
13310a3c250af5594d4e9a5df4cf9478a8b517e9,0,0,0,0,0,38.0,14.8,1.0,1.0,1.0,1.0,0,8.5,5.48,41.5,12.73,826.5,213.31,0
a5957f51b7ea36dc0f31b0ae692d819ba55ea60e,0,0,0,0,0,36.5,11.92,1.5,1.41,1.0,1.0,0,7.5,3.74,44.5,26.83,943.5,690.93,1
3a0196daebccf5c4be94344d0357bc9b905bf6be,0,0,0,0,0,2.0,2.0,1.5,1.41,1.5,1.41,1,1.0,1.0,5.5,4.24,164.5,91.8,2
ab642bd23c7751e9427d852715038b731f1711f2,1,0,0,1,1,29.0,10.58,1.0,1.0,1.0,1.0,0,7.0,3.61,17.5,8.12,617.0,183.76,0
374aa8b3c5e1aede0903c86a2e7f2c07bc9a9128,0,0,0,0,0,26.0,24.39,1.5,1.41,1.0,1.0,0,5.0,3.0,20.5,20.2,570.5,490.41,1
97e602f6f29d2d75362cade910c085de9c2b39dd,1,0,0,1,1,21.5,17.49,1.5,1.41,1.0,1.0,0,4.5,2.83,17.5,16.25,446.5,182.5,0
06f15c0d4ae178e73b3cbcd4f71d07faea6216e6,0,0,0,0,0,12.5,6.78,1.5,1.41,1.0,1.0,0,1.0,1.0,19.5,16.43,192.5,96.61,0
db32d2568fa36cbdaea968ba4d21e9785e3dd93d,0,0,0,0,0,11.5,6.48,1.5,1.41,1.0,1.0,0,1.0,1.0,15.0,7.48,178.0,37.52,0
4b687f147abfac212fbedb202258bceeac7cf89a,1,0,0,1,1,26.0,25.51,1.5,1.41,1.0,1.0,0,4.5,2.83,27.5,27.5,583.0,535.28,0
57e4f818e81225bfe90a04759f83a94b66124773,0,0,0,0,0,18.0,15.59,2.0,1.73,1.0,1.0,0,4.0,2.65,26.0,25.98,873.5,871.04,1
a5a1fdee53adea98071f91f475855df384585e15,0,0,0,0,0,4.0,2.65,1.5,1.41,1.0,1.0,0,1.0,1.0,13.5,7.07,469.5,61.16,1
e36a28421276b6804184d3700f8a2cc8e4ddda47,0,0,0,0,0,12.0,10.91,1.5,1.41,1.0,1.0,0,1.0,1.0,26.5,26.46,640.0,567.96,0
c4adae5badd54ee18eee8445cebd8db8eeda6c86,0,0,0,0,0,3.5,2.45,1.0,1.0,1.0,1.0,0,1.0,1.0,7.5,5.1,48.5,19.29,0
1f4fbac1c9367655597dba2432271a0e76bd041a,0,0,0,0,0,14.5,14.07,2.0,1.73,2.0,1.73,2,3.0,2.83,55.0,37.75,1130.0,803.04,3
c56dbbf72a9710438390030002c91964eee51c25,0,0,0,0,0,10.5,6.16,2.0,1.73,1.0,1.0,0,2.0,1.73,51.5,48.06,973.0,955.06,0
665777f5c095317f0a4c68ef2ded5704f2329938,0,0,0,0,0,6.0,4.47,1.5,1.41,1.0,1.0,0,1.0,1.0,8.0,6.93,78.0,68.67,0
4891f44694f1e2b670efa81a58292711e768f2fb,0,0,0,0,0,3.5,3.46,1.5,1.41,1.0,1.0,0,1.0,1.0,6.0,5.92,57.5,56.53,1
fdd5b710a6a1d5302fcb5f1152a799515a67afeb,0,0,0,0,0,4.5,4.47,2.0,2.0,1.0,1.0,0,1.0,1.0,6.5,6.32,157.0,156.28,0
7363f38ab5d3f748bf38b255fa9b38b833141ecd,0,0,0,0,0,2.5,2.45,1.5,1.41,1.0,1.0,0,1.0,1.0,9.0,8.06,3885.0,1040.76,1
515cb4bb20e7eb7182f9506e71190585c5362da7,0,0,0,0,0,2.5,2.45,1.5,1.41,1.0,1.0,0,1.0,1.0,9.0,8.06,3885.0,1040.76,1
482c5d43e5fe63c39e120e73942073a747b69052,0,0,0,0,0,13.5,12.73,1.5,1.41,1.0,1.0,0,2.0,1.73,63.5,35.72,821.5,800.51,0
df6d2a749fe7e434abf4622e36b994f85610cc35,0,0,0,0,0,3.0,2.24,1.0,1.0,1.0,1.0,0,1.0,1.0,2.0,1.73,144.5,33.76,0
3cd39bb78f84c4cb00220ac0d6405ecf00a57293,0,0,0,0,0,2.5,2.0,1.0,1.0,1.0,1.0,0,1.0,1.0,2.0,1.73,143.5,23.87,0
74051391822599b5c5f43f6f9513c66bac9d4cc3,0,0,0,0,0,3.0,2.24,1.5,1.41,1.0,1.0,0,1.0,1.0,10.5,7.35,287.0,259.31,1
b977825e0c8325f59df10a7b351fe74f14b8506c,1,1,1,2,2,21.0,12.33,2.0,1.73,1.0,1.0,0,3.0,2.24,40.5,30.63,1010.5,483.17,1
1cd510ba8db84add1e58cda7e18743de0fb69b2f,0,1,1,0,0,19.0,15.49,2.0,1.73,1.0,1.0,0,2.5,2.0,35.0,23.43,1009.5,641.46,0
47a0f29fb1b372b6a0e58b18e1d06e93516d0812,0,0,0,0,0,4.5,4.24,1.5,1.41,1.0,1.0,0,2.0,1.73,18.5,10.1,630.5,221.0,1
86f45661a48ea9ed58162134885a7abe00ac9764,1,0,0,1,1,17.5,9.8,1.5,1.41,1.0,1.0,0,3.0,3.0,26.5,25.92,1269.0,1251.0,1
1f8f686cf58f943ede63eb5d5946b57aabcb8983,1,0,0,1,1,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,2.0,1.73,56.5,30.59,0
6e3d12ec7db6a740809c7a8a29974ecc3bf68b5f,0,0,0,0,0,5.5,3.16,1.5,1.41,1.0,1.0,0,1.0,1.0,4.5,2.83,142.0,49.75,0
fbf8f2a12fea68144fe70cb65cae8c1369cf71f9,1,0,0,2,3,2.5,2.0,1.0,1.0,1.0,1.0,0,1.0,1.0,5.0,4.58,236.5,236.27,0
146cf45a92ce114813f4ba92e2b1a922f2bb4be4,1,0,0,1,1,6.0,3.32,2.0,1.73,1.0,1.0,0,1.0,1.0,13.5,7.07,121.5,34.5,0
3dc8ddaa68282cefb902e63bbd240581632ba4db,0,0,0,0,0,4.5,2.83,1.5,1.41,1.0,1.0,0,1.0,1.0,12.0,7.94,97.5,51.96,0
f22b209872863607bf17b288f245c5afa7bdbf60,0,0,0,0,0,5.5,5.29,1.5,1.41,1.0,1.0,0,1.0,1.0,13.5,11.22,125.0,112.25,0
