mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
7c0a7e4de0d47450027f36a9b9bbdbc536202fb9,0,0,0,0,0,3.0,2.83,1.5,1.41,1.5,1.41,1,1.5,1.41,11.0,9.8,168.5,152.11,2
3c45da8d95226ca007d35d612230916f6d727632,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,2.5,2.45,8.0,7.94,0
bae8ca6a91423037e28fa70a4f3ec4b75ad1fdcc,0,0,0,0,0,4.5,2.83,2.0,1.73,1.0,1.0,0,3.5,2.45,8.5,4.0,103.0,28.43,0
429035a1a3ca2c09223fab4519f4b5b39f602352,0,0,0,0,0,3.5,2.45,2.0,1.73,2.5,2.0,3,1.5,1.41,8.0,3.87,101.0,34.29,4
2cd73bbc666e2c321360341ac888ad594c0d212a,0,0,0,0,0,2.5,2.0,2.0,1.73,1.5,1.41,1,1.5,1.41,7.5,6.63,98.0,97.75,2
f0acd82b4241b7ba0208d0bdc08604fb8d37af3c,0,0,0,0,0,1.5,1.41,1.5,1.41,1.5,1.41,1,1.5,1.41,5.5,3.16,52.5,14.35,2
3fe4b7818c30a620f9852574841c8f9ce4ed61b7,0,0,0,0,0,2.5,2.0,1.5,1.41,2.5,2.45,1,1.0,1.0,3.5,3.16,11.0,10.95,1
17e8fac25120ba833ecc454716c0504ee50f49b5,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,1.0,1.0,6.0,4.47,0
130b7aa0fa8e5efe171e8b59f29c748cb1954753,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,4.0,3.87,97.5,73.99,0
026d1df86c25749aa31f65ce703cc738f90d515f,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,2.5,2.0,18.5,10.1,230.0,120.35,1
