mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
b108466db5a66ec0ae7d5029b7f5e2c3e8191293,0,0,0,0,0,4.0,2.65,1.5,1.41,11.0,6.32,18,28.5,7.48,2.0,1.73,10.5,9.9,18
b2e9d127d6f6f386af7f0bf5be8a2033c5adbfed,1,0,0,1,1,3.0,3.0,1.5,1.41,27.0,7.28,52,28.5,7.48,3.0,3.0,12.0,11.83,53
00ac416847b91a52387e3e1f03ec29a6be25597e,1,1,4,1,1,3.5,3.46,3.0,3.0,1.0,1.0,0,5.5,5.48,13.5,13.49,409.5,409.49,1
1123a5a9ebb9dd66ff2db1d6ba4f268b1330034d,0,0,0,0,0,2.5,2.45,2.0,1.73,1.0,1.0,0,3.5,3.16,2.0,1.73,7.5,5.1,0
a500a744550573cf84ae899cc42cb0093bbbb7e4,0,0,0,0,0,12.0,8.94,3.5,2.45,1.0,1.0,0,7.5,7.48,9.0,5.66,410.5,75.49,0
270844beb11d88e548cc76ffb369066f2000c3be,0,0,0,0,0,8.0,5.29,2.5,2.0,1.5,1.41,1,3.0,2.24,6.5,6.0,371.5,76.68,2
e2688317a70a69d431370d7b0f97032901b9f9d2,0,0,0,0,0,2.5,2.45,1.5,1.41,3.0,3.0,0,1.0,1.0,2.0,1.73,36.5,11.92,0
f9adea5ad3e851dfa494a2ac5a99a1b445635082,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,2.5,2.45,17.0,15.49,0
26da817beb5f93c35e88283a6314cb06f54f3a4a,0,0,0,0,0,3.5,3.46,1.5,1.41,1.0,1.0,0,1.0,1.0,5.0,4.9,90.0,89.99,1
d80b18d30157bfba0b50e7292af98bd6f9755866,0,0,0,0,0,7.5,3.74,1.0,1.0,1.0,1.0,0,1.0,1.0,11.5,4.69,331.5,36.36,1
52ea49d04c56b83a3684594db03aaccca013f932,1,0,0,1,1,15.0,5.39,3.0,2.24,1.0,1.0,0,5.0,3.0,6.5,3.46,177.0,26.53,1
ae44e9530b57f299695c04ea6bb195d321cb6546,0,0,0,0,0,14.5,5.29,3.0,2.24,1.0,1.0,0,5.0,3.0,6.5,3.46,181.0,59.33,0
12d619b16fc3ff5601c54622286f11b5283cdec2,0,0,0,0,0,14.0,5.2,3.0,2.24,1.0,1.0,0,4.5,2.83,7.0,4.9,180.0,53.07,1
f74c18f9074f6d5608199788ec69fec0e0d539ea,0,0,0,0,0,11.5,4.69,3.0,2.24,1.0,1.0,0,4.0,2.65,6.0,5.92,224.0,223.28,0
240f1c090565a8041bbe083c9dcb23debf174fad,0,0,0,0,0,12.0,7.94,3.0,2.24,2.0,1.73,2,2.5,2.0,6.5,6.32,165.0,159.82,3
922d03cc9b0e1f31a516e73a521db2f27e988f5c,0,0,0,0,0,8.5,4.0,2.0,1.73,1.0,1.0,0,2.0,1.73,3.5,3.46,111.5,66.5,1
6be98d09d11be8ebb78e7649c93048ed3a5663ff,0,0,0,0,0,8.5,5.48,2.0,1.73,1.0,1.0,0,2.0,1.73,6.0,5.66,138.0,122.78,0
51a05de2a066641282fdda2718eb4756401d7db6,0,0,0,0,0,7.5,3.74,2.0,1.73,1.0,1.0,0,2.0,1.73,8.0,6.93,222.0,221.0,0
