mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
ceaf6c15daecebcb7a3c3aa487dffb15d0612d58,1,0,0,1,2,144.5,16.97,6.0,3.32,39.0,17.2,70,112.5,14.97,55.5,10.49,6976.5,833.76,70
c792b68ace06c464929ff691ac5edd4190f8ba38,0,0,0,0,0,2.5,2.0,1.5,1.41,1.0,1.0,0,1.0,1.0,3.5,2.45,26.5,14.0,1
6be95fac4acf3dd8cf7a4fbad5c6973aa4bedd59,0,0,0,0,0,2.0,1.73,1.5,1.41,10.5,4.47,19,1.0,1.0,4.0,2.65,29.5,14.83,20
2c798799c7c4506086dc4825e17e756fa2392b7d,0,0,0,0,0,8.5,4.0,3.0,2.24,1.0,1.0,0,6.5,3.46,9.0,4.12,1412.5,118.74,1
1122b41d02ceff445b2a59db625307e9e6b8d697,0,0,0,0,0,6.5,4.69,2.5,2.45,2.0,1.73,2,4.5,2.83,10.5,8.25,495.5,139.36,2
838493372b0734b3539c560364493905f9abcc4b,1,0,0,3,12,121.0,15.52,5.5,3.16,2.0,1.73,2,86.5,13.11,55.0,26.85,5411.5,1439.6,3
a83a3a8caca7ce923424ec0f3a86595f1ea51a4a,1,0,0,3,10,122.0,34.57,5.5,4.24,2.5,2.0,3,86.5,13.11,57.5,35.16,5400.0,1367.42,4
81077a85ddf414951252076203f2a2f6206aed36,0,0,0,0,0,119.0,15.39,4.5,2.83,35.0,11.66,66,85.5,13.04,52.0,10.15,5314.0,252.45,66
9909e1b698afa1f644caceee8529ebee204c502d,0,0,0,0,0,3.5,2.45,1.5,1.41,1.0,1.0,0,3.5,2.45,7.5,7.48,339.0,339.0,0
9c0b20942f873831bdcb87716ea6eb7e6d0d8f8a,0,0,0,0,0,1.0,1.0,1.0,1.0,4.5,2.83,7,1.0,1.0,1.0,1.0,11.0,10.95,8
04d9d8a3dc241691292e4d296d241077274b6093,0,0,0,0,0,2.0,1.73,1.0,1.0,1.0,1.0,0,4.5,2.83,13.0,6.93,513.0,78.23,0
