mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
2ab36d4d1e07e99a6237c1436d011ae7687197a5,0,0,0,0,0,11.0,4.58,2.0,1.73,3.5,2.45,5,2.0,1.73,9.5,4.24,89.0,18.76,6
72a037a0bad86c5a703763df433a22b94c95f360,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,0.0,0
66632521a6432e538e1fb8c5b8d1476e0bd97b0e,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,1.5,1.41,4.5,4.24,0
c17cdbe382d5a02c7db8f1904e6d79242cbc3f2f,0,0,0,0,0,16.0,5.57,1.5,1.41,2.0,1.73,2,107.0,14.59,1.5,1.41,18.0,13.42,3
41f7450e03f151f9268ccf50e240452c95c31911,0,0,0,0,0,42.0,19.87,3.0,3.0,12.0,4.8,22,168.0,81.33,38.0,12.17,3670.5,2978.15,23
e4ef94c6f135db46f47a2741a467d9e5f31e1392,0,0,0,0,0,41.5,19.75,2.0,1.73,1.0,1.0,0,158.0,17.75,5.0,4.0,821.5,424.21,0
2156dc0bb2e2a96ae794b7200c364f29a5ce2969,0,0,0,0,0,41.5,21.49,2.5,2.45,6.5,3.46,11,157.0,57.73,22.0,9.17,2105.0,2023.52,12
45e06fa9856dd313b734c8f41bb6e08794ad9d32,0,0,0,0,0,40.0,17.44,2.5,2.45,7.0,3.61,12,147.5,38.08,26.0,10.0,88762.5,16382.92,13
466b94851c3be0351c99cad96246b1ab90b60375,0,0,0,0,0,40.5,21.21,4.0,3.87,3.0,2.24,4,143.5,23.87,10.0,6.0,1657.5,1652.2,4
7681685144376493542523e6fb8fbf976e7d228e,0,0,0,0,0,38.5,14.9,2.5,2.45,3.0,2.83,2,141.0,16.76,6.5,4.69,855.0,531.15,2
01a37ca6e457d81305bcd0d312b9de37f94d11c2,0,0,0,0,0,39.5,20.93,4.0,3.87,5.5,3.16,9,137.5,32.92,8.5,5.48,847.5,509.17,9
010785574b22738229b2f2c57e5e01849bae15d6,0,0,0,0,0,37.5,14.7,2.5,2.45,2.5,2.0,3,134.0,16.34,71.5,16.79,55180.5,12883.12,3
3313b81edd6ed24818f68c4acc2a10c63d187fc0,0,0,0,0,0,36.5,11.92,2.5,2.45,1.0,1.0,0,133.5,16.31,3.5,3.16,775.0,195.26,1
d084c7181d9b3eb4f42b93c1ac25ce2ba2b49178,0,0,0,0,0,35.5,8.37,2.0,1.73,2.0,1.73,2,132.0,16.22,4.5,3.74,1781.0,1762.51,3
ab62d9d5d986fdd8eba5ccd2ffc8cef9f58dca4d,0,0,0,0,0,35.0,8.31,2.0,1.73,1.0,1.0,0,132.0,16.22,1.5,1.41,763.5,55.23,0
299449a9826d5e81749697499ad22d14505b0cd3,0,0,0,0,0,36.0,16.49,2.5,2.45,2.0,1.73,2,130.5,16.12,77.0,17.44,55772.5,12953.01,3
3bed875c2d15e53774436434aa39b5a47e30075b,0,0,0,0,0,34.0,8.19,2.0,1.73,1.0,1.0,0,130.5,16.12,2.5,2.45,776.5,206.64,0
5c71e7b1671e5c22d34eda49084bcbd77f789fe5,0,0,0,0,0,33.5,8.12,2.0,1.73,1.0,1.0,0,130.5,16.12,32.5,11.22,30402.5,9508.0,0
9a5fb7fd17b044ee2eff97d3be27f2f4302b796b,0,0,0,0,0,34.0,13.96,2.5,2.45,3.0,2.24,4,129.0,27.66,4.0,3.46,781.0,237.54,4
b6b46e64e210c257c9d32160e62b2d4d0c89cf02,0,0,0,0,0,36.0,22.63,4.0,3.87,11.0,4.58,20,120.5,40.47,15.0,7.48,868.5,568.59,21
77aa0ab8615471ab68c5d44c58c6cc33140c04e9,0,0,0,0,0,32.0,7.94,2.0,1.73,1.0,1.0,0,117.5,15.3,2.5,2.45,813.0,392.46,0
a85da86cd565b257eee01a4ca1d7cd1372fdbeb0,0,0,0,0,0,33.0,15.75,2.0,1.73,2.0,1.73,2,116.0,15.2,81.5,17.94,79846.0,15530.77,3
5f84df0eafe5b45ac79cae2b7e4f11b1d4b16d67,0,0,0,0,0,33.5,19.13,2.5,2.45,5.5,3.16,9,113.5,36.41,28.5,10.49,4940.0,3569.51,10
a138d75af6b90e0f76776a7d40133317da38626a,0,0,0,0,0,33.5,20.49,4.0,3.87,6.0,3.32,10,110.0,45.83,123.0,22.09,84122.0,15945.11,11
2412b6487578eb093ced45e648ba23d0f71fa890,0,0,0,0,0,30.0,7.68,2.0,1.73,2.0,1.73,2,104.0,14.39,105.0,20.4,103340.0,17687.89,3
39ed7df10ebf37aa9641e888b01e19b5c490f30a,0,0,0,0,0,29.5,7.62,2.0,1.73,4.5,4.24,3,101.0,14.18,4.0,3.46,820.0,418.78,3
e5822834451f6d4b62a14de6d775b17a6e73d50d,0,0,0,0,0,29.5,10.68,2.5,2.45,22.0,6.56,42,91.0,61.58,6.5,4.69,803.0,351.46,42
d7db88ea29b72f6dbb4cee9b6f15919de6c7f985,0,0,0,0,0,29.0,10.58,2.5,2.45,2.0,1.73,2,78.0,12.45,5.5,4.24,901.5,651.11,3
6bea1883d3f0b335b333d9093a16934666d5ac43,0,0,0,0,0,28.0,7.42,2.0,1.73,1.0,1.0,0,78.0,12.45,1.5,1.41,765.0,87.32,0
9dac0fd6d8aa3ba19e60fd5e9c1768849834a78a,0,0,0,0,0,28.0,14.42,2.5,2.45,1.0,1.0,0,78.0,12.45,2.5,2.45,768.0,155.95,0
7ce8b710b33c7518e8f8dac1d2375ad4bba00795,0,1,1,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,3.0,3.0,8.0,7.42,0
0d3d32887a820c039e9f434ba7164012b9ab19dd,0,0,0,0,0,27.0,12.37,2.5,2.45,3.0,2.24,4,75.5,12.25,10.0,6.0,905.0,663.93,5
