mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
4ac989955e5c9b1ef272748c51dcd3bc73086a77,0,1,1,0,0,3.0,2.24,2.5,2.0,1.0,1.0,0,1.0,1.0,4.5,3.74,43.5,27.75,1
404a155c74d2966b61936a9b2d39e468942a933e,0,1,1,0,0,2.0,1.73,1.5,1.41,1.0,1.0,0,1.0,1.0,3.5,3.16,38.0,20.49,0
f26fe56896c58bcc7d9a795c13f75974f1dcf9d5,0,0,0,0,0,4.5,4.24,1.5,1.41,5.0,3.0,8,5.5,4.9,13.0,10.95,202.0,197.8,9
cef1b0a5854112bda363dfda07a99a5797066da1,0,1,1,0,0,2.5,2.0,1.0,1.0,1.0,1.0,0,2.0,1.73,3.0,2.24,80.5,62.69,1
c5e6f9929ad3e23a90eaff03c2d0af2bd9d1a6a5,0,1,1,0,0,3.0,2.24,1.5,1.41,2.0,1.73,2,2.0,1.73,4.0,2.65,75.0,12.21,3
6cb66d9de795c457b0d022b7325602568f0bd0b9,0,1,1,0,0,2.0,1.73,1.0,1.0,1.0,1.0,0,1.5,1.41,3.5,3.46,74.5,49.7,0
4ce06e30950579d85c1c31a1a5fd1e296b40de4d,0,1,2,0,0,16.0,7.75,2.0,1.73,1.5,1.41,1,7.5,3.74,65.5,19.6,787.5,171.94,1
1948736b838e2a1ea3999ea91bdaef66b7b2e2b3,0,1,2,0,0,13.5,12.33,2.0,1.73,4.5,2.83,7,9.5,8.37,65.5,54.39,770.5,768.84,8
ee135224c38cecd18dd9413525c0c37f0cdf26c3,0,1,1,0,0,21.0,12.33,2.5,2.0,1.5,1.41,1,7.5,3.74,70.0,32.5,1062.0,566.96,2
abd15f12a1ec927c9f5bb203d702fea7281ca73a,0,0,0,0,0,6.5,4.69,1.0,1.0,6.5,3.46,11,8.5,6.48,47.0,18.97,278.0,119.51,12
3d369ef02b9a85f9d754dafe2699008c3f5344dc,0,1,1,0,0,29.5,7.62,3.0,2.24,7.5,3.74,13,17.0,5.74,54.5,20.49,1186.0,251.62,14
