mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
4d7157378b87193c7eab544985fd15d7e1902109,0,0,0,0,0,6.0,5.92,1.0,1.0,1.0,1.0,0,1.0,1.0,14.0,13.42,135.5,83.77,0
26162ebab89f87be6b8c42a8c28ed520e6f93e96,1,1,4,1,1,3.5,3.46,1.0,1.0,1.0,1.0,0,1.0,1.0,11.0,10.82,165.5,163.52,0
9657edb318fc4154956873f7c7877807fcbf9b6a,0,1,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,30.0,30.0,0
5b48503fcf7b4ae87bb08249913ae01b19476c91,0,0,0,0,0,5.5,4.24,1.5,1.41,1.0,1.0,0,19.0,18.97,17.0,5.74,255.0,74.09,0
8d51cb4eeb73c523264e6472e7edab0c0edb26d1,1,1,2,3,3,8.5,5.48,1.0,1.0,8.5,5.48,13,9.0,8.06,51.5,37.31,588.0,487.34,13
a4b425d49556ccf2fee5e5054c84f2705f8b973c,0,0,0,0,0,8.0,3.87,1.0,1.0,10.0,6.0,16,7.0,3.61,44.0,9.33,464.0,100.43,16
46a6dde232fffa5a48d3c25951a8568800bca8a8,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,2.0,2.0,5.0,5.0,0
e5d8818a2ebcd8d6ecdde315fe10aa02b5eb26be,0,0,0,0,0,2.5,2.45,1.0,1.0,1.0,1.0,0,1.0,1.0,26.0,12.12,262.0,81.5,0
c364c8a23ea72ae1df08b11da4023dc59f3306ab,1,0,0,1,1,39.5,8.83,2.0,1.73,12.5,4.9,23,19.5,6.16,209.5,20.45,4033.5,127.0,24
f67b59c6cc7858230f651a6936e217bef537dc21,0,0,0,0,0,40.0,8.89,2.0,1.73,19.5,6.16,37,16.5,5.66,211.0,20.52,4057.0,127.37,38
e52f8c3274e3038f11f02e2fd6a164d84a2bbfa9,0,0,0,0,0,39.0,8.77,2.0,1.73,16.5,5.66,31,16.5,5.66,211.0,20.52,4056.0,127.36,32
3c602d5d7dd3f7b027dbaa5b76de97b14644a417,0,0,0,0,0,35.5,8.37,2.0,1.73,11.0,4.58,20,16.0,5.57,209.5,20.45,4027.5,126.91,21
b8a2f654781c62c68384fbdbc4bb860302c90c25,0,0,0,0,0,9.0,4.12,2.0,1.73,4.0,2.65,6,6.0,3.32,13.0,5.0,117.5,21.59,7
bd1f8b0cf2dc7334f063732d93e5543ec275727f,0,0,0,0,0,7.0,3.61,1.5,1.41,3.5,2.45,5,6.0,3.32,11.0,4.58,112.5,21.12,6
3a2d66ae64f206a00b79df02892419e2a9d1c6ef,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,6.0,3.32,1.0,1.0,19.0,11.66,0
bbee2231db4b1de6d75e0d1bdf9a99fefbeed312,0,0,0,0,0,9.0,4.12,1.0,1.0,6.0,3.32,10,5.0,3.0,18.5,6.0,231.5,42.85,11
a19989b1de490e84f867c2ce5a8b0b39720c22fa,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,3.0,2.83,14.0,8.66,0
6141beaae68b8b883e5b6416a6d3b3daa1e8826c,0,0,0,0,0,7.5,5.1,1.5,1.41,1.0,1.0,0,16.5,13.49,30.0,7.68,1251.0,193.15,0
17a17823fe866371e85e3e05de947921f5571489,0,0,0,0,0,20.5,6.32,1.0,1.0,13.5,5.1,25,12.0,4.8,72.5,12.0,5876.0,419.59,25
e8f9c816fa57a18ec61851590ad0413edbb26652,0,0,0,0,0,5.0,3.0,1.0,1.0,1.0,1.0,0,3.0,2.24,26.0,7.14,1102.5,66.38,1
deff11892ecfcfc59746604cb37475eb6be38864,0,1,2,0,0,7.5,7.48,1.0,1.0,1.0,1.0,0,4.0,4.0,34.5,30.3,2112.0,2110.04,1
e98ea76f3316c3448a23992063f5a4bfa98ab386,0,0,0,0,0,6.0,4.47,1.0,1.0,1.0,1.0,0,4.5,2.83,56.5,14.9,4394.0,458.62,0
5dbc06a6b603cd58dac166249c81c5a4b82ad972,0,0,0,0,0,2.5,2.0,1.0,1.0,1.5,1.41,1,3.0,2.24,28.5,7.48,3726.0,122.07,2
eb1b90841e8b37d6d078f5a880786c8856e26778,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,9.0,6.71,220.0,109.17,0
485ff02a0bacf1b5b3ed2fa2fb49d6937e757b70,0,0,0,0,0,3.5,3.16,1.0,1.0,1.0,1.0,0,2.5,2.0,9.5,5.83,210.0,89.44,1
3c3153175097503b8b64b8c5276924a298026fe1,0,0,0,0,0,5.0,4.0,2.0,1.73,1.0,1.0,0,15.0,5.39,1.5,1.41,14.0,9.8,1
fc080c3a3694002eb69f50cb51828e6a212c24b7,0,0,0,0,0,18.5,6.0,2.0,1.73,2.0,1.73,2,15.0,5.39,49.5,9.9,1626.5,80.63,3
99b56e2bfcdaaed878615e50c327413ba0d6229d,0,0,0,0,0,39.0,8.77,2.0,1.73,10.5,4.47,19,15.0,5.39,117.0,15.26,2405.5,98.07,20
739777ae132068151e8bcb106cdf295e1284e819,0,0,0,0,0,50.5,10.0,1.5,1.41,15.0,5.39,28,15.0,5.39,148.5,17.2,3413.0,116.82,29
c3d972cb0d9762e23adffc20b37bb9b18b8b9db3,0,0,0,0,0,49.5,9.9,1.0,1.0,15.0,5.39,28,14.0,5.2,148.5,17.2,3412.0,350.01,28
bc06e4da9deaa077d4db236f10d24b512acf3f96,0,0,0,0,0,14.0,7.21,1.0,1.0,1.0,1.0,0,6.0,5.2,50.0,19.6,1600.0,264.42,0
86714a472a16cf8928d6571321f523b62683eb25,0,0,0,0,0,2.0,1.73,1.0,1.0,1.0,1.0,0,1.5,1.41,13.0,5.0,248.0,62.48,0
2f69dc1f389687bb8a3f19e94ccb17ab83b99d70,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,4.0,3.46,83.0,35.55,0
ebb717d5bb7f299962dbca211542577354acbedd,0,0,0,0,0,17.5,5.83,1.5,1.41,2.5,2.0,3,4.0,2.65,61.5,11.05,1708.0,82.63,4
9006763ae80cfed72fe795be8c6829c506616a3c,0,0,0,0,0,18.5,6.0,1.0,1.0,4.0,2.65,6,3.5,2.45,64.0,11.27,1722.0,131.13,7
d47de9f6b40791b7afafc2f96a44cfeea49b5295,0,1,1,0,0,3.5,3.46,1.0,1.0,1.0,1.0,0,1.5,1.41,26.5,19.9,518.0,173.72,1
f1af3606a43e7033193876a81e7eac11e63522d8,0,0,0,0,0,2.0,2.0,1.5,1.41,1.0,1.0,0,1.0,1.0,1.5,1.41,29.0,14.7,0
9a86c9b8cc973db93b6e2b8241c28ef39b4a180e,0,0,0,0,0,3.0,2.24,1.0,1.0,1.0,1.0,0,1.0,1.0,10.0,4.36,122.0,101.29,0
a8368e8aec95591fd200a600745c6d725b16c5d9,0,0,0,0,0,6.0,4.47,2.0,1.73,1.0,1.0,0,13.5,5.1,2.5,2.45,58.0,29.39,0
b35c6305ba3065e9175e16f2e5582ebf5bc41a12,0,0,0,0,0,19.5,6.16,2.0,1.73,5.5,3.16,9,13.5,5.1,46.5,9.59,1485.5,77.06,10
f1089c186236f3115fa9a1a2d3f16aa19aa11f66,1,0,0,1,4,18.0,5.92,1.5,1.41,8.0,3.87,14,13.5,5.1,46.5,9.59,1484.5,540.77,15
545699a25e9d03af295a09030bed690e1cb6ad57,1,0,0,1,1,33.0,8.06,1.5,1.41,13.5,5.1,25,18.0,5.92,91.0,13.45,3865.5,124.33,26
c9b5247a9ea8b905feed4f61c20ee87519de443c,0,0,0,0,0,15.5,5.48,1.0,1.0,5.0,3.0,8,9.0,4.12,46.5,9.59,1432.5,75.67,9
6d2dd912db9ced00af0efc56b8278a0cf75ed70d,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,2.5,2.0,37.5,20.35,0
082b540e59cc20f15fc1e61a4dafb16a12041849,0,0,0,0,0,7.5,5.1,1.0,1.0,2.5,2.0,3,6.0,3.32,37.5,18.71,1118.5,215.72,4
a5fa254435a3f57edeea52235a4932f8b57c99b4,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,2.0,1.73,952.0,97.44,0
14fd4b61278714e5855062d7aea9d97b2b6e61e6,0,0,0,0,0,3.0,2.24,1.0,1.0,1.0,1.0,0,1.5,1.41,9.5,5.83,177.5,71.41,0
9e8e5cb3c7644fae85d1a851e2816e53757eed18,0,1,1,0,0,2.5,2.45,1.0,1.0,1.0,1.0,0,1.5,1.41,10.0,7.14,217.5,195.9,0
9e13de3f536b1ec923c40f616d9a1cac5ef584c1,0,0,0,0,0,1.5,1.41,1.5,1.41,4.0,3.87,2,1.0,1.0,1.5,1.41,25.0,9.8,2
b71bb488651d2e911e7e73da4bede45fa68d207a,1,1,2,2,2,22.0,19.6,2.5,2.0,2.0,1.73,2,25.0,17.35,42.5,42.0,1244.5,719.4,3
95379c90dc6fa936a1e8201313168654de7b2ebc,1,0,0,1,1,14.0,5.2,2.5,2.0,1.5,1.41,1,4.0,2.65,17.5,5.83,1112.0,66.66,2
1a4de5efcf9309db8669c4e50f51ea9ee29e7b0b,0,0,0,0,0,22.5,6.63,2.5,2.0,2.5,2.0,3,16.5,5.66,40.0,8.89,1820.5,85.31,4
c1dd8a20e0ad900039992a2a663b768e7740bea0,0,0,0,0,0,21.5,6.48,2.0,1.73,4.0,2.65,6,16.5,5.66,40.0,8.89,1819.5,85.29,7
9e9d72d9595e714e3d7a379cb0f0059f259cc90f,0,0,0,0,0,11.0,4.58,1.5,1.41,1.0,1.0,0,1.5,1.41,17.5,5.83,1109.0,272.5,1
19a409c59ec368d635678efcf987817daa5d2c6d,0,0,0,0,0,2.0,1.73,1.5,1.41,1.0,1.0,0,1.0,1.0,3.5,2.45,14.0,12.65,1
33bc45ddccc8bbaf3615941ed6645a994d1ee166,0,0,0,0,0,5.0,4.0,1.0,1.0,1.0,1.0,0,1.0,1.0,12.5,10.68,1064.5,205.38,0
4dacf65e65d94c6401dc6d61cffae457441c24d9,1,1,10,1,1,45.0,29.48,2.0,1.73,21.0,6.4,40,21.5,9.06,158.5,118.29,3704.5,1282.27,41
e77f7951cc3c283501c4eed9b338cc662989f810,0,0,0,0,0,8.5,4.0,1.0,1.0,1.0,1.0,0,15.0,5.39,25.0,7.0,703.5,244.89,1
d01df861b8d369a8a06894803c30966ad1234fd5,1,1,1,3,4,22.5,14.14,2.0,1.73,12.5,4.9,23,19.5,8.6,48.5,33.05,1374.0,1279.8,23
e2c22820f535b0efec11350abfaac21a9e085a03,0,0,0,0,0,8.5,4.0,1.5,1.41,1.0,1.0,0,14.0,5.2,1.0,1.0,43.5,33.7,0
e7680ff1516d3e6224a005463401f532784872ec,1,0,0,1,1,17.5,5.83,2.0,1.73,9.0,4.12,16,15.5,5.48,41.5,9.06,1002.5,63.29,17
aa0854b2c3156a49fcd2d8b715236298e06bbe9a,1,0,0,1,1,9.5,4.24,2.0,1.73,1.5,1.41,1,15.5,5.48,4.0,2.65,54.0,14.56,2
f2ae27ae2f9af4979913125708cd236f3db60c48,0,0,0,0,0,20.5,6.32,2.0,1.73,14.0,5.2,26,15.5,5.48,82.0,12.77,2068.5,90.94,27
03a123ee66ed12ae71ccb2d1e4ef9f1c670c5752,0,0,0,0,0,13.5,5.1,2.0,1.73,9.5,4.24,17,15.5,5.48,41.5,9.06,997.5,63.13,18
42b6b6880dc481d2ecc6b9804e8743e23991e2e2,0,0,0,0,0,12.5,4.9,2.0,1.73,10.0,4.36,18,15.5,5.48,41.5,9.06,996.5,63.1,19
ae60219003cbace4b6606c33a8ab2bf9deb42935,1,0,0,1,1,11.0,4.58,2.0,1.73,10.0,4.36,18,15.5,5.48,41.5,9.06,995.5,63.07,19
eb006364ce0df812ec6824161f7de5a513350c16,0,0,0,0,0,10.0,4.36,1.5,1.41,10.5,4.47,19,15.5,5.48,41.0,9.0,994.5,63.04,20
75a02127ba7b293c6897a4b714bf5bdddfbf7957,0,0,0,0,0,18.0,5.92,1.0,1.0,16.0,7.75,28,14.5,5.29,105.5,14.49,2483.5,365.21,28
aebba35d35bb4120d13071c27180b75364090205,0,0,0,0,0,2.0,1.73,1.0,1.0,1.0,1.0,0,1.0,1.0,4.0,2.65,420.5,40.96,0
51b2d8181a695a4702930c746efc2bc91906fe76,1,1,23,3,12,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,31.5,31.3,817.0,810.86,0
b06cd3fe823eeb030399ab932a5d2d1ca093edbb,0,0,0,0,0,5.5,4.24,1.0,1.0,1.0,1.0,0,1.5,1.41,25.0,7.0,113.5,36.41,0
6536882d446d0f72df2afe4c2e4d8adc9a1b49ab,0,0,0,0,0,14.0,5.2,1.0,1.0,2.0,1.73,2,7.0,3.61,63.5,11.22,1875.0,173.02,2
b100508acfb706988fdefed311d860e4b754cd8d,0,0,0,0,0,4.0,2.65,1.0,1.0,1.0,1.0,0,6.5,3.46,17.0,5.74,491.5,76.56,0
911af5674fb8745f5869cd2d35927645bb4a6d2c,1,1,5,1,1,5.0,5.0,1.0,1.0,1.0,1.0,0,6.0,3.32,28.0,27.35,803.0,789.43,0
200d3bc441c22a8baf360161a27487d8433872bd,0,0,0,0,0,3.0,2.83,1.5,1.41,1.0,1.0,0,6.0,3.32,17.5,5.83,488.0,157.16,0
40151f5889eee216e81f12182fe3bd95a3362d47,0,0,0,0,0,6.5,3.46,1.0,1.0,1.0,1.0,0,1.0,1.0,2.0,1.73,63.5,51.24,0
88bcbd2abc1fa30dd083d32ddd100c1b21035b8e,0,0,0,0,0,8.5,6.48,1.0,1.0,1.0,1.0,0,5.5,3.16,18.5,10.1,527.0,314.32,0
9edf567ce82387a55fb359d2c3d1413685fe9fd1,0,1,4,0,0,24.5,9.7,1.5,1.41,5.0,3.0,8,5.0,3.0,68.0,58.89,2097.0,1755.51,9
64de47c9d1a5682b14bb899d0b735b77a83ec307,0,0,0,0,0,29.5,7.62,1.0,1.0,3.5,2.45,5,9.5,4.24,66.5,11.49,2196.0,280.59,6
c0e33905d89f92e187293d3376aa0f3e62b3de1b,1,0,0,1,1,2.5,2.45,1.0,1.0,1.0,1.0,0,1.0,1.0,7.0,6.93,119.0,93.98,1
99d9e3031ccf3f454f699ac38a8d83e6b1526163,0,0,0,0,0,13.5,9.59,1.5,1.41,1.0,1.0,0,7.5,6.0,23.0,9.38,1435.5,407.32,0
2c229ce59edbdded8dc2807203f8b2466f955230,0,0,0,0,0,1.5,1.41,1.0,1.0,2.5,2.45,1,1.0,1.0,1.0,1.0,29.5,22.14,1
47cf8d54135a164c51b97b87f29410e19af91cee,0,0,0,0,0,11.0,9.8,1.5,1.41,1.5,1.41,1,3.5,2.45,21.5,9.06,614.5,162.95,2
4b128e72ce1b49de4213daeeda455534b6b9be4e,0,0,0,0,0,2.5,2.0,1.5,1.41,1.0,1.0,0,1.0,1.0,1.0,1.0,11.0,10.58,0
a6e2918650f7506dec8fe183a54b519234a9d0ac,0,0,0,0,0,7.0,4.9,1.0,1.0,1.0,1.0,0,3.5,2.45,16.0,9.33,537.5,117.5,0
4e4af80586862f5d5d2288ad77edd9aa2908acf0,0,0,0,0,0,5.0,3.0,1.0,1.0,1.0,1.0,0,3.0,2.24,11.5,4.69,376.5,101.72,0
7c4ef3f898cf4e8414fa04a4a341217385e90c6d,0,0,0,0,0,22.0,11.09,2.5,2.0,1.5,1.41,1,11.5,7.75,41.5,31.94,416.0,408.62,2
97777d07f6a0af9a7b01f59663ce533b1a69ea97,0,0,0,0,0,4.0,2.65,1.5,1.41,1.0,1.0,0,7.0,3.61,1.5,1.41,75.5,46.48,0
dc6b8c4cbdfeccaee13e7f35bced9625fba5e44f,0,0,0,0,0,18.0,5.92,2.5,2.0,3.0,2.24,4,10.0,4.36,25.0,7.0,155.5,24.86,5
