mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
5780f6e0d726d87b68e62f4dbde933ea802ca4fc,1,1,1,2,2,9.0,7.48,1.0,1.0,1.0,1.0,0,19.0,13.86,16.0,10.58,893.5,133.3,0
212f4b8162441e376bdbca488bb34e04ddd567a6,1,0,0,2,2,4.0,2.65,1.0,1.0,1.0,1.0,0,3.5,2.45,33.0,13.75,671.5,109.57,0
8d80aeb9b1d7636dda5669984e5aa4ada2e32a75,0,0,0,0,0,6.0,4.47,1.0,1.0,1.5,1.41,1,3.5,2.45,19.0,16.73,522.0,370.22,2
18a3a037e40310d6451ea14b96c949eed3a578af,0,0,0,0,0,13.5,7.07,1.5,1.41,15.0,13.27,14,7.5,3.74,14.5,5.29,445.5,118.32,14
2cf627d92b4faa57a9de4c34fc6de1ac4a35be2c,0,0,0,0,0,2.0,1.73,1.0,1.0,1.0,1.0,0,1.0,1.0,3.5,2.45,24.0,13.27,1
eec9397b3149d43c8cf961e036c917fd7f175939,0,0,0,0,0,13.5,5.1,2.0,1.73,21.0,6.4,40,19.5,6.16,17.5,8.12,2929.0,451.45,40
c6a0ae187bb742348cdd572192b234e899d26d6b,0,0,0,0,0,8.0,3.87,1.0,1.0,1.0,1.0,0,82.0,12.77,17.5,5.83,269.0,23.17,0
e930067625748fb082dff3ad5d5110c825479ad0,0,0,0,0,0,2.0,2.0,1.0,1.0,1.0,1.0,0,1.0,1.0,6.5,4.69,66.5,65.5,0
7a9a3941215369fb6c37280479974498c6991b70,0,1,1,0,0,11.5,4.69,1.5,1.41,1.0,1.0,0,2.5,2.0,30.5,7.75,1291.0,71.83,0
1dd74b90b9b506613263afb99fb691bbec93f3a1,0,0,0,0,0,34.0,8.19,1.5,1.41,45.0,33.54,60,23.5,6.78,56.5,10.58,2081.5,91.22,60
df6bed354141f5c3c3eaa4c07d455e8daabadcdc,0,1,1,0,0,4.0,2.65,1.0,1.0,1.0,1.0,0,1.0,1.0,14.0,9.8,165.0,129.7,0
3ac8693358f1d6c603b641d0f092a5e3c80d9a05,1,0,0,2,7,4.0,2.65,1.0,1.0,1.0,1.0,0,1.0,1.0,4.5,4.47,114.0,114.0,1
95cbc4a52fd2c251af6beb5734b3a405d29e12f3,1,0,0,1,1,4.0,3.46,1.0,1.0,1.0,1.0,0,1.0,1.0,4.0,3.87,68.0,49.14,0
72526f3e1d600254103307cf0421088c61f71bd7,0,0,0,0,0,3.0,2.24,1.0,1.0,1.0,1.0,0,1.0,1.0,3.0,2.24,58.5,15.17,0
6b8a80c823789248829dde928700b4b1805ea430,0,0,0,0,0,3.0,3.0,1.0,1.0,1.0,1.0,0,1.0,1.0,6.0,5.92,360.0,221.23,1
c4b5b16e6fa7a914b3b3d7d9e254f20b8b8dc807,1,1,2,2,3,16.0,5.57,1.5,1.41,2.0,1.73,2,3.5,2.45,28.5,19.8,421.5,215.07,3
dd6eeb36eef82991331e86d374fe6f20fa0bd2bc,0,0,0,0,0,5.0,3.0,1.0,1.0,1.0,1.0,0,1.0,1.0,6.5,4.69,330.0,302.01,0
1b2897573ef39d7d3e8612924423506176dd6ef0,0,0,0,0,0,2.0,1.73,1.0,1.0,1.0,1.0,0,1.0,1.0,10.0,7.14,1000.0,213.24,0
61b3890a3dcf5e161979487feef18417afc1341a,1,1,1,2,2,10.5,9.49,1.0,1.0,1.0,1.0,0,4.5,4.47,29.5,23.75,1279.5,820.84,0
c4f40322ed04f8f582f9475b7451d1475389be44,1,1,1,4,4,14.0,11.49,1.0,1.0,1.0,1.0,0,2.0,1.73,32.0,32.0,887.0,842.97,0
3371a238b7afc7864a4f6838756bd314a2e598f4,0,0,0,0,0,10.0,4.36,1.5,1.41,1.0,1.0,0,1.0,1.0,10.5,4.47,276.5,89.83,0
1fbfcb2c10fab74a927fbf431689c1fe1baf2f27,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,1.5,1.41,4.5,4.47,0
