mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
5352f835ec0fc31e177edaa6324a4e62a7117b06,0,0,0,0,0,1.5,1.41,1.5,1.41,2.0,2.0,0,1.0,1.0,1.5,1.41,4.5,4.47,0
6e7530a7987176c4b96c44a5f6b26a7b5d997a0a,0,0,0,0,0,9.0,5.66,2.5,2.0,15.5,5.48,29,3.5,2.45,2.5,2.45,240.0,102.52,30
712e96dcf09f16d7b8198140c0dca444d8a651a9,1,1,4,1,2,13.5,13.49,3.5,3.46,268.0,268.0,0,138.0,49.02,19.5,19.49,422.5,422.5,0
b5de09f3caeb7ddc441c225d1e98e82fae081149,1,1,1,1,1,13.5,8.49,3.0,2.24,5.5,4.24,7,11.5,4.69,17.0,12.96,499.5,307.67,7
ecda87c59524cbe38288a43428fd7668c6efb8d0,0,0,0,0,0,2.0,2.0,1.5,1.41,1.5,1.41,1,26.0,7.14,5.5,5.29,129.5,126.96,2
7d0f9879d3de56251ecaf1924d2ca1c5edf7d58b,0,0,0,0,0,7.5,3.74,1.5,1.41,1.0,1.0,0,9.5,4.24,7.0,4.9,291.0,168.85,1
bb54fd9167b3572e86e75a860b394ca3b3def43f,1,1,2,3,3,19.0,17.66,3.0,2.24,10.0,7.14,14,32.5,8.0,52.5,32.16,1425.0,1099.9,14
e1dd59283cfc2cc8d8ffe3ccd556a5437f76ae71,0,0,0,0,0,5.0,4.58,1.0,1.0,1.0,1.0,0,1.0,1.0,11.5,10.1,145.0,100.0,0
686ee55822edc2aa6312b3de7191cc5cd6ae1477,0,1,2,0,0,5.5,4.24,2.0,1.73,1.0,1.0,0,19.5,6.16,45.5,35.47,1076.5,689.75,0
f34335a0a18584a2b58f8a10211149da7c8b7055,0,0,0,0,0,4.0,3.46,2.0,1.73,1.0,1.0,0,12.0,4.8,3.5,3.46,22.0,21.17,0
7fe19e0a51bd2f0fb3d7f7322a312e1c647e010b,0,0,0,0,0,3.0,2.83,1.5,1.41,1.0,1.0,0,12.0,4.8,2.0,2.0,12.0,11.83,0
915eb28935cc7aa5e94ecf9cbd80ce5769f812a6,1,0,0,1,1,4.5,3.74,2.0,2.0,10.5,4.47,19,20.5,10.68,38.0,12.17,952.5,106.74,20
56847996be77371707773896371c5daae70bc51d,0,0,0,0,0,20.0,6.24,3.0,2.24,5.0,3.0,8,27.5,7.35,20.5,12.17,1440.0,537.31,9
92416441c0e04a570e6297645c2cd0949942ffca,0,1,2,0,0,32.5,32.4,3.0,2.83,8.0,3.87,14,46.5,45.89,32.0,31.86,2589.0,2584.71,15
1259f40ec1077edfedf38a31708d485ecb7fb328,0,0,0,0,0,17.5,8.12,2.5,2.0,2.5,2.0,3,27.5,7.35,18.5,12.65,1373.0,633.72,4
66ebb7a4569739e5355a552fcb2e1abe113cf2eb,0,0,0,0,0,16.0,5.57,2.0,1.73,11.0,10.25,8,20.0,6.24,17.0,12.96,1295.5,643.29,8
fa515a9746d7497e7fc8d8ccad7bdeb7ed35a366,0,0,0,0,0,15.0,7.48,2.0,2.0,2.5,2.0,3,19.5,11.83,14.0,5.2,1210.0,155.24,4
b58077c87e8c6ddce05333c3dffcd71d4cf4d4ba,0,0,0,0,0,15.0,5.39,1.5,1.41,3.0,2.83,2,19.0,6.08,15.0,5.39,1224.0,139.71,2
4f3bba2638ca40769a2fe9941064de9c0f2266d2,0,0,0,0,0,16.5,12.73,2.0,2.0,4.0,2.65,6,14.5,5.29,15.0,9.0,1212.0,183.68,7
9e93c0123fd5b091d568335d3e48304b55a9a823,0,0,0,0,0,2.5,2.45,2.0,2.0,4.0,2.65,6,2.5,2.0,1.0,1.0,26.5,20.74,7
d08b558c27f26953932c13f2c3ee53e4a6a12eed,0,0,0,0,0,1.0,1.0,1.0,1.0,6.5,3.46,11,1.0,1.0,1.5,1.41,4.5,4.47,12
e62164a2ac9c0c69d605985cfa87cc10340f3abc,0,0,0,0,0,14.0,7.21,2.0,2.0,3.0,2.24,4,13.5,9.59,14.0,5.2,1226.5,321.92,5
f76e146c4e7b14efa5ced63ce1b17c605d02d779,0,0,0,0,0,1.0,1.0,1.0,1.0,4.5,4.47,1,1.0,1.0,1.5,1.41,24.0,14.66,1
525d949649a42d6088778e710ef784ba5d6ba1e8,0,0,0,0,0,13.0,5.0,1.5,1.41,2.0,1.73,2,10.5,4.47,14.5,7.35,1207.5,109.77,3
fc3c5f1695582f085dddcf996a9d1c29a7afe2cd,0,0,0,0,0,13.0,8.31,1.5,1.41,5.0,3.0,8,14.5,14.07,14.0,5.2,1205.0,0.0,9
4ebf82b756f740c8c532945e0bb7f517240b031a,0,1,3,0,0,35.5,35.41,4.0,4.0,9.5,4.24,17,17.0,14.42,28.5,28.5,533.0,533.0,18
e2c974b9ab64bb9e7ce456172eba12bd3c85092c,1,1,3,1,1,45.5,43.75,4.5,4.47,5.0,3.0,8,12.5,11.66,36.0,35.1,1738.0,1251.48,9
