mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
de79c4da2fd017c814d25150015cfedd4ff75516,0,0,0,0,0,1.0,1.0,1.0,1.0,3.0,2.24,4,1.0,1.0,2.5,2.0,45.5,9.49,5
fed5e8ddb700b05ef5b77b065aa2e42013881f9f,0,0,0,0,0,5.0,4.58,2.0,1.73,3.0,2.24,4,3.0,2.24,3.0,2.83,99.0,59.67,5
0004545f9e7e08ae95e694b679130cca32beb495,0,0,0,0,0,1.0,1.0,1.0,1.0,3.0,2.24,4,1.0,1.0,1.0,1.0,10.0,9.95,4
356519c14e7b9e5bf02c5b964ca777a1bb9cb92f,0,1,2,0,0,3.0,3.0,1.5,1.41,3.0,2.24,4,4.0,2.65,33.5,20.49,145.0,128.59,5
ce722a91b6642f3037ddd3f12bcf6b0f5d1a8d0d,1,1,2,2,2,4.5,2.83,1.5,1.41,4.0,2.65,6,4.0,2.65,37.5,29.22,365.5,331.7,7
2f5287ba2113b3893e129d78a4ce70a30affec41,0,0,0,0,0,2.5,2.45,1.0,1.0,4.0,2.65,6,1.0,1.0,7.0,3.61,258.5,45.3,7
8b973198d10afcab6f265d2625645f87acca15ae,0,0,0,0,0,1.5,1.41,1.0,1.0,7.0,7.0,0,4.0,2.65,1.5,1.41,3.0,2.83,0
14766d78742a4825f1e2a22f3b90bfdca00629f6,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,4.5,4.24,26.0,23.56,0
81938688cf65592a45b70ff4a5ddea02ed256301,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,5.0,5.0,13.5,13.04,1
3d2f241c36a1c72ee0e152fa8e17edc3a13b005b,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,3.5,2.45,32.0,7.94,0
36328aea6019811ce3a7ac4926a5e70c6d07c36e,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.5,1.41,2.5,2.0,1
9a69b69abdc62c74decec9645b524cd950123433,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,94.0,44.12,13825.5,1089.56,0
eea41e84c7afc23a81d90ed6c6b41bd8043adb89,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,5.5,3.16,341.0,63.69,0
29c85674e9aa575082a3aea59ff81c80e07cedeb,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,2.5,2.0,24.5,21.07,0
34e83c93927f36e80ad3e27aa3963f87cfcd408a,0,0,0,0,0,3.0,2.24,1.5,1.41,1.0,1.0,0,1.5,1.41,3.0,2.83,21.5,14.9,0
f10907bed8f9b2080c21ba5263e0af1f5ad1db8c,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,6.5,4.69,0
0dec231dbc6601d30d5775bf24d54042b8a9b2f0,1,0,0,1,2,8.0,7.42,1.5,1.41,1.0,1.0,0,1.5,1.41,48.5,47.75,11933.0,1947.55,0
c59ce1e9a06acacec76f678cb8a94df8ef05d325,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,19.5,6.16,77.5,21.35,0
f3b279bc781c6879e0e449d0f0e687ae523d540b,0,1,1,0,0,2.0,1.73,1.5,1.41,1.0,1.0,0,1.0,1.0,35.5,18.17,609.0,146.97,0
2309dd8cb3d2347f397f166410503ce8f2d039f9,1,1,2,1,1,3.0,2.24,1.5,1.41,1.0,1.0,0,2.0,1.73,35.5,18.17,660.5,381.05,0
075f14c8492b9d9f97b7f9beb46b69a17c565a22,0,1,1,0,0,4.5,2.83,1.0,1.0,2.0,2.0,0,1.0,1.0,5.0,4.58,88.5,86.95,0
a43047e68d713451310580927e1e459582dc966c,0,0,0,0,0,14.5,12.96,1.5,1.41,1.0,1.0,0,2.0,2.0,52.0,35.5,2330.5,2328.11,0
6c8fe367a724f437d27a9a67f1ab030e8c066340,1,1,3,3,3,6.5,6.48,1.5,1.41,1.5,1.41,1,7.0,6.93,30.0,30.0,2089.5,2087.5,2
8f0d9ada55c24ffc074f52540b0b0906fadb2f4b,0,1,2,0,0,5.5,4.24,1.5,1.41,1.0,1.0,0,1.0,1.0,39.5,32.47,1132.0,550.73,0
5b934bed24de23f5d77983ccb79d5b166b505f5d,0,0,0,0,0,3.0,3.0,1.0,1.0,1.0,1.0,0,1.0,1.0,11.0,6.32,234.5,103.34,1
53b3b8ebe6cae046a94189aff12434c632f28a03,0,0,0,0,0,7.0,6.71,1.5,1.41,1.0,1.0,0,2.5,2.45,20.5,20.0,1155.0,834.04,1
fc8f66ddb2c42e3b53d9376d7ee4464d773e9236,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,4.0,4.0,68.0,57.05,1
f43864a138009fd074fb5421271072b9eeb13c87,0,0,0,0,0,2.5,2.45,1.5,1.41,4.0,2.65,6,3.5,2.45,3.0,2.83,26.0,26.0,7
bc798e77f4eaec6d3baa63800ab3bd3ba88aff0a,0,0,0,0,0,1.0,1.0,1.0,1.0,2.0,2.0,0,1.0,1.0,14.0,7.21,463.0,192.69,0
f486d36a6d80573ac6ae5c0dcd24e3dc51e7e084,0,1,1,0,0,2.5,2.45,1.0,1.0,1.0,1.0,0,1.5,1.41,49.5,21.68,7146.5,884.92,1
9581a779c7799fc590d1db5640230b289396f4f0,0,0,0,0,0,2.5,2.0,1.5,1.41,1.0,1.0,0,1.0,1.0,2.0,1.73,37.5,37.23,1
6b1ea2c58eb82d9a0a19925ff166e65d2ee5907c,0,1,1,0,0,2.0,1.73,1.5,1.41,1.0,1.0,0,1.0,1.0,2.0,1.73,19.0,12.85,0
23b20c329887e0229845160d50afd02b88e3a2c5,0,1,1,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,3.0,3.0,35.0,34.94,0
780a45905e8dfec304d3ff389e3ba5ba3b30ddae,0,0,0,0,0,3.0,2.83,1.0,1.0,1.0,1.0,0,1.0,1.0,9.0,5.66,3190.0,356.65,1
4c24670710249276710405236f9e8201b88262fa,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,22.5,9.27,686.5,203.97,0
7c6a7e145a5bf582caf2eecc34146d03a9182dfa,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,3.0,2.24,84.5,18.28,1
74bba5816571d2c95d36d51ab5b417aecb10e439,0,0,0,0,0,1.5,1.41,1.0,1.0,2.0,1.73,2,1.5,1.41,16.5,7.87,691.0,82.98,3
