mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
ca5505a1a747bb440bf620f64dfe0f65d598e601,0,0,0,0,0,5.5,3.16,4.0,2.65,38.0,36.37,22,207.5,20.35,20.5,14.49,433.5,387.42,22
50c2a4f6b7ebd1702da494ce7523a8ba251f2ed1,0,0,0,0,0,170.5,18.44,11.5,4.69,209.5,57.34,403,202.0,20.07,197.0,19.82,9099.0,134.9,403
cd875b4a3a679627843b962737e4a0ec48b602cd,0,0,0,0,0,3.0,2.83,1.5,1.41,75.5,29.5,139,7.0,7.0,5.5,5.29,165.0,156.26,139
376000213828e9d274c3aa24d189fe43ac4c1d71,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.5,1.41,15.5,14.83,0
64f87df573da10371f64d487db2dae307e8f449b,0,0,0,0,0,1.5,1.41,1.5,1.41,2.0,1.73,2,2.0,1.73,1.0,1.0,2.0,2.0,3
dca0e79f11f1eb02dee4b190b794d4ddfa4399d0,0,0,0,0,0,5.0,4.0,1.5,1.41,1.0,1.0,0,3.5,2.45,14.5,10.0,239.5,155.09,0
36a0a0fbcb252a0efa7a6e271593b1f66107f6cc,0,0,0,0,0,5.0,3.0,2.0,1.73,2.0,1.73,2,3.5,2.45,14.0,13.42,223.0,162.23,3
9dfdbb326045e857ca412cba384178f3c7bdbe64,0,0,0,0,0,4.0,3.46,2.0,1.73,2.5,2.0,3,3.5,2.45,5.0,4.9,35.0,32.88,4
ef01b3a63f666603016647dc5b55fb940f24ff80,0,0,0,0,0,3.5,2.45,1.5,1.41,3.5,2.45,5,3.5,2.45,3.0,2.83,26.5,24.74,6
5b1a46c6bf419f960d9333492c8ba3c97b2f436e,0,0,0,0,0,2.0,1.73,1.0,1.0,1.0,1.0,0,1.0,1.0,13.0,6.93,78.0,41.57,1
4df8ebf5f0ab889148574439d79617e0d74071bf,0,0,0,0,0,8.0,5.29,4.0,3.46,2.0,1.73,2,88.5,22.85,65.5,37.79,240.0,167.38,2
4b3e868ec8719df54c42704377b1e591b23a9524,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,4.0,2.65,14.0,9.8,0
680205dbc2733a4dcef7e3abecb0d1fd336bd96d,1,0,0,1,1,3.0,2.24,2.0,1.73,1.0,1.0,0,2.5,2.0,51.0,19.8,117.5,87.43,0
5b8023da3ba7d8a796931b53f0eba1b30632071e,0,0,0,0,0,1.5,1.41,1.5,1.41,2.0,1.73,2,2.5,2.0,1.0,1.0,4.0,3.46,3
9dd86e1d2ae0208f4636cef722d69ba294d142c7,0,0,0,0,0,3.0,2.24,2.0,1.73,8.0,3.87,14,8.0,3.87,15.0,13.75,626.5,293.5,15
135157bfa6e75f9ee1d99e47a46392284beea0c1,0,0,0,0,0,1.5,1.41,1.5,1.41,11.0,10.58,6,1.0,1.0,4.0,2.65,13.0,6.93,6
5d9e396c5964af5343c0a7a19561ae0c39a6a0c5,0,0,0,0,0,1.5,1.41,1.5,1.41,3.0,2.24,4,2.5,2.0,1.0,1.0,27.0,22.45,5
aec8c52ba6973089ea4256309c53c31bf71e5ecd,0,0,0,0,0,3.5,3.46,1.5,1.41,1.5,1.41,1,1.0,1.0,5.0,3.0,179.0,168.29,1
4e5af828ded57bc426b640bac35a7f94556eee30,0,0,0,0,0,4.0,3.46,2.5,2.0,11.5,4.69,21,42.5,9.17,14.5,14.49,836.5,411.12,22
df238ebab91b55e8f24a451984e76f8bc688ce31,0,0,0,0,0,1.5,1.41,1.5,1.41,2.5,2.0,3,1.0,1.0,2.5,2.0,36.5,30.85,4
8fb25e4c24441a5b31ee406244b27fd837dc28fd,0,0,0,0,0,3.0,2.24,1.5,1.41,1.0,1.0,0,1.0,1.0,4.5,3.74,40.0,28.57,1
3cdde556366a4edc1c83b48d1e7db4eaccec95f3,0,1,1,0,0,2.0,2.0,1.5,1.41,1.0,1.0,0,1.0,1.0,3.5,2.45,34.0,25.04,1
53b8b3c3588add7eefaf59ff6528dc07fc3b6138,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,4.0,2.65,13.5,7.07,0
a1bf5682371084ba9cda61bdbd4d40197318bfe6,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,2.0,1.73,3.0,2.24,13.0,9.38,0
