mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
88c03d2677da22352d4ef59cf96cf9aa625bcd2e,0,1,1,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,44.0,9.33,1.5,1.41,8.5,5.48,0
c76b4f58cd287190c573d8cc80a7872b466d931e,0,1,1,0,0,1.0,1.0,1.0,1.0,44.5,13.19,85,1.0,1.0,4.0,2.65,21.5,9.06,85
a2eda146007e99e2ec6f23d48c3feb67d9e1739c,0,1,1,0,0,4.5,2.83,2.5,2.0,3.0,2.24,4,3.0,2.24,7.5,3.74,35.5,11.75,5
6eb76b2c292eeb43345cb5e974181ec06e10ceb0,0,0,0,0,0,3.5,2.45,2.0,1.73,3.0,2.24,4,3.0,2.24,7.5,5.1,34.5,25.26,5
1218bcc732c1ad23b6ca3387fd95df0c5bbe7e8e,0,0,0,0,0,9.0,5.66,2.0,1.73,1.0,1.0,0,21.5,12.49,28.5,10.49,299.5,48.79,0
3f22c8f9520ff7e1f8fa6e0f332ce85d63b6dcae,0,0,0,0,0,6.0,4.47,2.0,1.73,3.5,2.45,5,17.0,16.73,17.5,9.8,167.5,57.01,6
77898c35e35757d23597d1d97bde8fc6c10a089f,0,0,0,0,0,3.0,2.24,2.0,1.73,8.0,3.87,14,6.0,3.32,7.5,3.74,74.5,12.17,15
74a21597c5ca131fe8e42f0969998c925df0f813,0,0,0,0,0,2.0,1.73,1.5,1.41,10.0,9.95,2,4.0,2.65,7.0,3.61,74.0,17.09,2
3fadcb9aa53e35675638e72b0d709835398688d2,0,0,0,0,0,5.5,4.24,1.5,1.41,3.5,2.45,5,5.0,3.0,36.5,22.8,439.0,148.84,6
5297d2269fb6d2dcd5f8a5829e2e3b4d3e73a91c,0,0,0,0,0,3.0,2.24,1.0,1.0,1.0,1.0,0,1.0,1.0,16.0,7.75,162.5,76.25,0
103eac0406e8b26ec8530c65f3918fc1ec928f1d,0,0,0,0,0,20.0,6.24,3.0,2.24,30.5,7.75,59,33.0,8.06,213.0,29.12,7505.0,670.37,60
b0b118234c692439defa3b539795db88b960c243,0,0,0,0,0,15.0,5.39,2.0,1.73,9.0,4.12,16,33.0,8.06,148.5,24.29,4612.5,332.5,17
8efb29a01de0b0cab40ae4bd4f0efedc1ecfdb66,0,0,0,0,0,25.5,7.07,3.5,2.45,13.5,11.83,13,77.5,12.41,282.0,47.33,14005.5,853.0,13
e53dec867981633c624fad40d5bdbc7e53e42b9a,0,0,0,0,0,11.5,10.95,1.0,1.0,5.0,3.0,8,38.5,38.34,102.5,80.46,4759.0,4582.79,9
6c84d3dab0db6f0384472ee5fa2073819f5e834a,1,0,0,1,1,5.5,3.16,1.0,1.0,3.0,3.0,0,1.5,1.41,20.0,14.28,1317.5,255.44,0
c60e94e213fbd93c2e0ab3e8d84bafe11bc9a7cb,0,0,0,0,0,6.0,3.32,2.0,1.73,17.0,5.74,32,52.5,10.2,87.0,18.55,2233.5,149.37,33
65a61189b050e3b637bd78942f5a2adad26aee85,0,0,0,0,0,68.5,11.66,1.5,1.41,52.5,10.2,103,47.5,9.7,211.5,29.02,6727.0,327.98,104
04c7b2fa324bcc61224ee2238b3c22f4f9f3e224,0,0,0,0,0,2.5,2.0,1.5,1.41,15.0,5.39,28,14.5,5.29,82.5,12.81,2199.0,93.77,29
