mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
250ccc6bf1c715d2a9d41834101d01189fe9b997,0,0,0,0,0,1.5,1.41,1.5,1.41,3.0,3.0,0,13.0,5.0,7.0,5.74,374.0,66.72,0
54d6c8ee4a04a1c36f2d70759573b7a5867782de,0,0,0,0,0,4.5,2.83,3.0,2.24,1.0,1.0,0,2.0,1.73,4.5,2.83,61.5,53.4,0
c19e4d1a755a3dc0389e319acfbfadd38d6ca2cd,0,0,0,0,0,2.5,2.0,2.0,1.73,1.0,1.0,0,1.0,1.0,3.0,2.83,41.5,41.26,0
b20e664b48913ca0bb4205fcd222a0545ff0d07f,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,4.5,2.83,2.0,1.73,18.5,11.49,0
22b866c489c79751effe5140e0538c5d5a774562,0,0,0,0,0,2.5,2.0,2.5,2.0,5.5,4.9,5,4.0,2.65,3.0,3.0,24.0,22.25,5
05255677b0ad14f98aae597752a44ea1cbbd081c,0,0,0,0,0,1.5,1.41,1.5,1.41,180.0,18.95,358,1.0,1.0,2.5,2.0,21.0,20.4,358
ecfa42cb9a8ec1dec43b8feeb0e7979abe421b7d,0,0,0,0,0,3.5,3.46,2.0,1.73,5.0,5.0,0,1.5,1.41,24.0,9.59,372.5,76.79,0
2d18a3569a4c78ecbc1652983c9e7545438ddd62,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,1.0,1.0,4.0,3.46,0
8231c2f0a58d8db7cd9172eafea64323bd10c51c,0,1,1,0,0,30.0,7.68,5.0,3.0,1.0,1.0,0,13.5,5.1,39.0,8.77,712.5,220.57,0
fa5808a88945a966e6a1fc5a045fc4c75a2d4290,0,0,0,0,0,2.5,2.0,2.5,2.0,1.0,1.0,0,3.5,2.45,8.0,7.75,200.0,198.55,1
f3b031e19eb30527f083f45eab8916471665a0fa,0,0,0,0,0,7.5,3.74,4.0,2.65,3.5,2.45,5,4.0,2.65,9.5,6.93,224.5,213.47,6
040535fb712b33da5ffa87837e2f44114287b6e8,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.5,1.41,1.5,1.41,5.0,4.0,0
3b86bedd10343de99fb4e9cc42a77577daac0d29,0,0,0,0,0,4.5,2.83,2.5,2.0,1.5,1.41,1,1.0,1.0,5.5,3.16,132.5,22.93,1
e57e74e23250292c402be162cd95aa817281c151,0,0,0,0,0,2.5,2.0,1.5,1.41,1.0,1.0,0,1.0,1.0,2.0,2.0,11.0,8.49,0
fccc924134d5096ce32f1662ab0fe6f6ee14d029,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,1.0,1.0,9.0,8.77,0
0a505c3d1fc736540f09b1cbec2f9b9921e0ebec,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,2.0,1.73,1.0,1.0,7.5,5.1,0
1582ccaaaa0133321a1abe5f3165e9444e64af51,0,0,0,0,0,5.0,3.0,2.5,2.0,3.0,3.0,0,1.5,1.41,3.5,2.45,33.5,26.5,0
ca4826d7eadaa32032fa2d560371a74f30267339,0,0,0,0,0,4.0,2.65,1.5,1.41,1.0,1.0,0,1.5,1.41,3.0,2.83,27.0,23.66,0
8a48802e4ef11c990b6d4c1df338f7165a2927b9,0,0,0,0,0,3.0,2.83,1.5,1.41,1.0,1.0,0,1.0,1.0,2.0,2.0,20.0,16.0,1
48733735264d6f23017ac7d9b22c361abcaf2f24,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,1.0,1.0,4.0,3.46,1
3de65dc930c4da189eca7ec8c2cc984c5a7463a7,0,0,0,0,0,2.0,1.73,2.0,1.73,1.0,1.0,0,1.0,1.0,1.5,1.41,4.5,4.24,1
6bf821336f458d8d9177fbcd61437796b09e4ee4,1,0,0,1,1,4.5,2.83,2.5,2.0,1.0,1.0,0,1.0,1.0,1.5,1.41,57.5,25.57,0
18a6bcd3bafd290310c0ac3fbae45074a5c23f9d,0,0,0,0,0,3.5,2.45,2.5,2.0,1.0,1.0,0,1.0,1.0,1.0,1.0,54.5,52.8,0
7fd52f5709a9aacc8f5ca0a9730a64f8c1e45851,0,0,0,0,0,4.5,2.83,2.5,2.0,1.0,1.0,0,31.5,7.87,7.0,3.61,181.0,69.8,1
6e690b659d98b1adfcd4d12cb5fe24e5ea2cc29b,0,0,0,0,0,5.5,3.16,3.5,2.45,1.0,1.0,0,3.5,2.45,8.0,3.87,214.0,104.05,1
541f3422172efe8d92beac69e5eaf2e59d1041e5,0,0,0,0,0,1.5,1.41,1.5,1.41,31.5,7.87,61,1.0,1.0,6.5,3.46,160.5,89.1,62
066cba9a95f524d7a8305ab50f03fa8cfe2377a8,0,1,1,0,0,3.5,2.45,3.0,2.24,6.0,3.32,10,6.0,3.32,3.0,2.24,75.0,69.58,11
24270ee41d18a886053b3a56d40a33595ba64d93,0,0,0,0,0,2.5,2.0,2.5,2.0,4.0,4.0,0,4.0,2.65,2.5,2.0,51.5,47.67,0
f1a6ec28789188d57894d2ef1bb46350899ba018,0,1,1,0,0,5.5,3.16,3.0,2.24,19.0,6.08,36,1.5,1.41,18.0,17.89,561.0,560.61,37
911f8786af25563608d6a5242f2c96ec59661e32,0,0,0,0,0,4.5,2.83,2.5,2.0,1.0,1.0,0,1.5,1.41,10.0,8.66,270.0,258.49,1
245c13468a2043756c516a3dad186693fec07fbe,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.5,1.41,3.5,2.45,111.5,21.02,1
a27f3fae892ede0731dd67dad29b71c18a0042bf,0,0,0,0,0,2.5,2.0,2.5,2.0,1.0,1.0,0,1.0,1.0,5.0,3.0,107.5,20.64,1
913120930f1a0be0cae716d096a2194ed1d3de3a,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,5.0,4.58,106.5,105.21,1
7a1af1801c1d759a4cccac371b9b0382b7746bce,0,0,0,0,0,3.5,2.45,2.5,2.0,1.0,1.0,0,2.5,2.0,19.0,6.08,525.5,91.35,0
3fae61309edb11fec33ba2fc1bb2ada86a017d43,0,0,0,0,0,2.5,2.45,1.5,1.41,1.0,1.0,0,7.5,6.63,18.5,12.65,521.5,374.91,0
12568fa4095c199b0e797611bed8d1de11b3b64f,0,0,0,0,0,2.0,2.0,1.5,1.41,3.5,3.46,1,2.5,2.0,8.5,7.75,242.0,227.32,1
cab4d226116c12f0146f3c836e7ddc518b09c9ef,0,0,0,0,0,1.5,1.41,1.5,1.41,1.5,1.41,1,1.0,1.0,2.5,2.0,41.5,21.49,2
