mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
1029e50b4923c7991fd116673e18d6b464f4929e,0,0,0,0,0,27.5,7.35,13.0,5.0,7.5,5.1,11,9.5,4.24,90.0,26.53,3001.5,500.36,11
2854ddd2089d1fefb56dc85d568182ced04d5fd0,0,0,0,0,0,20.0,19.77,7.5,3.74,1.0,1.0,0,4.5,3.74,68.0,62.41,7421.5,4460.49,1
e426536751b727c10f7c1de3b9fa5fc2eb9b746f,0,0,0,0,0,21.0,20.4,5.5,3.16,3.5,2.45,5,4.0,2.65,47.5,47.18,7599.0,4963.5,5
df17637e5bec0dded983d02d358878e12b9a28c2,1,0,0,1,1,58.0,27.62,16.0,5.57,11.5,11.22,5,130.0,27.77,177.5,109.75,9143.5,9106.25,5
720097d648ac0646e4dbb0e7707f1ae0c08559db,0,1,1,0,0,33.0,32.02,6.5,3.46,8.5,6.48,11,12.5,11.22,64.0,61.11,5701.0,4511.78,11
f6216cfe230d76e6b8e9bb21918d9bb2a1caf617,0,0,0,0,0,22.5,14.14,2.5,2.0,4.5,2.83,7,16.5,15.17,32.5,30.0,4781.5,1860.95,8
3553dd2331b6ce1b15ec78503a7a42c64c38ca3e,1,1,1,2,4,34.0,30.98,12.5,4.9,17.5,17.15,7,9.5,7.75,151.0,96.67,4961.0,4939.72,7
569d7cfff428c2b85010dad0511f26e74645fe65,1,0,0,1,2,50.0,36.66,16.5,5.66,11.5,10.95,7,6.0,5.2,131.5,87.12,17131.0,11358.53,7
359b4349465e259b6eb5f470460e4e8933322176,0,0,0,0,0,15.5,14.49,3.5,2.45,12.5,4.9,23,10.5,4.47,67.5,51.61,3151.0,3149.71,23
7acf81218976205873f07fe42f6660b3683fcab9,0,1,1,0,0,74.0,12.12,21.5,6.48,8.5,8.37,3,26.0,7.14,563.0,33.54,27327.5,330.61,3
