mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
f5b55cfacf1f1ed8cc46af1db24ce3fde4fe03c7,0,0,0,0,0,2.5,2.0,1.5,1.41,1.0,1.0,0,4.0,2.65,2.5,2.0,28.0,14.42,1
3319013f81542ae5aca3fd73d4665d564c808d5f,0,0,0,0,0,8.0,5.29,2.5,2.0,4.0,3.46,4,6.5,3.46,13.5,9.59,1327.0,367.84,4
5da60ca3dcfe77ddebde852bc4032333765c9af1,0,0,0,0,0,3.0,2.24,2.5,2.0,1.0,1.0,0,1.5,1.41,7.0,3.61,870.0,58.96,0
b3824a39225f03d15deb35e32afd8b95dd0e164b,0,0,0,0,0,3.0,2.83,2.5,2.0,1.0,1.0,0,1.5,1.41,10.0,9.54,1013.0,707.49,0
576ea8431ba2daa3c7c903b563840fba40b18d67,0,0,0,0,0,6.5,3.46,1.5,1.41,1.0,1.0,0,4.0,2.65,4.0,4.0,62.0,51.18,0
4a44b36862a44b6af571ad2e76662bf9570884be,0,0,0,0,0,2.5,2.0,1.5,1.41,1.0,1.0,0,1.5,1.41,1.0,1.0,12.0,6.63,0
6dc4ee7b46c72e7d0bb35be59b59ee6e12dc3954,0,0,0,0,0,2.0,1.73,1.5,1.41,1.5,1.41,1,1.0,1.0,1.0,1.0,11.0,10.95,2
bd57054db36b0e353954d69cb233a689c23d7755,0,0,0,0,0,1.5,1.41,1.5,1.41,1.5,1.41,1,1.0,1.0,1.0,1.0,12.0,12.0,2
ad3f9fcbffe5804f3a42f9734d730e4225cef883,0,0,0,0,0,3.0,2.83,1.5,1.41,2.0,1.73,2,2.0,1.73,2.0,2.0,33.5,26.5,3
bd27a8a4f10d525323ad8418922baf5978a165a7,0,0,0,0,0,1.5,1.41,1.5,1.41,2.0,1.73,2,2.0,1.73,1.0,1.0,27.0,10.2,3
7fd13c957147cbb33f995b2583e32a31d1ecd766,0,0,0,0,0,2.0,2.0,1.5,1.41,1.0,1.0,0,1.0,1.0,1.5,1.41,7.0,4.9,0
a271c1cb27b7595f19c0dffd1ab93ef14136a0f8,0,0,0,0,0,2.5,2.0,1.5,1.41,1.0,1.0,0,1.0,1.0,36.5,20.05,8049.5,1088.97,0
51f354cae74356d4b8c078f33242e3b58f197329,0,0,0,0,0,2.5,2.0,1.5,1.41,1.0,1.0,0,3.0,2.24,2.0,2.0,12.0,10.91,0
05eb2ee94cd6fb7ae8eaef94d9282ec13e1f4f6c,0,0,0,0,0,3.0,3.0,1.5,1.41,3.0,2.24,4,1.0,1.0,4.0,3.46,21.0,15.65,5
b1737d0d995c1a769086f176e6017a2511dd263a,0,0,0,0,0,5.0,4.0,1.5,1.41,1.0,1.0,0,2.0,1.73,13.5,5.1,70.0,16.61,0
44f67861dd5557f3dc67010f4f3527a858d4e77e,0,0,0,0,0,3.0,2.83,1.5,1.41,1.0,1.0,0,1.0,1.0,3.0,3.0,54.0,53.67,0
b9616ad8409760088f23bd27bc85612666f7dfdf,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,1.5,1.41,24.0,17.89,0
bc1c7808219a175356eeb158361754fc622ea67d,0,0,0,0,0,3.0,2.24,1.5,1.41,1.0,1.0,0,1.0,1.0,2.0,2.0,19.5,17.55,0
28ca3f9d7e7ab0a52f5dbd741a1fb508c587ba14,0,0,0,0,0,10.0,8.0,2.5,2.45,1.0,1.0,0,1.0,1.0,9.0,5.66,128.5,52.02,0
8420112fe9fc703768580dcfdec2a40b39ab8abf,0,0,0,0,0,7.5,3.74,2.0,1.73,1.0,1.0,0,1.0,1.0,8.0,5.29,123.0,96.71,0
d6dee2fca7e1c37d72caa9b188a08a7942aec8b1,0,0,0,0,0,5.0,4.58,1.5,1.41,1.0,1.0,0,1.0,1.0,6.0,4.47,84.0,39.75,1
3545a3547932c9c3ae50d79bd8c0284444467271,0,1,1,0,0,23.0,9.38,4.5,2.83,1.0,1.0,0,4.0,2.65,25.5,9.9,629.5,195.11,0
7ac5b3b013e2633417d043d448edfc86a11d364d,0,1,1,0,0,20.0,16.0,4.0,2.65,1.0,1.0,0,4.0,2.65,24.0,16.94,611.0,366.33,0
810202b7e952c763546b8dc22b749c80fc01e746,0,0,0,0,0,15.5,12.25,4.0,2.65,1.0,1.0,0,4.5,3.74,20.5,8.83,550.0,150.53,0
d3a31c9d7f22865b53f1f677e51542230001acc0,0,1,1,0,0,9.0,8.77,2.0,2.0,1.0,1.0,0,4.0,2.65,19.0,12.85,530.5,362.32,0
295e3b44337bb5e914467673e6455ec56c1e08ae,0,0,0,0,0,8.0,3.87,2.5,2.0,1.0,1.0,0,4.0,2.65,4.5,3.74,80.5,34.99,1
e35e706bb149fd8597a88ba30f08df6043e02dce,0,1,1,0,0,8.0,8.0,2.0,1.73,1.0,1.0,0,4.0,2.65,6.0,5.2,105.0,100.62,0
dba29b4df43f70aea56eec9dcdfacff7a3a27ccc,1,1,1,1,2,4.5,4.24,2.5,2.45,1.0,1.0,0,1.0,1.0,18.5,11.49,464.0,127.98,1
275225994932f38e0af46d9dbc57677dd413c323,0,0,0,0,0,4.5,4.24,2.0,1.73,1.0,1.0,0,1.0,1.0,5.5,3.16,39.5,27.35,1
356da9fee62a999b297038ea8c26f03de0bc310a,0,1,1,0,0,16.0,7.75,4.5,3.74,1.0,1.0,0,4.0,2.65,26.5,25.69,739.0,718.94,0
d03bb9ef7dd5520344513361549ccca10dd0e031,0,1,1,0,0,36.5,8.49,5.5,3.16,1.0,1.0,0,4.5,2.83,13.0,5.0,1772.5,157.37,1
7d5f11bc32d4ffe5b6f4915ca21027317e00cdf4,0,1,1,0,0,15.5,5.48,3.0,2.24,1.0,1.0,0,4.0,2.65,12.0,9.75,327.0,184.47,0
7ad76875612b3c685c88f331243bc5bc1ee73aa9,0,0,0,0,0,36.0,16.49,4.5,2.83,1.0,1.0,0,6.5,6.32,11.0,7.55,1771.5,625.22,1
eb2712ad1ddb01bfc84086ef246e921d317cd4df,0,1,1,0,0,8.5,4.0,2.0,1.73,1.0,1.0,0,2.5,2.0,7.0,4.9,163.0,35.89,0
091ad1d472eda5d4b3d050198569b1417d48ad6a,0,1,3,0,0,63.0,36.99,6.5,4.69,1.0,1.0,0,16.0,9.33,21.5,18.76,2857.5,1276.56,1
44aa1b6f923fc7a896b7aea8a83c9baf10d04cfc,0,0,0,0,0,6.0,4.47,1.5,1.41,1.0,1.0,0,4.0,2.65,2.5,2.45,103.0,62.33,0
8269c11fa690568d5de230a18aece4527145f2ad,0,0,0,0,0,25.5,17.55,4.0,2.65,1.0,1.0,0,7.5,7.48,5.0,4.0,1577.5,726.02,0
74fd1b9c6aaad86ff6188e9c2a85064348114a1a,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,2.0,1.73,47.0,26.23,0
3c5750919ced009359130e7e3d6f0e65308245c5,0,1,2,0,0,54.0,50.55,4.5,3.74,1.0,1.0,0,17.5,14.0,34.5,34.47,2255.5,2231.01,0
0ce5217a1e76b5e3015dbd5f0564597304ec8061,0,1,1,0,0,51.0,17.23,4.5,2.83,2.0,1.73,2,15.0,7.48,22.5,11.22,1501.5,573.89,3
7621c856bbc1cfae9cc4c8d11c70450e5c35adb3,0,1,1,0,0,29.0,7.55,2.5,2.0,1.0,1.0,0,14.5,5.29,13.5,9.59,1139.0,340.22,0
d4b337b7342a2d516ae1f1583543d695cdf99818,0,0,0,0,0,70.0,16.61,5.0,3.0,2.0,1.73,2,15.5,9.17,53.5,10.3,3003.5,626.18,3
b3584526113529df9ac1d01f16341c0ee276e643,0,0,0,0,0,29.0,28.57,2.5,2.0,2.0,1.73,2,15.5,9.17,12.0,9.75,1119.0,596.11,3
72beaa61b092e12cc38cddcad5c1bfcb87912df7,0,1,1,0,0,10.5,9.49,1.0,1.0,1.0,1.0,0,16.5,11.83,3.0,2.83,80.0,79.97,0
3a54b50c18779cc1ce7539d6dd65df2c29c43e38,0,0,0,0,0,7.0,3.61,1.0,1.0,1.0,1.0,0,3.0,2.24,2.0,1.73,41.0,9.0,0
7143df014082eeadf81340d2696407eb3c0c27e5,0,0,0,0,0,7.0,4.9,1.0,1.0,1.0,1.0,0,4.0,3.87,2.0,1.73,46.5,31.18,0
6909cd54b17f66432bef972e2486bed72eb4c6e8,0,1,1,0,0,348.5,52.65,11.0,4.58,11.0,4.58,20,19.5,14.97,174.0,26.31,36742.0,2330.74,21
a6ff26a5ff81e2a4ddaf4a08cc316abcfb69f5cf,0,1,2,0,0,34.0,23.04,3.5,2.45,1.0,1.0,0,6.0,4.47,40.5,15.3,1083.5,346.8,1
543d0bd54d82100f982f81cd3582ceb352c4762f,0,1,1,0,0,43.0,39.5,4.0,2.65,1.0,1.0,0,6.5,5.48,47.5,36.41,2022.5,2020.61,1
181bf7c66bc1ad011bfec88dfc67ab02236ae433,0,0,0,0,0,4.5,2.83,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,123.0,27.0,0
