mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
903c1de1c77727942ab3926be1ed439c7c3ca6d3,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,1.0,1.0,17.0,10.95,0
0e7b1c56915171cd6ae31a59903ab8fc556f67e6,0,0,0,0,0,3.5,2.45,2.0,1.73,1.0,1.0,0,1.0,1.0,2.5,2.0,7.5,3.74,1
79d3b70e45a0e5ff0f285b2cfeb2cc62103d17be,0,0,0,0,0,4.5,2.83,2.0,1.73,1.0,1.0,0,1.0,1.0,3.5,2.45,412.5,149.39,0
34960e2fb47eaedcc566bfd238941da3f877c3db,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,2.0,1.73,119.5,75.66,0
4e9fc399ee4b446f036ea3938b2cc1b622751f90,0,1,1,0,0,96.0,13.82,5.0,3.0,1.0,1.0,0,56.5,10.58,36.5,8.49,3489.0,186.72,0
1eb76bf40f791f45a651d1f24108a02949c3da6e,1,1,1,2,97,98.0,90.75,7.5,7.48,1.0,1.0,0,89.5,86.63,39.5,25.1,3524.5,3107.23,0
21c09f219c2f6fca6b3dc0448a846ef7195de6da,0,0,0,0,0,30.5,21.63,5.5,5.48,8.0,3.87,14,55.5,36.85,5.0,4.9,554.0,431.86,15
88e93c3abe0813830ad87187d5296d0286dd3e56,0,0,0,0,0,2.0,1.73,1.5,1.41,1.0,1.0,0,1.0,1.0,1.5,1.41,3.0,2.83,1
6bf15d4ec5261edde930a2ac269afea40f3d8496,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,1.0,1.0,47.5,19.08,0
2b427a3020d75303f1b6b9a9d58d93b81aea2139,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,1.5,1.41,57.0,46.48,1
0231c71ab0787c84154bbe8e50d69cce53fc392e,0,0,0,0,0,16.5,12.73,3.0,2.24,1.0,1.0,0,11.0,4.58,9.5,8.37,335.5,324.68,0
3d4242c5831269349274c776b62738a52905d96b,1,0,0,1,1,66.0,52.5,6.0,5.92,1.0,1.0,0,36.5,32.56,39.5,32.47,1113.5,871.17,0
0566aad58bd2414760cfe5342706389897bd820c,0,0,0,0,0,9.0,4.12,2.5,2.0,1.0,1.0,0,1.0,1.0,8.0,7.42,149.0,70.99,0
0d2daee0afa27e97b2836f3b25f447c9eb24e501,0,0,0,0,0,2.0,2.0,1.5,1.41,1.0,1.0,0,1.0,1.0,2.0,1.73,23.0,14.32,0
c58d0d75bde5dae14c9ddd18f848e769fb3db5d7,0,0,0,0,0,31.0,23.69,5.0,4.9,1.0,1.0,0,54.5,34.12,6.5,6.32,521.5,357.69,0
f1095efaf12082900fe02436a52251ade9c1bd46,0,0,0,0,0,15.5,9.17,2.0,1.73,4.5,2.83,7,4.0,2.65,11.5,7.75,310.0,119.6,7
414f73f09be271b93c1d8dde889dead96623b29e,0,0,0,0,0,30.5,24.98,5.5,5.48,4.0,2.65,6,42.5,23.37,6.5,6.0,531.0,409.53,7
990145c61f78d8b462ec14b4f8faf82781fcc648,0,0,0,0,0,3.5,2.45,1.5,1.41,1.0,1.0,0,2.5,2.0,2.0,1.73,17.5,11.14,0
e3133b0b9543e2c6d4b8eb021a608b5828699b56,0,1,1,0,0,33.0,30.74,5.5,5.48,9.5,8.83,7,38.5,28.84,11.0,10.82,696.0,676.64,7
841632728f17d5788f4f569d0cca987b199af496,1,0,0,1,2,29.0,27.87,4.5,4.47,1.0,1.0,0,19.5,18.38,23.0,20.71,624.0,617.33,0
142a3865c4bf24978c6d2db8fb13db4c7d270b39,0,0,0,0,0,4.0,4.0,2.0,1.73,1.5,1.41,1,1.0,1.0,2.5,2.0,54.0,31.3,2
82921b090ceb29bf176e9a235ef1cdd82a3b14dd,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,1.0,1.0,6.0,4.47,1
0f8b1ac6843d9f1ebe32240eeab4118d8f0e3cd4,0,0,0,0,0,2.5,2.0,2.0,1.73,1.0,1.0,0,1.0,1.0,2.5,2.45,21.5,18.17,0
bfa27742ba294df18513e3625e9e289b16037409,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,1.5,1.41,5.0,3.0,0
58c4fe9a2d2f54f213abdb654503ba88d379a298,0,0,0,0,0,3.0,2.24,1.5,1.41,3.5,2.45,5,3.5,2.45,5.0,4.0,60.5,30.07,6
0be3e4ca138bcb22e6885bab83fb44acdc588101,0,0,0,0,0,2.0,2.0,1.5,1.41,2.5,2.0,3,3.5,2.45,1.5,1.41,4.0,2.65,4
4e0cb670df9275d92673309309e033a46ad62cee,0,0,0,0,0,2.5,2.0,1.5,1.41,1.0,1.0,0,1.0,1.0,1.5,1.41,24.0,23.81,0
cf8ceabc7842649ce498d715298167426be42efa,0,0,0,0,0,7.5,3.74,3.5,2.45,1.5,1.41,1,7.0,3.61,8.0,6.24,186.0,104.31,2
b882413ce0bbf9e2ad1e2708c06c215cae863916,0,0,0,0,0,12.5,8.12,4.0,2.65,4.0,2.65,6,13.0,10.95,12.0,11.31,270.5,267.45,7
