mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
08ef141ffd732a24a8ee2537592af11eb454d05d,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,27.5,24.98,0
4dba88ea9374b811f1c482db5ffefb581212256e,1,0,0,2,3,346.5,26.31,4.5,2.83,3.0,3.0,0,56.0,10.54,174.5,32.22,57185.0,2318.01,0
93956cfd4278add3f756ef36f7528580364d6a11,1,0,0,1,1,5.0,5.0,1.5,1.41,1.0,1.0,0,1.0,1.0,10.0,9.54,8996.0,2254.18,0
384d1c706f5e14a5aa1d3b5c9470fcd0ced0014d,0,0,0,0,0,2.5,2.0,2.0,1.73,1.0,1.0,0,1.0,1.0,7.0,3.61,173.0,45.17,0
dfea6beacaa2d26eeba56b4f6dbba96e12fd695b,0,1,1,0,0,7.0,4.9,1.5,1.41,1.0,1.0,0,1.5,1.41,10.0,4.36,622.0,126.5,0
3f0e6d52fab4bef78a9872c576057e20f0223041,0,0,0,0,0,3.0,2.24,1.0,1.0,1.0,1.0,0,1.0,1.0,4.5,2.83,56.0,23.13,0
cba19de4bb17449c64eef9a34661356e3065e100,0,1,1,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,5.5,3.16,18.5,17.66,0
0ca6ef17965c0fa2e4ef90a2629e92f05735c780,1,1,1,3,4,4.0,4.0,1.5,1.41,1.0,1.0,0,1.0,1.0,14.0,14.0,692.5,692.3,0
0afd970c4c8478167e381a84b93a8c41be89ec09,1,0,0,2,2,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,11.5,10.1,533.0,516.14,0
18481957b3eccccc08331bf814e234cd294003d8,0,0,0,0,0,6.5,3.46,2.0,1.73,1.0,1.0,0,1.5,1.41,6.5,5.48,838.5,404.47,0
0bf7d458f772eb77c5a029f953eb970a1fd0cd0c,0,0,0,0,0,5.0,4.58,2.5,2.45,1.0,1.0,0,1.5,1.41,6.0,6.0,46.0,39.24,1
0b007f2359a3b1527108b58f89ef1e262beccdb3,0,0,0,0,0,2.0,1.73,1.5,1.41,1.5,1.41,1,1.5,1.41,2.5,2.45,19.5,19.49,2
b496751ab370622443879631033b89bde9c80c8f,0,0,0,0,0,4.0,3.46,1.5,1.41,1.5,1.41,1,1.5,1.41,5.0,4.0,45.5,37.68,2
112e55fc7a49a0b5878765f178e838f96d78929c,0,1,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,4.5,4.24,15.0,13.27,0
afe6ff844c9ef869feb03ab05570fe2f4b8efad8,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,2.0,2.0,153.5,77.5,0
170ab1e4db3fb107a92064474e00c667e9bba18e,0,0,0,0,0,2.5,2.45,1.5,1.41,1.0,1.0,0,1.0,1.0,4.0,3.87,42.0,41.57,0
a99ce1ea70b2da1b0a9eefaf1e882c7c60cfa144,0,1,1,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,7.0,6.93,97.5,69.38,0
66dafc8c377d74ab60740125e2f534f4884a5fb2,0,1,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,3.5,3.16,81.5,53.48,0
96518180456d190c3617d9449d401c695c2ee933,1,0,0,1,1,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,1.5,1.41,6.0,4.47,0
1636f684f43907670ab621a0ac9c0c3bace62558,0,1,1,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,5.0,4.0,72.5,31.08,0
b7265b29c63a0d5af6cf9b1693aee9cad39f2fdc,0,1,1,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,2.0,2.0,27.5,17.15,0
de435f3d834d3d8d220b63e1a87ef0bfe2fe195b,0,1,1,0,0,5.0,4.0,1.0,1.0,1.0,1.0,0,1.0,1.0,14.5,14.49,654.5,444.4,0
f502424ba57d940590f946c6c594c40cbecbf48b,0,1,1,0,0,8.5,4.0,1.0,1.0,1.0,1.0,0,1.0,1.0,13.0,12.37,1385.0,606.79,0
e90601908d92967083a73e83eebf2978649f8dce,0,0,0,0,0,2.5,2.0,1.0,1.0,1.0,1.0,0,1.0,1.0,4.5,4.24,643.0,223.25,0
4a4f789994ef1ab8688ea9796dc5c9441245cf06,0,1,1,0,0,15.5,15.49,1.0,1.0,1.0,1.0,0,12.0,6.63,34.0,33.27,5177.0,4983.83,0
8e9d5171afec805f005c68bf83ae984e1b8e8a1d,1,0,0,2,2,26.5,21.49,1.5,1.41,1.0,1.0,0,15.5,14.83,30.0,29.58,4451.5,3981.18,0
174330822d1efb189947ff7679eca56414b6d4de,0,0,0,0,0,4.5,4.24,1.0,1.0,1.0,1.0,0,5.0,3.0,3.0,2.24,253.0,38.85,0
3becd5b00a94b8f22470bdf54385a487dbb9ab81,1,0,0,1,1,40.0,12.49,2.5,2.0,4.5,2.83,7,4.0,2.65,36.5,8.49,3421.5,143.25,8
26ebed6041283758b5935c8fac3c852bf3ce32cc,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.5,1.41,5.5,4.9,0
fe484baad0a21139068850923910afe0805b401a,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,8.0,5.29,0
98e36533a18d52c4d63e6832a11ba70f62d93dbe,0,1,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,3.0,3.0,18.5,15.87,0
0b3aa2d56c155eb2e212c543033e802ef6ea1a8f,0,1,1,0,0,10.5,6.16,1.0,1.0,1.0,1.0,0,1.0,1.0,4.0,3.46,197.0,64.91,1
6c949e3fda1f2b61f6ebe3fe273eadb418fef5fc,0,0,0,0,0,3.5,3.16,1.0,1.0,1.0,1.0,0,1.0,1.0,2.0,1.73,51.0,46.48,0
570fabe1de7be23eedf837ed241bb64670e8ebd9,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,3.5,3.16,0
d5afed4fbfd0d10ec280515596368be33526fa08,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.5,1.41,52.0,27.71,0
37f273995f6e1cdf0e55d2d6da8fc294fddbc5e8,0,0,0,0,0,13.5,7.07,1.5,1.41,1.5,1.41,1,4.0,3.46,8.5,4.0,924.0,532.68,1
7146e2280b37332ece238dae880b6dd6dbfee7d6,0,0,0,0,0,10.5,8.94,1.0,1.0,1.5,1.41,1,2.0,1.73,7.5,7.07,819.5,551.12,1
8b104bd85f5e4ed9b178e9ecb9a9062324b3451f,0,0,0,0,0,9.0,7.48,1.5,1.41,1.0,1.0,0,2.0,1.73,4.5,4.47,752.5,391.73,0
