mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
b22586d38840dc07885545e8807e32cce8048f83,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,2.0,1.73,13.5,12.33,0
611b8c392d9518c34cfa826a807a1aefbc0198e6,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,5.0,3.0,32.0,15.49,1
bbbc2551f8d7e3f00193069c388b0d3d75881a56,1,0,0,2,2,151.5,17.38,7.0,3.61,370.0,27.18,738,358.5,26.76,263.5,32.4,18704.5,864.74,739
9459cdb58134be756ba2e241c003165a3fc8156e,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,5.5,5.48,0
3301b275e93f9789f1e6cc3cd6bdf081b1883943,1,0,0,2,2,84.0,22.25,1.0,1.0,7.0,3.61,12,31.0,7.81,216.5,29.36,14730.5,970.43,13
3e22050cb28352f228aa847be5752d0812398420,1,0,0,1,1,82.5,12.81,1.0,1.0,85.5,13.04,169,31.0,7.81,216.0,20.76,14716.5,343.1,170
700e95814b45c4f8a6b30b8acdfcc30406f645b4,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,5.5,3.16,54.5,14.63,0
b6f01bfb2e0d173e9588bd4e8d3f89e8239a9b54,0,0,0,0,0,40.5,8.94,5.0,3.0,187.5,19.34,373,165.0,18.14,53.5,17.66,2586.0,304.58,374
0b2359bf428bcefdbaa99aa6891c037da25e0511,0,0,0,0,0,39.5,8.83,4.5,2.83,165.0,18.14,328,143.5,16.91,52.0,17.41,2577.0,385.52,329
2eb685b14112db5a99b4f011089eb14690f1624c,0,0,0,0,0,31.0,7.81,3.5,2.45,62.5,11.14,123,75.5,12.25,47.5,9.7,2313.0,96.17,124
af17f5e8e70d3082d25d638760a634be9f5b494a,0,0,0,0,0,4.5,4.24,1.0,1.0,14.0,5.2,26,1.0,1.0,13.5,8.49,351.5,336.22,27
