mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
5b014a653638c71c5779c6026bc43c699856c156,0,0,0,0,0,13.5,5.1,4.5,2.83,1.0,1.0,0,31.0,7.81,11.0,4.58,216.0,29.33,1
f9e65b0f804da58b836624d8303c174001888931,0,1,1,0,0,110.0,32.79,9.0,4.12,18.5,6.0,35,39.0,8.77,121.0,48.17,5708.5,1664.31,36
0df316be4cb4136135e6b8ce7761ba791ed98987,0,0,0,0,0,9.5,4.24,3.5,2.45,1.0,1.0,0,31.0,7.81,5.5,4.24,91.0,26.68,1
effab2988bb19b18b72f42a8d8ef9449af084f7a,0,0,0,0,0,336.5,68.28,9.0,5.66,26.0,7.14,50,43.5,27.75,219.5,20.93,11443.5,1254.77,51
e7226dfca1c6db4e7728133532658f8c21671d63,0,0,0,0,0,13.5,12.73,3.0,2.83,1.5,1.41,1,17.5,9.8,10.5,10.2,256.5,209.85,1
3984d6a94755d5e3d530108516d943999eb171fc,0,1,2,0,0,52.0,14.28,6.5,3.46,14.5,5.29,27,21.5,6.48,75.5,27.02,2119.5,462.16,28
9e12d67f3f22c51e22be1a5c463c90dc314527c1,0,1,2,0,0,78.5,27.57,8.0,3.87,15.0,5.39,28,39.0,15.0,95.0,33.23,4125.0,999.81,28
778ddbee0f55c2c319dd4a4ef925fccebb03d06a,0,0,0,0,0,21.0,13.6,4.0,2.65,6.5,3.46,11,21.0,6.4,19.5,10.39,398.5,288.88,12
81392ae8f2df0b799bd465882ee06b7646d98cca,1,0,0,3,4,466.5,68.12,11.0,4.58,31.0,7.81,60,62.0,11.09,285.0,94.15,19980.0,3048.92,61
104a26db35ee158f3f6cceedfee916463d89d116,0,1,1,0,0,7.0,5.74,2.5,2.0,13.5,5.1,25,18.0,5.92,13.5,12.33,81.0,71.53,26
