mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
48a85256617ed1e1fe54b9c733d3cedc10b3b524,0,0,0,0,0,19.0,8.49,1.0,1.0,1.0,1.0,0,3.0,2.24,27.5,7.35,2165.0,65.8,1
9376afb5c2095f663b01fdbef706150af6cc8355,1,1,2,2,4,18.5,14.49,1.0,1.0,2.5,2.0,3,13.0,5.0,34.0,30.98,2555.5,1876.72,4
4f6718c30a86a927f25baebac91d0877eefcec76,0,0,0,0,0,7.5,7.48,2.5,2.45,2.0,1.73,2,13.0,12.85,12.0,11.96,105.5,97.83,3
4eddfbde6813e8b78e7417a53b5c88aba33d2375,1,0,0,2,2,4.5,3.74,2.0,1.73,7.0,3.61,12,9.5,5.83,12.0,10.39,89.5,73.89,13
7ee3cc3f37865845470cc70d64d98e302b64bdd1,0,0,0,0,0,2.0,2.0,1.5,1.41,1.0,1.0,0,5.0,5.0,4.5,4.24,28.0,20.57,0
6c23a2fc14483999cfa298686bf2e5c3dcd4c808,0,1,1,0,0,20.5,8.83,3.0,2.83,1.0,1.0,0,10.5,4.47,20.5,14.49,546.5,212.49,1
f871cbbdab6d1413ab881fe95040c2dbd03a041f,0,0,0,0,0,3.0,2.83,1.5,1.41,2.0,1.73,2,1.5,1.41,4.5,4.24,139.0,54.19,2
8d3da44d240e646663ff53c77c31acf438e40650,0,1,1,0,0,5.0,3.0,2.0,1.73,1.5,1.41,1,7.0,3.61,6.0,3.32,72.5,31.08,2
bc50d25e7ec20429378703ae513c055b77920a8f,0,0,0,0,0,4.0,2.65,1.5,1.41,2.5,2.45,1,5.5,3.16,5.5,4.24,69.0,23.15,1
d99902d982ff15b7096c2682d8c038eebb2ae568,0,0,0,0,0,9.5,5.83,2.5,2.0,1.5,1.41,1,9.0,8.49,11.5,10.95,367.0,280.21,1
33bed98fc4955fe322a42f19951b8052a5c35b22,0,0,0,0,0,16.0,7.75,3.0,2.24,6.0,5.66,4,19.5,10.39,10.5,8.94,470.0,194.21,4
7660c19be948d63c484f51b327269034e41f64a8,0,0,0,0,0,5.5,4.9,2.0,1.73,1.5,1.41,1,2.0,1.73,3.0,3.0,270.0,269.18,2
b91a24cdbc10de545c18ddeb450483b8c06e551f,0,0,0,0,0,2.0,2.0,1.5,1.41,1.5,1.41,1,1.0,1.0,3.0,2.24,15.5,7.62,2
e89ba9e47380f2c3137ad28f52ea3b3d566ab73b,0,0,0,0,0,8.5,7.75,2.0,2.0,1.5,1.41,1,17.5,12.25,5.0,4.0,169.5,62.64,2
f3758b937e67d27097580c1d2b3584f942704a89,1,0,0,2,2,8.0,3.87,2.5,2.0,8.0,3.87,14,7.5,3.74,497.5,62.96,12846.5,1229.8,15
48c0405fb827eb058d3400191907333bcbf00b8b,0,1,2,0,0,4.5,2.83,2.0,1.73,1.0,1.0,0,1.0,1.0,497.5,77.03,12795.0,1278.15,0
8ad4632555ca50fbaf2b98270a501ec198a9dc31,0,0,0,0,0,5.5,3.16,3.0,2.24,1.0,1.0,0,11.5,4.69,494.0,31.42,12740.0,225.73,0
814fe3ca2e65d150bcce5aee3d94393b5662c68a,0,1,1,0,0,4.5,4.47,2.5,2.0,6.5,3.46,11,5.5,3.16,494.0,54.36,12739.0,676.96,12
f752b2ab6f70f340a8475e1a6d48655eb12ec640,0,0,0,0,0,6.5,4.69,1.5,1.41,1.0,1.0,0,22.0,6.56,26.0,15.33,382.0,174.14,1
2b853deed634107161d52422970ef13c6c85fe71,0,0,0,0,0,2.5,2.0,1.5,1.41,22.5,6.63,43,9.5,4.24,6.0,3.32,143.5,44.27,44
a43b2f8bf1db4f1a1704b48c4180a1b7e3a7ae3c,1,0,0,1,1,4.5,4.24,1.5,1.41,9.5,4.24,17,1.0,1.0,9.5,9.38,380.0,366.61,18
d82f6ca4d43cbbe98b1a4d20e078353e895e2c55,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,3.5,2.45,239.5,184.67,1
1212932eaffb159103a380b7fc645a5d3bc13155,0,0,0,0,0,2.5,2.45,1.5,1.41,1.5,1.41,1,1.0,1.0,1.0,1.0,19.0,16.16,2
a1e9eade53c9b7be8a8bb3da3d8e2fd016d6e34b,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,1.5,1.41,18.5,15.23,0
0a06e17856efcaf385e7bdedfb605e28fe71848b,0,0,0,0,0,4.0,2.65,1.5,1.41,10.0,4.36,18,12.0,4.8,16.0,7.75,267.0,88.23,19
b176ede08ca5cb88d848b173da3a4063732ffc8c,0,0,0,0,0,11.0,9.22,1.5,1.41,20.5,20.45,3,2.5,2.0,18.5,14.49,517.0,517.0,3
29214b6a6de47fa6b863b97dcb7fb0f11f99748b,0,0,0,0,0,6.5,3.46,1.5,1.41,1.0,1.0,0,2.0,1.73,3.5,3.16,256.5,256.5,0
4b79be52b0462475e473cb4560048b0c1be75176,0,0,0,0,0,5.0,3.0,1.5,1.41,1.0,1.0,0,1.5,1.41,3.0,2.24,128.0,22.54,1
ebdecbf289e7a529b931ff23415239274459c724,0,0,0,0,0,4.5,2.83,1.5,1.41,1.5,1.41,1,1.0,1.0,3.0,2.24,128.0,22.54,2
1ec9ce030baa203ad65f970c041d773e835301da,0,0,0,0,0,3.5,2.45,1.5,1.41,1.0,1.0,0,1.0,1.0,2.5,2.45,127.0,71.44,0
03530c62d749469dd00e6885a41e2faf12cd8780,0,0,0,0,0,2.5,2.0,1.5,1.41,1.0,1.0,0,1.0,1.0,1.5,1.41,116.0,15.2,0
2b9b36a4a6dddd34b07187fd934f8d5bb087e3b9,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,1.0,1.0,115.5,47.01,0
9ea14e49d97e1d4c787785bbecc761169de23676,1,0,0,2,8,73.0,45.61,3.5,3.16,76.0,12.29,150,221.0,178.72,560.0,66.81,28288.0,3654.09,151
e1983a39ed45670e610a967e695a7fd2d51a78ee,0,0,0,0,0,3.0,2.24,1.5,1.41,1.0,1.0,0,3.0,2.24,5.0,4.9,56.0,53.03,0
0c24f76293d6229ba2b1c147ed63df37c3963516,0,0,0,0,0,2.0,2.0,1.5,1.41,1.0,1.0,0,3.0,2.24,2.0,2.0,37.0,35.33,0
f99b5b912b3f948c034b852222be7dbb5707baa0,0,0,0,0,0,21.5,20.15,2.0,1.73,21.0,8.94,38,114.0,112.05,30.0,27.5,1619.5,1561.51,38
bc3dd2c9e77aa2ec5eee1dc1e46ddc5c877bf8aa,0,0,0,0,0,2.0,2.0,1.5,1.41,18.0,11.31,28,8.5,4.0,5.0,3.0,22.5,6.63,28
1bc0d5c9df004e3818d450d23786ee93a6358ee3,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,2.0,1.73,0
