mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
ca0f22027722a69039d1125c74427c5784e21f86,0,0,0,0,0,1.0,1.0,1.0,1.0,1.5,1.41,1,1.0,1.0,1.0,1.0,5.0,4.0,1
483e6d5af496d6a6fff479e4d15c0b00e47af04c,0,0,0,0,0,49.0,9.85,16.5,5.66,85.0,22.38,164,384.0,27.69,38.5,17.09,2391.0,553.72,164
af15be186c132373dc7cd3ea765b91aeb702b64e,0,0,0,0,0,9.0,4.12,6.5,3.46,12.5,4.9,23,12.0,4.8,12.5,4.9,678.5,186.03,23
fed0ed1a6c7bdcb734f9236d8cabb7d17b7a8c52,0,0,0,0,0,6.0,3.32,5.0,3.0,11.0,4.58,20,9.5,4.24,12.5,10.0,580.5,161.78,21
3d155882e76323aec6eaab46c6deaaedda6a5946,0,0,0,0,0,37.5,14.7,11.5,6.48,19.0,6.08,36,428.5,299.45,33.0,8.06,1649.5,172.08,36
ae87cae3a24869a5aceab5addc3f3c1041bf39d3,0,0,0,0,0,7.5,5.1,2.0,2.0,1.5,1.41,1,95.0,13.75,24.0,9.59,1216.0,139.26,1
f0e1516d8fb84dd8fb815e6ba90a0ab0e3dcf405,0,0,0,0,0,2.0,1.73,1.5,1.41,1.0,1.0,0,228.5,21.35,1.5,1.41,14.0,12.65,0
71a696c9bd509d382644bf46a0b605f293613534,1,0,0,1,1,6.5,6.32,2.5,2.45,1.0,1.0,0,322.5,293.57,23.5,9.49,1218.5,230.5,0
095594d48ffa71e303f6f80969a2096d81f251a4,0,0,0,0,0,3.5,3.46,1.5,1.41,1.0,1.0,0,228.5,21.35,2.5,2.45,15.5,14.07,0
e9f27b687cf658ef869a6fc4867a1053cef6ee90,1,0,0,2,3,42.5,9.17,14.0,5.2,95.0,13.75,188,364.5,26.98,42.0,30.38,2061.0,350.37,189
5229ba94dbe1319167b4cac47d21f633321daebc,0,0,0,0,0,71.5,16.79,23.0,6.71,228.5,21.35,455,364.5,26.98,34.5,8.25,1299.5,227.11,456
8009c934dfec7daaa2e5af2455e0617cdd93fd38,0,0,0,0,0,16.5,5.66,6.5,3.46,1.0,1.0,0,363.5,26.94,14.5,7.35,355.5,37.66,1
1b21a9c41b6b6e02eeb9459d7b2175d661cd4f7e,0,0,0,0,0,153.0,30.15,44.5,9.38,309.5,24.86,617,437.5,285.51,45.5,13.34,2848.5,345.25,618
92307dc238af616bfd1b0a37448a166a18bd687c,0,0,0,0,0,2.0,2.0,1.5,1.41,1.0,1.0,0,266.5,218.55,2.0,1.73,10.5,6.16,0
48f258429fa11f9b01fa27ffb70111dca2b9b53b,0,0,0,0,0,58.0,10.72,18.0,5.92,210.0,20.47,418,210.0,20.47,31.5,13.42,983.5,192.39,419
ace6e9d5af69082eff1c0fc7b61c8e4859354d1a,1,0,0,1,1,19.5,6.16,7.5,3.74,57.5,10.68,113,210.0,20.47,11.0,4.58,194.0,27.78,114
