mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
1c2d1682ae29c36190c959b827d07e162acccffe,0,0,0,0,0,30.0,7.68,7.0,3.61,5.5,3.16,9,2.0,1.73,63.0,26.83,1477.5,544.52,10
1d8b834301c76d8717065a98ac15e596191db15b,0,0,0,0,0,12.5,4.9,5.0,3.0,1.0,1.0,0,1.0,1.0,40.5,15.3,965.5,180.38,1
71942e4f6207a12660bdaa5267ace1bc1534f55f,0,0,0,0,0,10.5,4.47,5.0,3.0,2.5,2.0,3,2.0,1.73,23.0,9.38,489.5,202.83,4
406ad1a1f2693a1ed427d36526461140624f9266,0,0,0,0,0,2.5,2.0,2.0,1.73,1.0,1.0,0,1.0,1.0,25.0,9.8,187.0,89.85,0
7f0bf3ff3a5d4c23ca319e40a9d68e780f44d523,0,0,0,0,0,2.0,2.0,1.0,1.0,1.5,1.41,1,1.0,1.0,9.0,5.66,104.5,53.94,2
0cdded807932dfb424176faf0fc1e2714b03d7a8,0,0,0,0,0,56.5,10.58,10.0,4.36,2.5,2.0,3,4.0,2.65,183.0,42.49,6639.0,890.55,4
d7dbda15034585d9081d6715d66f6ee98b0eb1ef,0,0,0,0,0,2.0,1.73,1.5,1.41,1.0,1.0,0,1.0,1.0,6.5,5.48,64.5,60.07,0
faf8bba9a6ebd6c60a9d6d87eb793a25666b60fa,0,0,0,0,0,3.0,2.24,2.5,2.0,1.0,1.0,0,3.5,2.45,5.5,4.9,99.0,96.96,0
8f560f0bf4f0a11578afd4c75549a7a9078860e4,0,0,0,0,0,29.5,7.62,8.5,4.0,3.5,2.45,5,10.5,4.47,41.5,12.73,501.5,129.47,6
138e8dc3e3e2c084e1a8ed7dcc5fdd3e365b1e1c,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.5,1.41,6.0,4.47,0
3c8a48f7682cfb132f9d5f889c087fa6640a8195,0,0,0,0,0,3.0,2.24,2.5,2.0,1.0,1.0,0,8.0,3.87,1.5,1.41,8.0,6.24,0
88ef531202e7bf14a6b8e7cf64ec6dd8894ac8d6,0,0,0,0,0,110.5,20.93,13.0,6.93,5.5,3.16,9,11.5,9.49,245.5,22.14,6998.0,392.22,10
88492b2b94281088ee8d6897111394cdcf199de1,0,0,0,0,0,7.5,3.74,2.0,1.73,1.0,1.0,0,1.0,1.0,12.0,4.8,209.0,28.84,0
7f33f7850abbabff41d445474f11a3902c7b4626,0,0,0,0,0,43.5,9.27,10.0,4.36,3.5,2.45,5,4.0,2.65,102.0,56.38,2186.0,1800.28,6
b1ec4e17d95bee5ee3118dfc72dbcc70d4ba565c,0,0,0,0,0,2.0,1.73,1.5,1.41,1.0,1.0,0,1.0,1.0,5.0,3.0,32.0,19.97,1
f1615c2148793d8c744133556c0c0eb95760916d,0,0,0,0,0,7.5,3.74,4.5,2.83,1.0,1.0,0,1.5,1.41,8.5,7.21,99.5,50.89,1
a173511681ffd676fe5929a7168b661a137a89c9,0,0,0,0,0,4.5,2.83,2.5,2.0,1.0,1.0,0,1.0,1.0,5.0,4.58,74.5,35.5,0
efbd923f6095f6ee942c9c115b33e2313f03384a,0,0,0,0,0,3.5,2.45,1.5,1.41,1.0,1.0,0,1.0,1.0,4.5,3.74,79.5,55.93,1
ad9553ff86c9e1dfeb758f3939ee39c701b7c9f0,0,0,0,0,0,56.5,10.58,8.5,4.0,5.0,3.0,8,6.5,3.46,147.5,17.15,4753.0,194.96,8
e600fb79b3c3eb228f5ee7bf8674016964141bd0,0,0,0,0,0,12.0,4.8,5.0,3.0,1.5,1.41,1,4.5,2.83,21.0,6.4,301.0,34.64,2
