mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
8599885d090fa6bee5dd267d3f98dd10f9701731,0,1,1,0,0,11.5,8.72,2.5,2.0,5.0,3.0,8,6.5,4.69,11.0,6.32,1096.5,228.16,9
41a8f22a4c6abe9e55c57f975c1ddfa621b53f82,1,0,0,4,9,4.5,4.47,2.0,1.73,1.5,1.41,1,6.0,5.92,12.5,10.68,1066.5,580.77,2
ebf1ce0efa01893f53f84856abcbe96fd9f4ca4f,0,0,0,0,0,1.0,1.0,1.0,1.0,5.0,5.0,0,1.0,1.0,1.0,1.0,5.0,4.0,0
45a224cd671fe1160b854899c7a83777763b76a0,0,1,1,0,0,25.0,18.33,3.5,3.16,1.5,1.41,1,9.0,8.94,19.5,17.55,2632.0,2004.24,1
8f7de4f134bbc4c98884eb8315da2e5987cbfebb,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,1.5,1.41,8.5,8.12,0
c7204aa849ee5d1be1d5396ba863bc9e27033ca5,0,0,0,0,0,1.5,1.41,1.0,1.0,2.5,2.45,1,1.0,1.0,9.5,4.24,1937.0,206.14,1
4c9c3cb20faddac504efe443711ab03bb19cff67,0,0,0,0,0,1008.5,118.62,11.5,4.69,1.0,1.0,0,378.5,77.41,12.5,8.12,1602191.0,32810.97,0
5a876f1e0bf00b62cd17e269cf9f3a347c2569c3,0,0,0,0,0,991.5,117.61,12.0,6.63,1.5,1.41,1,377.5,77.3,6.0,5.66,1600018.0,62572.72,2
1ae7a970fec4d81846831d53b01c1e466f6c7bab,0,1,1,0,0,1000.5,226.61,12.0,6.63,3.0,2.24,4,384.0,128.11,10.5,8.25,1601411.0,113257.39,4
816d3a8e963b3d80dedef586cd6f0e4fbe139305,1,1,21,3,5,1972.0,1972.0,22.0,22.0,3.0,2.24,4,743.5,743.5,776.5,776.5,3199503.5,3199503.42,5
