mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
548e08cd52372a4187fe099e0015b87140af1cfe,1,1,3,7,14,75.0,74.57,5.0,4.9,26.5,26.27,7,141.0,135.5,141.0,70.69,110142.0,20263.26,7
5d085954b249d93835739c45a2a6f0d293064b48,0,1,1,0,0,22.0,9.17,3.0,2.24,3.0,2.24,4,60.0,42.85,101.0,47.75,2006.0,746.32,5
7150d4ff195675f5f39af3a9fc0d34434864eec6,0,0,0,0,0,5.0,3.0,1.0,1.0,1.0,1.0,0,8.5,4.0,52.5,47.9,2666.0,1135.7,0
2206f12c5389f3f9568d56419aa57383b4721276,0,0,0,0,0,5.5,5.29,2.0,1.73,2.0,1.73,2,6.0,5.2,16.0,7.75,2526.5,158.87,3
41822d7d4092ed1a7e4cf1139204f0ac2656e426,0,0,0,0,0,7.5,7.35,2.0,1.73,3.0,3.0,0,11.5,10.1,16.5,9.49,2649.0,1123.39,0
c8c498d095eedeb0b27aa77c516666ec86486825,0,1,5,0,0,426.5,224.71,10.0,8.0,57.5,47.43,65,234.5,184.69,266.5,98.82,143657.0,23164.97,65
4f84ee5a21b1e5afd6587d4adcbde2b50247555f,0,0,0,0,0,4.0,2.65,2.0,1.73,1.0,1.0,0,9.0,4.12,1.5,1.41,125.0,44.0,0
76fae305ecd570dbe58d2fb39cf6909579ad1eb1,0,0,0,0,0,14.5,8.83,2.0,1.73,2.0,1.73,2,47.5,16.61,59.5,15.3,1680.0,473.13,3
6a8802021f372adfa947626f67f8cdc4c9d412e5,0,0,0,0,0,3.0,2.24,1.5,1.41,1.0,1.0,0,9.0,4.12,1.5,1.41,6.5,6.32,0
05c1b1df1f1f8fe6fc1ffe0075d1731279c2a40c,0,0,0,0,0,33.5,27.93,4.0,3.87,9.0,4.12,16,83.5,83.07,92.5,48.93,108669.0,4036.67,17
5e78931f0f5ceed7abfb05dec3ea64c49a696e4f,0,0,0,0,0,12.0,8.94,2.5,2.45,1.5,1.41,1,53.5,39.12,58.5,15.17,1643.5,515.69,2
d7b13ed49904456448668eff74b43526e548ade8,0,0,0,0,0,9.5,5.83,2.0,1.73,8.0,3.87,14,14.5,5.29,37.5,14.7,107115.0,2359.94,14
2ee10cf2d6c0ccbe02dcc9735de0eab28d03f0b6,0,0,0,0,0,11.0,9.22,2.0,2.0,1.0,1.0,0,13.0,12.85,71.0,55.72,1639.5,1033.78,0
1b8623c837b8132f58f1a961eed1088d42727af3,0,0,0,0,0,388.5,39.37,8.5,4.0,42.0,9.11,82,202.5,52.78,259.5,22.76,249041.5,1578.1,82
9185e7909431a0eaa2d49a583f0296d84686be2b,0,0,0,0,0,2.5,2.45,1.5,1.41,1.0,1.0,0,5.0,3.0,1.5,1.41,35.5,16.37,1
35d0cd0ff4f37e7d85f730bf040a25a26c99545e,0,0,0,0,0,2.5,2.45,1.5,1.41,1.0,1.0,0,3.5,3.46,2.5,2.45,68.0,68.0,0
844e5e51516245e8b33ad5469568820606deb219,0,0,0,0,0,1.0,1.0,1.0,1.0,5.0,4.58,4,1.0,1.0,1.0,1.0,1.5,1.41,4
6245f294932227d6b9e4d024ca7d6571f7923813,1,1,1,2,3,9.5,9.17,1.5,1.41,1.0,1.0,0,8.5,5.48,90.0,79.6,107606.5,17153.42,0
6c375e687dcc339a731bd56edae525fe2b079f77,1,0,0,1,1,3.0,2.24,2.0,1.73,1.0,1.0,0,7.5,3.74,3.0,2.24,39.5,23.83,1
d542221716d0d6c9a77f4e9837dbcc6ae5815cc2,0,1,4,0,0,99.5,81.9,6.0,5.92,7.5,3.74,13,86.5,86.26,78.5,61.73,5538.5,5321.97,13
c91d38189379f53bfda892b31c92136df6f754c1,1,0,0,5,5,7.5,5.1,2.5,2.0,1.0,1.0,0,3.5,2.45,64.5,58.8,527.5,527.47,1
c41c09d595b4d2969172269a6f6118fe932b5422,0,0,0,0,0,380.5,38.96,8.5,4.0,34.5,8.25,67,195.5,51.85,258.0,22.69,142088.0,1192.0,68
92d2a287ffe2c49491cca3c00abab3ab7808ece2,0,0,0,0,0,25.5,19.44,3.5,3.16,1.0,1.0,0,23.0,14.32,34.5,26.98,1518.0,429.4,1
2f0810f0d96dd98ec5fbaa3cd26dfd67c5664255,0,0,0,0,0,25.5,19.44,3.5,3.16,1.0,1.0,0,23.0,14.32,34.5,26.98,1518.0,429.4,1
4eef6cbe8e7cdf2b55200b859d3c237ba908ea01,0,1,2,0,0,158.0,118.06,7.0,5.74,8.0,3.87,14,259.5,230.35,125.0,69.35,115539.5,20757.99,15
615a8652aa04584fc567f2be3785778191347379,0,0,0,0,0,62.5,36.82,4.0,3.46,4.0,2.65,6,58.5,50.52,42.5,18.0,2543.5,911.67,7
1dee3691bea1b0138f6a151fb909079b9dedf9c4,1,1,2,8,8,67.0,63.29,5.5,5.48,3.5,2.45,5,85.0,84.95,41.0,38.16,3412.5,3361.55,6
1a78d62beec48725e493ccda2cf85a1681fa3eec,0,0,0,0,0,44.0,9.33,3.5,2.45,1.5,1.41,1,44.5,9.38,28.0,7.42,1412.5,53.14,2
6d18ed915e07f24614b2ea54b2d7c357726f5c27,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,3.5,3.46,10.0,9.8,0
9f5243eb7d75bfe6a55bafdc3062ba56d40dd0bd,1,1,2,1,1,66.0,11.45,4.5,2.83,6.5,3.46,11,43.0,9.22,73.5,17.03,111898.5,7725.45,11
f6f430faf65b363fec0f04dc8ee91fa169c2b4cc,1,0,0,2,2,46.0,37.95,4.0,3.87,1.0,1.0,0,44.5,23.96,43.5,43.27,1912.5,1863.65,0
1a56410e80b0c467766d867bace539f15b450da6,0,0,0,0,0,13.5,5.1,3.0,2.24,1.5,1.41,1,5.5,3.16,48.5,9.8,891.5,126.36,2
9a8773f87cbf8648269442e99b4bfd925e760786,0,1,1,0,0,32.0,30.98,4.0,4.0,2.0,1.73,2,44.5,28.11,61.0,50.65,2846.5,2633.45,3
799c170fa12695c61f939613b53e26b5707b760c,0,0,0,0,0,8.0,5.29,3.0,2.24,1.0,1.0,0,5.0,3.0,39.0,29.07,332.5,165.3,0
599a25995defe6c70f1581fe4d533b267c7739fa,1,0,0,1,1,80.5,40.62,6.0,4.47,4.5,2.83,7,196.5,88.39,88.5,29.33,112225.0,6156.58,8
1380b40f404228c4a449a09409266ad3cac0c079,0,1,1,0,0,9.5,8.83,2.0,1.73,1.5,1.41,1,6.5,6.0,46.5,41.74,873.0,831.81,2
550b4e8548f5c53474c1e22f2c0871a6eac85de4,0,0,0,0,0,8.0,6.24,3.0,2.24,1.0,1.0,0,5.0,3.0,33.5,11.4,327.5,145.31,0
2f06ab501f6e5fb56d83e25e5a4030ab33f39361,0,0,0,0,0,37.0,27.28,4.5,4.47,1.0,1.0,0,44.0,25.3,50.5,48.37,1423.0,1175.47,0
5f2410366bc4ec3971776fdf6993fa300a664026,0,1,1,0,0,23.0,12.96,3.5,3.16,1.0,1.0,0,44.0,25.3,43.0,40.99,2144.0,1064.62,0
79029e0bba5167c3bcbbdc9f647fb1df04f6e075,0,1,1,0,0,77.5,17.49,6.0,3.32,1.5,1.41,1,188.5,54.33,85.5,18.38,111557.0,1157.0,2
4645c02a95220861c3b461995fd4ccb6310a1ca8,1,1,1,2,2,24.0,19.49,3.5,3.46,1.0,1.0,0,41.0,15.39,112.5,73.12,56828.0,20753.17,1
cbbeb8a16cdda4876e5fe28a112861499c051e59,0,1,1,0,0,9.0,8.94,2.0,1.73,1.0,1.0,0,3.5,3.46,36.0,34.58,733.5,617.74,1
0ffdb8ecb955eea4d96d3a37f2c1d7264797d6d2,1,1,1,1,1,2.0,1.73,1.5,1.41,1.0,1.0,0,2.0,1.73,3.5,2.45,67.0,16.25,0
8dcc04d2231a484b35ccc50770852fef6b41c5c1,0,0,0,0,0,21.5,6.48,2.5,2.0,2.0,1.73,2,39.5,8.83,17.5,8.12,1070.0,159.8,3
