mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
5e0a95c39d6ca1107461a3e90eae85a7507bc641,1,1,1,1,1,14.0,7.21,4.0,2.65,11.5,4.69,21,12.0,4.8,12.0,10.91,199.5,153.44,21
8c05e867edbbfe64544021dc2ba5d777f719c4aa,0,0,0,0,0,11.0,6.32,3.5,2.45,9.5,5.83,15,12.5,9.17,6.5,5.48,152.5,48.74,15
a8d0b6c4e054e3510f844328435af13a5124d8e2,0,1,1,0,0,12.0,4.8,3.5,2.45,13.0,11.53,12,7.0,3.61,9.0,5.66,181.5,96.85,12
70d21539b107df6471cd054e1f04fb9cb3571b96,0,0,0,0,0,6.5,3.46,2.0,1.73,4.0,3.46,4,3.5,2.45,5.0,4.58,89.5,89.39,4
4dd0ad8170c7fafe92e5c21fd227d53acb4b18fd,0,0,0,0,0,6.5,3.46,2.0,1.73,2.5,2.0,3,2.5,2.0,5.5,3.16,64.5,15.94,3
ec47b3fbbe0bd7af01853de918236f478a00772c,0,0,0,0,0,5.5,5.29,2.0,1.73,1.0,1.0,0,2.5,2.45,5.0,3.0,63.5,63.17,0
4b08a41c53b6a9ace6e51ef7fe008bc7aacc9b41,0,0,0,0,0,2.5,2.0,1.5,1.41,1.5,1.41,1,2.0,1.73,3.0,2.24,27.0,16.97,2
ae91fcb519710a1f028851517bede04ea2a71390,0,0,0,0,0,2.5,2.45,1.5,1.41,2.5,2.45,1,1.0,1.0,3.0,2.24,25.0,9.8,1
96efc4d7d9007ce4ac77ed41b47cd055c979cecc,0,0,0,0,0,14.0,9.8,3.5,2.45,1.0,1.0,0,21.0,21.0,15.5,7.62,165.5,61.87,0
1875242904f9d6923a5e8f37909bd8aab2673d1a,0,0,0,0,0,3.5,3.46,2.5,2.45,1.5,1.41,1,1.5,1.41,2.5,2.0,52.5,29.39,1
7dca85651ac1184abadc1f554ccf90b44998feb4,0,0,0,0,0,2.0,1.73,1.5,1.41,1.0,1.0,0,1.0,1.0,4.5,2.83,19.0,11.66,0
edeb1e0fe315d3dbdd0f1f0fa91b682bd1491107,0,0,0,0,0,6.0,3.32,2.5,2.0,7.5,3.74,13,5.5,3.16,6.0,4.47,73.0,56.68,13
23d2a81ee0fa3174d6034858603b19fb84b4b17d,0,0,0,0,0,5.0,3.0,2.0,1.73,1.0,1.0,0,7.5,3.74,5.0,3.0,68.0,22.98,1
b07aceec2f030c6b2bc3744e2e2f46e5e1af8d8f,0,0,0,0,0,24.5,6.93,2.0,1.73,5.0,4.0,6,6.0,3.32,85.5,28.81,2137.5,319.41,6
c5393af6c8f430b647b45ce42611cba110ca0270,1,1,1,1,1,9.0,4.12,1.5,1.41,2.0,1.73,2,1.0,1.0,36.5,8.49,517.0,138.87,3
4a3a6052cbf2b9e98e6544cc8909b0bef8c2516a,0,0,0,0,0,2.0,1.73,1.5,1.41,1.5,1.41,1,1.5,1.41,2.0,1.73,39.5,37.47,2
1ad440bd3bedc406029478c2201d61316172925c,0,0,0,0,0,7.0,3.61,2.0,1.73,4.5,2.83,7,9.0,4.12,39.0,12.33,230.0,47.7,8
092093a6cb660719a011ee8058f7dbdbdc6be6a0,0,1,1,0,0,1.5,1.41,1.0,1.0,4.0,4.0,0,1.0,1.0,16.0,5.57,128.5,22.58,0
1c7cb82a686991dd04dacae3a9f90d04ee87f54f,0,1,1,0,0,4.0,3.46,1.5,1.41,3.5,3.46,1,5.0,3.0,32.5,8.0,99.0,19.8,1
06569f9d9215370a8964bfbb4848611249bb0309,0,1,1,0,0,21.0,6.4,1.5,1.41,5.5,4.24,7,4.0,2.65,38.0,8.66,670.0,51.73,7
f6bea424cc02156e7f45459df3e09dfd27d67692,0,0,0,0,0,7.5,6.63,1.5,1.41,1.0,1.0,0,1.0,1.0,19.5,10.39,443.0,98.11,1
8bab691035540b8c283a23cb7076ada02ffaac8a,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,1.5,1.41,5.5,4.9,0
8cf20c3e4b612b23f643d9c3517e635f4636fb3c,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,3.0,2.83,26.0,25.69,0
ae266d7fd833ee61af5c8d6f819ff4687ef909f1,0,0,0,0,0,4.5,2.83,2.0,1.73,1.0,1.0,0,3.5,2.45,15.5,10.39,328.5,198.82,1
2ba5061d0769c7a60984eaba2e01bd2ecbeb43d3,0,0,0,0,0,2.5,2.0,2.0,1.73,1.5,1.41,1,1.5,1.41,2.5,2.0,8.5,5.48,1
7f9e835e3cd1a6e02a69d8093037aacc2c54fd02,0,0,0,0,0,2.5,2.0,1.5,1.41,1.5,1.41,1,2.5,2.0,13.0,8.31,294.0,86.46,1
df4140158766ab784fbeab9efd5f11246b30d5c9,0,0,0,0,0,1.5,1.41,1.5,1.41,2.5,2.0,3,2.0,1.73,1.5,1.41,21.5,9.06,4
2f0d897e815971eaf37222bd9c1873e074b60d8e,0,0,0,0,0,2.5,2.0,1.5,1.41,2.5,2.45,1,1.0,1.0,11.0,4.58,187.0,27.28,1
5f75f8504497fd49a2bae51062bd030adb024ce3,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,10.5,6.16,186.0,50.55,1
470858863950f04b18c4b7089c4d19b61883dfd0,0,0,0,0,0,7.0,3.61,1.0,1.0,4.5,4.47,1,35.0,8.31,27.0,7.28,895.5,59.82,1
bdf4aa5733a7d6454e627a5808c806035278846a,0,0,0,0,0,1.5,1.41,1.5,1.41,5.0,4.0,6,21.0,6.4,1.0,1.0,4.0,3.87,6
4898c259472f86f47d3dd27587cb8b5ef0805b12,0,0,0,0,0,14.5,8.83,6.0,3.32,41.0,28.98,58,30.0,7.68,16.0,7.75,430.0,165.2,58
2f48ecd212d12c8ec47dac2de81373136c78b055,0,1,1,0,0,21.5,6.48,6.5,3.46,7.5,7.48,1,48.0,9.75,22.0,9.17,727.0,131.54,1
c65ba18c3bbc967bdf67ddbc2b20dfd7c9c6f604,0,0,0,0,0,5.0,3.0,3.0,2.24,13.5,5.1,25,11.0,4.58,4.5,2.83,92.0,23.3,26
4f26840551099fcb1814909d76895a7f11d9e26f,0,0,0,0,0,3.0,2.83,2.0,1.73,2.0,1.73,2,1.0,1.0,2.0,2.0,84.0,25.61,3
abbad6246c05941d84122373d678c4d3351a2674,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,1.0,1.0,2.0,2.0,1
88aeb09f690085ba26a61c19181ffd9a151adf22,0,0,0,0,0,11.5,4.69,4.5,2.83,20.5,6.32,39,21.0,6.4,20.5,10.68,371.5,322.45,40
eedfabc05407c181350302b4e9f68f5c5c473b61,0,1,1,0,0,5.5,4.24,3.5,2.45,17.5,14.0,21,15.0,11.18,16.5,16.12,207.5,136.25,21
3e4d36a8b858ce3e704faf1631f66fe576428d6a,0,0,0,0,0,3.5,2.45,2.5,2.0,2.0,1.73,2,1.5,1.41,2.5,2.0,12.5,6.78,3
8e63780faec76378906f9552d402a508ef50411c,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,1.0,1.0,6.5,4.69,1
b3735e840580b4c7821113b4b1cb6d2c3a919f22,0,0,0,0,0,1.5,1.41,1.5,1.41,1.5,1.41,1,1.0,1.0,1.5,1.41,10.5,10.49,2
42dcb09c94c5cb7a11b926d90ace25c6a3dad837,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,2.0,2.0,4.5,4.47,0
72eb7fa70255563c28c0b987348393c2fd523287,0,0,0,0,0,4.5,2.83,2.0,1.73,1.0,1.0,0,3.0,2.24,5.0,4.9,96.0,94.48,1
c575c81da639149ed97a52560ef4e0d6fc55644b,0,0,0,0,0,3.5,2.45,2.0,1.73,1.0,1.0,0,2.5,2.0,3.0,2.24,39.5,25.1,1
6cb19c235400ed6ed566078f7afdcaabac0e28dd,0,0,0,0,0,7.5,3.74,3.0,2.24,4.5,2.83,7,8.5,4.0,7.5,7.35,155.5,153.86,8
d015914f11243a333d1b3717d03711e5bfaec92f,1,0,0,1,2,10.5,4.47,3.5,2.45,8.0,3.87,14,7.5,3.74,14.5,10.0,900.0,410.36,15
bff20d760bc566825b0a304c10a63920a32a7e61,0,0,0,0,0,2.0,2.0,1.5,1.41,1.0,1.0,0,1.0,1.0,1.0,1.0,5.0,4.9,0
65662855441dae3a6df0ff9046f9edce067e0d12,0,0,0,0,0,1.0,1.0,1.0,1.0,3.0,3.0,0,1.0,1.0,1.5,1.41,24.5,9.7,0
7b2082130ef07cd87d08f2ac37500294da06ae5e,0,0,0,0,0,4.5,4.47,2.0,1.73,1.0,1.0,0,2.5,2.45,6.5,6.32,381.0,143.36,1
19066a58f20427150c630964069f7fd99ef36073,0,0,0,0,0,2.0,1.73,1.5,1.41,2.0,1.73,2,2.5,2.0,2.0,1.73,34.5,11.58,3
1e345fa97c91744eee7e8ee399d03dca375e8185,0,0,0,0,0,4.0,2.65,2.5,2.0,3.0,2.83,2,3.5,2.45,42.0,12.81,506.5,221.5,2
