mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
a75db86ff52243f5abbfa7bcd4adddf2fa30d2a8,0,0,0,0,0,2.0,1.73,1.0,1.0,1.0,1.0,0,1.5,1.41,3.0,2.83,96.0,65.7,0
7a6bfe311db02c7ee7bb4963941a2ad89fd2a18a,1,1,1,1,1,2.0,2.0,1.5,1.41,1.0,1.0,0,1.5,1.41,7.5,7.35,125.5,118.79,0
34fa5f43808b3a0dfa9514d1e05498e4605c8863,0,1,1,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,2.5,2.45,66.5,59.09,1
7a7960f5c75314b9fd821ce6a5e69e274328fa4c,0,1,1,0,0,3.0,2.24,1.5,1.41,1.0,1.0,0,1.0,1.0,6.5,5.48,84.0,68.93,0
195360c8a08fd8e2714ec30901e70612fd7c79aa,1,1,1,1,1,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,4.5,3.74,56.5,54.33,0
e1d3504d90609ffd0a0805489cfb9620420e7bb0,0,0,0,0,0,34.5,29.12,5.5,4.9,1.0,1.0,0,22.0,20.49,14.0,10.72,914.0,777.81,1
a86a4943ea4b43a16a365944b2c751d1751b39f7,0,1,1,0,0,1.0,1.0,1.0,1.0,2.5,2.0,3,1.0,1.0,1.0,1.0,45.5,45.48,4
8314413fdfc9171948a91c608f1fce8a2bbf270e,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,9.0,8.49,0
641c6471dc781aa6acb8d4f8c63be228dd36bb81,0,0,0,0,0,24.5,6.93,4.0,2.65,1.0,1.0,0,15.0,5.39,5.5,3.16,635.0,122.87,0
079e08feb7221694ade3f4175d77feffdb850888,0,1,1,0,0,199.0,126.04,19.5,14.07,8.0,6.24,10,27.0,24.66,42.0,24.66,201565.0,22448.89,10
2ac751b0988cba76aeddda9e9d14ea5a764a51cc,1,1,4,1,1,177.5,61.51,17.5,9.8,1.0,1.0,0,24.0,19.49,48.0,40.98,201060.0,11653.43,1
54e3cb2aca26da5c5a795d343f5e36919af5cd22,0,1,1,0,0,3.5,3.46,1.5,1.41,1.0,1.0,0,1.5,1.41,9.0,8.94,189.5,172.48,1
d6dd19a0931fb127af655ba082409d06542b0268,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,5.0,3.0,86.0,81.65,0
0c7cbb64649559dd36e1a169e2b9c5ae4aed2940,1,1,1,1,1,194.5,97.15,21.0,12.33,6.5,3.46,11,22.5,19.34,71.0,30.74,202302.0,80681.73,11
91d6b8893f22102b7671bfff17508336e6859cdc,1,1,4,2,2,179.0,73.97,19.0,10.25,4.0,2.65,6,21.0,17.23,63.5,35.72,8299.5,2285.88,7
207b23462270db054d6c227b0b1abcdb4471a25f,1,1,4,2,2,146.0,85.98,12.5,8.12,2.5,2.0,3,29.5,29.46,25.5,24.9,6386.5,4746.91,4
afdec085546ce129467cce5b7f31554f8464faf3,0,1,1,0,0,154.5,76.03,16.0,9.33,5.0,3.0,8,24.0,22.96,49.5,13.93,6747.0,2663.53,9
b8e88f8150e84926a068bb9b4cf13e8acda464e5,1,1,2,1,1,144.0,91.73,14.5,10.0,7.0,3.61,12,19.0,14.73,51.0,25.79,6473.0,6359.09,13
8ccfb5870117f197cb6b35acc2e796f74c43dbeb,1,1,1,2,2,125.0,89.76,11.5,7.75,7.0,3.61,12,22.5,22.05,48.5,23.37,3773.0,2967.6,13
f0a85fc85d7c08560032d75917587763a892c3d9,1,1,1,1,1,122.0,120.51,11.5,9.49,5.0,3.0,8,74.0,45.96,57.0,27.37,5278.5,3655.89,9
a909895c76a2f5e927542dffdcf8a0b86241d144,0,0,0,0,0,7.0,6.71,2.5,2.45,1.0,1.0,0,2.0,2.0,12.0,9.75,122.5,119.14,0
e8371d63ecc9dddc9d1dc6eb4fe6292cad6dd23c,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.5,1.41,8.5,6.48,75.5,64.95,0
e9a71a095ee7a1994adc31018bd4c5230ccc856e,0,0,0,0,0,55.5,55.39,9.0,8.06,3.0,2.24,4,24.5,24.08,44.5,25.46,2243.5,2018.87,5
0991e907031cd9cc0850045536399b303a92a364,0,1,4,0,0,37.0,35.62,7.0,5.74,2.5,2.0,3,23.0,22.98,49.0,40.21,2616.5,2567.79,3
9492142ac48e007566771ee6230e2e08fc70ee52,0,0,0,0,0,39.0,38.68,6.0,6.0,1.0,1.0,0,18.5,18.17,10.0,9.8,890.0,812.16,0
c0f71dee71a43b93e67797f96f5cf311ae8a4820,1,1,1,1,1,30.0,24.72,7.5,6.63,2.5,2.0,3,15.0,13.27,42.0,23.22,1915.5,1490.21,4
f883aa56c8f235d0cef283b49e8d2dfc98666e9d,0,0,0,0,0,16.0,5.57,3.0,2.24,4.5,2.83,7,11.5,4.69,5.5,4.24,244.0,187.62,8
bb05ddd80080efeec33a82409a81d1d144dad1f0,0,0,0,0,0,2.0,1.73,1.5,1.41,1.0,1.0,0,3.0,2.24,1.0,1.0,5.0,4.0,0
53a306a1f29cda9dbc1aded8da7ba9e3ad1e1e04,0,0,0,0,0,14.0,5.2,2.5,2.0,3.0,2.24,4,11.5,4.69,4.5,2.83,199.0,28.14,5
434adfc9bd7fa4c040fc73d7f9f447f149a00e12,1,0,0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.5,1.41,21.5,21.35,0
799b2734a5684cd1ab2d171d6f49ea562fe159f9,1,1,1,1,3,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,3.0,3.0,52.5,52.31,0
dbdea684a98214e723f7baf5a4d22f2c191c01ed,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.5,1.41,32.0,29.24,0
56fe0015177e2783e324399febcd4ef48eeafa08,0,0,0,0,0,19.0,18.33,4.5,3.74,1.0,1.0,0,16.5,16.43,37.0,22.98,1493.0,1004.0,1
ef540e2875388244034f9208fd465363f556a97a,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,6.0,5.66,0
1c5668b384dc0eebf72e48ed34c25b3e248e4954,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,11.0,6.32,0
a3f0374cd61069b48dbe7078352835dd7b69f5de,1,1,1,1,1,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,299.5,54.5,96981.5,7810.19,0
c15a59a7dce17a9353eea1091ba5c2e7509b1ce0,0,1,1,0,0,7.5,3.74,1.5,1.41,1.5,1.41,1,5.0,3.0,298.5,34.5,97015.5,8612.04,2
2b7255e9e19be5bae9b9710a9dd3678dbb7f1f64,1,0,0,1,2,12.0,4.8,5.0,3.0,1.0,1.0,0,2.5,2.0,33.0,8.06,1483.0,584.4,0
50996b36cb7e9394692b57ce9b4872d06792c6b5,1,1,1,2,8,15.5,11.4,6.5,3.46,1.0,1.0,0,10.0,7.14,35.0,11.66,1556.5,911.76,0
7a00d6faec3e51343b73c9d1101c3ddba7ca280c,0,0,0,0,0,8.0,6.24,3.5,2.45,1.0,1.0,0,2.5,2.0,33.5,11.4,1317.5,522.41,0
0078cb6fea416a29c13701e4e21d91b05c1b5e63,0,0,0,0,0,12.5,12.25,4.0,4.0,1.0,1.0,0,7.0,5.74,33.0,11.31,1475.5,1091.81,1
079d2a3f46a20ef4d87de4c478d50f9d5da96ed9,0,1,1,0,0,4.0,3.46,2.5,2.0,1.0,1.0,0,7.0,3.61,36.5,20.05,1185.5,1102.61,0
23b089c67438c739995dd9974908962a37a43270,0,0,0,0,0,18.5,6.0,2.0,1.73,1.5,1.41,1,8.5,4.0,3.5,2.45,707.0,124.23,2
50f0d227e5c93f67818ce7d00144cc6696fc645b,0,1,1,0,0,3.5,2.45,1.0,1.0,1.0,1.0,0,1.5,1.41,3.5,3.16,100.5,99.59,0
579e4eae9bb432df5c50b22705b390ec4f831e5b,0,0,0,0,0,7.5,7.35,3.0,2.24,1.0,1.0,0,8.0,7.42,3.0,2.83,252.5,221.89,0
fe0173631347f19c9d63d5c6fc88aeec12acd439,0,0,0,0,0,17.0,9.64,2.5,2.45,1.0,1.0,0,8.0,3.87,3.5,3.16,737.5,410.79,0
75c6db01b84d34d2b3c586490f892109183948b9,1,0,0,1,12,4.5,3.74,1.5,1.41,1.0,1.0,0,1.0,1.0,2.5,2.45,92.0,90.02,0
11f958b3267c5a0d2140d5b9ec4e21184ac26a2e,0,1,1,0,0,56.5,10.58,3.5,2.45,4.5,2.83,7,54.0,10.34,52.0,14.28,4446.0,1046.84,8
ba028899558a92c825bae848186827f1405d258c,1,1,1,2,5,12.0,6.63,2.0,1.73,1.0,1.0,0,4.0,2.65,4.0,3.87,245.5,219.73,1
c16d762e45945beec3b63e7c9a1f21082c35d569,0,0,0,0,0,2.0,1.73,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,23.0,20.2,0
7436e0cb546e015888a072988f9b72577503e396,0,0,0,0,0,2.0,1.73,1.5,1.41,1.0,1.0,0,1.0,1.0,2.0,1.73,1159.0,270.47,1
eee840b470573383ed7e645afdfc3cb497ececf1,0,0,0,0,0,4.0,2.65,1.5,1.41,1.0,1.0,0,1.5,1.41,4.0,2.65,1286.0,454.52,0
547726b9a28056e5b8e1d0bb4d1f1c7c630adb9e,1,0,0,1,1,11.0,4.58,2.0,1.73,1.0,1.0,0,3.5,2.45,3.0,2.24,203.5,135.87,1
