mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
57f34cb7712c9896e4d5b9d9f19148b4c73da81d,0,0,0,0,0,11.5,6.48,3.0,2.24,1.0,1.0,0,51.0,10.05,12.0,11.83,107.5,75.52,0
ed66c7f5be93319a4500d630cd155c13b939f775,0,0,0,0,0,9.5,4.24,3.0,2.24,1.0,1.0,0,51.0,10.05,3.5,2.45,86.0,18.44,0
12bbb44b21897f058f2795dcd2a604f42181a76c,0,0,0,0,0,39.5,32.47,3.0,2.24,1.0,1.0,0,50.5,10.0,29.0,17.66,773.0,483.65,1
987482e3040a637b0fef55b2dc83c50ecfa38c32,0,0,0,0,0,15.0,14.97,3.0,2.24,1.0,1.0,0,237.5,193.65,4.0,3.46,419.0,336.99,0
8d331db74d79832c6cb8a42ea2079aa46b34db83,0,0,0,0,0,9.5,7.75,3.0,2.24,71.0,64.35,60,51.0,50.37,5.0,4.9,98.5,67.75,60
aa2d0fb953753478f4b914e8fbbda5d1ddfdaa2c,0,0,0,0,0,1.5,1.41,1.5,1.41,5.0,3.0,8,1.0,1.0,1.0,1.0,41.5,12.73,8
192e5439f5f1543d697a0e09ef2b245832562b92,0,0,0,0,0,16.5,9.49,2.0,1.73,27.5,22.72,31,15.5,5.48,4.0,4.0,620.5,181.05,31
e0a9b8f2b49105444190fc7fcc0d32945eab5212,0,0,0,0,0,1.5,1.41,1.5,1.41,3.0,2.83,2,1.0,1.0,1.5,1.41,574.5,126.06,2
9a88f559dfa5e1b9aa99cf3dfa6571356fa3e1a5,0,0,0,0,0,2.5,2.0,1.5,1.41,2.0,1.73,2,1.0,1.0,1.5,1.41,574.0,121.47,2
2fc6e2314243fe5b5b309a4c8d38ed3c086232d6,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,1.0,1.0,2.0,2.0,1
7cde3b7bc74b7700716ff2a0f59857b42713c79a,1,0,0,1,3,26.5,7.21,1.5,1.41,11.0,4.58,20,21.5,6.48,13.0,8.31,284.0,165.21,21
1b305e0be83b693902703a7ed722a7a7569cad98,0,0,0,0,0,4.0,3.46,1.5,1.41,1.0,1.0,0,1.0,1.0,2.0,1.73,14.5,12.96,0
1a2b61c1fb6f142bc1fb8da71f23fb4d5c0417c1,0,1,1,0,0,11.0,9.8,1.5,1.41,1.0,1.0,0,15.5,5.48,8.0,7.75,117.5,96.18,0
21cc828c4c224888d98be6fd927d07cf58447c80,0,0,0,0,0,5.0,4.58,1.5,1.41,15.5,5.48,29,13.0,5.0,3.5,3.16,58.5,36.77,30
911476b4abb9fe5c48818c1f628a23b4ae87895a,0,0,0,0,0,3.0,2.24,1.0,1.0,1.0,1.0,0,15.5,5.48,3.5,2.45,51.0,49.04,0
4f1c93a1c364eba13f0bdc63831ec85973193f7f,0,1,1,0,0,15.0,14.87,1.5,1.41,1.0,1.0,0,30.0,30.0,11.0,10.95,196.5,193.79,0
ce69fb22517088a7843b17ee5b62295cf7ba8bb6,1,1,1,1,1,18.0,16.58,1.5,1.41,15.5,5.48,29,16.0,5.57,15.0,14.46,188.5,186.63,30
7509b50ece818bb97133fdabb130438aac74d0e6,0,0,0,0,0,4.0,4.0,1.5,1.41,1.0,1.0,0,27.5,27.39,4.0,3.46,66.0,65.99,0
9934bbe57c33e0ace6e36314894f01a595c778f3,1,1,1,1,1,15.5,14.83,1.5,1.41,15.5,5.48,29,16.0,5.57,15.0,14.46,155.0,154.84,30
78574d1a18ae0a6534000bda3c9a16eb5742acff,0,0,0,0,0,2.5,2.45,1.5,1.41,15.5,5.48,29,13.0,5.0,3.0,2.83,56.0,54.91,30
876e9d6cf0b289384a8033781e900847898bd1a0,0,0,0,0,0,3.0,2.83,1.5,1.41,5.0,3.0,8,13.0,5.0,2.0,2.0,44.5,38.39,9
309f6aebc08639a1573b40bca6c84cfc55de88e5,1,0,0,1,23,131.0,16.16,6.5,3.46,105.5,14.49,209,357.0,26.7,91.0,13.45,7646.5,1796.36,210
f3fc81ae90ae54f7fe27d35185b75985983d8298,0,0,0,0,0,16.0,9.33,1.5,1.41,1.0,1.0,0,1.0,1.0,33.0,8.06,359.0,53.44,1
6836d1b4a813beaa372cbb683b5f61d19263274a,0,0,0,0,0,9.0,4.12,1.0,1.0,1.0,1.0,0,1.0,1.0,26.5,7.21,250.5,31.59,0
f71dd909278f8d575dc73d7ed192e0bd569ccf39,0,0,0,0,0,6.0,3.32,1.0,1.0,1.0,1.0,0,1.0,1.0,23.5,9.49,210.5,78.04,0
a7f91c8921a0c2c307b155414e995e9a9d816ff3,0,0,0,0,0,2.5,2.45,1.0,1.0,1.0,1.0,0,1.0,1.0,2.5,2.45,9.0,8.94,0
1557c2a0222652117d7749d821b24cfa44750a11,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,2.0,1.73,12.0,11.83,0
6e46565d6d8c566f0cacd960a5a8cfd00c61fc5d,0,0,0,0,0,5.0,4.0,1.0,1.0,1.0,1.0,0,1.0,1.0,2.5,2.0,27.5,17.15,0
97e536effdad6aea69b306513ba33f0f65047dee,0,0,0,0,0,3.0,2.83,1.0,1.0,1.0,1.0,0,1.0,1.0,1.5,1.41,12.0,9.75,0
4497b2c89bbe483930944825fd63b1986decf41d,0,0,0,0,0,9.0,6.71,1.0,1.0,1.0,1.0,0,1.0,1.0,38.5,8.72,178.5,41.95,0
d84779e709852edbe960e787fc69529ea654a248,0,0,0,0,0,10.5,6.16,1.0,1.0,1.0,1.0,0,1.0,1.0,3.5,2.45,71.5,26.27,0
dc8afb9665bae00de9a309ce5ed04713d8e84790,0,0,0,0,0,15.0,12.69,1.0,1.0,1.0,1.0,0,1.0,1.0,4.5,3.74,106.5,82.38,0
8e805d3420c09a898bb3a25776a2f2135edd0920,0,0,0,0,0,6.5,6.0,1.0,1.0,1.0,1.0,0,1.0,1.0,2.5,2.0,60.5,47.48,0
bca3aa439dba86c7ba0a7aea41cb4cb619c784fd,0,0,0,0,0,7.0,6.93,1.0,1.0,1.0,1.0,0,1.0,1.0,3.5,3.46,58.0,42.0,0
