mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
1d943a55c99628b6470a6ee3573ef97d86334783,0,0,0,0,0,2.0,1.73,1.0,1.0,1.0,1.0,0,2.0,1.73,5.0,3.0,55.5,10.49,1
cce59703060398ef2698e7dc9c1f73d4e7e259a6,0,0,0,0,0,3.0,2.24,1.0,1.0,1.0,1.0,0,6.0,3.32,4.0,2.65,154.0,24.74,0
9a4a277de104bb287ce7e1a54f304b25b278270a,0,1,1,0,0,8.0,6.93,1.0,1.0,2.5,2.0,3,8.5,8.37,9.0,8.77,228.0,214.24,3
88b328d24404cf5561ca55f732e91a5505ba1a3e,0,0,0,0,0,3.5,2.45,1.0,1.0,3.5,2.45,5,1.0,1.0,5.5,4.24,70.5,66.47,6
40528e7add9d67c985bfc660d51d94c0170399d2,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,9.0,5.66,0
a3ab03c5374e9fb8c840118cb9a12dacd6aef6a9,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,2.0,1.73,11.0,6.32,1
6dc86d37f68cb96a62ad9bacf5ed7db66e949837,0,0,0,0,0,5.5,5.29,1.0,1.0,1.0,1.0,0,4.0,2.65,18.5,8.37,253.0,149.64,0
628a9142c997b235186e8c8084a5f5b40a6ed23b,1,0,0,1,3,5.0,5.0,1.0,1.0,1.0,1.0,0,5.0,4.58,20.0,12.0,269.5,194.55,0
d3f1dc300c38d6fe645bf96de8fbc7f8e36c771c,0,0,0,0,0,2.0,2.0,1.0,1.0,2.0,1.73,2,2.5,2.0,19.0,8.49,198.0,116.64,3
42e6009e61771a22ac0f276e74f26d803e445620,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,2.5,2.45,35.0,16.25,0
330c0bd71823291f1ae465d3c921ee040bfc8333,1,0,0,1,1,12.5,6.78,1.0,1.0,1.0,1.0,0,5.5,3.16,33.5,13.86,7643.0,1365.67,0
67fc3a1ba25df63f9ad7011e17328d903a4ff37d,0,0,0,0,0,11.0,6.32,1.0,1.0,1.5,1.41,1,5.5,3.16,32.0,7.94,7581.0,408.24,2
d8442e44095ca504680c24275e7d9f300e285165,0,0,0,0,0,7.5,6.63,1.0,1.0,1.0,1.0,0,1.5,1.41,19.0,18.97,6344.5,1707.18,1
8345b8cffed25a2575fbc5a2494b8051d63dec70,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.5,1.41,6.0,5.2,55.0,30.15,0
263d994238e66c97a7239c69c3948ee42c7cbe0d,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,9.0,4.12,6115.5,156.39,0
8645607523d36cb4d079f757cb723414f8ad4fce,0,0,0,0,0,1.5,1.41,1.0,1.0,1.5,1.41,1,1.0,1.0,1.0,1.0,2.5,2.0,2
973a62af37106b1fed6cfe4d7e70e8b21cd1c335,0,0,0,0,0,1.0,1.0,1.0,1.0,1.5,1.41,1,1.0,1.0,1.0,1.0,3.5,3.46,2
0bc51d3deab93e76d3cdf50f5e92a9c199a50e0d,0,0,0,0,0,3.5,3.46,1.0,1.0,4.5,2.83,7,6.5,5.48,12.0,10.91,203.5,179.16,7
069c4ae6e103e76893ae5e8cb71047a4919d6860,0,0,0,0,0,1.0,1.0,1.0,1.0,2.0,1.73,2,1.0,1.0,3.5,2.45,53.5,10.3,3
43d96e325ec03e8c383ea2049a4391a5c8ccd4a0,1,1,1,1,1,5.0,4.58,1.0,1.0,2.0,1.73,2,4.5,3.74,11.0,9.22,168.0,103.92,3
741ae385288c5de77d622bf48cd00e23e5c71451,0,0,0,0,0,2.0,2.0,1.0,1.0,1.5,1.41,1,1.0,1.0,4.0,3.87,182.0,88.56,2
ad4c14ba6985ef1f2014f5d8d729e75e6b31d2f7,0,0,0,0,0,6.5,3.46,1.0,1.0,1.0,1.0,0,28.5,7.48,12.0,4.8,239.5,160.79,0
ec8e49f94675c7e951297d1b5a8b7188d32a1559,0,0,0,0,0,5.0,3.0,1.0,1.0,1.0,1.0,0,27.5,7.35,11.0,4.58,190.0,19.47,1
d80e6b46e15d6b33df1a59eac94f782bcc1430fc,0,0,0,0,0,5.5,5.29,1.0,1.0,3.0,2.24,4,26.5,14.0,13.5,13.42,146.5,126.73,4
6112737b9f869782ac40d4f3ecaf2730401350fc,0,0,0,0,0,3.0,2.24,1.0,1.0,1.5,1.41,1,24.0,6.86,8.0,5.29,98.0,45.11,2
548069c9776ae3c1eade6458f97df5a5d16783f9,0,0,0,0,0,3.5,3.46,1.0,1.0,4.5,4.47,1,21.0,6.4,8.5,8.49,146.5,131.04,1
e4615dc194bb504d9adde047e850b46aca57fe45,0,0,0,0,0,27.0,7.28,1.0,1.0,23.0,14.32,36,204.5,20.2,36.0,16.49,2582.5,485.26,36
3060a8ea17e8113df327513d8918a407e3fb0b4f,0,0,0,0,0,5.5,3.16,1.0,1.0,1.0,1.0,0,203.5,20.15,5.5,3.16,156.0,39.18,1
67dea11035be641b038fc27f5565897a8b1bfcc5,0,0,0,0,0,4.5,3.74,1.0,1.0,3.0,2.24,4,200.5,20.0,4.5,3.74,121.5,34.5,4
664c385673a8fbdaecaf43abb4925677297eadd9,0,0,0,0,0,3.5,3.46,1.0,1.0,1.0,1.0,0,200.0,19.97,5.0,4.9,51.0,37.09,0
3785dac4f39ca497c062d0b4a63b0cf75a59dcfe,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.5,1.41,6.0,6.0,1
25c322a4a2e4033993cd659aa049916a97e10cf1,0,1,2,0,0,207.5,20.35,1.5,1.41,197.0,19.82,392,240.0,21.89,237.5,53.05,13797.0,1161.77,393
8d7f3ff8b6f5c5a6f34182ff620405076a8e47cf,0,0,0,0,0,1.5,1.41,1.0,1.0,1.5,1.41,1,1.5,1.41,14.0,8.66,284.0,66.93,2
4f7f454281e2e5cd38b320cd3f3b3dcd4285525b,0,0,0,0,0,9.0,8.06,1.0,1.0,6.0,3.32,10,35.5,29.66,20.0,13.23,1936.5,256.03,11
d38b85c753803142f9dd16cad3cfc381daa65971,0,0,0,0,0,1.0,1.0,1.0,1.0,2.5,2.0,3,1.0,1.0,1.5,1.41,3.0,2.83,4
a9e9a03d970e446af954644d152b2d821492f06b,0,0,0,0,0,1.0,1.0,1.0,1.0,4.5,4.47,1,1.0,1.0,4.5,2.83,1134.5,67.33,1
3b51c05c3911542cf6501631d03b5724b5dfb619,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,2.0,1.73,49.5,13.93,0
3e94190001f47f3abac1807fe7d37abec001c062,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,7.0,5.74,102.5,53.39,1
2a2f527fb8617999bbd2f51dcac6c46057774e3b,0,0,0,0,0,1.0,1.0,1.0,1.0,2.0,1.73,2,1.0,1.0,1.0,1.0,2.0,2.0,3
a44326b659fdd32f98f96b4c4e20c96392fc538a,0,0,0,0,0,1.5,1.41,1.0,1.0,1.5,1.41,1,1.0,1.0,2.0,1.73,7.0,5.74,1
739ad06fb2928eda39c67b8553d5b830b7e44533,0,0,0,0,0,2.5,2.0,1.0,1.0,2.0,1.73,2,1.0,1.0,3.5,3.46,29.0,22.74,3
4a6a26bd7370882504a36bbe302dfcd2fdd9f662,0,0,0,0,0,2.5,2.0,1.0,1.0,7.5,5.1,11,10.5,4.47,7.0,5.74,42.5,42.43,11
fbba87ab2f18c65069e0b2f8dc8a338ea487b8a0,1,1,1,1,1,1.0,1.0,1.0,1.0,6.5,3.46,11,1.0,1.0,3.5,3.16,15.0,14.14,12
dcca0e13d3dffffc1bc392b23c8afb59b3013705,0,0,0,0,0,6.0,3.32,1.0,1.0,1.0,1.0,0,1.0,1.0,46.0,9.54,522.0,64.5,0
1bec168f7e355a4505591d3c28a99b7dc1c55719,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,4.0,2.65,119.5,21.77,0
35006ff09948da2d5518a3fe08f5e2284c309633,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,2.5,2.0,44.0,18.33,0
d1cab06b67d7efa132de0668144e199f9a5825af,0,0,0,0,0,19.5,8.6,1.0,1.0,1.0,1.0,0,9.0,4.12,45.0,9.43,1262.0,122.91,1
dfcc8a2f2c1d7beecf6e0d7b5cee5a82b08fe798,0,0,0,0,0,10.5,6.16,1.0,1.0,2.0,1.73,2,4.0,2.65,30.5,7.75,669.5,109.41,3
280d7ac60b44cd2f0bbb2b54444038a480f2ad7d,0,0,0,0,0,2.5,2.45,1.0,1.0,4.5,4.24,3,1.0,1.0,26.5,12.25,472.5,110.07,3
386dc800c9f3df00058f1b119108fe3800128b29,0,0,0,0,0,5.5,3.16,1.0,1.0,4.5,2.83,7,8.5,4.0,7.5,3.74,443.0,106.53,8
6ec34e8f9a9016e614e25fdb0549866ad45f7713,0,0,0,0,0,2.5,2.0,1.0,1.0,1.0,1.0,0,29.5,7.62,2.5,2.0,31.5,11.05,0
bccb3288ca3649069f8e85d25c6bddafec4e9a00,0,1,1,0,0,20.5,8.83,1.0,1.0,29.0,7.55,56,49.5,9.9,22.5,11.22,1066.5,349.81,57
b6bc0cdcc0bb96e28bc02cdb35b56f19b7287326,0,0,0,0,0,23.0,9.38,1.0,1.0,31.5,15.36,55,65.0,11.36,36.0,25.9,964.5,850.16,55
c88fac4aa7f0f4d693d6b8e4d3bfcc4a5c9ecd5c,0,0,0,0,0,2.0,2.0,1.0,1.0,6.5,3.46,11,1.0,1.0,3.5,2.45,322.0,61.87,12
35124edc5930419075708b998e0436edcde662e3,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,1.5,1.41,4.5,4.24,1
529a1d94ac51e248d7d95f3118f3cf87d28c002e,0,0,0,0,0,2.0,1.73,1.0,1.0,2.0,1.73,2,1.5,1.41,5.0,5.0,86.0,85.99,3
2611baf0aecb21cd0ce6b2bc73b5a6399a3843a9,0,0,0,0,0,5.5,3.16,1.0,1.0,2.0,1.73,2,41.0,9.0,4.5,2.83,149.0,146.35,3
f6a1a449b71b5145bb38e79cc67187d02f53e2e3,1,1,4,2,3,20.5,15.43,1.0,1.0,16.5,5.66,31,335.5,174.58,34.5,24.29,508.0,349.15,32
8867ce989331129b036d939d4c6dd655da41a076,1,1,3,2,2,31.5,11.05,2.0,1.73,40.5,8.94,79,311.5,24.94,52.5,29.39,977.5,293.17,80
f2ade0522c2438d1c6df6ad85afc6b60fc2b321d,0,0,0,0,0,2.0,1.73,1.0,1.0,1.0,1.0,0,1.0,1.0,1.5,1.41,5.0,4.0,1
13adc279cc738de75d77ee0390f3c7efcb7b77ff,0,1,1,0,0,4.0,2.65,1.0,1.0,1.0,1.0,0,303.0,24.6,6.5,3.46,74.5,17.15,1
099767f6534c45af51887bf23fbc973e3da6bc2f,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,303.0,24.6,4.5,2.83,38.5,18.97,0
eeb1aedd6fd559f7828521427602e6caacc491f9,1,1,1,3,5,426.5,29.19,6.5,3.46,303.0,24.6,604,317.5,25.18,269.0,69.0,42372.0,2469.09,605
27928f4e07a5b207f81ab03bfd7e1bbf66c686ee,1,1,2,2,2,14.5,10.95,2.0,1.73,13.0,5.0,24,21.5,21.49,26.5,20.74,577.5,366.26,25
a4e7bb2fb747af2f938dd55dff9f165b64941b26,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,2.5,2.0,52.5,50.16,0
a39cd1c9e2bc6683594c1a9b9f2c438fb707e9dc,0,0,0,0,0,2.0,1.73,1.0,1.0,1.5,1.41,1,1.0,1.0,3.0,2.83,118.0,106.88,2
1e139246b2939551306d7743528da9e4f1de866f,0,0,0,0,0,5.0,4.9,1.0,1.0,11.0,6.32,18,9.0,4.12,12.5,12.25,92.5,84.11,18
892fbc5c3676c87b1a8ae5f8da03f93e3515f18e,0,0,0,0,0,2.0,1.73,1.0,1.0,1.0,1.0,0,1.0,1.0,6.5,6.0,29.0,27.57,0
f4bc3bf01cc530a47c97839892f843faa7a56553,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,2.0,2.0,10.0,10.0,0
dbac0d23447d9c3b1186e0b5b9220267c42119fd,0,0,0,0,0,13.0,12.37,1.0,1.0,1.0,1.0,0,23.5,11.49,21.0,20.98,1689.5,990.77,0
ace75917926cf4aa0a23f29000c7863641ceadb9,1,1,1,1,1,2.0,1.73,1.0,1.0,6.0,4.47,8,4.5,2.83,3.5,3.46,131.5,112.25,8
39df07f01b04668f55c30dbd03fe19adaa978996,0,0,0,0,0,8.0,7.94,1.0,1.0,2.0,1.73,2,16.0,5.57,8.0,6.93,563.5,398.41,3
d720862a38eda2a9f86bf3a2d7e27d3cd3e4ba7d,0,0,0,0,0,27.5,14.28,2.0,1.73,10.0,4.36,18,50.0,28.62,51.0,28.93,2099.0,1597.96,19
69cdad9b58892169fef18e2ab59a9249d5441924,1,0,0,1,1,4.0,3.46,1.0,1.0,1.0,1.0,0,1.0,1.0,6.5,4.69,185.0,116.14,0
4e1075b1fddf58a933ee515844fb5db88dd67be3,0,0,0,0,0,8.0,6.24,1.0,1.0,3.0,3.0,0,40.5,8.94,29.5,10.68,688.0,219.64,0
78a491a09ac405b97b0a022c3d0ab0ffc5698eb8,1,1,1,1,1,16.0,14.83,1.0,1.0,7.0,3.61,12,37.0,22.98,40.5,38.52,1440.5,1430.73,12
80f40cc7e08570d06faf92851f1837d428a0ec3b,0,1,1,0,0,9.0,6.71,1.0,1.0,4.0,2.65,6,5.0,4.0,11.0,10.82,521.5,474.44,6
6219eab4af17f8e58d1c208f015ffdb479b4a502,1,0,0,1,1,30.5,18.17,1.0,1.0,26.0,7.14,50,30.5,26.27,45.0,44.09,14769.5,5998.55,51
ced0ed0b71304967cc1fa9c37d5b71a29d94ad6f,0,0,0,0,0,4.0,2.65,1.0,1.0,1.5,1.41,1,1.0,1.0,5.5,5.48,112.0,89.75,2
e827d4505a4c2e7d1749734070f8c087413fd2cf,0,1,1,0,0,2.5,2.0,1.0,1.0,1.0,1.0,0,1.0,1.0,3.0,2.24,88.5,32.03,1
b1dc211dd0e58db671b639db4ea508afbe561b91,0,0,0,0,0,2.5,2.0,1.0,1.0,1.0,1.0,0,1.5,1.41,6.0,4.47,90.5,41.35,0
800a9e534db19663e1f86e8a02d0d796bd60e844,0,0,0,0,0,2.5,2.0,1.0,1.0,1.5,1.41,1,1.5,1.41,7.0,3.61,74.5,49.7,2
