mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
dd57843d543ae2d83ddd36545e9abc10267f5d66,0,0,0,0,0,1.0,1.0,1.0,1.0,6.0,5.2,6,1.0,1.0,1.0,1.0,2.5,2.45,6
f8e709887e85ecf1b9c58084131751f0792d55f2,0,0,0,0,0,6.5,3.46,5.0,3.0,4.0,2.65,6,7.5,3.74,39.0,20.78,479.0,351.87,6
41e445fe71487d5e79e062802f93a6217e654df8,0,0,0,0,0,1.0,1.0,1.0,1.0,7.0,4.9,10,1.0,1.0,4.5,2.83,24.5,11.75,10
c27109efb3531d5534d4b414e121d67737398445,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,8.5,5.48,4789.5,378.76,0
700122c429c5d399f676b6ffdc3414ba694ea2e1,0,0,0,0,0,6.0,5.2,4.0,2.65,3.0,2.24,4,2.0,1.73,18.5,12.65,203.0,202.98,5
bc5e0126aa75042c93070d5df4a677503b42c663,0,0,0,0,0,2.5,2.0,1.5,1.41,3.0,2.24,4,2.5,2.0,2.5,2.0,7.0,4.9,5
2d8527ca10567c4fadb928c0108dadcdcfb0bfbf,0,0,0,0,0,37.5,8.6,4.0,2.65,1.0,1.0,0,7.5,3.74,84.5,12.96,2558.5,202.17,1
0effaef073f8b779aceabe6e8059ceb91495ec27,0,0,0,0,0,6.0,4.47,4.5,2.83,5.5,3.16,9,3.0,2.24,13.5,7.07,112.5,61.04,9
dfcfbae1979f4874073d2e3db3486d7051d0fe3b,0,0,0,0,0,1.0,1.0,1.0,1.0,4.5,2.83,7,1.0,1.0,6.0,3.32,101.0,28.14,7
81fad3903d5fb8baf3d7708fd632592e8c09eed7,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,4.0,2.65,66.0,16.12,0
cdc1ccb967389336e0b2a46e99638bb904ecbb6b,0,0,0,0,0,5.0,3.0,2.0,1.73,1.0,1.0,0,1.5,1.41,10.0,4.36,136.5,16.49,1
75eec243d718571519944e619f802b0b0639f7e0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,10.5,10.49,143.0,121.13,1
eb69696bb468b98c8999042ce8ccc29cb0a0f159,0,1,7,0,0,15.0,14.97,2.0,2.0,1.0,1.0,0,14.0,14.0,19.0,18.97,448.5,444.93,0
f4e560670244e5280320536d909eb1a3c48e6466,0,1,1,0,0,2.5,2.45,1.5,1.41,1.0,1.0,0,1.0,1.0,5.0,4.9,184.5,184.3,0
79abc5978c063a5c1108d139b245d0acb01fe2ad,0,0,0,0,0,2.5,2.0,1.5,1.41,4.5,4.24,3,3.5,2.45,31.5,7.87,302.0,24.56,3
0a3ab2729211138e0d586ed0a9b88f4361b3e96a,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,3.0,3.0,17.0,17.0,1
51f4174a5c7e6b2ac5d0b96080ca0e76aefffd70,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,4.5,4.24,83.5,67.97,1
1cf43cf63f45dc51183253c198642e4a1ba107eb,0,0,0,0,0,1.5,1.41,1.5,1.41,1.0,1.0,0,1.0,1.0,24.0,20.78,375.0,373.17,1
93cc2df27f4a865fe9a9e143e7d0b5e780a93f92,0,1,1,0,0,1.5,1.41,1.0,1.0,3.5,2.45,5,1.0,1.0,2.0,1.73,7.5,5.1,6
a14a7c98b4cd3539e7659b77011d99bf3c8e9f1e,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,5.0,4.0,45.5,38.34,1
ef813258c6cffbc20b11dc17c420f7e4f34af721,0,0,0,0,0,5.0,3.0,1.0,1.0,2.0,1.73,2,2.5,2.0,6.5,3.46,140.0,23.58,3
2079b0ccb73a20db1a0034ce26cff39f313d40d3,0,1,1,0,0,2.0,1.73,1.5,1.41,2.0,2.0,0,1.5,1.41,2.0,1.73,7.0,4.9,0
937cf863c8fd5ccada577be6475362e71c8e3907,0,0,0,0,0,1.0,1.0,1.0,1.0,3.0,2.24,4,1.0,1.0,1.0,1.0,3.0,2.83,5
48578f0ec513a96af12a003619cf956469c3a107,0,1,2,0,0,2.5,2.45,1.0,1.0,1.0,1.0,0,2.5,2.45,10.5,10.2,86.5,86.49,0
1a9bfa2405ae01b0216621cec992f5fab03748ed,0,0,0,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,5.5,3.16,61.5,15.56,0
e68965b6019f68a6f0d2ed6d85cf1d2f5a9811a2,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,2.0,1.73,25.5,9.9,1
b5fd8e33c54d034fc0cc7bf889d5670c92485b37,1,1,1,1,1,2.5,2.45,1.0,1.0,1.0,1.0,0,1.0,1.0,7.0,4.9,81.0,63.73,0
c78f824f140ce92a2fba502adbc9917c67ae9b1e,0,1,1,0,0,1.5,1.41,1.0,1.0,1.0,1.0,0,1.0,1.0,1.5,1.41,3.0,2.83,0
1187aa5bb0d8efe35e9731caa89c3ad8d6c02c54,0,1,1,0,0,10.5,4.47,1.5,1.41,5.5,3.16,9,3.5,2.45,28.0,7.42,221.0,36.29,10
152204ad00e26da5fbef09399101120fd2233443,0,1,1,0,0,2.5,2.0,1.5,1.41,1.0,1.0,0,1.0,1.0,13.0,12.65,65.0,64.72,1
959931efc36fefe0cbe77b589213f06a94c4a615,1,1,2,3,4,24.0,17.89,1.0,1.0,3.5,2.45,5,6.5,6.32,20.5,16.97,683.0,422.04,6
a51a420f829002d3a0e8561aa1bf1486f3449906,0,0,0,0,0,4.5,2.83,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,162.5,61.29,0
897264ee952db0624e65bb844344eb033ad410c3,0,1,1,0,0,5.0,4.58,1.0,1.0,1.0,1.0,0,1.0,1.0,2.0,1.73,160.0,46.81,0
1258651a7c54299e662e2d1100900d50942b80ca,1,1,3,3,3,8.5,8.12,1.0,1.0,1.0,1.0,0,1.0,1.0,9.0,8.94,340.5,339.39,1
1ff38d3c4a9a6a24727af2278693ec63d358be5e,0,1,5,0,0,2.5,2.45,1.0,1.0,1.5,1.41,1,1.5,1.41,7.0,6.93,31.0,24.49,2
