mergeCommitID, isConflicting, existsCommonSlice, totalCommonSlices, conflictingFilesNumber, conflictsNumber, numberOfCommitsArithAverage, numberOfCommitsGeoAverage, numberOfAuthorsArithAverage, numberOfAuthorsGeoAverage, delayIntegrationArithAverage, delayIntegrationGeoAverage, deltaIntegration, minimumLifeTimeArithAverage, minimumLifeTimeGeoAverage, numberOfChangedFilesArithAverage, numberOfChangedFilesGeoAverage, numberOfChangedLinesArithAverage, numberOfChangedLinesGeoAverage, contributionConclusionDelay
0738e3dec0ec2d8e4dc393009ca75b7bf16d8a1b,1,1,2,2,2,42.5,40.62,3.0,3.0,2.0,1.73,2,23.5,23.07,39.0,38.68,1092.0,1091.94,2
d944533c1222fd3520caf40098628b45630ae2b3,1,1,1,1,1,93.0,13.6,3.0,2.24,10.5,4.47,19,197.0,19.82,74.0,12.12,3114.0,136.66,20
2a83e6a2fdf96ec080590c29fe209f99b4184d32,0,1,24,0,0,134.5,126.93,4.5,4.47,5.0,3.0,8,388.5,388.47,137.5,137.24,5274.0,5197.5,9
f2ead8bf57bca136a5d79a79e760c338020d2464,0,0,0,0,0,22.0,6.56,1.5,1.41,1.0,1.0,0,13.5,5.1,13.5,10.49,358.0,283.97,1
ee23d9ab2ee06655e1d3cef8b2d7a7cb1a077bfe,1,0,0,1,2,34.0,33.05,3.0,2.83,1.0,1.0,0,114.0,72.47,17.0,16.52,547.0,546.33,1
ef03ce6f433c759771d92f76394fe2808efaea5e,0,0,0,0,0,24.5,9.7,2.5,2.45,1.5,1.41,1,23.0,22.45,14.5,7.35,445.5,118.32,2
4f62fa2666266b6a511c46d274b445ccc0fef461,0,0,0,0,0,23.0,9.38,2.5,2.45,1.5,1.41,1,23.0,22.45,14.0,5.2,437.5,41.79,2
34a2252bc875d50cebf4c3f708249530b5b72062,0,0,0,0,0,21.5,19.29,2.5,2.45,1.5,1.41,1,24.0,23.66,14.0,13.08,436.5,368.16,2
285665a4250c93e868987d171bcb670f36896b5f,0,0,0,0,0,15.0,11.18,2.5,2.45,1.5,1.41,1,23.5,23.07,9.5,4.24,335.5,63.17,2
2f1167895007137935990722f7ce7338b0abdb07,0,1,1,0,0,12.0,8.94,2.5,2.45,1.5,1.41,1,24.5,24.25,9.0,4.12,332.5,36.41,2
2e15e30ceea2942792b7ebce92cc50575c29d94f,0,0,0,0,0,9.5,8.37,2.5,2.45,1.5,1.41,1,26.0,25.92,8.5,7.21,331.5,316.84,2
a4eeaea037a318056bec9e5806e65d1184898835,0,0,0,0,0,6.5,6.32,2.5,2.45,2.0,2.0,0,25.0,24.98,6.5,6.32,214.5,188.43,0
2567de8599d0a5dd63722e071d379fe507ec0c22,1,1,2,1,1,98.5,19.75,3.5,3.16,4.5,2.83,7,203.0,74.08,84.0,18.22,3698.0,171.95,8
f958381c6587d9601678c7fd899dd3d4c1ba5f83,1,1,1,2,5,107.0,62.29,4.5,4.47,14.5,5.29,27,282.5,260.83,89.0,44.63,3845.5,1486.68,27
b3c4aa4d9483aaa0a90e5875e6a4bae9b9fc445e,0,1,2,0,0,21.5,20.15,2.0,2.0,4.5,4.24,3,18.5,17.66,25.0,16.25,573.5,267.11,3
5cd88513336f14083f1eb4e289c349043f8b6439,0,0,0,0,0,26.5,7.21,2.5,2.0,10.5,7.35,15,57.0,10.63,9.0,5.66,645.5,142.83,15
7f1dadd4f52e0ddc621546e63d85710acda02acb,0,0,0,0,0,32.5,8.0,2.5,2.0,10.5,7.35,15,57.0,10.63,13.0,5.0,780.0,55.82,15
15aeb336d686e32b12b2266bf123530b370171cd,0,1,1,0,0,25.5,20.98,2.0,1.73,5.0,4.58,4,35.5,27.46,12.0,11.62,549.5,425.67,4
8f2fd6a7a7a9c0dc6d47ea8f284d4108df8c1f31,0,1,1,0,0,22.0,12.65,2.0,1.73,5.0,4.58,4,35.0,26.38,8.0,3.87,451.5,73.36,4
67a818c0d861b86ef3e7b8bbaad81de7ae86a9cb,0,0,0,0,0,21.5,10.95,2.0,1.73,5.0,4.58,4,36.0,28.5,8.0,3.87,449.5,42.36,4
a701bf08b7ed35aa14075e7ee85c25d8fd22d2dc,0,0,0,0,0,22.0,12.65,2.0,1.73,5.0,4.58,4,37.5,31.4,9.5,7.75,565.5,458.15,4
da33674afaf484645c0d9c40c903117d035b3efa,0,0,0,0,0,22.0,12.65,2.0,1.73,5.0,4.58,4,37.5,31.4,10.0,8.66,504.5,316.96,4
7830a25bf566f68b425cca279b64746d7a304abc,1,1,2,1,1,6.5,6.48,2.0,2.0,3.5,2.45,5,23.0,22.8,9.0,8.94,335.0,334.52,6
566a4bfdb566866d3a3083119dd0b664d805fb1a,1,0,0,1,1,22.5,14.14,2.0,1.73,5.0,4.58,4,38.5,33.2,11.5,10.95,607.0,533.24,4
549eae1ceaa7f84f516b255a46b591a207d1c42b,1,0,0,1,1,22.0,13.96,2.0,1.73,1.0,1.0,0,37.0,32.33,10.5,10.2,589.0,522.43,1
a851240ffab92b8ac089599b26c5194f6e26ab8a,0,0,0,0,0,19.0,13.86,2.0,1.73,1.0,1.0,0,37.0,32.33,6.5,5.48,430.5,147.34,1
1626cdcbe8b702cae2facd94cbc6691219b43f41,0,0,0,0,0,15.5,11.4,2.0,1.73,1.0,1.0,0,37.5,33.17,5.0,3.0,417.5,57.65,1
91f8914499accaf2a5d9af8fe0bf3daaacdf0602,1,1,1,1,1,27.0,26.98,2.0,1.73,1.0,1.0,0,33.5,25.69,26.5,19.9,956.0,947.79,1
